Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
CITUNI,CITY UNION BANK LTD,INE491A01021,200,230.09,254.90,- 0.22,46018.00,50980.00,0.00,4962.00,10.78,
COCSHI,COCHIN SHIPYARD LIMITED,INE704P01025,8,1880.53,1458.70,- 0.59,15044.24,11669.60,24536.64,-3374.64,(22.43),
CONCOR,CONTAINER CORPORATION OF INDIA,INE111A01025,30,489.30,460.75,- 0.63,14679.00,13822.50,(1339.40),-856.50,(5.83),
CORINT,COROMANDEL INTERNATIONAL LIMIT,INE169A01031,5,2389.94,1807.40,+ 3.07,11949.70,9037.00,7556.67,-2912.70,(24.37),
CPSETF,CPSE ETF,INF457M01133,2040,93.86,101.14,- 0.54,191474.40,206325.60,(663.92),14851.20,7.76,
CROGR,CROMPTON GREAVES CONS ELEC LTD,INE299U01018,10,477.80,279.30,- 0.66,4778.00,2793.00,(1103.58),-1985.00,(41.54),
CROGRE,CG POWER AND IND SOLUTIONS LTD,INE067A01029,15,829.05,919.40,+ 0.21,12435.75,13791.00,15749.36,1355.25,10.90,
CUMIND,CUMMINS INDIA LTD,INE298A01020,5,4006.26,5764.00,- 1.99,20031.30,28820.00,9988.66,8788.70,43.87,
CUPRUB,CUPID LIMITED,INE509F01029,75,97.79,130.68,+ 1.26,7334.25,9801.00,0.00,2466.75,33.63,
DATPAT,DATA PATTERNS INDIA LIMITED,INE0IX101010,16,3020.69,3957.40,- 2.12,48331.04,63318.40,6838.08,14987.36,31.01,
DECBEA,SATANI BEARINGS LTD,INE498D01012,50,194.88,279.90,+ 0.96,9744.00,13995.00,11788.64,4251.00,43.63,
DELLIM,DELHIVERY LIMITED,INE148O01028,11,442.56,446.35,- 1.33,4868.16,4909.85,(1441.61),41.69,0.86,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,40,112.68,110.38,+ 2.25,4507.20,4415.20,140.04,-92.00,(2.04),
DIXTEC,DIXON TECHNOLOGIES INDIA LTD,INE935N01020,8,15486.97,11534.00,+ 0.09,123895.76,92272.00,304890.10,-31623.76,(25.52),
