Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
OSWAGR,OSWAL AGRO MILLS LTD,INE142A01012,50,104.96,44.47, 0.00,5248.00,2223.50,(1308.69),-3024.50,(57.63),
PGELEC,PG ELECTROPLAST LIMITED,INE457L01029,37,662.06,482.30,- 0.05,24496.22,17845.10,27871.20,-6651.12,(27.15),
PIDIND,PIDILITE INDUSTRIES LTD,INE318A01026,10,1527.08,1474.20,- 0.58,15270.80,14742.00,(2227.58),-528.80,(3.46),
PNCINF,PNC INFRATECH,INE195J01029,16,202.23,210.37,+ 2.72,3235.68,3365.92,(10842.99),130.24,4.03,
POLI,POLYCAB INDIA LIMITED,INE455K01017,6,7036.31,9481.50,+ 0.04,42217.86,56889.00,33104.01,14671.14,34.75,
PONOXI,PONDY OXIDES & CHEMICALS LIMIT,INE063E01053,20,1264.53,1290.00,+ 0.37,25290.60,25800.00,6070.41,509.40,2.01,
POWGRI,POWER GRID CORPORATION OF INDI,INE752E01010,15,297.29,287.45,- 1.07,4459.35,4311.75,2602.96,-147.60,(3.31),
PREEXP,PREMIER EXPLOSIVES LTD,INE863B01029,40,618.08,686.05,- 0.65,24723.20,27442.00,51962.16,2718.80,11.00,
PSUBAN,NIPPON IND ETF NIF PSU BNK BEE,INF204KB16I7,1778,70.31,90.99,- 0.23,125011.18,161780.22,30670.82,36769.04,29.41,
PUNBAN,PUNJAB NATIONAL BANK,INE160A01022,81,118.77,105.30,- 0.71,9620.37,8529.30,1010.74,-1091.07,(11.34),
RAIVIK,RAIL VIKAS NIGAM LIMITED,INE415G01027,26,373.50,246.69,+ 0.51,9711.00,6413.94,10804.98,-3297.06,(33.95),
RAYMON,RAYMOND LIMITED,INE301A01014,4,2030.66,541.05,+ 0.12,8122.64,2164.20,(8401.78),-5958.44,(73.36),
RELNIP,NIPPON LIFE IND ASSET MANAGEME,INE298J01013,19,871.39,1102.00,+ 0.16,16556.41,20938.00,(3120.64),4381.59,26.46,
ROSTEC,ROSSELL TECHSYS LIMITED,INE0OJW01016,10,911.24,1097.70,+ 3.88,9112.40,10977.00,0.00,1864.60,20.46,
SAGCEM,SAGAR CEMENTS LTD,INE229C01021,90,209.77,178.50,+ 0.13,18879.30,16065.00,1693.73,-2814.30,(14.91),
SAIL,STEEL AUTHORITY OF INDIA LTD,INE114A01011,380,146.12,204.48,+ 0.05,55525.60,77702.40,3913.06,22176.80,39.94,
SANEN,SANSERA ENGINEERING LIMITED,INE953O01021,10,2689.35,2857.90,- 0.11,26893.50,28579.00,(45.22),1685.50,6.27,
SBFFIN,SBFC FINANCE LIMITED,INE423Y01016,30,96.58,92.84,- 1.55,2897.40,2785.20,(488.31),-112.20,(3.87),
SBICAR,SBI CARDS AND PAYMENT SERV LTD,INE018E01016,10,863.08,616.95,- 1.19,8630.80,6169.50,0.00,-2461.30,(28.52),
SBIGOL,SBI-ETF GOLD,INF200KA16D8,3504,79.86,131.60,- 0.82,279829.44,461126.40,90288.10,181296.96,64.79,
SBILIF,SBI LIFE INSURANCE COMPANY LTD,INE123W01016,2,1832.26,1824.60,- 0.30,3664.52,3649.20,172.68,-15.32,(0.42),
SCHELE,SCHNEIDER ELECTRIC INFRA LTD,INE839M01018,23,992.50,1243.40,- 5.00,22827.50,28598.20,13792.98,5770.70,25.28,
SHAILY,SHAILY ENGINEERING PLASTICS LT,INE151G01028,14,1858.62,3028.30,+ 1.30,26020.68,42396.20,1321.02,16375.52,62.93,
SHRPIS,SHRIRAM PISTONS AND RINGS LTD,INE526E01018,5,2708.70,3341.30,- 1.47,13543.50,16706.50,(980.90),3163.00,23.35,
