date,symbol,open,high,low,close,volume,stage,weekly_stage,sma_20,sma_50,sma_100,sma_200,ema_20,ema_50,rsi_14,atr_14,volume_ratio_20d,relative_strength,trailing_stop,eps_growth_pct,sales_growth_pct,roe_pct,debt_to_equity,turnover_cr
2025-01-01,AUROPHARMA,1334.85,1355.55,1327.0,1353.25,949066,STAGE_3,STAGE_3,1255.2375,1298.802,1405.5404999999998,1304.29025,1273.2220664388976,1303.0407162832155,74.26,35.353571428571385,0.8649822832230808,45.7303,0,0.0,0.0,0.0,0.0,
2025-01-01,AXISBANK,1064.15,1076.95,1053.95,1071.8,2985355,STAGE_3,STAGE_3,1118.8575,1141.68,1165.107,1161.6644999999999,1105.46638659538,1134.715779353196,17.55,20.871428571428574,0.40823049888661705,27.1582,0,0.0,0.0,0.0,0.0,
2025-01-01,BAJAJ-AUTO,8754.05,8767.0,8551.0,8740.55,558535,STAGE_3,STAGE_3,8921.43,9395.316,10267.621,9735.898000000001,8959.26435212086,9418.75070433002,33.16,184.2428571428575,1.0836928034986435,3.1265,0,0.0,0.0,0.0,0.0,
2025-01-01,BAJFINANCE,682.3,694.79,680.6,693.53,4187210,STAGE_3,STAGE_3,694.583,683.74,700.3929,696.82095,689.6105210528812,690.78653830285,39.13,13.609285714285713,0.4333531249278773,37.1442,0,0.0,0.0,0.0,0.0,
2025-01-01,BANDHANBNK,159.0,160.75,159.0,159.93,3631951,STAGE_3,STAGE_3,167.373,171.9302,185.3551,188.58875,165.3931783153305,172.72604828942585,27.14,4.2278571428571405,0.468491034322133,13.0191,0,0.0,0.0,0.0,0.0,
2025-01-01,BANKBARODA,240.0,241.78,238.77,241.22,4349210,STAGE_4,STAGE_4,252.4625,249.607,247.12949999999998,255.74675,247.99711024469357,249.0806862479536,24.17,5.6507142857142885,0.41948980128375335,59.356,0,0.0,0.0,0.0,0.0,
2025-01-01,BDL,1112.05,1139.75,1112.05,1133.7,193054,STAGE_3,STAGE_3,1213.465,1116.578,1176.6544999999999,1210.2955499999998,1178.8336587458475,1162.6184402110018,37.75,54.875000000000014,0.24934577956946544,60.3826,0,0.0,0.0,0.0,0.0,
2025-01-01,BEL,293.15,294.6,290.25,293.9,6954271,STAGE_3,STAGE_3,303.96000000000004,294.557,292.705,279.70799999999997,298.2571774521693,296.74521157542597,32.34,7.1321428571428624,0.4750356952803429,72.2352,0,0.0,0.0,0.0,0.0,
2025-01-01,BHARATFORG,1303.3,1304.65,1288.15,1299.9,358152,STAGE_3,STAGE_3,1332.9675,1358.6770000000001,1458.264,1452.10275,1324.0984499360554,1367.4420541728548,30.6,34.01071428571434,0.3183276369017842,23.8451,0,0.0,0.0,0.0,0.0,
2025-01-01,BHARTIARTL,1593.0,1606.55,1584.05,1595.7,1405565,STAGE_3,STAGE_3,1602.7725,1602.139,1605.2255000000002,1477.8832499999999,1598.3806930504893,1601.6571155778734,51.95,35.567857142857164,0.22620701349167083,47.3168,0,0.0,0.0,0.0,0.0,
2025-01-01,BHEL,230.01,234.1,227.33,233.23,7758093,STAGE_3,STAGE_3,242.2165,238.79840000000002,258.46119999999996,271.16234999999995,238.99595093325726,244.73067281183023,34.57,7.983571428571429,0.7248620551395245,18.3388,0,0.0,0.0,0.0,0.0,
2025-01-01,BLISSGVS,164.95,181.45,164.51,177.48,5190261,STAGE_2,STAGE_2,164.037,143.675,135.33280000000002,123.12075,161.61036763082365,149.7233550773339,69.03,10.078571428571426,3.900151669947439,93.4204,0,0.0,0.0,0.0,0.0,
2025-01-01,BOSCHLTD,34121.0,34286.2,33760.1,34032.55,7620,STAGE_3,STAGE_3,35283.7725,35196.579,34905.0495,33312.099,34839.86563793782,35116.5773525565,17.48,684.3928571428551,0.39828455392913986,38.0308,0,0.0,0.0,0.0,0.0,
2025-01-01,BPCL,292.3,295.9,290.3,295.3,3545200,STAGE_3,STAGE_3,296.17,301.323,323.0215,315.7856,295.3253461252276,303.47934480629345,36.02,7.299999999999987,0.42656695629971814,11.9459,0,0.0,0.0,0.0,0.0,
2025-01-01,BRITANNIA,4752.2,4819.7,4752.2,4794.75,87260,STAGE_3,STAGE_3,4798.435,5118.4310000000005,5551.3955000000005,5399.622250000001,4829.3486954980735,5087.085484310444,38.8,79.45357142857152,0.29080394994812786,6.2529,0,0.0,0.0,0.0,0.0,
2025-01-01,BSE,1776.0,1812.87,1765.33,1808.67,2473389,STAGE_2,STAGE_2,1817.1965,1628.0634,1374.0939,1117.29655,1778.2155594135259,1638.3948442198016,44.27,61.182857142857124,0.3465070407233391,96.3136,0,0.0,0.0,0.0,0.0,
2025-01-01,CANBK,100.55,100.87,99.25,100.38,9259122,STAGE_4,STAGE_4,104.439,102.346,104.96860000000001,110.75995,102.39895102702587,103.38102598674206,23.29,2.4021428571428567,0.43783372722678415,37.4708,0,0.0,0.0,0.0,0.0,
2025-01-01,CGPOWER,727.0,744.2,722.6,741.0,1120881,STAGE_2,STAGE_2,758.57,740.055,740.7289999999999,680.74175,747.19614738333,746.5554285815147,35.09,22.189285714285713,0.48487411736025626,60.2427,0,0.0,0.0,0.0,0.0,
2025-01-01,CHOLAFIN,1190.0,1194.9,1175.1,1184.35,587931,STAGE_3,STAGE_3,1248.76,1267.413,1379.9265,1331.9129999999998,1228.728384936536,1281.7437409904035,16.71,33.29642857142859,0.34396020124033266,4.7597,0,0.0,0.0,0.0,0.0,
2025-01-01,CIPLA,1531.95,1547.85,1518.7,1529.1,1578715,STAGE_3,STAGE_3,1481.3125,1502.27,1560.2720000000002,1515.3094999999998,1494.9424976734103,1510.3848905536333,73.15,30.910714285714302,0.6924058163027148,45.1237,0,0.0,0.0,0.0,0.0,
2025-01-01,COALINDIA,383.55,388.15,382.5,386.4,3584876,STAGE_3,STAGE_3,399.135,419.685,462.698,466.6747500000001,396.3604677545743,419.7586041051381,24.31,8.217857142857143,0.5051044899023056,6.4396,0,0.0,0.0,0.0,0.0,
2025-01-01,COFORGE,1938.0,1948.99,1908.54,1925.71,798575,STAGE_2,STAGE_2,1859.4560000000001,1701.2258,1518.2512,1304.52985,1856.3237569115051,1725.054027008072,68.32,54.98285714285714,0.3933253271934047,94.2137,0,0.0,0.0,0.0,0.0,
2025-01-01,CUMMINSIND,3274.0,3274.0,3222.0,3230.5,254916,STAGE_3,STAGE_3,3442.7699999999995,3455.0159999999996,3610.6755,3547.1715000000004,3392.794451827578,3475.0537759055833,25.58,106.48928571428571,0.4253378316089934,21.8385,0,0.0,0.0,0.0,0.0,
2025-01-01,DABUR,506.9,512.5,506.5,510.95,1065540,STAGE_3,STAGE_3,509.7,522.309,573.6065,571.3919999999999,510.7551632509995,528.53620466464,53.33,7.549999999999995,0.4155997050230448,15.539,0,0.0,0.0,0.0,0.0,
2025-01-01,DATAPATTNS,2470.6,2509.35,2463.6,2498.25,69178,STAGE_3,STAGE_3,2557.5175,2419.491,2536.654,2715.12375,2503.7015912791862,2491.1594147522437,40.0,96.83928571428568,0.34469494263388833,77.7881,0,0.0,0.0,0.0,0.0,
2025-01-01,DELTACORP,110.93,112.7,110.93,111.9,564075,STAGE_3,STAGE_3,117.675,116.8222,122.803,124.53615000000002,115.3846836204102,118.06538877789495,12.06,2.8599999999999985,0.3927752472248879,25.0583,0,0.0,0.0,0.0,0.0,
2025-01-01,DIVISLAB,6090.0,6135.1,6060.7,6073.0,116675,STAGE_2,STAGE_2,5948.4775,5930.1269999999995,5622.797,4898.10775,5950.528356137432,5873.056801756899,61.91,129.73571428571444,0.2114200724309675,82.2678,0,0.0,0.0,0.0,0.0,
2025-01-01,DIXON,17934.05,18050.0,17772.0,17994.2,157078,STAGE_2,STAGE_2,17956.107500000002,16257.160999999998,14863.942000000003,12227.290500000001,17694.35910484159,16553.420230005555,57.43,525.6678571428575,0.38166924347712206,91.8339,0,0.0,0.0,0.0,0.0,
2025-01-01,DLF,821.55,826.25,814.6,824.5,929268,STAGE_3,STAGE_3,853.0875,824.2840000000001,840.993,847.4635,840.610206259083,837.5793563717369,31.58,22.0107142857143,0.3461236116912835,44.0037,0,0.0,0.0,0.0,0.0,
2025-01-01,DMART,3560.0,3586.95,3536.55,3561.0,241116,STAGE_4,STAGE_4,3625.755,3760.7870000000003,4358.165,4519.765,3604.720608325357,3831.9596029097283,35.55,84.36428571428574,0.2917229087284272,2.8931,0,0.0,0.0,0.0,0.0,
2025-01-01,DRREDDY,1388.45,1389.05,1355.35,1369.0,1658723,STAGE_3,STAGE_3,1298.42,1273.2704,1312.7406,1280.1730499999999,1316.0486191179607,1293.223731351487,76.76,33.3107142857143,0.6198094897880637,68.8287,0,0.0,0.0,0.0,0.0,
2025-01-01,EICHERMOT,4829.0,4906.45,4742.45,4885.3,290234,STAGE_2,STAGE_2,4811.2225,4825.156,4826.355,4690.1655,4821.356932368084,4821.944832384242,59.06,91.57142857142851,0.8278168645502859,58.6094,0,0.0,0.0,0.0,0.0,
2025-01-01,ELGIEQUIP,579.8,584.95,574.7,577.4,75023,STAGE_3,STAGE_3,604.7825,613.931,648.0195,651.23775,596.8952400834472,617.1888164455602,27.8,16.79642857142857,0.5923853651449399,22.0719,0,0.0,0.0,0.0,0.0,
2025-01-01,ETERNAL,279.0,279.1,276.0,276.5,14417580,STAGE_2,STAGE_2,286.4,272.7664,270.5065,231.5759,280.90636948883355,276.27745094077164,37.78,9.703571428571422,0.2431369588243795,59.5894,0,0.0,0.0,0.0,0.0,
2025-01-01,EXICOM,247.0,253.8,244.0,251.47,216540,STAGE_3,STAGE_3,268.06100000000004,291.5164,322.78520000000003,324.4941,265.69408757305234,287.7043036621768,26.08,10.107142857142852,0.8002270525081098,12.3658,0,0.0,0.0,0.0,0.0,
2025-01-01,FEDERALBNK,200.4,200.97,197.88,200.51,4148526,STAGE_3,STAGE_3,206.0645,204.19420000000002,198.53760000000003,183.83455,203.1964570848463,202.881007298225,29.23,5.087857142857142,0.4631389428327356,70.2287,0,0.0,0.0,0.0,0.0,
2025-01-01,GAIL,191.03,191.6,189.03,191.09,3721986,STAGE_3,STAGE_3,199.70499999999998,199.94119999999998,213.92829999999998,210.53875,196.56211082973076,202.10907085921528,26.14,5.71928571428571,0.3045226396579869,11.3392,0,0.0,0.0,0.0,0.0,
2025-01-01,GESHIP,963.0,973.65,961.65,969.95,119604,STAGE_3,STAGE_3,1030.2424999999998,1119.857,1203.9885,1165.46575,1020.1740520709061,1095.772758113236,25.9,31.832142857142887,0.23100019352379011,13.5324,0,0.0,0.0,0.0,0.0,
2025-01-01,GLENMARK,1609.1,1618.9,1601.35,1614.5,181712,STAGE_2,STAGE_2,1547.88,1584.2820000000002,1632.7915,1395.47875,1561.12251634244,1576.257525419234,69.49,42.753571428571476,0.2369220061757329,57.2562,0,0.0,0.0,0.0,0.0,
2025-01-01,GMRAIRPORT,78.99,79.05,77.8,78.59,3400151,STAGE_3,STAGE_3,81.88250000000001,80.821,86.9917,87.63175,80.56253182237008,82.41859756589363,16.97,1.9685714285714297,0.35194914105321745,18.7121,0,0.0,0.0,0.0,0.0,
2025-01-01,GODREJCP,1086.0,1096.85,1077.15,1079.55,165498,STAGE_3,STAGE_3,1114.12,1193.1689999999999,1304.9655,1315.5635,1111.6566205682568,1185.524526606239,27.25,19.850000000000005,0.08503717171272894,8.6328,0,0.0,0.0,0.0,0.0,
2025-01-01,GODREJPROP,2800.0,2805.95,2767.0,2776.7,204242,STAGE_3,STAGE_3,2884.88,2848.62,2913.9669999999996,2861.5745,2860.4064809375413,2877.5718176239434,34.54,82.14642857142852,0.24093420781622366,30.0513,0,0.0,0.0,0.0,0.0,
2025-01-01,GRASIM,2440.0,2473.85,2425.95,2442.15,487637,STAGE_3,STAGE_3,2585.585,2601.504,2651.3295000000003,2558.31,2544.0855281804766,2597.0635489896936,19.02,56.47857142857145,0.9678907358884954,28.5581,0,0.0,0.0,0.0,0.0,
2025-01-01,GRSE,1612.0,1675.0,1606.0,1650.1,428606,STAGE_3,STAGE_3,1687.4900000000002,1604.668,1697.6505,1590.29375,1645.1620971991829,1651.028348800614,42.82,81.45714285714288,0.5730722392504332,55.5296,0,0.0,0.0,0.0,0.0,
2025-01-01,GVT&D,2042.0,2118.1,2032.1,2048.8,146906,STAGE_2,STAGE_2,2019.4950000000001,1875.4040000000002,1787.6444999999999,1534.708,2018.8734538347119,1911.7708469413792,59.18,94.7357142857143,0.4643776952918482,88.8007,0,0.0,0.0,0.0,0.0,
2025-01-01,HAL,4178.35,4187.25,4127.0,4170.2,696846,STAGE_3,STAGE_3,4428.3925,4340.738,4458.6885,4445.2545,4328.935148959521,4382.934589050843,21.23,109.52857142857147,0.5238629455106488,50.3966,0,0.0,0.0,0.0,0.0,
2025-01-01,HAVELLS,1676.6,1686.0,1666.55,1680.1,353971,STAGE_3,STAGE_3,1705.8025000000002,1690.642,1809.8984999999998,1767.9519999999998,1691.3189668093482,1724.0489577960839,32.3,36.24285714285713,0.4758713141234515,18.5254,0,0.0,0.0,0.0,0.0,
2025-01-01,HCLTECH,1917.4,1936.95,1907.9,1911.95,880695,STAGE_2,STAGE_2,1924.4225000000001,1876.711,1816.3595,1649.0484999999999,1911.7593405408284,1877.4170766583445,45.16,41.57857142857146,0.3700586754534426,75.8283,0,0.0,0.0,0.0,0.0,
2025-01-01,HDFCAMC,2099.98,2108.9,2072.55,2081.27,594116,STAGE_3,STAGE_3,2180.4285,2173.7916,2184.5422999999996,2062.6408,2153.0896813675354,2167.9496734170357,14.94,51.369999999999955,0.931137343996379,57.9095,0,0.0,0.0,0.0,0.0,
2025-01-01,HDFCBANK,886.72,897.0,880.55,891.38,7313806,STAGE_2,STAGE_2,912.7425,890.0010000000001,861.8362999999999,819.1442999999999,900.7748057060517,889.2911265721987,29.83,14.527142857142874,0.37664763701076986,71.9552,0,0.0,0.0,0.0,0.0,
2025-01-01,HDFCLIFE,615.1,619.5,612.65,617.2,1386549,STAGE_3,STAGE_3,628.8675000000001,670.8659999999999,694.9625,651.305,632.0986069785629,657.9030941314854,29.64,10.08571428571428,0.39249992969078623,24.405,0,0.0,0.0,0.0,0.0,
2025-01-01,HEROMOTOCO,4174.8,4197.0,4130.0,4184.35,329310,STAGE_3,STAGE_3,4427.217500000001,4683.38,5128.1825,5094.85,4401.491142987355,4684.1108166921085,12.28,97.17499999999993,0.47465600556021076,4.4797,0,0.0,0.0,0.0,0.0,
2025-01-01,HFCL,112.86,114.93,112.28,114.02,6864927,STAGE_3,STAGE_3,120.6585,123.0492,134.3409,120.31675000000001,118.67749007974304,124.26244600789997,24.52,3.9350000000000045,0.5418255898865241,7.6995,0,0.0,0.0,0.0,0.0,
2025-01-01,HINDALCO,601.5,603.75,587.5,592.95,9217246,STAGE_3,STAGE_3,641.3675000000001,659.6,677.1829999999999,658.765,632.6188234749909,654.6220980122567,13.37,15.549999999999995,1.9843009750102185,9.706,0,0.0,0.0,0.0,0.0,
2025-01-01,HINDCOPPER,247.9,250.15,245.14,247.39,2545914,STAGE_4,STAGE_4,276.73449999999997,279.7998,300.5104,316.94745,270.02906288490254,282.0469590050885,18.29,11.489999999999997,0.5803595058780824,3.6864,0,0.0,0.0,0.0,0.0,
2025-01-01,HINDPETRO,410.0,414.0,404.7,412.35,2185656,STAGE_2,STAGE_2,405.63,390.92900000000003,400.523,370.57195,404.0187174768009,397.9081530721111,51.42,12.124999999999996,0.39725822870864,48.1101,0,0.0,0.0,0.0,0.0,
2025-01-01,HINDUNILVR,2325.0,2337.15,2320.25,2322.1,559893,STAGE_3,STAGE_3,2375.0325000000003,2453.369,2644.1095,2536.14125,2372.406571258692,2463.984491115726,30.42,35.0857142857143,0.3482266728360177,9.8927,0,0.0,0.0,0.0,0.0,
2025-01-01,HSCL,589.5,589.5,577.5,581.25,618020,STAGE_2,STAGE_2,562.9775000000001,551.12,562.6645,464.44425,561.2653195786997,556.725431970419,57.53,18.08571428571429,0.4810561658877065,30.098,0,0.0,0.0,0.0,0.0,
2025-01-01,ICICIBANK,1281.65,1293.0,1267.1,1283.65,4705399,STAGE_3,STAGE_3,1313.1950000000002,1293.455,1266.0819999999999,1204.31025,1301.5406121131334,1291.8535131741876,32.65,22.83571428571432,0.39609971919879344,66.9155,0,0.0,0.0,0.0,0.0,
2025-01-01,ICICIGI,1783.8,1813.55,1763.75,1809.45,325526,STAGE_3,STAGE_3,1900.9675,1897.5580000000002,2010.485,1874.4779999999998,1872.0067294404494,1913.8500235747001,28.3,50.67142857142861,0.5222004491206839,17.9188,0,0.0,0.0,0.0,0.0,
2025-01-01,ICICIPRULI,657.0,675.6,644.05,659.8,931601,STAGE_3,STAGE_3,668.9425,696.7280000000001,723.1959999999999,666.98125,668.443201228338,689.0353370626427,31.89,15.46071428571428,0.9549515713170004,21.1386,0,0.0,0.0,0.0,0.0,
2025-01-01,IDFCFIRSTB,63.29,64.56,62.76,64.19,26552067,STAGE_4,STAGE_4,64.09700000000001,65.1502,69.1455,73.97494999999999,63.81593459087386,65.66618220709275,45.65,1.6714285714285708,1.1357250259585998,25.4783,0,0.0,0.0,0.0,0.0,
2025-01-01,IFCI,62.03,62.9,61.26,62.03,5094745,STAGE_3,STAGE_3,63.005500000000005,61.0128,64.92110000000001,60.89835,62.066714784468914,62.56144056772991,43.14,2.5314285714285725,0.5973466853663321,48.9501,0,0.0,0.0,0.0,0.0,
2025-01-01,INDHOTEL,875.0,882.2,871.05,873.6,1243720,STAGE_2,STAGE_2,855.8549999999999,777.201,723.6604999999998,658.0575,850.5427406405452,797.4152850743194,63.35,20.517857142857142,0.384070107710061,91.3672,0,0.0,0.0,0.0,0.0,
2025-01-01,INDIANB,529.0,533.95,513.8,517.55,3247670,STAGE_3,STAGE_3,563.4725000000001,557.203,546.0245,543.73275,550.8387746241527,553.8047302196536,18.67,18.028571428571436,1.8127694958037908,62.2025,0,0.0,0.0,0.0,0.0,
2025-01-01,INDIGO,4581.6,4635.0,4552.0,4595.7,425992,STAGE_3,STAGE_3,4487.9025,4293.068,4491.545,4258.44075,4487.213935980999,4419.849372413866,59.22,121.47142857142833,0.6062028667530404,55.9963,0,0.0,0.0,0.0,0.0,
