"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
288,"BALMLAWRIE","BALMER LAWRIE & CO LTD","SMALL_CAP",232.81,5.86,6.5,9.66,83.3,69.1,"STRONG_BULLISH",17.33,18,18,20,68.31,75.22,82,61.59,36,483635336.01,"STRONG_BUY",2025-09-02
195,"ASTERDM","ASTER DM HEALTHCARE LTD.","SMALL_CAP",632.05,4.44,5.17,7.87,80.7,63.2,"STRONG_BULLISH",15.9,14,18,20,60.89,64.13,56,56.68,66,785490825.8,"STRONG_BUY",2025-09-02
1140,"BVCL","BARAK VALLEY CEM. LTD.","MICRO_CAP",47.96,10.08,12.06,6.67,80.7,63.8,"STRONG_BULLISH",31.27,20,12,20,69.53,73.91,86,61.36,41.25,25258367.8,"STRONG_BUY",2025-09-02
323,"BAJAJCON","BAJAJ CONSUMER CARE LTD","MICRO_CAP",242.47,1.7,5.65,9.24,78.7,66.7,"STRONG_BULLISH",46.06,18,11,20,61.4,60.24,65,60.25,60,422009155.96,"BUY",2025-09-02
19,"DABUR","DABUR INDIA LTD","LARGE_CAP",544.6,4,4.25,2.82,77.3,64.3,"STRONG_BULLISH",19.44,14,18,15,51.29,50.22,47,54.77,56.67,4866940025.1,"BUY",2025-09-02
26,"APOLLOTYRE","APOLLO TYRES LTD","LARGE_CAP",487.8,4.32,6.84,10.5,76.7,68.5,"BEARISH",13.71,18,20,15,53.44,54.57,51,53.68,54.17,3369497067.5,"BUY",2025-09-02
690,"ASKAUTOLTD","ASK AUTOMOTIVE LIMITED","MICRO_CAP",509.65,1.67,3.24,9.26,75.3,56.2,"BULLISH",10.93,10,17,25,71.28,74.57,82,59.77,60,113806121.55,"BUY",2025-09-02
111,"DALBHARAT","DALMIA BHARAT LIMITED","MID_CAP",2402.2,-0.05,1.87,7.88,73.3,70.9,"STRONG_BULLISH",20.54,12,12,20,68.15,73.7,76,57.73,54.17,1329846596.5,"BUY",2025-09-02
2,"APOLLO","APOLLO MICRO SYSTEMS LTD","LARGE_CAP",292.7,9.79,20.3,69.36,72.7,86.3,"STRONG_BULLISH",53.24,20,12,15,54.74,51.67,59,56.14,54,18166000931.15,"BUY",2025-09-02
714,"DAVANGERE","DAVANGERE SUGAR COMPANY L","MICRO_CAP",4,2.3,20.85,17.99,72.7,77,"BEARISH",26.63,20,10,20,60.57,69.35,60,54.47,46.25,105973938.13,"BUY",2025-09-02
257,"EVEREADY","EVEREADY INDS. IND.  LTD.","SMALL_CAP",448.8,3.64,7.46,10.24,71.3,65.3,"STRONG_BULLISH",43.04,18,20,0,NA,NA,NA,NA,NA,573399583.9,"BUY",2025-09-02
296,"BLUESTARCO","BLUE STAR LIMITED","SMALL_CAP",1940.3,-0.41,4.04,11.55,70.7,63.7,"STRONG_BULLISH",23.31,15,12,25,72.84,74.35,86,58.5,66,463118980,"BUY",2025-09-02
1006,"BALAJEE","SHREE TIRUPATI BALAJEE L","MICRO_CAP",57.54,-1.13,10.61,14.37,70.7,68.8,"STRONG_BULLISH",32.92,18,4,20,61.51,67.61,60,56.82,54,37923865.23,"BUY",2025-09-02
1417,"ASTRON","ASTRON PAPER BORD MIL LTD","MICRO_CAP",16.18,9.99,26.9,13.86,70.7,63.4,"BEARISH",31.31,20,10,20,67.82,72.38,86,55.91,41.25,8546250.12,"BUY",2025-09-02
1734,"COUNCODOS","COUNTRY CONDO S LIMITED","MICRO_CAP",7.13,9.36,7.54,5.01,70.7,54.5,"BEARISH",24.05,15,10,25,72.44,79.05,86,56.32,53.75,1711404.55,"BUY",2025-09-02
1578,"RHL","ROBUST HOTELS LIMITED","MICRO_CAP",305.4,3.04,4.82,11.22,70,69.9,"STRONG_BULLISH",19.91,18,18,0,NA,NA,NA,NA,NA,4128735,"BUY",2025-09-02
643,"AVL","ADITYA VISION LIMITED","MICRO_CAP",489.6,-1.83,-4.12,16.16,69.3,63,"STRONG_BULLISH",40.48,15,6,25,73.11,74.35,86,59.86,66,133140909.4,"BUY",2025-09-02
8,"CGPOWER","CG POWER AND IND SOL LTD","LARGE_CAP",739.65,3.13,10.18,11.69,68.7,73.3,"STRONG_BULLISH",10.26,16,6,15,55.37,53.04,51,57.5,66,7604084467.1,"BUY",2025-09-02
65,"QPOWER","QUALITY POWER ELEC EQUP L","MID_CAP",865.45,6.87,11.15,15.39,68.7,63.6,"STRONG_BULLISH",54,20,14,0,NA,NA,NA,NA,NA,2070487093.25,"BUY",2025-09-02
272,"BIKAJI","BIKAJI FOODS INTERN LTD","SMALL_CAP",789.2,-0.99,-0.6,5.91,68.7,58.7,"STRONG_BULLISH",14.29,12,12,15,52.34,49.57,47,56.59,63,532911138.65,"BUY",2025-09-02
312,"ANANDRATHI","ANAND RATHI WEALTH LTD","MICRO_CAP",2936.7,0.56,4.82,10.85,68.7,73.4,"STRONG_BULLISH",44.9,15,12,15,50.33,50.65,47,56.59,46.67,439628935.1,"BUY",2025-09-02
556,"CARYSIL","CARYSIL LIMITED","MICRO_CAP",904.25,4.83,6.36,7.83,68.7,59.6,"BULLISH",7.65,7,18,15,52.42,50,55,56.45,49.17,173168263.55,"BUY",2025-09-02
155,"CARTRADE","CARTRADE TECH LIMITED","SMALL_CAP",2465,-1.4,3.45,9.96,68,63.1,"STRONG_BULLISH",53,15,8,15,52.67,50.65,47,54.55,65,1002392780.5,"BUY",2025-09-02
431,"SBC","SBC EXPORTS LIMITED","MICRO_CAP",19.83,2.59,5.31,11.28,68,73.4,"STRONG_BULLISH",39.08,18,18,0,NA,NA,NA,NA,NA,276726568,"BUY",2025-09-02
69,"TEGA","TEGA INDUSTRIES LIMITED","MID_CAP",1995.6,3.2,8.28,4.81,67.3,65.4,"STRONG_BULLISH",35.06,18,14,0,NA,NA,NA,NA,NA,1993473854.2,"BUY",2025-09-02
557,"ARVINDFASN","ARVIND FASHIONS LIMITED","MICRO_CAP",528.55,0.44,0.48,-2.76,67.3,56.4,"STRONG_BULLISH",10.49,7,15,15,50.43,47.61,47,55.45,57,172560173.85,"BUY",2025-09-02
53,"JAICORPLTD","JAI CORP LIMITED","MID_CAP",142.42,14.66,16.26,28.26,66.7,72.9,"STRONG_BULLISH",33.48,20,14,0,NA,NA,NA,NA,NA,2255961108.04,"BUY",2025-09-02
86,"BOSCHLTD","BOSCH LIMITED","MID_CAP",41315,1.3,4.57,0.49,66.7,69.2,"STRONG_BULLISH",30.74,11,10,15,53.48,51.96,47,57.5,63,1580572160,"BUY",2025-09-02
448,"MAHSCOOTER","MAHARASHTRA SCOOTERS LTD","MICRO_CAP",16373,1.53,5,8.47,66.7,66.9,"STRONG_BULLISH",20.8,14,17,0,NA,NA,NA,NA,NA,256870013,"BUY",2025-09-02
582,"STOVEKRAFT","STOVE KRAFT LIMITED","MICRO_CAP",669.8,6.44,1.6,11.97,66.7,60.7,"STRONG_BULLISH",21.71,13,18,0,NA,NA,NA,NA,NA,155203362.5,"BUY",2025-09-02
180,"CHENNPETRO","CHENNAI PETROLEUM CORP LT","SMALL_CAP",699.6,1.83,7.65,7.78,66,59,"BULLISH",13.32,14,4,20,68.3,71.74,82,58.64,49.17,876508593.1,"BUY",2025-09-02
240,"CUPID","CUPID LIMITED","SMALL_CAP",181.02,4.87,6.51,8.17,66,78.5,"STRONG_BULLISH",97.61,15,8,15,52.86,51.84,53,58.35,48,606798188.92,"BUY",2025-09-02
396,"CREDITACC","CREDITACCESS GRAMEEN LTD","MICRO_CAP",1391.9,-0.81,2.12,12.49,66,62.2,"STRONG_BULLISH",27.82,15,10,15,53.16,50.22,47,57.11,66,322303243,"BUY",2025-09-02
433,"CRAFTSMAN","CRAFTSMAN AUTOMATION LTD","MICRO_CAP",6967,-2.69,-2.67,5.11,66,57,"STRONG_BULLISH",37.81,13,12,15,54.65,50.22,53,57.05,66,273924303.5,"BUY",2025-09-02
461,"UNIECOM","UNICOMMERCE ESOLUTIONS L","MICRO_CAP",149.09,6.91,10.8,26.77,66,68.1,"BULLISH",22.3,18,16,0,NA,NA,NA,NA,NA,247600240.74,"BUY",2025-09-02
767,"ANDHRSUGAR","ANDHRA SUGARS LTD","MICRO_CAP",77.5,3.36,1.57,0.89,66,46.7,"BEARISH",6.75,9,18,20,60.88,66.8,63.33,55.65,48,87301896.42,"BUY",2025-09-02
1570,"AVTNPL","AVT NATURAL PRODUCTS LTD","MICRO_CAP",73.67,1.71,0.9,-1.02,66,56.1,"STRONG_BULLISH",15.78,8,17,15,51.56,51.3,51,54.55,49.17,4257606.31,"BUY",2025-09-02
16,"MRF","MRF LTD","LARGE_CAP",153885,6.25,8.08,6.65,65.3,64.2,"BULLISH",17.27,16,16,0,NA,NA,NA,NA,NA,4946087920,"BUY",2025-09-02
124,"SYRMA","SYRMA SGS TECHNOLOGY LTD","MID_CAP",760.3,0.53,4.45,4.22,65.3,63.7,"STRONG_BULLISH",52.86,14,15,0,NA,NA,NA,NA,NA,1222033600.65,"BUY",2025-09-02
464,"BORORENEW","BOROSIL RENEWABLES LTD","MICRO_CAP",582.95,1.41,6,-4.97,65.3,53.6,"BULLISH",11.88,7,10,20,63.2,57.38,81,59.5,54,243633744.45,"BUY",2025-09-02
876,"DECCANCE","DECCAN CEMENTS LIMITED","MICRO_CAP",1086.1,1.07,3.94,4.59,65.3,60.2,"STRONG_BULLISH",50.29,13,6,25,70.52,74.35,86,55.91,54,61122749.9,"BUY",2025-09-02
1601,"CHEVIOT","CHEVIOT COMPANY LIMITED","MICRO_CAP",1226.1,-0.02,-0.35,2.4,65.3,58.6,"STRONG_BULLISH",15.32,9,10,15,50.23,49.5,47,56.5,49.17,3587088.5,"BUY",2025-09-02
130,"GARUDA","GARUDA CONSTRUCT N ENG L","MID_CAP",208.59,-4.99,1.32,11.87,64.7,60.3,"STRONG_BULLISH",74.59,20,8,0,NA,NA,NA,NA,NA,1140785902.12,"HOLD",2025-09-02
189,"IOB","INDIAN OVERSEAS BANK","SMALL_CAP",40,2.91,4.77,7.99,64.7,70.6,"BULLISH",10.26,14,20,0,NA,NA,NA,NA,NA,821722277.18,"HOLD",2025-09-02
609,"CENTURYPLY","CENTURY PLYBOARDS (I) LTD","MICRO_CAP",774.25,1.19,4.68,2.74,64.7,64.7,"BULLISH",7.15,7,13,15,53,51.09,47,56.82,63,145104911.15,"HOLD",2025-09-02
1516,"SANDESH","SANDESH LTD","MICRO_CAP",1268.9,4.27,4.67,9.52,64.7,55.8,"BULLISH",13.51,13,18,0,NA,NA,NA,NA,NA,5391662.6,"HOLD",2025-09-02
4,"SAMMAANCAP","SAMMAAN CAPITAL LIMITED","LARGE_CAP",139.36,11.11,17.67,10.14,64,68.5,"BULLISH",20.02,18,12,0,NA,NA,NA,NA,NA,11224099504.15,"HOLD",2025-09-02
15,"NATIONALUM","NATIONAL ALUMINIUM CO LTD","LARGE_CAP",200.53,4.56,7.8,7.16,64,65,"BULLISH",11.78,16,14,0,NA,NA,NA,NA,NA,4972626581.1,"HOLD",2025-09-02
82,"CUMMINSIND","CUMMINS INDIA LTD","MID_CAP",3826.4,-1.38,-0.26,7.28,64,59.7,"STRONG_BULLISH",19.76,11,12,15,53.02,50.65,51,55.68,59.17,1640179854.4,"HOLD",2025-09-02
413,"PARAGMILK","PARAG MILK FOODS LTD.","MICRO_CAP",246,6.87,7.57,2.59,64,59.4,"BULLISH",19.29,14,16,0,NA,NA,NA,NA,NA,301114111.85,"HOLD",2025-09-02
443,"CHALET","CHALET HOTELS LIMITED","MICRO_CAP",1004.1,-1.53,-0.3,11.85,64,62.3,"STRONG_BULLISH",14.67,13,10,20,66.69,71.3,68,58.57,63,258340395.5,"HOLD",2025-09-02
822,"INDNIPPON","INDIA NIPPON ELECT  LTD","MICRO_CAP",829.65,4.26,5.99,3.46,64,61.5,"BULLISH",20.06,16,14,0,NA,NA,NA,NA,NA,73022642.5,"HOLD",2025-09-02
966,"COMSYN","COMMERCIAL SYN BAGS LTD","MICRO_CAP",145.4,1.42,7.84,8.72,64,63.5,"BULLISH",11.45,11,8,25,71.65,75.43,86,59.55,53.75,44472195.76,"HOLD",2025-09-02
1142,"NILASPACES","NILA SPACES LIMITED","MICRO_CAP",14.97,8.4,9.91,12.47,64,63.2,"BULLISH",30.31,20,14,0,NA,NA,NA,NA,NA,25148118.43,"HOLD",2025-09-02
1668,"AHLEAST","ASIAN HOTELS (EAST) LTD","MICRO_CAP",161.99,4.9,6.32,4.42,64,59.4,"BULLISH",13.08,12,18,0,10,10,10,10,10,2472099.4,"HOLD",2025-09-02
136,"CHAMBLFERT","CHAMBAL FERTILIZERS LTD","MID_CAP",559.05,2.61,1.15,5.05,63.3,55.2,"BEARISH",4.28,4,20,20,62.55,67.83,56,57.59,66,1083635088.2,"HOLD",2025-09-02
