"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
395,"HNGSNGBEES","NIP IND ETF HANGSENG BEES","MICRO_CAP",477.73,0,3.02,15.44,69.3,71.6,"STRONG_BULLISH",29.92,20,18,0,NA,NA,NA,NA,NA,257994515.19,"BUY",2025-09-01
5,"KAYNES","KAYNES TECHNOLOGY IND LTD","LARGE_CAP",6600,0,5.91,3.59,68.7,66.4,"STRONG_BULLISH",21.18,16,18,0,NA,NA,NA,NA,NA,10257704184.5,"BUY",2025-09-01
8,"CGPOWER","CG POWER AND IND SOL LTD","LARGE_CAP",717.2,0,5.91,10.12,68.7,68,"BULLISH",11.15,14,8,15,55.37,53.04,51,57.5,66,9584142951.4,"BUY",2025-09-01
46,"DABUR","DABUR INDIA LTD","LARGE_CAP",523.65,0,0.97,-2,68.7,54.7,"STRONG_BULLISH",16.17,9,15,15,51.29,50.22,47,54.77,56.67,2261418578.5,"BUY",2025-09-01
181,"TFCILTD","TOURISM FINANCE CORP. OF","SMALL_CAP",322,0,6.01,13.1,68.7,68.5,"STRONG_BULLISH",47.88,16,18,0,NA,NA,NA,NA,NA,772208919.05,"BUY",2025-09-01
316,"BIKAJI","BIKAJI FOODS INTERN LTD","MICRO_CAP",797.1,0,-0.33,5.63,68.7,62.2,"STRONG_BULLISH",15.97,14,15,15,52.34,49.57,47,56.59,63,373211406.1,"BUY",2025-09-01
554,"ASIANENE","ASIAN ENERGY SERVICES LTD","MICRO_CAP",356.95,0,-1.08,2.94,68.7,58,"STRONG_BULLISH",25.8,12,2,25,75.48,78.33,94,62.75,54,153367667.75,"BUY",2025-09-01
1139,"BHAGERIA","BHAGERIA INDUSTRIES LTD","MICRO_CAP",199.58,0,8.11,-0.55,68.7,66.6,"BULLISH",14.16,13,9,15,52.11,49.57,51,54.55,57.5,20463275.84,"BUY",2025-09-01
23,"GPIL","GODAWARI POW & ISP LTD","LARGE_CAP",239.27,0,-1.55,26.56,68,72.2,"STRONG_BULLISH",38.33,20,16,0,NA,NA,NA,NA,NA,3624730044.21,"BUY",2025-09-01
298,"STYLEBAAZA","BAAZAR STYLE RETAIL LTD","SMALL_CAP",337.95,0,4.52,25.54,68,73.3,"STRONG_BULLISH",35.88,20,16,0,NA,NA,NA,NA,NA,398679438.6,"BUY",2025-09-01
438,"ABDL","ALLIED BLEND N DISTILS L","MICRO_CAP",516.95,0,0.98,1.21,68,58.6,"STRONG_BULLISH",28.09,12,16,10,41.05,38.33,50,58.57,10,222449016,"BUY",2025-09-01
32,"ABFRL","ADITYA BIRLA FASHION & RT","LARGE_CAP",83.35,0,1.67,12.97,67.3,60.7,"BULLISH",18.59,18,16,5,37.42,40.83,37.5,51.07,10,3157708726.26,"BUY",2025-09-01
100,"ARE&M","AMARA RAJA ENERGY MOB LTD","MID_CAP",1011.7,0,2.55,6.06,67.3,63.2,"BEARISH",6.17,9,20,15,54.31,51.3,51,57.95,63,1253534877.9,"BUY",2025-09-01
213,"COFFEEDAY","COFFEE DAY ENTERPRISE LTD","SMALL_CAP",47.22,0,9.84,33.69,67.3,66.8,"BULLISH",48.03,20,4,15,55.94,62.61,56,55.71,38.33,648531246.58,"BUY",2025-09-01
841,"BALMLAWRIE","BALMER LAWRIE & CO LTD","MICRO_CAP",219.92,0,-1.19,5.65,67.3,55.5,"STRONG_BULLISH",11.65,8,15,20,68.31,75.22,82,61.59,36,58401493.67,"BUY",2025-09-01
875,"CONSOFINVT","CONSO. FIN. & HOLD. LTD.","MICRO_CAP",202.99,0,8.84,3.54,67.3,62,"BEARISH",6.1,9,14,20,62.98,75.79,56,50.59,57,51141390.13,"BUY",2025-09-01
1578,"CHEVIOT","CHEVIOT COMPANY LIMITED","MICRO_CAP",1226.4,0,1.15,2.51,67.3,58.7,"STRONG_BULLISH",16.38,9,18,15,50.23,49.5,47,56.5,49.17,3587892,"BUY",2025-09-01
1732,"APOLSINHOT","APOLLO SINDOORI HOTEL LTD","MICRO_CAP",1383.5,0,-2,-1.89,67.3,48.3,"BULLISH",13.62,9,17,20,61.59,67.14,58.75,59.74,54,1740770.5,"BUY",2025-09-01
135,"RATEGAIN","RATEGAIN TRAVEL TECHN LTD","MID_CAP",538.9,0,2.21,24.56,66.7,72.6,"STRONG_BULLISH",28.69,18,16,0,NA,NA,NA,NA,NA,1017881554.35,"BUY",2025-09-01
521,"CCL","CCL PRODUCTS (I) LTD","MICRO_CAP",904.95,0,3.05,1.21,66.7,57.5,"STRONG_BULLISH",17.26,11,15,15,55.23,51.9,55,56.36,63,165947342.65,"BUY",2025-09-01
29,"GMDCLTD","GUJARAT MINERAL DEV CORP","LARGE_CAP",431.4,0,2.35,12.96,66,55.9,"STRONG_BULLISH",16.08,14,16,0,NA,NA,NA,NA,NA,3350178871.2,"BUY",2025-09-01
115,"TEGA","TEGA INDUSTRIES LIMITED","MID_CAP",1933.8,0,2.19,2.39,66,60.6,"STRONG_BULLISH",33.02,16,14,0,NA,NA,NA,NA,NA,1176991681.3,"BUY",2025-09-01
12,"SILVERBEES","NIPPONAMC - NETFSILVER","LARGE_CAP",118.59,0,5.84,12.18,65.3,72.9,"STRONG_BULLISH",17.47,18,14,0,NA,NA,NA,NA,NA,5817278119.03,"BUY",2025-09-01
171,"SILVERIETF","ICICIPRAMC - ICICISILVE","SMALL_CAP",123.39,0,5.83,12.1,65.3,72.8,"STRONG_BULLISH",17.39,18,14,0,NA,NA,NA,NA,NA,812524074.11,"BUY",2025-09-01
270,"ASHAPURMIN","ASHAPURA MINECHEM LTD","SMALL_CAP",542.3,0,12.67,2.54,65.3,59.4,"BULLISH",43.15,11,6,15,52.76,51.96,47,58.41,57,478850386.95,"BUY",2025-09-01
301,"SILVER","BIRLASLAMC - SILVER","MICRO_CAP",123.01,0,5.4,11.69,65.3,72.2,"STRONG_BULLISH",16.94,18,14,0,NA,NA,NA,NA,NA,393728897.27,"BUY",2025-09-01
321,"FIEMIND","FIEM INDUSTRIES LIMITED","MICRO_CAP",2192.4,0,9.62,14.56,65.3,69.5,"STRONG_BULLISH",18.9,16,18,0,NA,NA,NA,NA,NA,364069705.1,"BUY",2025-09-01
608,"TATSILV","TATAAML-TATSILV","MICRO_CAP",12.05,0,6.17,12.51,65.3,73.3,"STRONG_BULLISH",18.01,18,14,0,NA,NA,NA,NA,NA,128343057.43,"BUY",2025-09-01
699,"SILVER1","KOTAKMAMC - KOTAKSILVE","MICRO_CAP",120.02,0,5.76,12.14,65.3,73,"STRONG_BULLISH",17.44,18,14,0,NA,NA,NA,NA,NA,98016415.91,"BUY",2025-09-01
879,"SILVRETF","MIRAEAMC - MASILVER","MICRO_CAP",120.62,0,5.84,12.15,65.3,72.6,"STRONG_BULLISH",17.32,18,14,0,NA,NA,NA,NA,NA,50879123.24,"BUY",2025-09-01
938,"SILVERCASE","ZERODHAAMC - SILVERCASE","MICRO_CAP",12.59,0,6.16,12.11,65.3,73.6,"STRONG_BULLISH",17.72,18,14,0,NA,NA,NA,NA,NA,39353542.19,"BUY",2025-09-01
1662,"BANKA","BANKA BIOLOO LIMITED","MICRO_CAP",87.99,0,-3.61,6.93,65.3,53.1,"STRONG_BULLISH",26.37,14,6,15,51.19,49.35,47,58.18,53.75,2387438.19,"BUY",2025-09-01
248,"PRICOLLTD","PRICOL LIMITED","SMALL_CAP",477.45,0,7.1,11.23,64.7,65.9,"BULLISH",12.74,14,17,0,NA,NA,NA,NA,NA,528425025.55,"HOLD",2025-09-01
531,"ARIES","ARIES AGRO LTD.","MICRO_CAP",433.65,0,-0.63,12.48,64.7,60.7,"STRONG_BULLISH",44.1,15,13,15,55.33,53.81,55,59.77,54,162340876.6,"HOLD",2025-09-01
604,"CHALET","CHALET HOTELS LIMITED","MICRO_CAP",1019.7,0,-1.26,14.53,64.7,67.4,"STRONG_BULLISH",18.22,13,10,20,66.69,71.3,68,58.57,63,129562364.8,"HOLD",2025-09-01
756,"CENTURYPLY","CENTURY PLYBOARDS (I) LTD","MICRO_CAP",765.15,0,3.77,3.43,64.7,61.5,"STRONG_BULLISH",6.07,5,13,15,53,51.09,47,56.82,63,79094996.05,"HOLD",2025-09-01
827,"INNOVACAP","INNOVA CAPTAB LIMITED","MICRO_CAP",931.45,0,-0.35,4.93,64.7,58.4,"STRONG_BULLISH",15,12,16,0,NA,NA,NA,NA,NA,60670705.2,"HOLD",2025-09-01
902,"COMSYN","COMMERCIAL SYN BAGS LTD","MICRO_CAP",143.37,0,3.82,9.15,64.7,61.3,"BULLISH",11.07,10,10,25,71.65,75.43,86,59.55,53.75,45794986.55,"HOLD",2025-09-01
