symbol,company,bucket,policy_score_100,policy_rating,theme_lens,reference_price,latest_price,latest_pct_change,move_vs_reference_pct,day_high,day_low,volume_shares,quote_as_of,quote_source,breakout_level,retest_level,stop_price,target_2r_price,distance_to_breakout_pct,distance_above_retest_pct,distance_above_stop_pct,paper_quantity_by_policy,paper_position_value_reference,paper_position_value_latest,shadow_pnl,shadow_pnl_pct_nav,paper_risk_to_stop,trigger_state,trigger_note,evidence_blockers,next_action
SYRMA,Syrma SGS Technology Ltd,Clean trigger map,77.9,Core Candidate,India EMS and manufacturing scale-up,1439.3,1459.9,1.31,1.4312513027166185,1472.0,1441.0,758392,24-Aug-2026 19:08:22,yfinance (NSE),1558.43,1426.62,1295.37,1727.16,6.749092403589274,2.3327865864771313,12.701390336351803,13,18710.9,18978.7,267.8000000000018,0.05356000000000036,1871.09,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
KARURVYSYA,Karur Vysya Bank Limited,Clean trigger map,70.3,Active Watch,Private-bank credit cycle and regional lending franchise,335.5,338.15,0.85,0.7898658718330731,339.0,334.25,1139907,24-Aug-2026 19:08:23,yfinance (NSE),355.32,337.08,313.74,379.02,5.077628271477153,0.31743206360508314,7.780327659845732,44,14762.0,14878.599999999999,116.599999999999,0.0233199999999998,957.44,RETEST_TRIGGER_WATCH,Retest zone held so far; needs close/volume confirmation before order.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
AEGISVOPAK,Aegis Vopak Terminals Limited,Clean trigger map,70.0,Active Watch,"Energy storage, terminals, and logistics infrastructure",276.3,270.3,-2.17,-2.1715526601520097,282.8,269.05,701538,24-Aug-2026 19:08:24,yfinance (NSE),314.6,282.91,248.67,331.56,16.38919718830929,-4.457247888020932,8.698274822053342,54,14920.2,14596.2,-324.0,-0.0648,1492.02,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
VMART,V-Mart Retail Ltd.,Clean trigger map,68.3,Active Watch,Value retail and discretionary consumption recovery,838.85,856.55,2.15,2.110031590868444,868.9,830.0,245879,24-Aug-2026 19:08:25,yfinance (NSE),896.88,789.86,769.72,977.11,4.708423326133904,8.44326842731622,11.28072545860832,17,14260.45,14561.349999999999,300.89999999999884,0.06017999999999977,1175.21,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
SONACOMS,Sona BLW Precision Forgings Limited,Retest trigger map,74.4,Active Watch,EV and premium auto-component content,817.6,813.5,-0.5,-0.5014677103718279,824.3,806.1,1646411,24-Aug-2026 19:08:26,yfinance (NSE),852.44,789.26,735.84,981.12,4.786724031960676,3.0712312799330954,10.55392476625352,18,14716.8,14643.0,-73.80000000000041,-0.014760000000000082,1471.68,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
RAINBOW,Rainbow Childrens Medicare Limited,Retest trigger map,65.2,Active Watch,Specialty healthcare services and hospital capacity,1433.2,1460.1,1.88,1.8769187831426004,1471.0,1433.0,102157,24-Aug-2026 19:08:27,yfinance (NSE),1662.16,1503.7,1289.88,1719.84,13.838778165879063,-2.8995145308239767,13.196576425714014,10,14332.0,14601.0,268.99999999999864,0.05379999999999972,1433.2,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
