SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,SOURCE
AAPL,2026-05-29,311.7799987792969,315.0,309.5299987792969,312.05999755859375,69982800,yfinance
ADBE,2026-05-29,245.22999572753906,260.6300048828125,244.66000366210938,259.2099914550781,10788600,yfinance
AMD,2026-05-29,520.7999877929688,522.0,503.42999267578125,516.0999755859375,30739100,yfinance
AMZN,2026-05-29,271.2900085449219,274.75,269.6400146484375,270.6400146484375,54699300,yfinance
ARKK,2026-05-29,81.30000305175781,82.44999694824219,79.98500061035156,81.94999694824219,9355700,yfinance
ARM,2026-05-29,339.25,356.45001220703125,337.0,353.2900085449219,10413200,yfinance
ASML,2026-05-29,1633.469970703125,1654.199951171875,1604.8599853515625,1612.760009765625,1069400,yfinance
AVGO,2026-05-29,432.95001220703125,448.8999938964844,431.4700012207031,446.7699890136719,41718900,yfinance
BAC,2026-05-29,50.970001220703125,51.79999923706055,50.61000061035156,51.599998474121094,57912800,yfinance
CAT,2026-05-29,886.6900024414062,890.8099975585938,866.1900024414062,875.8699951171875,5195400,yfinance
COST,2026-05-29,986.5700073242188,998.8200073242188,945.4500122070312,956.3200073242188,7028000,yfinance
CRM,2026-05-29,180.24000549316406,194.13999938964844,180.02000427246094,191.10000610351562,33957300,yfinance
CVX,2026-05-29,182.72000122070312,182.97000122070312,180.39999389648438,182.4600067138672,13886500,yfinance
DIA,2026-05-29,507.8999938964844,511.30999755859375,507.20001220703125,510.7799987792969,5334400,yfinance
GE,2026-05-29,319.3299865722656,325.9200134277344,316.5799865722656,323.760009765625,9345400,yfinance
GLD,2026-05-29,415.6199951171875,421.82000732421875,415.0799865722656,417.1199951171875,7681100,yfinance
GOOGL,2026-05-29,385.239990234375,385.239990234375,378.4599914550781,380.3399963378906,44355000,yfinance
GS,2026-05-29,1009.27001953125,1027.219970703125,1004.0,1025.56005859375,2158000,yfinance
HD,2026-05-29,320.4800109863281,322.1000061035156,317.0,317.1400146484375,6963300,yfinance
HYG,2026-05-29,80.26000213623047,80.36000061035156,80.20999908447266,80.30999755859375,39142200,yfinance
IWM,2026-05-29,291.3800048828125,291.4100036621094,288.3299865722656,290.42999267578125,26952800,yfinance
JPM,2026-05-29,296.3999938964844,299.8800048828125,295.20001220703125,299.30999755859375,13969000,yfinance
LMT,2026-05-29,536.239990234375,537.25,527.9500122070312,530.4500122070312,2246900,yfinance
LQD,2026-05-29,109.38999938964844,109.5999984741211,109.29000091552734,109.36000061035156,26551200,yfinance
MA,2026-05-29,494.5,500.1099853515625,492.8399963378906,493.9800109863281,5693100,yfinance
MCD,2026-05-29,277.7799987792969,281.4200134277344,277.4200134277344,279.20001220703125,4901300,yfinance
META,2026-05-29,633.5,634.5,623.3499755859375,632.510009765625,19773100,yfinance
MRVL,2026-05-29,204.44000244140625,208.75999450683594,199.1999969482422,205.0,33950700,yfinance
MS,2026-05-29,204.0,208.0800018310547,203.72000122070312,208.0,8255500,yfinance
MSFT,2026-05-29,432.54998779296875,450.3299865722656,432.3599853515625,450.239990234375,79522600,yfinance
MU,2026-05-29,957.0,981.0,940.510009765625,971.0,60295700,yfinance
NKE,2026-05-29,47.11000061035156,47.20000076293945,46.08000183105469,46.22999954223633,38899100,yfinance
NOW,2026-05-29,118.4800033569336,124.73999786376953,116.29000091552734,124.37000274658203,67535700,yfinance
NVDA,2026-05-29,214.5800018310547,217.86000061035156,211.1300048828125,211.13999938964844,288291500,yfinance
ORCL,2026-05-29,209.0,226.2899932861328,208.00999450683594,225.77999877929688,40965300,yfinance
PLTR,2026-05-29,147.8249969482422,157.7790069580078,145.7899932861328,156.5399932861328,92024600,yfinance
QQQ,2026-05-29,737.8400268554688,741.6300048828125,735.25,738.3099975585938,37477400,yfinance
RTX,2026-05-29,178.91000366210938,180.10000610351562,176.0399932861328,179.66000366210938,8754400,yfinance
SMH,2026-05-29,606.030029296875,611.7899780273438,597.1199951171875,598.9299926757812,7596100,yfinance
SNOW,2026-05-29,240.69000244140625,256.2099914550781,239.5,255.5500030517578,19863300,yfinance
SOXX,2026-05-29,576.4400024414062,582.22998046875,564.5999755859375,569.0800170898438,7313700,yfinance
SPY,2026-05-29,755.9000244140625,758.0800170898438,754.6900024414062,756.47998046875,54976100,yfinance
TLT,2026-05-29,85.80999755859375,85.95999908447266,85.55000305175781,85.76000213623047,31304300,yfinance
TSLA,2026-05-29,439.8500061035156,441.07000732421875,428.1400146484375,435.7900085449219,45059400,yfinance
TSM,2026-05-29,427.07000732421875,430.44000244140625,417.25,418.45001220703125,11202700,yfinance
USO,2026-05-29,128.30999755859375,130.32000732421875,126.55000305175781,129.08999633789062,8193100,yfinance
UUP,2026-05-29,27.709999084472656,27.739999771118164,27.6299991607666,27.65999984741211,4610000,yfinance
V,2026-05-29,325.5,331.6700134277344,325.3500061035156,326.3599853515625,14104500,yfinance
WMT,2026-05-29,118.11000061035156,119.08000183105469,114.70999908447266,115.75,42163400,yfinance
XLB,2026-05-29,51.279998779296875,51.58000183105469,51.11000061035156,51.150001525878906,11728000,yfinance
XLE,2026-05-29,56.68000030517578,56.790000915527344,55.9900016784668,56.290000915527344,32373100,yfinance
XLF,2026-05-29,51.279998779296875,51.790000915527344,51.16999816894531,51.58000183105469,34164300,yfinance
XLI,2026-05-29,173.57000732421875,173.8800048828125,172.3699951171875,173.1300048828125,7054700,yfinance
XLK,2026-05-29,189.3300018310547,191.6300048828125,189.1999969482422,191.02000427246094,15031700,yfinance
XLP,2026-05-29,83.97000122070312,84.0999984741211,82.8499984741211,82.91000366210938,13011100,yfinance
XLRE,2026-05-29,44.310001373291016,44.349998474121094,43.82500076293945,43.9900016784668,6642300,yfinance
XLU,2026-05-29,44.66999816894531,44.720001220703125,44.25,44.41999816894531,23048500,yfinance
XLV,2026-05-29,150.85000610351562,151.0399932861328,149.10000610351562,149.47000122070312,13195800,yfinance
