symbol,period_label,period_end,period_type,revenue,expenses,operating_profit,opm_pct,other_income,interest,depreciation,pbt,tax_pct,pat,eps,dividend_payout_pct,source
20MICRONS,Mar 2022,2022-03-31,annual,613.0,534.0,79.0,13.0,2.0,20.0,14.0,48.0,27.0,35.0,9.8,0.0,screener
20MICRONS,Mar 2023,2023-03-31,annual,702.0,616.0,86.0,12.0,3.0,18.0,14.0,57.0,27.0,42.0,11.85,6.0,screener
20MICRONS,Mar 2024,2024-03-31,annual,777.0,672.0,106.0,14.0,2.0,16.0,14.0,77.0,27.0,56.0,15.89,8.0,screener
20MICRONS,Mar 2025,2025-03-31,annual,913.0,795.0,117.0,13.0,2.0,18.0,18.0,83.0,24.0,62.0,17.68,7.0,screener
20MICRONS,Mar 2026,2026-03-31,annual,954.0,831.0,123.0,13.0,6.0,17.0,21.0,91.0,26.0,67.0,18.94,7.0,screener
360ONE,Mar 2022,2022-03-31,annual,2072.0,915.0,1157.0,56.0,6.0,370.0,42.0,751.0,23.0,578.0,16.28,84.0,screener
360ONE,Mar 2023,2023-03-31,annual,2057.0,766.0,1291.0,63.0,5.0,399.0,46.0,850.0,23.0,658.0,18.48,373.0,screener
360ONE,Mar 2024,2024-03-31,annual,2921.0,1216.0,1705.0,58.0,4.0,643.0,57.0,1009.0,20.0,804.0,22.41,74.0,screener
360ONE,Mar 2025,2025-03-31,annual,3684.0,1292.0,2391.0,65.0,-87.0,887.0,71.0,1347.0,25.0,1015.0,25.83,23.0,screener
360ONE,Mar 2026,2026-03-31,annual,4362.0,1655.0,2707.0,62.0,116.0,1090.0,155.0,1577.0,23.0,1216.0,29.94,40.0,screener
360ONE,TTM,,annual,4621.0,1763.0,2858.0,62.0,149.0,1216.0,165.0,1627.0,,1262.0,31.11,,screener
3MINDIA,Mar 2021,2021-03-31,annual,2605.0,2345.0,259.0,10.0,25.0,2.0,62.0,220.0,26.0,162.0,144.14,0.0,screener
3MINDIA,Mar 2022,2022-03-31,annual,3336.0,2947.0,389.0,12.0,37.0,4.0,55.0,368.0,26.0,272.0,241.43,0.0,screener
3MINDIA,Mar 2023,2023-03-31,annual,3959.0,3355.0,604.0,15.0,68.0,7.0,58.0,607.0,26.0,451.0,400.37,237.0,screener
3MINDIA,Mar 2024,2024-03-31,annual,4189.0,3430.0,759.0,18.0,78.0,3.0,53.0,781.0,25.0,583.0,517.9,132.0,screener
3MINDIA,TTM,,annual,4186.0,3396.0,791.0,19.0,86.0,5.0,53.0,819.0,,611.0,542.69,,screener
5PAISA,Mar 2022,2022-03-31,annual,298.0,251.0,47.0,16.0,0.0,23.0,5.0,18.0,26.0,14.0,3.12,0.0,screener
5PAISA,Mar 2023,2023-03-31,annual,338.0,252.0,87.0,26.0,1.0,21.0,9.0,58.0,25.0,44.0,9.47,0.0,screener
5PAISA,Mar 2024,2024-03-31,annual,395.0,284.0,111.0,28.0,0.0,29.0,10.0,72.0,25.0,54.0,11.63,0.0,screener
5PAISA,Mar 2025,2025-03-31,annual,360.0,232.0,127.0,35.0,0.0,24.0,12.0,91.0,25.0,68.0,14.55,0.0,screener
5PAISA,Mar 2026,2026-03-31,annual,320.0,219.0,101.0,32.0,0.0,33.0,9.0,59.0,25.0,44.0,9.43,0.0,screener
63MOONS,Mar 2022,2022-03-31,annual,160.0,277.0,-117.0,-73.0,56.0,0.0,12.0,-74.0,1.0,-56.0,-11.54,0.0,screener
63MOONS,Mar 2023,2023-03-31,annual,290.0,317.0,-27.0,-9.0,70.0,1.0,23.0,20.0,212.0,-27.0,-3.54,-57.0,screener
63MOONS,Mar 2024,2024-03-31,annual,369.0,285.0,84.0,23.0,155.0,1.0,28.0,211.0,-1.0,210.0,48.29,4.0,screener
63MOONS,Mar 2025,2025-03-31,annual,47.0,285.0,-238.0,-509.0,221.0,1.0,29.0,-48.0,2.0,-47.0,-7.2,-17.0,screener
63MOONS,Mar 2026,2026-03-31,annual,212.0,493.0,-282.0,-133.0,279.0,1.0,33.0,-37.0,44.0,-54.0,-4.87,-41.0,screener
63MOONS,TTM,,annual,318.0,617.0,-299.0,-94.0,250.0,2.0,34.0,-85.0,,-99.0,-14.15,,screener
AADHARHFC,Mar 2022,2022-03-31,annual,1728.0,387.0,,,0.0,761.0,13.0,567.0,22.0,445.0,11.27,0.0,screener
AADHARHFC,Mar 2023,2023-03-31,annual,2043.0,507.0,,,-25.0,799.0,16.0,696.0,22.0,545.0,13.8,0.0,screener
AADHARHFC,Mar 2024,2024-03-31,annual,2587.0,619.0,,,0.0,987.0,21.0,960.0,22.0,750.0,18.99,0.0,screener
AADHARHFC,Mar 2025,2025-03-31,annual,3108.0,736.0,,,1.0,1174.0,25.0,1173.0,22.0,912.0,21.14,0.0,screener
AADHARHFC,Mar 2026,2026-03-31,annual,3673.0,869.0,,,-2.0,1364.0,32.0,1406.0,22.0,1096.0,25.15,0.0,screener
AARTIDRUGS,Mar 2022,2022-03-31,annual,2489.0,2156.0,333.0,13.0,11.0,24.0,50.0,270.0,24.0,205.0,22.14,5.0,screener
AARTIDRUGS,Mar 2023,2023-03-31,annual,2716.0,2407.0,309.0,11.0,2.0,37.0,50.0,224.0,26.0,166.0,17.96,6.0,screener
AARTIDRUGS,Mar 2024,2024-03-31,annual,2529.0,2208.0,321.0,13.0,4.0,38.0,51.0,236.0,27.0,172.0,18.65,5.0,screener
AARTIDRUGS,Mar 2025,2025-03-31,annual,2387.0,2097.0,290.0,12.0,16.0,39.0,56.0,212.0,21.0,168.0,18.42,5.0,screener
AARTIDRUGS,Mar 2026,2026-03-31,annual,2565.0,2256.0,309.0,12.0,2.0,34.0,67.0,211.0,8.0,195.0,21.36,9.0,screener
AARTIIND,Mar 2022,2022-03-31,annual,6086.0,4365.0,1720.0,28.0,1.0,102.0,246.0,1372.0,14.0,1186.0,32.71,11.0,screener
AARTIIND,Mar 2023,2023-03-31,annual,6619.0,5530.0,1089.0,16.0,1.0,168.0,310.0,611.0,11.0,545.0,15.04,17.0,screener
AARTIIND,Mar 2024,2024-03-31,annual,6371.0,5393.0,978.0,15.0,7.0,211.0,378.0,395.0,-5.0,416.0,11.49,9.0,screener
AARTIIND,Mar 2025,2025-03-31,annual,7271.0,6271.0,1000.0,14.0,16.0,275.0,434.0,307.0,-8.0,331.0,9.13,11.0,screener
AARTIIND,Mar 2026,2026-03-31,annual,8286.0,7119.0,1167.0,14.0,12.0,340.0,474.0,365.0,-15.0,419.0,11.56,9.0,screener
AARTIPHARM,Mar 2022,2022-03-31,annual,1200.0,993.0,207.0,17.0,3.0,12.0,42.0,155.0,21.0,122.0,,0.0,screener
AARTIPHARM,Mar 2023,2023-03-31,annual,1945.0,1603.0,342.0,18.0,2.0,21.0,63.0,261.0,26.0,193.0,21.35,9.0,screener
AARTIPHARM,Mar 2024,2024-03-31,annual,1853.0,1467.0,386.0,21.0,5.0,17.0,73.0,300.0,28.0,217.0,23.93,13.0,screener
AARTIPHARM,Mar 2025,2025-03-31,annual,2115.0,1651.0,464.0,22.0,10.0,27.0,87.0,361.0,24.0,272.0,30.05,17.0,screener
AARTIPHARM,Mar 2026,2026-03-31,annual,1819.0,1450.0,369.0,20.0,15.0,47.0,104.0,233.0,25.0,175.0,19.27,18.0,screener
AARTIPHARM,TTM,,annual,1969.0,1543.0,426.0,22.0,23.0,53.0,112.0,284.0,,213.0,23.51,,screener
AARTISURF,Mar 2023,2023-03-31,annual,601.0,554.0,48.0,8.0,0.0,15.0,15.0,18.0,29.0,13.0,14.94,0.0,screener
AARTISURF,Mar 2024,2024-03-31,annual,590.0,528.0,62.0,11.0,0.0,14.0,16.0,32.0,34.0,21.0,25.22,0.0,screener
AARTISURF,Mar 2025,2025-03-31,annual,659.0,617.0,42.0,6.0,8.0,12.0,17.0,21.0,30.0,15.0,17.19,6.0,screener
AARTISURF,Mar 2026,2026-03-31,annual,859.0,812.0,47.0,5.0,0.0,12.0,18.0,17.0,28.0,12.0,14.58,7.0,screener
AARTISURF,TTM,,annual,916.0,861.0,56.0,6.0,0.0,13.0,18.0,25.0,,18.0,21.73,,screener
AARVI,Mar 2022,2022-03-31,annual,289.0,275.0,13.0,5.0,1.0,1.0,1.0,12.0,1.0,12.0,8.16,24.0,screener
AARVI,Mar 2023,2023-03-31,annual,437.0,418.0,19.0,4.0,0.0,2.0,1.0,16.0,7.0,15.0,9.81,20.0,screener
AARVI,Mar 2024,2024-03-31,annual,406.0,393.0,13.0,3.0,2.0,2.0,1.0,12.0,6.0,11.0,7.67,26.0,screener
AARVI,Mar 2025,2025-03-31,annual,510.0,496.0,14.0,3.0,2.0,4.0,2.0,11.0,10.0,10.0,6.78,30.0,screener
AARVI,Mar 2026,2026-03-31,annual,650.0,627.0,23.0,3.0,2.0,3.0,2.0,20.0,12.0,18.0,11.9,17.0,screener
AAVAS,Mar 2020,2020-03-31,annual,903.0,226.0,,,1.0,356.0,20.0,302.0,18.0,249.0,31.8,0.0,screener
AAVAS,Mar 2021,2021-03-31,annual,1103.0,274.0,,,2.0,458.0,21.0,353.0,18.0,289.0,36.8,0.0,screener
AAVAS,Mar 2022,2022-03-31,annual,1304.0,352.0,,,1.0,478.0,24.0,453.0,22.0,355.0,45.0,0.0,screener
AAVAS,Mar 2023,2023-03-31,annual,1609.0,442.0,,,2.0,591.0,29.0,548.0,22.0,430.0,54.35,0.0,screener
AAVAS,Mar 2024,2024-03-31,annual,2018.0,534.0,,,3.0,828.0,33.0,625.0,22.0,491.0,62.0,0.0,screener
ABB,Dec 2011,2011-12-31,annual,7449.0,7093.0,356.0,4.8,38.0,46.0,80.0,268.0,31.0,185.0,8.72,34.0,screener
ABB,Dec 2012,2012-12-31,annual,7608.0,7253.0,355.0,4.7,7.0,57.0,94.0,211.0,33.0,141.0,6.65,45.0,screener
ABB,Dec 2024,2024-12-31,annual,12188.0,9877.0,2311.0,19.0,344.0,16.0,129.0,2510.0,25.0,1872.0,88.33,50.0,screener
ABB,Dec 2025,2025-12-31,annual,13203.0,11158.0,2045.0,15.0,349.0,20.0,146.0,2229.0,25.0,1668.0,78.73,50.0,screener
ABB,TTM,,annual,13477.0,11594.0,1883.0,14.0,1799.0,16.0,158.0,3508.0,,2988.0,141.0,,screener
ABCAPITAL,Mar 2022,2022-03-31,annual,22232.0,16694.0,,,351.0,3480.0,122.0,2287.0,27.0,1660.0,7.06,0.0,screener
ABCAPITAL,Mar 2023,2023-03-31,annual,30163.0,19972.0,,,311.0,4722.0,145.0,5635.0,14.0,4824.0,19.83,0.0,screener
ABCAPITAL,Mar 2024,2024-03-31,annual,33958.0,21978.0,,,390.0,7617.0,188.0,4566.0,25.0,3439.0,12.83,0.0,screener
ABCAPITAL,Mar 2025,2025-03-31,annual,40632.0,26357.0,,,508.0,9694.0,246.0,4843.0,30.0,3382.0,12.97,0.0,screener
ABCAPITAL,Mar 2026,2026-03-31,annual,45513.0,28815.0,,,502.0,11622.0,307.0,5271.0,27.0,3864.0,14.75,0.0,screener
ABCAPITAL,TTM,,annual,48186.0,30383.0,,,405.0,12276.0,317.0,5616.0,,4119.0,15.04,,screener
ABDL,Mar 2022,2022-03-31,annual,2686.0,2488.0,197.0,7.0,11.0,146.0,59.0,4.0,62.0,1.0,0.06,0.0,screener
ABDL,Mar 2023,2023-03-31,annual,3147.0,2961.0,186.0,6.0,11.0,136.0,55.0,6.0,73.0,2.0,0.07,0.0,screener
ABDL,Mar 2024,2024-03-31,annual,3328.0,3085.0,243.0,7.0,1.0,173.0,58.0,13.0,86.0,2.0,0.07,0.0,screener
ABDL,Mar 2025,2025-03-31,annual,3520.0,3089.0,431.0,12.0,21.0,126.0,61.0,266.0,27.0,195.0,6.97,52.0,screener
ABDL,Mar 2026,2026-03-31,annual,3923.0,3380.0,542.0,14.0,23.0,135.0,79.0,351.0,37.0,220.0,8.16,66.0,screener
ABDL,TTM,,annual,3979.0,3433.0,546.0,14.0,21.0,137.0,86.0,343.0,,210.0,7.9,,screener
ABLBL,Mar 2025,2025-03-31,annual,7830.0,6607.0,1223.0,16.0,-21.0,413.0,706.0,83.0,29.0,60.0,,0.0,screener
ABLBL,Mar 2026,2026-03-31,annual,8396.0,7025.0,1371.0,16.0,36.0,392.0,795.0,220.0,22.0,171.0,1.4,36.0,screener
ABLBL,TTM,,annual,8601.0,7212.0,1389.0,16.0,32.0,363.0,827.0,231.0,,176.0,1.45,,screener
ABREL,Mar 2022,2022-03-31,annual,4131.0,3687.0,444.0,11.0,51.0,52.0,231.0,212.0,24.0,162.0,14.91,27.0,screener
ABREL,Mar 2023,2023-03-31,annual,3832.0,3265.0,567.0,15.0,101.0,34.0,196.0,437.0,40.0,265.0,24.34,21.0,screener
ABREL,Mar 2024,2024-03-31,annual,1101.0,879.0,221.0,20.0,-21.0,30.0,59.0,112.0,46.0,60.0,4.52,111.0,screener
ABREL,Mar 2025,2025-03-31,annual,1219.0,1203.0,16.0,1.3,-94.0,46.0,64.0,-188.0,-16.0,-157.0,-14.44,-14.0,screener
ABREL,Mar 2026,2026-03-31,annual,407.0,775.0,-368.0,-90.0,246.0,64.0,68.0,-254.0,-55.0,-115.0,-9.24,-27.0,screener
ABREL,TTM,,annual,450.0,837.0,-387.0,-86.0,268.0,83.0,69.0,-272.0,,-122.0,-10.41,,screener
ABSLAMC,Mar 2022,2022-03-31,annual,1405.0,473.0,932.0,66.0,3.0,5.0,36.0,895.0,25.0,673.0,23.36,49.0,screener
ABSLAMC,Mar 2023,2023-03-31,annual,1349.0,521.0,828.0,61.0,5.0,4.0,34.0,794.0,25.0,596.0,20.71,50.0,screener
ABSLAMC,Mar 2024,2024-03-31,annual,1636.0,592.0,1044.0,64.0,5.0,6.0,35.0,1008.0,23.0,780.0,27.09,50.0,screener
ABSLAMC,Mar 2025,2025-03-31,annual,1982.0,696.0,1287.0,65.0,4.0,6.0,40.0,1245.0,25.0,931.0,32.26,74.0,screener
ABSLAMC,Mar 2026,2026-03-31,annual,1845.0,740.0,1105.0,60.0,212.0,5.0,46.0,1266.0,23.0,975.0,33.76,76.0,screener
ACC,Dec 2021,2021-12-31,annual,16152.0,13154.0,2998.0,19.0,164.0,55.0,601.0,2506.0,26.0,1863.0,99.21,59.0,screener
ACC,Mar 2024,2024-03-31,annual,19959.0,16897.0,3062.0,15.0,735.0,155.0,885.0,2757.0,15.0,2335.0,124.34,6.0,screener
ACC,Mar 2025,2025-03-31,annual,21762.0,18701.0,3061.0,14.0,1175.0,108.0,1001.0,3127.0,23.0,2402.0,127.92,6.0,screener
ACC,Mar 2026,2026-03-31,annual,25962.0,23004.0,2958.0,11.0,429.0,112.0,1118.0,2157.0,1.0,2137.0,113.8,7.0,screener
ACC,Mar 202315m,,annual,22210.0,20285.0,1925.0,9.0,196.0,77.0,841.0,1203.0,26.0,885.0,47.13,20.0,screener
ACC,TTM,,annual,25442.0,22813.0,2629.0,10.0,398.0,109.0,1125.0,1794.0,,1909.0,101.64,,screener
ACE,Mar 2022,2022-03-31,annual,1630.0,1478.0,151.0,9.0,11.0,10.0,15.0,137.0,24.0,105.0,8.82,7.0,screener
ACE,Mar 2023,2023-03-31,annual,2160.0,1939.0,221.0,10.0,41.0,10.0,18.0,234.0,26.0,173.0,14.41,7.0,screener
ACE,Mar 2024,2024-03-31,annual,2914.0,2510.0,404.0,14.0,77.0,23.0,23.0,434.0,24.0,328.0,27.56,7.0,screener
ACE,Mar 2025,2025-03-31,annual,3327.0,2821.0,506.0,15.0,100.0,29.0,28.0,549.0,25.0,409.0,34.36,6.0,screener
ACE,Mar 2026,2026-03-31,annual,3280.0,2776.0,504.0,15.0,110.0,22.0,35.0,557.0,25.0,415.0,34.86,6.0,screener
ACE,TTM,,annual,3414.0,2885.0,529.0,16.0,114.0,19.0,36.0,587.0,,437.0,36.68,,screener
ACI,Mar 2022,2022-03-31,annual,1130.0,663.0,467.0,41.0,12.0,162.0,67.0,251.0,25.0,188.0,19.54,0.0,screener
ACI,Mar 2023,2023-03-31,annual,1441.0,807.0,634.0,44.0,43.0,97.0,69.0,512.0,25.0,383.0,31.09,8.0,screener
ACI,Mar 2024,2024-03-31,annual,1330.0,867.0,463.0,35.0,43.0,8.0,70.0,427.0,25.0,319.0,25.85,12.0,screener
ACI,Mar 2025,2025-03-31,annual,1041.0,726.0,315.0,30.0,-3.0,8.0,79.0,224.0,28.0,162.0,13.14,23.0,screener
ACI,Mar 2026,2026-03-31,annual,1081.0,842.0,239.0,22.0,27.0,26.0,93.0,147.0,28.0,105.0,8.66,29.0,screener
ACI,TTM,,annual,1116.0,888.0,228.0,20.0,24.0,26.0,93.0,133.0,,96.0,7.85,,screener
ACMESOLAR,Mar 2022,2022-03-31,annual,1488.0,247.0,1240.0,83.0,404.0,996.0,546.0,102.0,39.0,62.0,5.94,0.0,screener
ACMESOLAR,Mar 2023,2023-03-31,annual,1295.0,122.0,1173.0,91.0,106.0,809.0,485.0,-15.0,-79.0,-3.0,-0.3,0.0,screener
ACMESOLAR,Mar 2024,2024-03-31,annual,1319.0,225.0,1094.0,83.0,891.0,767.0,308.0,909.0,23.0,698.0,66.81,0.0,screener
ACMESOLAR,Mar 2025,2025-03-31,annual,1405.0,168.0,1237.0,88.0,147.0,759.0,287.0,338.0,26.0,251.0,4.17,5.0,screener
ACMESOLAR,Mar 2026,2026-03-31,annual,2023.0,242.0,1781.0,88.0,486.0,1123.0,468.0,677.0,26.0,498.0,8.23,2.0,screener
ACUTAAS,Mar 2022,2022-03-31,annual,520.0,415.0,105.0,20.0,3.0,6.0,10.0,91.0,21.0,72.0,9.87,15.0,screener
ACUTAAS,Mar 2023,2023-03-31,annual,617.0,493.0,123.0,20.0,4.0,2.0,12.0,112.0,26.0,83.0,11.43,13.0,screener
ACUTAAS,Mar 2024,2024-03-31,annual,717.0,589.0,128.0,18.0,-25.0,6.0,16.0,82.0,41.0,49.0,5.8,26.0,screener
ACUTAAS,Mar 2025,2025-03-31,annual,1007.0,775.0,232.0,23.0,17.0,6.0,27.0,216.0,26.0,160.0,19.38,8.0,screener
ACUTAAS,Mar 2026,2026-03-31,annual,1339.0,859.0,480.0,36.0,42.0,3.0,36.0,483.0,26.0,356.0,43.51,6.0,screener
ADANIENSOL,Mar 2022,2022-03-31,annual,11258.0,7051.0,4206.0,37.0,1286.0,2365.0,1427.0,1700.0,27.0,1236.0,10.95,0.0,screener
ADANIENSOL,Mar 2023,2023-03-31,annual,13293.0,8775.0,4518.0,34.0,1583.0,2781.0,1608.0,1712.0,25.0,1281.0,11.26,0.0,screener
ADANIENSOL,Mar 2024,2024-03-31,annual,16607.0,10896.0,5711.0,34.0,611.0,2767.0,1776.0,1780.0,33.0,1196.0,10.2,0.0,screener
ADANIENSOL,Mar 2025,2025-03-31,annual,23767.0,16701.0,7067.0,30.0,-827.0,3259.0,1906.0,1075.0,14.0,922.0,8.82,0.0,screener
ADANIENSOL,Mar 2026,2026-03-31,annual,27588.0,19583.0,8005.0,29.0,721.0,3633.0,1978.0,3115.0,23.0,2393.0,19.0,0.0,screener
ADANIENT,Mar 2022,2022-03-31,annual,69420.0,65707.0,3714.0,5.0,1012.0,2526.0,1248.0,952.0,50.0,788.0,6.3,14.0,screener
ADANIENT,Mar 2023,2023-03-31,annual,127540.0,118722.0,8818.0,7.0,834.0,3969.0,2436.0,3247.0,32.0,2422.0,19.3,6.0,screener
ADANIENT,Mar 2024,2024-03-31,annual,96421.0,85044.0,11377.0,12.0,1146.0,4555.0,3042.0,4926.0,33.0,3335.0,25.37,5.0,screener
ADANIENT,Mar 2025,2025-03-31,annual,97895.0,83643.0,14252.0,15.0,6403.0,5978.0,4211.0,10466.0,28.0,8005.0,55.02,2.0,screener
ADANIENT,Mar 2026,2026-03-31,annual,100469.0,86478.0,13991.0,14.0,11688.0,6019.0,6135.0,13525.0,28.0,9951.0,72.31,2.0,screener
ADANIGREEN,Mar 2022,2022-03-31,annual,5133.0,1621.0,3512.0,68.0,507.0,2617.0,849.0,553.0,12.0,489.0,3.13,0.0,screener
ADANIGREEN,Mar 2023,2023-03-31,annual,7776.0,2806.0,4970.0,64.0,667.0,2911.0,1300.0,1426.0,32.0,973.0,6.15,0.0,screener
ADANIGREEN,Mar 2024,2024-03-31,annual,9220.0,1881.0,7339.0,80.0,1323.0,5088.0,1903.0,1671.0,25.0,1260.0,6.94,0.0,screener
ADANIGREEN,Mar 2025,2025-03-31,annual,11212.0,2323.0,8889.0,79.0,1316.0,5492.0,2498.0,2215.0,10.0,2001.0,9.12,0.0,screener
ADANIGREEN,Mar 2026,2026-03-31,annual,12928.0,2143.0,10785.0,83.0,1072.0,6484.0,3372.0,2001.0,1.0,1987.0,10.03,0.0,screener
ADANIPORTS,Mar 2022,2022-03-31,annual,17119.0,7591.0,9528.0,56.0,1832.0,2544.0,3099.0,5717.0,13.0,4953.0,23.13,22.0,screener
ADANIPORTS,Mar 2023,2023-03-31,annual,20852.0,9905.0,10947.0,52.0,327.0,2363.0,3425.0,5487.0,2.0,5391.0,24.58,20.0,screener
ADANIPORTS,Mar 2024,2024-03-31,annual,26711.0,11121.0,15589.0,58.0,671.0,2733.0,3888.0,9639.0,16.0,8104.0,37.55,16.0,screener
ADANIPORTS,Mar 2025,2025-03-31,annual,30475.0,12054.0,18421.0,60.0,1800.0,2813.0,4379.0,13030.0,15.0,11061.0,51.35,14.0,screener
ADANIPORTS,Mar 2026,2026-03-31,annual,38736.0,15868.0,22868.0,59.0,2152.0,4654.0,5517.0,14849.0,14.0,12782.0,55.58,13.0,screener
ADANIPOWER,Mar 2022,2022-03-31,annual,27711.0,17830.0,9881.0,36.0,3908.0,4095.0,3118.0,6577.0,25.0,4912.0,2.55,0.0,screener
ADANIPOWER,Mar 2023,2023-03-31,annual,38773.0,28677.0,10096.0,26.0,4216.0,3334.0,3304.0,7675.0,-40.0,10727.0,5.56,0.0,screener
ADANIPOWER,Mar 2024,2024-03-31,annual,50351.0,32124.0,18228.0,36.0,9883.0,3388.0,3931.0,20792.0,0.0,20829.0,10.8,0.0,screener
ADANIPOWER,Mar 2025,2025-03-31,annual,56203.0,34785.0,21418.0,38.0,2590.0,3340.0,4309.0,16360.0,22.0,12750.0,6.71,0.0,screener
ADANIPOWER,Mar 2026,2026-03-31,annual,54241.0,34434.0,19806.0,37.0,3625.0,3367.0,4565.0,15500.0,16.0,12971.0,6.66,0.0,screener
ADANIPOWER,TTM,,annual,59033.0,36964.0,22070.0,37.0,3698.0,3411.0,4643.0,17713.0,,14533.0,7.39,,screener
ADFFOODS,Mar 2022,2022-03-31,annual,421.0,354.0,67.0,16.0,9.0,2.0,9.0,65.0,26.0,49.0,4.59,18.0,screener
ADFFOODS,Mar 2023,2023-03-31,annual,450.0,369.0,81.0,18.0,11.0,3.0,14.0,75.0,26.0,56.0,5.1,20.0,screener
ADFFOODS,Mar 2024,2024-03-31,annual,520.0,415.0,105.0,20.0,11.0,2.0,16.0,98.0,25.0,74.0,6.85,77.0,screener
ADFFOODS,Mar 2025,2025-03-31,annual,590.0,491.0,98.0,17.0,14.0,3.0,18.0,92.0,24.0,69.0,6.3,19.0,screener
ADFFOODS,Mar 2026,2026-03-31,annual,683.0,553.0,131.0,19.0,13.0,3.0,21.0,120.0,25.0,90.0,8.18,15.0,screener
ADOR,Mar 2021,2021-03-31,annual,448.0,425.0,22.0,5.0,-17.0,8.0,11.0,-14.0,-26.0,-10.0,-7.63,0.0,screener
ADOR,Mar 2022,2022-03-31,annual,661.0,601.0,61.0,9.0,14.0,6.0,11.0,58.0,22.0,45.0,33.21,38.0,screener
ADOR,Mar 2024,2024-03-31,annual,1074.0,955.0,119.0,11.0,19.0,6.0,16.0,117.0,26.0,86.0,63.58,39.0,screener
ADOR,Mar 2025,2025-03-31,annual,1123.0,1019.0,104.0,9.0,7.0,6.0,18.0,87.0,31.0,60.0,34.51,58.0,screener
ADOR,Mar 2026,2026-03-31,annual,1140.0,1017.0,123.0,11.0,15.0,4.0,19.0,115.0,29.0,82.0,47.11,49.0,screener
ADROITINFO,Mar 2022,2022-03-31,annual,6.37,4.49,1.88,29.51,-0.01,0.18,1.08,0.61,-1.64,0.62,0.14,0.0,screener
ADROITINFO,Mar 2023,2023-03-31,annual,22.45,16.93,5.52,24.59,0.27,0.39,1.51,3.89,2.57,3.78,0.75,0.0,screener
ADROITINFO,Mar 2024,2024-03-31,annual,24.86,20.11,4.75,19.11,0.98,0.32,1.6,3.81,21.26,3.0,0.55,0.0,screener
ADROITINFO,Mar 2025,2025-03-31,annual,31.71,33.29,-1.58,-4.98,5.91,0.88,1.78,1.67,58.08,0.69,0.13,0.0,screener
ADROITINFO,Mar 2026,2026-03-31,annual,48.66,43.34,5.32,10.93,3.21,1.66,2.16,4.71,30.15,3.3,0.61,0.0,screener
ADSL,Mar 2022,2022-03-31,annual,485.0,415.0,70.0,14.0,26.0,3.0,20.0,74.0,17.0,61.0,11.26,9.0,screener
ADSL,Mar 2023,2023-03-31,annual,660.0,572.0,88.0,13.0,-41.0,4.0,17.0,26.0,74.0,7.0,1.26,99.0,screener
ADSL,Mar 2024,2024-03-31,annual,687.0,604.0,83.0,12.0,1.0,5.0,16.0,63.0,27.0,46.0,7.49,20.0,screener
ADSL,Mar 2025,2025-03-31,annual,807.0,744.0,63.0,8.0,37.0,10.0,30.0,61.0,47.0,32.0,4.93,30.0,screener
ADSL,Mar 2026,2026-03-31,annual,968.0,912.0,56.0,6.0,19.0,12.0,20.0,44.0,18.0,36.0,6.29,24.0,screener
ADVAIT,Mar 2023,2023-03-31,annual,104.0,88.0,17.0,16.0,2.0,3.0,4.0,12.0,29.0,8.0,8.27,0.0,screener
ADVAIT,Mar 2024,2024-03-31,annual,209.0,173.0,36.0,17.0,3.0,7.0,3.0,29.0,26.0,22.0,21.45,7.0,screener
ADVAIT,Mar 2025,2025-03-31,annual,399.0,347.0,52.0,13.0,7.0,11.0,3.0,45.0,28.0,32.0,28.6,6.0,screener
ADVAIT,Mar 2026,2026-03-31,annual,715.0,631.0,84.0,12.0,13.0,15.0,4.0,78.0,25.0,55.0,47.26,4.0,screener
ADVAIT,TTM,,annual,775.0,680.0,95.0,12.0,12.0,16.0,4.0,86.0,,61.0,52.79,,screener
ADVENTHTL,Mar 2024,2024-03-31,annual,201.0,123.0,78.0,39.0,-163.0,32.0,26.0,-142.0,8.0,-152.0,-75270.0,0.0,screener
ADVENTHTL,Mar 2025,2025-03-31,annual,367.0,236.0,131.0,36.0,19.0,61.0,51.0,37.0,27.0,27.0,11025.0,0.0,screener
ADVENTHTL,Mar 2026,2026-03-31,annual,388.0,246.0,142.0,37.0,23.0,51.0,30.0,85.0,23.0,65.0,11.71,0.0,screener
ADVENZYMES,Mar 2022,2022-03-31,annual,529.0,327.0,203.0,38.0,6.0,3.0,35.0,171.0,28.0,124.0,10.7,9.0,screener
ADVENZYMES,Mar 2023,2023-03-31,annual,541.0,382.0,158.0,29.0,21.0,3.0,35.0,140.0,26.0,104.0,9.45,11.0,screener
ADVENZYMES,Mar 2024,2024-03-31,annual,624.0,418.0,206.0,33.0,21.0,4.0,35.0,188.0,27.0,137.0,11.92,43.0,screener
ADVENZYMES,Mar 2025,2025-03-31,annual,637.0,441.0,196.0,31.0,33.0,5.0,37.0,187.0,28.0,134.0,11.72,44.0,screener
ADVENZYMES,Mar 2026,2026-03-31,annual,746.0,517.0,229.0,31.0,46.0,3.0,40.0,233.0,25.0,174.0,15.07,9.0,screener
AEGISLOG,Mar 2022,2022-03-31,annual,4631.0,4096.0,535.0,12.0,39.0,22.0,79.0,472.0,18.0,385.0,10.19,25.0,screener
AEGISLOG,Mar 2023,2023-03-31,annual,8627.0,7955.0,672.0,8.0,187.0,88.0,126.0,645.0,21.0,511.0,13.19,44.0,screener
