symbol,period_label,period_end,period_type,operating_cf,investing_cf,financing_cf,net_cf,source
20MICRONS,Mar 2022,2022-03-31,annual,35.0,-23.0,-4.0,9.0,screener
20MICRONS,Mar 2023,2023-03-31,annual,63.0,-18.0,-38.0,8.0,screener
20MICRONS,Mar 2024,2024-03-31,annual,54.0,-23.0,-3.0,28.0,screener
20MICRONS,Mar 2025,2025-03-31,annual,32.0,-63.0,14.0,-17.0,screener
20MICRONS,Mar 2026,2026-03-31,annual,104.0,-31.0,-30.0,42.0,screener
360ONE,Mar 2022,2022-03-31,annual,929.0,-1128.0,251.0,52.0,screener
360ONE,Mar 2023,2023-03-31,annual,-1323.0,788.0,556.0,21.0,screener
360ONE,Mar 2024,2024-03-31,annual,-470.0,-1574.0,1978.0,-67.0,screener
360ONE,Mar 2025,2025-03-31,annual,-2411.0,-1065.0,3773.0,297.0,screener
360ONE,Mar 2026,2026-03-31,annual,-2921.0,-1613.0,4357.0,-177.0,screener
3MINDIA,Mar 2020,2020-03-31,annual,245.0,3.0,-25.0,223.0,screener
3MINDIA,Mar 2021,2021-03-31,annual,321.0,-14.0,-25.0,282.0,screener
3MINDIA,Mar 2022,2022-03-31,annual,327.0,-41.0,-21.0,265.0,screener
3MINDIA,Mar 2023,2023-03-31,annual,465.0,-15.0,-980.0,-530.0,screener
3MINDIA,Mar 2024,2024-03-31,annual,643.0,-269.0,-128.0,246.0,screener
5PAISA,Mar 2022,2022-03-31,annual,-141.0,-12.0,225.0,73.0,screener
5PAISA,Mar 2023,2023-03-31,annual,25.0,-8.0,-85.0,-68.0,screener
5PAISA,Mar 2024,2024-03-31,annual,-92.0,-13.0,154.0,50.0,screener
5PAISA,Mar 2025,2025-03-31,annual,98.0,-7.0,-141.0,-51.0,screener
5PAISA,Mar 2026,2026-03-31,annual,-104.0,-7.0,127.0,17.0,screener
63MOONS,Mar 2022,2022-03-31,annual,-102.0,75.0,81.0,54.0,screener
63MOONS,Mar 2023,2023-03-31,annual,71.0,-68.0,19.0,21.0,screener
63MOONS,Mar 2024,2024-03-31,annual,47.0,-100.0,22.0,-31.0,screener
63MOONS,Mar 2025,2025-03-31,annual,-143.0,-48.0,165.0,-26.0,screener
63MOONS,Mar 2026,2026-03-31,annual,-293.0,40.0,255.0,1.0,screener
AADHARHFC,Mar 2022,2022-03-31,annual,-907.0,823.0,275.0,191.0,screener
AADHARHFC,Mar 2023,2023-03-31,annual,-1156.0,-477.0,1463.0,-169.0,screener
AADHARHFC,Mar 2024,2024-03-31,annual,-2550.0,723.0,1778.0,-49.0,screener
AADHARHFC,Mar 2025,2025-03-31,annual,-3027.0,160.0,3389.0,522.0,screener
AADHARHFC,Mar 2026,2026-03-31,annual,-2808.0,309.0,2336.0,-164.0,screener
AARTIDRUGS,Mar 2022,2022-03-31,annual,70.0,-150.0,92.0,13.0,screener
AARTIDRUGS,Mar 2023,2023-03-31,annual,133.0,-164.0,17.0,-14.0,screener
AARTIDRUGS,Mar 2024,2024-03-31,annual,359.0,-224.0,-136.0,-1.0,screener
AARTIDRUGS,Mar 2025,2025-03-31,annual,245.0,-165.0,-82.0,-2.0,screener
AARTIDRUGS,Mar 2026,2026-03-31,annual,254.0,-173.0,-77.0,3.0,screener
AARTIIND,Mar 2022,2022-03-31,annual,519.0,-1169.0,412.0,-239.0,screener
AARTIIND,Mar 2023,2023-03-31,annual,1319.0,-1330.0,38.0,27.0,screener
AARTIIND,Mar 2024,2024-03-31,annual,1210.0,-1369.0,420.0,261.0,screener
AARTIIND,Mar 2025,2025-03-31,annual,1242.0,-1398.0,-73.0,-229.0,screener
AARTIIND,Mar 2026,2026-03-31,annual,775.0,-1141.0,745.0,379.0,screener
AARTIPHARM,Mar 2022,2022-03-31,annual,-44.0,-139.0,260.0,78.0,screener
AARTIPHARM,Mar 2023,2023-03-31,annual,250.0,-158.0,-163.0,-71.0,screener
AARTIPHARM,Mar 2024,2024-03-31,annual,216.0,-215.0,10.0,12.0,screener
AARTIPHARM,Mar 2025,2025-03-31,annual,332.0,-414.0,65.0,-17.0,screener
AARTIPHARM,Mar 2026,2026-03-31,annual,262.0,-431.0,171.0,2.0,screener
AARTISURF,Mar 2022,2022-03-31,annual,23.0,-23.0,-6.0,-5.0,screener
AARTISURF,Mar 2023,2023-03-31,annual,25.0,-11.0,-8.0,6.0,screener
AARTISURF,Mar 2024,2024-03-31,annual,52.0,-16.0,-37.0,-1.0,screener
AARTISURF,Mar 2025,2025-03-31,annual,11.0,-16.0,0.0,-5.0,screener
AARTISURF,Mar 2026,2026-03-31,annual,77.0,-46.0,-20.0,12.0,screener
AARVI,Mar 2022,2022-03-31,annual,-10.0,0.0,-1.0,-11.0,screener
AARVI,Mar 2023,2023-03-31,annual,3.0,0.0,-4.0,-1.0,screener
AARVI,Mar 2024,2024-03-31,annual,3.0,1.0,2.0,6.0,screener
AARVI,Mar 2025,2025-03-31,annual,-2.0,-13.0,11.0,-4.0,screener
AARVI,Mar 2026,2026-03-31,annual,8.0,0.0,-6.0,2.0,screener
AAVAS,Mar 2020,2020-03-31,annual,-1172.0,-342.0,1705.0,191.0,screener
AAVAS,Mar 2021,2021-03-31,annual,-1071.0,-265.0,1008.0,-328.0,screener
AAVAS,Mar 2022,2022-03-31,annual,-1135.0,-463.0,1623.0,26.0,screener
AAVAS,Mar 2023,2023-03-31,annual,-1924.0,196.0,1858.0,130.0,screener
AAVAS,Mar 2024,2024-03-31,annual,-1987.0,-648.0,2477.0,-157.0,screener
ABB,Dec 2011,2011-12-31,annual,120.0,-361.0,-80.0,-321.0,screener
ABB,Dec 2012,2012-12-31,annual,-44.0,-340.0,210.0,-173.0,screener
ABB,Dec 2024,2024-12-31,annual,1332.0,-503.0,-770.0,59.0,screener
ABB,Dec 2025,2025-12-31,annual,1220.0,364.0,-966.0,617.0,screener
ABCAPITAL,Mar 2022,2022-03-31,annual,-5070.0,-1446.0,5836.0,-679.0,screener
ABCAPITAL,Mar 2023,2023-03-31,annual,-24029.0,-2675.0,26385.0,-318.0,screener
ABCAPITAL,Mar 2024,2024-03-31,annual,-24100.0,-4590.0,28514.0,-176.0,screener
ABCAPITAL,Mar 2025,2025-03-31,annual,-27935.0,933.0,29778.0,2776.0,screener
ABCAPITAL,Mar 2026,2026-03-31,annual,-36544.0,-3544.0,38161.0,-1927.0,screener
ABDL,Mar 2022,2022-03-31,annual,179.0,53.0,-256.0,-24.0,screener
ABDL,Mar 2023,2023-03-31,annual,230.0,-19.0,-203.0,8.0,screener
ABDL,Mar 2024,2024-03-31,annual,186.0,-54.0,-132.0,0.0,screener
ABDL,Mar 2025,2025-03-31,annual,-678.0,-182.0,922.0,61.0,screener
ABDL,Mar 2026,2026-03-31,annual,362.0,-331.0,10.0,41.0,screener
ABLBL,Mar 2025,2025-03-31,annual,1144.0,7.0,-1230.0,-79.0,screener
ABLBL,Mar 2026,2026-03-31,annual,1219.0,-198.0,-983.0,38.0,screener
ABREL,Mar 2022,2022-03-31,annual,-51.0,-176.0,207.0,-21.0,screener
ABREL,Mar 2023,2023-03-31,annual,271.0,138.0,-553.0,-144.0,screener
ABREL,Mar 2024,2024-03-31,annual,-315.0,-524.0,1272.0,433.0,screener
ABREL,Mar 2025,2025-03-31,annual,-1293.0,-438.0,2218.0,487.0,screener
ABREL,Mar 2026,2026-03-31,annual,747.0,-588.0,299.0,458.0,screener
ABSLAMC,Mar 2022,2022-03-31,annual,563.0,-298.0,-256.0,9.0,screener
ABSLAMC,Mar 2023,2023-03-31,annual,437.0,-134.0,-335.0,-32.0,screener
ABSLAMC,Mar 2024,2024-03-31,annual,685.0,-511.0,-169.0,5.0,screener
ABSLAMC,Mar 2025,2025-03-31,annual,708.0,-305.0,-399.0,5.0,screener
ABSLAMC,Mar 2026,2026-03-31,annual,812.0,-95.0,-703.0,15.0,screener
ACC,Dec 2021,2021-12-31,annual,2835.0,-988.0,-331.0,1517.0,screener
ACC,Mar 2023,2023-03-31,annual,-1235.0,-4637.0,-1238.0,-7110.0,screener
ACC,Mar 2024,2024-03-31,annual,2995.0,-1205.0,-443.0,1347.0,screener
ACC,Mar 2025,2025-03-31,annual,1711.0,-1262.0,-1002.0,-553.0,screener
ACC,Mar 2026,2026-03-31,annual,-1364.0,1273.0,-422.0,-513.0,screener
ACE,Mar 2022,2022-03-31,annual,104.0,-201.0,71.0,-27.0,screener
ACE,Mar 2023,2023-03-31,annual,274.0,-218.0,-41.0,16.0,screener
ACE,Mar 2024,2024-03-31,annual,433.0,-368.0,-39.0,27.0,screener
ACE,Mar 2025,2025-03-31,annual,412.0,-382.0,-29.0,1.0,screener
ACE,Mar 2026,2026-03-31,annual,417.0,-350.0,-52.0,15.0,screener
ACI,Mar 2022,2022-03-31,annual,315.0,-110.0,-224.0,-19.0,screener
ACI,Mar 2023,2023-03-31,annual,496.0,-290.0,-212.0,-6.0,screener
ACI,Mar 2024,2024-03-31,annual,379.0,-307.0,-33.0,40.0,screener
ACI,Mar 2025,2025-03-31,annual,176.0,-246.0,65.0,-5.0,screener
ACI,Mar 2026,2026-03-31,annual,140.0,-293.0,154.0,1.0,screener
ACMESOLAR,Mar 2022,2022-03-31,annual,955.0,-425.0,-556.0,-25.0,screener
ACMESOLAR,Mar 2023,2023-03-31,annual,1263.0,-1410.0,215.0,69.0,screener
ACMESOLAR,Mar 2024,2024-03-31,annual,1434.0,-1888.0,216.0,-238.0,screener
ACMESOLAR,Mar 2025,2025-03-31,annual,1543.0,-3976.0,3408.0,975.0,screener
ACMESOLAR,Mar 2026,2026-03-31,annual,1249.0,-7317.0,7015.0,947.0,screener
ACUTAAS,Mar 2022,2022-03-31,annual,-12.0,-121.0,140.0,8.0,screener
ACUTAAS,Mar 2023,2023-03-31,annual,66.0,-33.0,-12.0,20.0,screener
ACUTAAS,Mar 2024,2024-03-31,annual,125.0,-365.0,239.0,-1.0,screener
ACUTAAS,Mar 2025,2025-03-31,annual,118.0,-224.0,261.0,156.0,screener
ACUTAAS,Mar 2026,2026-03-31,annual,292.0,-266.0,4.0,30.0,screener
ADANIENSOL,Mar 2022,2022-03-31,annual,4097.0,-3936.0,-235.0,-75.0,screener
ADANIENSOL,Mar 2023,2023-03-31,annual,3777.0,-4699.0,923.0,2.0,screener
ADANIENSOL,Mar 2024,2024-03-31,annual,6038.0,-4943.0,-543.0,551.0,screener
ADANIENSOL,Mar 2025,2025-03-31,annual,9045.0,-15222.0,7626.0,1448.0,screener
ADANIENSOL,Mar 2026,2026-03-31,annual,10997.0,-14083.0,2630.0,-456.0,screener
ADANIENT,Mar 2022,2022-03-31,annual,1385.0,-17041.0,15901.0,246.0,screener
ADANIENT,Mar 2023,2023-03-31,annual,17626.0,-15459.0,-1198.0,970.0,screener
ADANIENT,Mar 2024,2024-03-31,annual,10312.0,-18767.0,8879.0,424.0,screener
ADANIENT,Mar 2025,2025-03-31,annual,4513.0,-26417.0,22655.0,751.0,screener
ADANIENT,Mar 2026,2026-03-31,annual,2357.0,-27680.0,28484.0,3161.0,screener
ADANIGREEN,Mar 2022,2022-03-31,annual,3127.0,-18730.0,15986.0,383.0,screener
ADANIGREEN,Mar 2023,2023-03-31,annual,7265.0,-3857.0,-2973.0,435.0,screener
ADANIGREEN,Mar 2024,2024-03-31,annual,7713.0,-21060.0,13953.0,606.0,screener
ADANIGREEN,Mar 2025,2025-03-31,annual,8957.0,-19828.0,11475.0,604.0,screener
ADANIGREEN,Mar 2026,2026-03-31,annual,10135.0,-26227.0,15615.0,-477.0,screener
ADANIPORTS,Mar 2022,2022-03-31,annual,10420.0,-5493.0,-586.0,4341.0,screener
ADANIPORTS,Mar 2023,2023-03-31,annual,11900.0,-16716.0,-2734.0,-7550.0,screener
ADANIPORTS,Mar 2024,2024-03-31,annual,15018.0,-6947.0,-7800.0,271.0,screener
ADANIPORTS,Mar 2025,2025-03-31,annual,17226.0,-9788.0,-6916.0,523.0,screener
ADANIPORTS,Mar 2026,2026-03-31,annual,20356.0,-13191.0,-5483.0,1682.0,screener
ADANIPOWER,Mar 2022,2022-03-31,annual,10233.0,774.0,-10338.0,669.0,screener
ADANIPOWER,Mar 2023,2023-03-31,annual,8431.0,1545.0,-10408.0,-433.0,screener
ADANIPOWER,Mar 2024,2024-03-31,annual,14170.0,3481.0,-16864.0,787.0,screener
ADANIPOWER,Mar 2025,2025-03-31,annual,21501.0,-17142.0,-5175.0,-816.0,screener
ADANIPOWER,Mar 2026,2026-03-31,annual,20514.0,-26461.0,6555.0,608.0,screener
ADFFOODS,Mar 2022,2022-03-31,annual,34.0,-53.0,33.0,14.0,screener
ADFFOODS,Mar 2023,2023-03-31,annual,51.0,-60.0,-5.0,-14.0,screener
ADFFOODS,Mar 2024,2024-03-31,annual,70.0,13.0,-63.0,20.0,screener
ADFFOODS,Mar 2025,2025-03-31,annual,37.0,-39.0,-21.0,-23.0,screener
ADFFOODS,Mar 2026,2026-03-31,annual,58.0,-11.0,-24.0,22.0,screener
ADOR,Mar 2021,2021-03-31,annual,79.0,-7.0,-61.0,12.0,screener
ADOR,Mar 2022,2022-03-31,annual,26.0,-5.0,-31.0,-10.0,screener
ADOR,Mar 2024,2024-03-31,annual,58.0,-44.0,-19.0,-5.0,screener
ADOR,Mar 2025,2025-03-31,annual,137.0,-17.0,-94.0,26.0,screener
ADOR,Mar 2026,2026-03-31,annual,116.0,-66.0,-38.0,12.0,screener
ADROITINFO,Mar 2022,2022-03-31,annual,0.66,-1.12,0.5,0.04,screener
ADROITINFO,Mar 2023,2023-03-31,annual,5.93,-13.86,9.04,1.1,screener
ADROITINFO,Mar 2024,2024-03-31,annual,0.55,-11.45,11.39,0.5,screener
ADROITINFO,Mar 2025,2025-03-31,annual,-5.12,3.93,37.05,35.87,screener
ADROITINFO,Mar 2026,2026-03-31,annual,7.2,-7.58,2.51,2.14,screener
ADSL,Mar 2022,2022-03-31,annual,15.0,-6.0,-8.0,1.0,screener
ADSL,Mar 2023,2023-03-31,annual,49.0,-12.0,-13.0,24.0,screener
ADSL,Mar 2024,2024-03-31,annual,68.0,-3.0,-10.0,54.0,screener
ADSL,Mar 2025,2025-03-31,annual,92.0,-12.0,-18.0,61.0,screener
ADSL,Mar 2026,2026-03-31,annual,102.0,-175.0,19.0,-54.0,screener
ADVAIT,Mar 2022,2022-03-31,annual,12.0,-14.0,-2.0,-4.0,screener
ADVAIT,Mar 2023,2023-03-31,annual,13.0,-7.0,3.0,8.0,screener
ADVAIT,Mar 2024,2024-03-31,annual,-9.0,-8.0,44.0,26.0,screener
ADVAIT,Mar 2025,2025-03-31,annual,46.0,-94.0,100.0,52.0,screener
ADVAIT,Mar 2026,2026-03-31,annual,-10.0,-33.0,69.0,25.0,screener
ADVANCE,Mar 2024,2024-03-31,annual,15.0,-31.0,17.0,0.0,screener
ADVANCE,Mar 2025,2025-03-31,annual,6.0,-34.0,28.0,0.0,screener
ADVENTHTL,Mar 2024,2024-03-31,annual,190.0,8.0,-163.0,35.0,screener
ADVENTHTL,Mar 2025,2025-03-31,annual,2310.0,-2183.0,-157.0,-30.0,screener
ADVENTHTL,Mar 2026,2026-03-31,annual,162.0,-331.0,185.0,16.0,screener
ADVENZYMES,Mar 2022,2022-03-31,annual,122.0,2.0,-48.0,75.0,screener
ADVENZYMES,Mar 2023,2023-03-31,annual,140.0,-286.0,-26.0,-171.0,screener
ADVENZYMES,Mar 2024,2024-03-31,annual,141.0,-65.0,-59.0,17.0,screener
ADVENZYMES,Mar 2025,2025-03-31,annual,142.0,-89.0,-73.0,-20.0,screener
ADVENZYMES,Mar 2026,2026-03-31,annual,157.0,-74.0,-70.0,12.0,screener
AEGISLOG,Mar 2022,2022-03-31,annual,280.0,-179.0,-304.0,-203.0,screener
AEGISLOG,Mar 2023,2023-03-31,annual,358.0,-931.0,1311.0,738.0,screener
AEGISLOG,Mar 2024,2024-03-31,annual,656.0,-712.0,256.0,200.0,screener
AEGISLOG,Mar 2025,2025-03-31,annual,558.0,-1463.0,1283.0,378.0,screener
AEGISLOG,Mar 2026,2026-03-31,annual,2028.0,-2533.0,1606.0,1101.0,screener
AEGISVOPAK,Mar 2022,2022-03-31,annual,0.0,-92.0,99.0,7.0,screener
AEGISVOPAK,Mar 2023,2023-03-31,annual,172.0,-1786.0,1629.0,16.0,screener
AEGISVOPAK,Mar 2024,2024-03-31,annual,337.0,-857.0,603.0,83.0,screener
AEGISVOPAK,Mar 2025,2025-03-31,annual,576.0,-381.0,385.0,581.0,screener
AEGISVOPAK,Mar 2026,2026-03-31,annual,702.0,-3077.0,1956.0,-419.0,screener
AEQUS,Mar 2023,2023-03-31,annual,10.0,-95.0,54.0,-31.0,screener
AEQUS,Mar 2024,2024-03-31,annual,-19.0,-346.0,393.0,28.0,screener
AEQUS,Mar 2025,2025-03-31,annual,26.0,-70.0,25.0,-18.0,screener
AEQUS,Mar 2026,2026-03-31,annual,-99.0,-371.0,704.0,235.0,screener
AEROENTER,Mar 2022,2022-03-31,annual,17.0,-21.0,8.0,4.0,screener
AEROENTER,Mar 2023,2023-03-31,annual,-7.0,-28.0,58.0,22.0,screener
AEROENTER,Mar 2024,2024-03-31,annual,-246.0,217.0,79.0,50.0,screener
AEROENTER,Mar 2025,2025-03-31,annual,140.0,-83.0,-99.0,-42.0,screener
AEROENTER,Mar 2026,2026-03-31,annual,18.0,-23.0,13.0,8.0,screener
AEROFLEX,Mar 2022,2022-03-31,annual,32.0,-13.0,-14.0,5.0,screener
AEROFLEX,Mar 2023,2023-03-31,annual,7.0,-9.0,0.0,-2.0,screener
AEROFLEX,Mar 2024,2024-03-31,annual,44.0,-64.0,90.0,70.0,screener
AEROFLEX,Mar 2025,2025-03-31,annual,27.0,-74.0,-3.0,-50.0,screener
AEROFLEX,Mar 2026,2026-03-31,annual,66.0,-120.0,47.0,-7.0,screener
AERONEU,Mar 2022,2022-03-31,annual,-1.0,-11.0,11.0,-1.0,screener
AERONEU,Mar 2023,2023-03-31,annual,-17.0,-20.0,46.0,9.0,screener
AERONEU,Mar 2024,2024-03-31,annual,0.0,-5.0,-5.0,-10.0,screener
AERONEU,Mar 2025,2025-03-31,annual,8.0,-6.0,-5.0,-3.0,screener
AERONEU,Mar 2026,2026-03-31,annual,3.0,0.0,11.0,14.0,screener
AETHER,Mar 2022,2022-03-31,annual,-5.0,-151.0,169.0,12.0,screener
AETHER,Mar 2023,2023-03-31,annual,-7.0,-348.0,439.0,84.0,screener
AETHER,Mar 2024,2024-03-31,annual,-16.0,-424.0,894.0,453.0,screener
AETHER,Mar 2025,2025-03-31,annual,100.0,-418.0,2.0,-316.0,screener
AETHER,Mar 2026,2026-03-31,annual,142.0,-619.0,244.0,-233.0,screener
AFCONS,Mar 2022,2022-03-31,annual,610.0,-255.0,-521.0,-165.0,screener
AFCONS,Mar 2023,2023-03-31,annual,1215.0,-861.0,-483.0,-128.0,screener
AFCONS,Mar 2024,2024-03-31,annual,707.0,-859.0,246.0,94.0,screener
AFCONS,Mar 2025,2025-03-31,annual,-132.0,-131.0,290.0,27.0,screener
AFCONS,Mar 2026,2026-03-31,annual,-127.0,-402.0,473.0,-56.0,screener
AFFLE,Mar 2022,2022-03-31,annual,206.0,-554.0,615.0,267.0,screener
AFFLE,Mar 2023,2023-03-31,annual,260.0,-186.0,-59.0,16.0,screener
AFFLE,Mar 2024,2024-03-31,annual,262.0,-572.0,783.0,473.0,screener
AFFLE,Mar 2025,2025-03-31,annual,426.0,-92.0,-92.0,242.0,screener
AFFLE,Mar 2026,2026-03-31,annual,502.0,-374.0,-43.0,85.0,screener
AGARIND,Mar 2022,2022-03-31,annual,65.0,-69.0,19.0,14.0,screener
AGARIND,Mar 2023,2023-03-31,annual,157.0,-158.0,-15.0,-17.0,screener
AGARIND,Mar 2024,2024-03-31,annual,112.0,-276.0,178.0,13.0,screener
AGARIND,Mar 2025,2025-03-31,annual,100.0,-157.0,40.0,-18.0,screener
AGARIND,Mar 2026,2026-03-31,annual,235.0,-89.0,-128.0,18.0,screener
AGARWALEYE,Mar 2022,2022-03-31,annual,164.0,-155.0,35.0,44.0,screener
AGARWALEYE,Mar 2023,2023-03-31,annual,233.0,-509.0,303.0,27.0,screener
AGARWALEYE,Mar 2024,2024-03-31,annual,346.0,-914.0,553.0,-15.0,screener
AGARWALEYE,Mar 2025,2025-03-31,annual,360.0,-750.0,382.0,-8.0,screener
AGARWALEYE,Mar 2026,2026-03-31,annual,519.0,-308.0,-220.0,-10.0,screener
AGI,Mar 2017,2017-03-31,annual,204.0,-329.0,248.0,123.0,screener
AGI,Mar 2018,2018-03-31,annual,55.0,-183.0,224.0,96.0,screener
AGI,Mar 2019,2019-03-31,annual,329.0,-322.0,-185.0,-178.0,screener
AGI,Mar 2025,2025-03-31,annual,429.0,-442.0,-190.0,-204.0,screener
AGI,Mar 2026,2026-03-31,annual,571.0,-109.0,-413.0,49.0,screener
AGIIL,Mar 2022,2022-03-31,annual,106.0,-76.0,-16.0,14.0,screener
AGIIL,Mar 2023,2023-03-31,annual,106.0,-77.0,-16.0,14.0,screener
AGIIL,Mar 2024,2024-03-31,annual,61.0,-88.0,81.0,55.0,screener
AGIIL,Mar 2025,2025-03-31,annual,-20.0,-39.0,-14.0,-73.0,screener
AGIIL,Mar 2026,2026-03-31,annual,-32.0,-25.0,128.0,71.0,screener
AHLEAST,Mar 2021,2021-03-31,annual,-7.0,8.0,0.0,0.0,screener
AHLEAST,Mar 2022,2022-03-31,annual,3.0,-10.0,7.0,-1.0,screener
AHLEAST,Mar 2023,2023-03-31,annual,9.0,1.0,-10.0,0.0,screener
AHLEAST,Mar 2024,2024-03-31,annual,-385.0,58.0,327.0,0.0,screener
AHLEAST,Mar 2025,2025-03-31,annual,0.0,10.0,-9.0,1.0,screener
AHLUCONT,Mar 2022,2022-03-31,annual,66.0,-101.0,-44.0,-79.0,screener
AHLUCONT,Mar 2023,2023-03-31,annual,301.0,-166.0,-16.0,120.0,screener
AHLUCONT,Mar 2024,2024-03-31,annual,257.0,-310.0,21.0,-31.0,screener
AHLUCONT,Mar 2025,2025-03-31,annual,359.0,-323.0,-52.0,-16.0,screener
AHLUCONT,Mar 2026,2026-03-31,annual,281.0,-257.0,-34.0,-10.0,screener
AIAENG,Mar 2022,2022-03-31,annual,-40.0,101.0,-267.0,-205.0,screener
AIAENG,Mar 2023,2023-03-31,annual,868.0,-1212.0,395.0,51.0,screener
AIAENG,Mar 2024,2024-03-31,annual,903.0,-819.0,-211.0,-127.0,screener
AIAENG,Mar 2025,2025-03-31,annual,1162.0,-203.0,-743.0,217.0,screener
AIAENG,Mar 2026,2026-03-31,annual,592.0,-124.0,-660.0,-193.0,screener
AIFL,Mar 2014,2014-03-31,annual,12.0,-6.0,11.0,16.0,screener
AIFL,Mar 2015,2015-03-31,annual,-34.0,-2.0,29.0,-7.0,screener
AIFL,Mar 2016,2016-03-31,annual,30.0,-5.0,-22.0,3.0,screener
AIIL,Mar 2023,2023-03-31,annual,245.0,48.0,-627.0,-334.0,screener
AIIL,Mar 2024,2024-03-31,annual,3291.0,-2266.0,-1175.0,-150.0,screener
AIIL,Mar 2025,2025-03-31,annual,326.0,-290.0,-127.0,-91.0,screener
AIIL,Mar 2026,2026-03-31,annual,1524.0,-3958.0,2376.0,-58.0,screener
AIROLAM,Mar 2022,2022-03-31,annual,-6.0,-4.0,9.0,-1.0,screener
AIROLAM,Mar 2023,2023-03-31,annual,-5.0,-3.0,8.0,0.0,screener
AIROLAM,Mar 2024,2024-03-31,annual,-1.0,-13.0,11.0,-2.0,screener
AIROLAM,Mar 2025,2025-03-31,annual,14.0,-18.0,4.0,0.0,screener
AIROLAM,Mar 2026,2026-03-31,annual,19.0,-3.0,-17.0,0.0,screener
AJANTPHARM,Mar 2022,2022-03-31,annual,562.0,-74.0,-460.0,28.0,screener
AJANTPHARM,Mar 2023,2023-03-31,annual,792.0,-560.0,-108.0,124.0,screener
AJANTPHARM,Mar 2024,2024-03-31,annual,785.0,65.0,-1051.0,-201.0,screener
AJANTPHARM,Mar 2025,2025-03-31,annual,1157.0,-377.0,-733.0,47.0,screener
AJANTPHARM,Mar 2026,2026-03-31,annual,529.0,-429.0,-168.0,-68.0,screener
AJMERA,Mar 2022,2022-03-31,annual,-64.0,29.0,33.0,-2.0,screener
AJMERA,Mar 2023,2023-03-31,annual,135.0,-45.0,-86.0,4.0,screener
AJMERA,Mar 2024,2024-03-31,annual,220.0,-76.0,-97.0,46.0,screener
AJMERA,Mar 2025,2025-03-31,annual,8.0,-12.0,-1.0,-5.0,screener
AJMERA,Mar 2026,2026-03-31,annual,69.0,-48.0,-56.0,-36.0,screener
AKANKSHA,Mar 2023,2023-03-31,annual,4.02,-7.47,6.94,3.49,screener
AKANKSHA,Mar 2024,2024-03-31,annual,-22.93,-6.6,26.25,-3.28,screener
AKANKSHA,Mar 2025,2025-03-31,annual,-0.11,-14.44,22.48,7.94,screener
AKANKSHA,Mar 2026,2026-03-31,annual,10.18,-29.72,12.55,-6.99,screener
AKG,Mar 2022,2022-03-31,annual,-0.15,0.49,1.8,2.14,screener
AKG,Mar 2023,2023-03-31,annual,-18.25,0.07,26.16,7.99,screener
AKG,Mar 2024,2024-03-31,annual,-3.04,-1.18,-3.04,-7.25,screener
AKG,Mar 2025,2025-03-31,annual,1.21,0.1,-3.26,-1.95,screener
AKG,Mar 2026,2026-03-31,annual,3.99,1.29,-6.25,-0.98,screener
AKSHARCHEM,Mar 2015,2015-03-31,annual,28.0,-13.0,-15.0,0.0,screener
AKSHARCHEM,Mar 2016,2016-03-31,annual,13.0,-11.0,-2.0,0.0,screener
AKUMS,Mar 2022,2022-03-31,annual,32.0,-235.0,236.0,33.0,screener
AKUMS,Mar 2023,2023-03-31,annual,177.0,-305.0,125.0,-4.0,screener
AKUMS,Mar 2024,2024-03-31,annual,498.0,-331.0,-108.0,59.0,screener
AKUMS,Mar 2025,2025-03-31,annual,465.0,-548.0,73.0,-10.0,screener
AKUMS,Mar 2026,2026-03-31,annual,1181.0,-930.0,34.0,285.0,screener
ALICON,Mar 2022,2022-03-31,annual,77.0,-72.0,-9.0,-4.0,screener
ALICON,Mar 2023,2023-03-31,annual,87.0,-82.0,-4.0,1.0,screener
ALICON,Mar 2024,2024-03-31,annual,158.0,-107.0,-51.0,-1.0,screener
ALICON,Mar 2025,2025-03-31,annual,204.0,-182.0,-22.0,0.0,screener
ALICON,Mar 2026,2026-03-31,annual,239.0,-143.0,-90.0,5.0,screener
ALKEM,Mar 2022,2022-03-31,annual,1111.0,-1433.0,380.0,58.0,screener
ALKEM,Mar 2023,2023-03-31,annual,1682.0,120.0,-1761.0,42.0,screener
ALKEM,Mar 2024,2024-03-31,annual,1948.0,-1011.0,-1145.0,-207.0,screener
ALKEM,Mar 2025,2025-03-31,annual,1913.0,-1288.0,-811.0,-186.0,screener
ALKEM,Mar 2026,2026-03-31,annual,1963.0,-1682.0,-503.0,-222.0,screener
ALKYLAMINE,Mar 2016,2016-03-31,annual,101.0,-35.0,-68.0,-2.0,screener
ALKYLAMINE,Mar 2017,2017-03-31,annual,63.0,-65.0,-2.0,-3.0,screener
ALKYLAMINE,Mar 2018,2018-03-31,annual,102.0,-132.0,32.0,2.0,screener
ALKYLAMINE,Mar 2019,2019-03-31,annual,144.0,-67.0,-60.0,17.0,screener
ALKYLAMINE,Mar 2020,2020-03-31,annual,188.0,-41.0,-135.0,12.0,screener
ALLTIME,Mar 2025,2025-03-31,annual,52.0,-113.0,59.0,-2.0,screener
ALLTIME,Mar 2026,2026-03-31,annual,86.0,-181.0,176.0,81.0,screener
ALPA,Mar 2022,2022-03-31,annual,10.0,-16.0,5.0,0.0,screener
ALPA,Mar 2023,2023-03-31,annual,9.0,2.0,-4.0,7.0,screener
