"symbol","pnl_summary","quarterly_summary","balance_sheet_summary","ratios_summary"
"MSUMI","Sales: 10652 Cr (YoY +14.3%); NetProfit: 623 Cr (YoY +2.8%); EPS: 0.95","Sales last 4Q: 2510, 2494, 2762, 2887 Cr; Net Profit last 4Q: 165, 143, 165, 149 Cr","Debt: 253 Cr","ROCE: 43%; EPS: 0.95; NPM: 5.85%"
"NDRAUTO","Sales: 786 Cr (YoY +10.2%); NetProfit: 60 Cr (YoY +13.2%); EPS: 25.22","Sales last 4Q: 192, 185, 200, 208 Cr; Net Profit last 4Q: 16, 14, 15, 15 Cr","Debt: 52 Cr","ROCE: 25%; EPS: 25.22; NPM: 7.63%"
"PRICOLLTD","Sales: 3711 Cr (YoY +37.9%); NetProfit: 213 Cr (YoY +27.5%); EPS: 17.44","Sales last 4Q: 769, 895, 1007, 1039 Cr; Net Profit last 4Q: 35, 50, 64, 64 Cr","Debt: 169 Cr","ROCE: 22%; EPS: 17.44; NPM: 5.74%"
"RANEENGINE","Sales: 566 Cr (YoY -0.2%); NetProfit: 4 Cr (YoY -63.6%); EPS: 5.55","Sales last 4Q: 150, 137, 147, 131 Cr; Net Profit last 4Q: 5, 2, 6, -9 Cr","Debt: 143 Cr","ROCE: 13%; EPS: 5.55; NPM: 0.71%"
"RICOAUTO","Sales: 2346 Cr (YoY +6.1%); NetProfit: 53 Cr (YoY +152.4%); EPS: 3.83","Sales last 4Q: 545, 543, 627, 629 Cr; Net Profit last 4Q: 7, 17, 18, 11 Cr","Debt: 692 Cr","ROCE: 6%; EPS: 3.83; NPM: 2.26%"
"SANDHAR","Sales: 4559 Cr (YoY +17.4%); NetProfit: 177 Cr (YoY +24.6%); EPS: 29.48","Sales last 4Q: 1014, 1090, 1270, 1185 Cr; Net Profit last 4Q: 43, 28, 73, 33 Cr","Debt: 955 Cr","ROCE: 15%; EPS: 29.48; NPM: 3.88%"
"SANSERA","Sales: 3281 Cr (YoY +8.8%); NetProfit: 263 Cr (YoY +21.2%); EPS: 42.21","Sales last 4Q: 782, 766, 825, 908 Cr; Net Profit last 4Q: 59, 63, 71, 69 Cr","Debt: 439 Cr","ROCE: 13%; EPS: 42.21; NPM: 8.02%"
"SHARDAMOTR","Sales: 3175 Cr (YoY +11.9%); NetProfit: 340 Cr (YoY +7.9%); EPS: 59.21","Sales last 4Q: 750, 756, 787, 882 Cr; Net Profit last 4Q: 84, 100, 75, 81 Cr","Debt: 50 Cr","ROCE: 35%; EPS: 59.21; NPM: 10.71%"
"SHRIPISTON","Sales: 3991 Cr (YoY +12.4%); NetProfit: 554 Cr (YoY +7.4%); EPS: 123.29","Sales last 4Q: 988, 963, 1016, 1023 Cr; Net Profit last 4Q: 152, 135, 142, 126 Cr","Debt: 537 Cr","ROCE: 27%; EPS: 123.29; NPM: 13.88%"
"SSWL","Sales: 4942 Cr (YoY +11.6%); NetProfit: 190 Cr (YoY -2.6%); EPS: 12.11","Sales last 4Q: 1234, 1187, 1201, 1321 Cr; Net Profit last 4Q: 61, 47, 36, 47 Cr","Debt: 903 Cr","ROCE: 17%; EPS: 12.11; NPM: 3.84%"
"SUNDRMFAST","Sales: 6126 Cr (YoY +2.9%); NetProfit: 556 Cr (YoY +2.6%); EPS: 26.37","Sales last 4Q: 1531, 1533, 1521, 1541 Cr; Net Profit last 4Q: 124, 148, 153, 131 Cr","Debt: 741 Cr","ROCE: 17%; EPS: 26.37; NPM: 9.08%"
"SUNDRMBRAK","Sales: 351 Cr (YoY -0.3%); NetProfit: -4 Cr (YoY -180%); EPS: -9.08","Sales last 4Q: 97, 92, 78, 84 Cr; Net Profit last 4Q: 1, -1, -3, -1 Cr","Debt: 39 Cr","ROCE: 8%; EPS: -9.08; NPM: -1.14%"
"SUPRAJIT","Sales: 3660 Cr (YoY +11.7%); NetProfit: 139 Cr (YoY +40.4%); EPS: 10.12","Sales last 4Q: 877, 863, 941, 979 Cr; Net Profit last 4Q: 27, 48, 51, 13 Cr","Debt: 927 Cr","ROCE: 20%; EPS: 10.12; NPM: 3.8%"
"TALBROAUTO","Sales: 839 Cr (YoY +1.5%); NetProfit: 99 Cr (YoY +5.3%); EPS: 16.06","Sales last 4Q: 206, 207, 213, 214 Cr; Net Profit last 4Q: 27, 22, 23, 27 Cr","Debt: 86 Cr","ROCE: 18%; EPS: 16.06; NPM: 11.8%"
"UCAL","Sales: 803 Cr (YoY +0.1%); NetProfit: -41 Cr (YoY -156.2%); EPS: -18.43","Sales last 4Q: 199, 195, 211, 199 Cr; Net Profit last 4Q: -21, -6, -4, -10 Cr","Debt: 301 Cr","ROCE: 7%; EPS: -18.43; NPM: -5.11%"
"VARROC","Sales: 8622 Cr (YoY +5.7%); NetProfit: 182 Cr (YoY +160%); EPS: 11.55","Sales last 4Q: 2099, 2028, 2207, 2288 Cr; Net Profit last 4Q: 23, 107, 63, -11 Cr","Debt: 915 Cr","ROCE: 20%; EPS: 11.55; NPM: 2.11%"
"WHEELS","Sales: 5178 Cr (YoY +9.1%); NetProfit: 138 Cr (YoY +23.2%); EPS: 55.32","Sales last 4Q: 1277, 1266, 1264, 1371 Cr; Net Profit last 4Q: 39, 31, 32, 37 Cr","Debt: 736 Cr","ROCE: 16%; EPS: 55.32; NPM: 2.67%"
"ZFCVINDIA","Sales: 3976 Cr (YoY +3.8%); NetProfit: 498 Cr (YoY +8%); EPS: 262.32","Sales last 4Q: 1012, 976, 913, 1075 Cr; Net Profit last 4Q: 127, 122, 108, 140 Cr","Debt: 62 Cr","ROCE: 20%; EPS: 262.32; NPM: 12.53%"
