REBAL_DATE,N_STOCKS,PORTFOLIO_RET_1Y,BENCH_RET_1Y,EXCESS_RET
2023-01-02,0,,,
2023-02-01,0,,,
2023-03-02,0,,,
2023-04-05,0,,,
2023-05-09,0,,,
2023-06-07,0,,,
2023-07-07,38,0.45946955010519674,0.3951793400286945,0.06429021007650226
2023-08-07,39,0.36063824569118846,0.3396344971016416,0.021003748589546845
2023-09-06,38,0.3082063909265374,0.3751315751632107,-0.06692518423667332
2023-10-09,39,0.3084801823626543,0.37124025116523685,-0.06276006880258256
2023-11-08,34,0.2627851884322466,0.29689178751255874,-0.03410659908031216
2023-12-08,32,0.22878114446199183,0.24446995769890578,-0.015688813236913957
2024-01-09,31,0.05996414961135459,0.10058484925337585,-0.04062069964202126
2024-02-08,31,-0.05022482812167694,0.049542870024797736,-0.09976769814647468
2024-03-07,29,-0.051062022955227285,-0.00555480253835261,-0.045507220416874675
2024-04-10,30,-0.08336691177416868,0.04512062857005139,-0.12848754034422005
2024-05-14,32,-0.012538797296098393,0.08889033524010626,-0.10142913253620464
2024-06-12,35,-0.05675003879216457,0.038547088695904286,-0.09529712748806886
2024-07-12,36,-0.04693704749238367,0.009041419914389781,-0.05597846740677345
2024-08-13,29,-0.004999038741044505,0.011416839231408682,-0.016415877972453186
2024-09-12,38,-0.01881086908709314,-0.020185387952290634,0.0013745188651974952
2024-10-14,35,0.022535899027417445,0.0009900698104543526,0.021545829216963092
2024-11-12,30,0.13641764647827426,0.08557172158731818,0.050845924890956073
2024-12-13,21,0.13348306783877778,0.028440270721059147,0.10504279711771863
2025-01-14,11,0.27246300494491427,0.09893648613534278,0.17352651880957148
2025-02-11,6,0.06729471111296831,0.05425952453265159,0.013035186580316716
