SYMBOL,SUBSECTOR,CURRENT_PRICE,RET_1M,RET_3M,RET_6M,RS_VS_NIFTY_AUTO_6M,RS_VS_NIFTY_500_6M,RSI,TECHNICAL_SCORE,FUND_SCORE,AS_OF_DATE
BHARATFORG,Forgings,1739.4,-0.032107283957486965,0.17257651341512736,0.37111776761784654,0.4070265988267989,0.4208261579974242,53.27849588719154,80.0,54.83,2026-04-09
UNOMINDA,Electrical,1054.6,-0.025053157067578935,-0.19996965559095747,-0.19094744917529738,-0.155038617966345,-0.14123905879571974,48.1536628945801,60.0,49.36,2026-04-09
BOSCHLTD,Electrical,36770.0,0.15938830206526888,-0.060671861029505725,-0.07554996857322438,-0.039641137364271994,-0.02584157819364674,76.12612612612612,70.0,53.48,2026-04-09
EXIDEIND,Battery,311.25,-0.0008025682182986049,-0.13397328881469106,-0.2568051575931233,-0.2208963263841709,-0.20709676721354564,55.25030525030527,60.0,51.12,2026-04-09
MOTHERSON,Electrical,116.9,-0.03698821978746181,-0.020527859237536528,0.06914212548015364,0.10505095668910602,0.11885051585973128,57.48942172073343,60.0,51.57,2026-04-09
TIINDIA,Other,2743.3,0.06909586905689791,0.08542375563820537,-0.19005019191024497,-0.15414136070129258,-0.14034180153066733,65.1559741024132,80.0,48.73,2026-04-09
SONACOMS,Electrical,523.05,0.012975694780671843,0.10394681300126618,0.2035204786010123,0.23942930980996469,0.25322886898058994,55.91549295774645,80.0,49.66,2026-04-09
APOLLOTYRE,Tyres,440.35,0.014047207829591235,-0.1491643319486039,-0.08915089461164538,-0.053242063402692996,-0.03944250423206774,61.016949152542374,60.0,53.44,2026-04-09
MRF,Tyres,134020.0,-0.01640306777732925,-0.10733673027608481,-0.10790121813219733,-0.07199238692324494,-0.05819282775261969,66.24092161282243,60.0,49.41,2026-04-09
AMARAJABAT,Battery,604.15,-0.05112297785456266,-0.03782449434623347,-0.004203065765617353,0.03170576544333503,0.045505324613960285,27.605459057071897,20.0,10.0,2026-04-09
ASKAUTOLTD,Other,438.6,0.08389966637835178,-0.06461932181701846,-0.17918966969214933,-0.14328083848319695,-0.1294812793125717,65.04605936540432,80.0,71.28,2026-04-09
AUTOAXLES,Axles,1688.8,-0.10993991778222834,-0.14369739377345103,-0.05637816393809025,-0.020469332729137868,-0.006669773558512615,52.34557418807046,60.0,58.77,2026-04-09
BANCOINDIA,Other,566.25,-0.01692708333333337,-0.1846065231478149,-0.238655462184874,-0.2027466309759216,-0.18894707180529635,52.605356030724515,60.0,54.64,2026-04-09
BHARATGEAR,Gears,99.45,-0.013979773944080898,-0.08518075614018938,0.097197705207414,0.13310653641636638,0.14690609558699164,52.09302325581396,60.0,51.91,2026-04-09
BHARATSE,Seating,176.74,0.025709477105217315,0.040503944424820304,0.17046357615894037,0.20637240736789275,0.220171966538518,61.80000000000001,80.0,52.61,2026-04-09
CRAFTSMAN,Castings,7408.5,0.011330284622210085,-0.05092236740968481,0.08924501948099683,0.12515385068994922,0.13895340986057447,62.779922779922785,80.0,54.65,2026-04-09
DIVGIITTS,Transmission,677.45,-0.06306617799598913,0.120400231538907,0.03049893519926994,0.06640776640822232,0.08020732557884758,44.12454681168694,60.0,49.92,2026-04-09
ENDURANCE,Engine/Parts,2379.6,-0.042491549975857024,-0.08452275612664961,-0.17389342128102758,-0.1379845900720752,-0.12418503090144994,58.55002583089372,60.0,51.27,2026-04-09
FIEMIND,Lighting,2158.2,0.022310643740230063,-0.09143723162414763,0.0660936573799642,0.10200248858891658,0.11580204775954184,60.151421508034595,80.0,49.06,2026-04-09
GABRIEL,Suspension,907.2,0.026128266033254244,-0.12127082526152655,-0.30822022266280313,-0.27231139145385075,-0.2585118322832255,58.923169993950395,60.0,48.43,2026-04-09
GNA,Axles,409.65,-0.027190691047257243,0.0656867845993756,0.3096227621483374,0.3455315933572898,0.35933115252791503,60.09417304296643,80.0,54.47,2026-04-09
HARSHA,Forgings,348.95,-0.0182866788577859,-0.11691762621789192,-0.16797806390081071,-0.13206923269185833,-0.11826967352123308,54.85183033120276,60.0,49.7,2026-04-09
JAMNAAUTO,Suspension,121.95,-0.015659052385180394,-0.07704533414061898,0.12004041146216027,0.15594924267111265,0.1697488018417379,52.417465388711385,60.0,48.3,2026-04-09
JBMA,Other,604.95,0.18188922535899188,-0.09084761045987366,-0.17800122290916498,-0.1420923917002126,-0.12829283252958734,59.04944791166589,80.0,56.91,2026-04-09
JTEKTINDIA,Steering/Bearings,130.94,-0.03734744890457298,-0.17751256281407035,-0.24599792698376133,-0.21008909577480894,-0.1962895366041837,54.448484848484846,60.0,51.54,2026-04-09
LUMAXIND,Lighting,5304.0,0.012793584113041767,-0.05192599874877113,0.20745782775969235,0.24336665896864473,0.25716621813927,56.58836629725861,60.0,57.69,2026-04-09
