INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
NIFTY SMLCAP 100,52.02,235,BIOCON,BIOCON LIMITED.,SMALL_CAP,387.75,-1.56,NA,-2.82,48,48.9,BULLISH,6.25,6,8,15,58.99,60.43,56,56.82,63,522392202.3,WEAK_HOLD,2026-01-01
NIFTY SMLCAP 100,52.02,346,ICICIPRULI,ICICI PRU LIFE INS CO LTD,MICRO_CAP,674.3,0.91,NA,9.37,42,72.2,STRONG_BULLISH,8.35,9,6,0,NA,NA,NA,NA,NA,263998129.5,WEAK_HOLD,2026-01-01
NIFTY SMLCAP 50,52.02,48,ADANIENSOL,ADANI ENERGY SOLUTION LTD,LARGE_CAP,1046.4,1.85,NA,7.11,62.7,68.3,STRONG_BULLISH,10.36,14,11,0,10,10,10,10,10,2914423043.7,HOLD,2026-01-01
NIFTY SMLCAP 50,52.02,36,INDUSINDBK,INDUSIND BANK LIMITED,LARGE_CAP,890.2,3.01,NA,4.69,56.7,67.1,STRONG_BULLISH,15.28,10,11,0,NA,NA,NA,NA,NA,3748678890.5,HOLD,2026-01-01
NIFTY SMLCAP 50,52.02,245,AUROPHARMA,AUROBINDO PHARMA LTD,SMALL_CAP,1193,0.85,NA,-1.83,50.7,51.7,BULLISH,5.29,4,8,20,67.41,70.43,70,59.18,66,486959840.5,HOLD,2026-01-01
NIFTY SMLCAP 50,52.02,235,BIOCON,BIOCON LIMITED.,SMALL_CAP,387.75,-1.56,NA,-2.82,48,48.9,BULLISH,6.25,6,8,15,58.99,60.43,56,56.82,63,522392202.3,WEAK_HOLD,2026-01-01
NIFTY SMLCAP 50,52.02,346,ICICIPRULI,ICICI PRU LIFE INS CO LTD,MICRO_CAP,674.3,0.91,NA,9.37,42,72.2,STRONG_BULLISH,8.35,9,6,0,NA,NA,NA,NA,NA,263998129.5,WEAK_HOLD,2026-01-01
NIFTY SMLCAP 250,52.02,48,ADANIENSOL,ADANI ENERGY SOLUTION LTD,LARGE_CAP,1046.4,1.85,NA,7.11,62.7,68.3,STRONG_BULLISH,10.36,14,11,0,10,10,10,10,10,2914423043.7,HOLD,2026-01-01
NIFTY SMLCAP 250,52.02,36,INDUSINDBK,INDUSIND BANK LIMITED,LARGE_CAP,890.2,3.01,NA,4.69,56.7,67.1,STRONG_BULLISH,15.28,10,11,0,NA,NA,NA,NA,NA,3748678890.5,HOLD,2026-01-01
NIFTY SMLCAP 250,52.02,245,AUROPHARMA,AUROBINDO PHARMA LTD,SMALL_CAP,1193,0.85,NA,-1.83,50.7,51.7,BULLISH,5.29,4,8,20,67.41,70.43,70,59.18,66,486959840.5,HOLD,2026-01-01
NIFTY SMLCAP 250,52.02,235,BIOCON,BIOCON LIMITED.,SMALL_CAP,387.75,-1.56,NA,-2.82,48,48.9,BULLISH,6.25,6,8,15,58.99,60.43,56,56.82,63,522392202.3,WEAK_HOLD,2026-01-01
NIFTY SMLCAP 250,52.02,346,ICICIPRULI,ICICI PRU LIFE INS CO LTD,MICRO_CAP,674.3,0.91,NA,9.37,42,72.2,STRONG_BULLISH,8.35,9,6,0,NA,NA,NA,NA,NA,263998129.5,WEAK_HOLD,2026-01-01
Nifty 100,50.4,155,ASIANPAINT,ASIAN PAINTS LIMITED,SMALL_CAP,2752,-0.63,NA,-6.85,53.3,43.2,BULLISH,12.89,8,4,20,62.21,68.26,60,57.05,56.67,907249993,HOLD,2026-01-01
Nifty 100,50.4,26,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2110.4,0.23,NA,0.3,52.7,54.8,BULLISH,7.44,6,12,15,52.75,50.65,51,54.32,59.17,4436371604.4,HOLD,2026-01-01
Nifty 100,50.4,20,LT,LARSEN & TOUBRO LTD.,LARGE_CAP,4140.4,1.39,NA,2.73,49.3,68,BULLISH,7.08,7,9,0,NA,NA,NA,NA,NA,5622734970.8,WEAK_HOLD,2026-01-01
Nifty 100,50.4,57,AXISBANK,AXIS BANK LIMITED,MID_CAP,1274.4,0.39,NA,1.3,48.7,55.1,STRONG_BULLISH,4.08,3,12,15,52.47,51.19,47,54.71,62,2575259212.4,WEAK_HOLD,2026-01-01
Nifty 100,50.4,18,INFY,INFOSYS LIMITED,LARGE_CAP,1629.8,0.89,NA,4.41,48,67.6,STRONG_BULLISH,8.83,9,12,0,NA,NA,NA,NA,NA,5965615873.2,WEAK_HOLD,2026-01-01
