SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
ASTERDM,Aster DM Healthcare Limited,MICRO_CAP,744.85,5.61,8.85,11.5,87.3,72.6,26.29,25,14,60.89,STRONG_BULLISH,STRONG_BUY
ARVIND,ARVIND,MICRO_CAP,398.15,1.25,1.56,13.55,82.7,64.5,11.47,19,15,57.39,STRONG_BULLISH,STRONG_BUY
BHEL,BHEL,MICRO_CAP,377.05,6.3,13.01,47.95,81.3,99.8,47.42,25,14,53.94,STRONG_BULLISH,STRONG_BUY
AVALON,AVALON,MICRO_CAP,1140.0,10.04,5.61,18.37,81.3,65.6,8.41,19,16,54.04,STRONG_BULLISH,STRONG_BUY
BANDHANBNK,BANDHANBNK,MICRO_CAP,206.76,15.73,17.13,38.85,80.7,87.3,24.69,25,14,65.58,BULLISH,STRONG_BUY
ASIANENE,Asian Energy Services Limited,MICRO_CAP,328.95,3.8,3.85,30.35,80.0,79.6,19.09,17,14,75.48,STRONG_BULLISH,STRONG_BUY
CCL,CCL,MICRO_CAP,1170.3,6.08,4.34,10.54,80.0,58.0,20.45,19,16,55.23,STRONG_BULLISH,STRONG_BUY
AXISCADES,AXISCADES,MICRO_CAP,2054.8,6.29,6.69,40.77,78.0,75.2,53.22,21,14,51.83,STRONG_BULLISH,BUY
CGCL,CGCL,MICRO_CAP,194.85,5.3,4.08,17.71,78.0,71.7,11.41,19,18,53.51,BULLISH,BUY
BELRISE,BELRISE,MICRO_CAP,215.74,0.02,-2.88,13.64,77.3,70.7,17.32,19,11,53.29,STRONG_BULLISH,BUY
BALAMINES,BALAMINES,MICRO_CAP,1455.5,9.78,18.96,40.78,77.3,97.2,34.43,23,12,66.37,BULLISH,BUY
BAJAJ-AUTO,Bajaj Auto Limited,MICRO_CAP,10132.0,6.7,5.52,13.83,77.3,71.4,5.7,16,18,52.35,STRONG_BULLISH,BUY
LAURUSLABS,LAURUSLABS,MICRO_CAP,1166.4,6.97,6.41,15.62,77.3,64.9,17.24,23,18,,STRONG_BULLISH,BUY
AVL,AVL,MICRO_CAP,542.15,-0.1,6.65,10.82,77.3,75.1,7.71,16,10,73.11,STRONG_BULLISH,BUY
CEIGALL,CEIGALL,MICRO_CAP,342.05,3.24,4.81,27.63,76.7,86.7,17.02,21,16,52.84,STRONG_BULLISH,BUY
CESC,CESC,MICRO_CAP,198.72,3.9,10.23,31.44,76.7,98.5,31.72,23,16,54.43,BULLISH,BUY
BALUFORGE,BALUFORGE,MICRO_CAP,561.1,12.61,17.25,37.31,76.7,70.1,14.28,21,12,62.43,BULLISH,BUY
DEEPAKFERT,DEEPAKFERT,MICRO_CAP,1289.1,5.76,1.5,35.62,76.0,77.0,26.15,18,14,70.76,BULLISH,BUY
AETHER,AETHER,MICRO_CAP,1252.0,7.0,5.81,6.98,76.0,69.4,32.29,25,14,10.0,STRONG_BULLISH,BUY
SATIN,SATIN,MICRO_CAP,188.55,10.06,10.65,32.16,75.3,77.1,23.84,25,16,,STRONG_BULLISH,BUY
AARTIPHARM,AARTIPHARM,MICRO_CAP,806.1,13.18,16.16,32.4,75.3,76.5,16.13,21,12,55.42,BULLISH,BUY
ANANDRATHI,ANANDRATHI,MICRO_CAP,3606.6,0.77,-0.2,18.93,74.7,70.2,23.49,20,11,50.33,STRONG_BULLISH,BUY
BHARATSE,BHARATSE,MICRO_CAP,191.66,10.6,7.67,27.9,74.0,63.3,16.57,16,14,52.61,BULLISH,BUY
SAILIFE,SAILIFE,MICRO_CAP,1081.7,3.22,7.52,9.72,72.7,70.7,19.05,23,14,,STRONG_BULLISH,BUY
