SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
GPIL,GPIL,SMALL_CAP,305.0,2.54,3.23,9.99,57.3,65.4,,18,18,,STRONG_BULLISH,HOLD
UNIPARTS,UNIPARTS,MICRO_CAP,527.55,2.84,4.6,11.66,55.3,61.2,,15,18,,STRONG_BULLISH,HOLD
CHENNPETRO,CHENNPETRO,LARGE_CAP,1072.3,7.5,4.89,6.87,54.7,62.7,,18,14,,STRONG_BULLISH,HOLD
KTKBANK,KTKBANK,SMALL_CAP,263.63,3.66,5.32,16.4,54.0,79.5,,16,18,,STRONG_BULLISH,HOLD
WHEELS,WHEELS,SMALL_CAP,1064.25,1.07,1.75,-2.32,53.3,69.1,,15,15,,STRONG_BULLISH,HOLD
NAM-INDIA,NAM-INDIA,LARGE_CAP,1023.25,3.39,-3.04,17.67,52.7,71.0,,16,16,,STRONG_BULLISH,HOLD
IMFA,IMFA,LARGE_CAP,1631.9,7.23,8.85,31.12,52.7,78.2,,18,14,,STRONG_BULLISH,HOLD
SKYGOLD,SKYGOLD,SMALL_CAP,436.45,3.33,4.63,30.28,52.7,76.6,,18,14,,STRONG_BULLISH,HOLD
GLENMARK,GLENMARK,LARGE_CAP,2403.7,3.38,7.64,10.85,52.7,83.2,,18,18,,STRONG_BULLISH,HOLD
YATHARTH,YATHARTH,MID_CAP,780.6,4.0,4.69,20.5,52.7,68.7,,16,16,,STRONG_BULLISH,HOLD
LINCOLN,LINCOLN,MICRO_CAP,646.35,3.91,6.28,8.13,52.0,81.8,,20,18,,STRONG_BULLISH,HOLD
BHAGYANGR,BHAGYANGR,SMALL_CAP,278.67,11.8,29.78,89.6,51.3,94.9,,20,14,,STRONG_BULLISH,HOLD
RBLBANK,RBL Bank Limited,SMALL_CAP,320.75,2.54,0.11,5.53,50.7,55.7,,11,15,,STRONG_BULLISH,HOLD
OMAXAUTO,OMAXAUTO,MICRO_CAP,124.88,6.03,8.78,27.83,50.7,79.8,,15,14,,STRONG_BULLISH,HOLD
RRKABEL,RRKABEL,LARGE_CAP,1609.0,6.66,10.39,19.48,50.7,80.8,,18,18,,STRONG_BULLISH,HOLD
VEDL,Vedanta Limited,MID_CAP,739.3,-0.43,-3.59,10.4,50.0,57.9,,16,10,,STRONG_BULLISH,HOLD
COALINDIA,COALINDIA,SMALL_CAP,467.0,3.2,5.38,5.25,50.0,52.4,,12,16,,STRONG_BULLISH,HOLD
ROSSTECH,ROSSTECH,SMALL_CAP,1020.2,2.82,8.65,45.08,49.3,79.9,,18,9,,STRONG_BULLISH,WEAK_HOLD
GMDCLTD,GMDCLTD,MID_CAP,714.4,2.27,3.61,23.46,49.3,71.6,,18,14,,STRONG_BULLISH,WEAK_HOLD
