SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Banking - Private,53.06,8,112,FEDERALBNK,FEDERAL BANK LTD,MID_CAP,245.06,0.05,3.72,7.75,52,73.9,STRONG_BULLISH,24.42,13,9,0,NA,NA,NA,NA,NA,1757192963.06,HOLD,2025-11-21
Banking - Private,53.06,8,4,KOTAKBANK,KOTAK MAHINDRA BANK LTD,LARGE_CAP,2087.8,-0.52,0.39,-4.97,47.3,45.4,BULLISH,3.1,7,12,0,NA,NA,NA,NA,NA,16447339237.6,WEAK_HOLD,2025-11-21
Banking - Private,53.06,8,158,RBLBANK,RBL BANK LIMITED,SMALL_CAP,312.45,-0.38,-1.95,-3.76,44,50.5,BULLISH,9,6,10,0,NA,NA,NA,NA,NA,1340078978.3,WEAK_HOLD,2025-11-21
Pharma & Healthcare,52.54,15,258,AUROPHARMA,AUROBINDO PHARMA LTD,SMALL_CAP,1205.9,-0.15,-1.36,9.58,64,62.6,STRONG_BULLISH,11.29,11,12,20,67.41,70.43,70,59.18,66,600153652.7,HOLD,2025-11-21
Pharma & Healthcare,52.54,15,40,SUNPHARMA,SUN PHARMACEUTICAL IND L,LARGE_CAP,1779.7,0.13,1.29,5.28,54,71.7,STRONG_BULLISH,7.47,10,13,0,NA,NA,NA,NA,NA,3913363499.8,HOLD,2025-11-21
Pharma & Healthcare,52.54,15,27,LUPIN,LUPIN LIMITED,LARGE_CAP,2029.4,-0.07,-1.26,4.48,48.7,58.3,STRONG_BULLISH,0.19,5,12,0,NA,NA,NA,NA,NA,4816635648.7,WEAK_HOLD,2025-11-21
Pharma & Healthcare,52.54,15,256,ALKEM,ALKEM LABORATORIES LTD.,SMALL_CAP,5700,0,-0.39,2.75,48.7,60.3,STRONG_BULLISH,2.66,3,12,15,56.97,60.22,47,58.41,63,626114031.5,WEAK_HOLD,2025-11-21
Pharma & Healthcare,52.54,15,160,BIOCON,BIOCON LIMITED.,SMALL_CAP,396.85,0.43,-3.48,8.4,47.3,56.3,BULLISH,4.9,5,10,15,58.99,60.43,56,56.82,63,1335746696.8,WEAK_HOLD,2025-11-21
Media & Entertainment,51.88,13,20,INDUSINDBK,INDUSIND BANK LIMITED,LARGE_CAP,846.55,2.07,-0.2,11.62,57.3,63.6,BULLISH,7.61,14,15,0,NA,NA,NA,NA,NA,6170361547,HOLD,2025-11-21
Media & Entertainment,51.88,13,78,GOLDBEES,NIP IND ETF GOLD BEES,MID_CAP,102,0.44,-1.74,-3.49,54.7,53.4,STRONG_BULLISH,10.85,9,15,0,NA,NA,NA,NA,NA,2378099438.18,HOLD,2025-11-21
Media & Entertainment,51.88,13,40,SUNPHARMA,SUN PHARMACEUTICAL IND L,LARGE_CAP,1779.7,0.13,1.29,5.28,54,71.7,STRONG_BULLISH,7.47,10,13,0,NA,NA,NA,NA,NA,3913363499.8,HOLD,2025-11-21
Media & Entertainment,51.88,13,140,IDBI,IDBI BANK LIMITED,MID_CAP,100.24,-2.49,-0.79,6.3,52.7,53,STRONG_BULLISH,8.58,9,10,0,NA,NA,NA,NA,NA,1469166996.33,HOLD,2025-11-21
Media & Entertainment,51.88,13,218,LIQUIDBETF,BFAM - LIQUIDBETF,SMALL_CAP,1057.78,0.04,0.09,0.43,40.7,100,STRONG_BULLISH,-3.18,4,15,0,NA,NA,NA,NA,NA,795072896.85,WEAK_HOLD,2025-11-21
Finance & NBFC,51.34,18,57,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,MID_CAP,1659.7,-2.55,-3.2,-0.63,58.7,45.2,BULLISH,7.11,7,6,15,54.41,50.65,51,57.47,66,3151689648.5,HOLD,2025-11-21
Finance & NBFC,51.34,18,243,HDFCSILVER,HDFCAMC - HDFCSILVER,SMALL_CAP,145.12,-2.31,-5.46,0.06,54,48.9,STRONG_BULLISH,17.41,12,8,0,NA,NA,NA,NA,NA,667991082.69,HOLD,2025-11-21
Finance & NBFC,51.34,18,360,HDFCGOLD,HDFC GOLD ETF,MICRO_CAP,105.31,0.4,-1.72,-3.51,49.3,53.7,STRONG_BULLISH,10.9,9,12,0,NA,NA,NA,NA,NA,307316617.71,WEAK_HOLD,2025-11-21
Finance & NBFC,51.34,18,461,PRECWIRE,PRECISION WIRES INDIA LTD,MICRO_CAP,255.12,-1.73,-5.29,23.2,48.7,65.5,STRONG_BULLISH,41.47,15,4,0,NA,NA,NA,NA,NA,192867855.86,WEAK_HOLD,2025-11-21
Finance & NBFC,51.34,18,196,SBILIFE,SBI LIFE INSURANCE CO LTD,SMALL_CAP,2022.5,-0.23,1.08,9.86,46,73.2,STRONG_BULLISH,7.82,9,12,0,NA,NA,NA,NA,NA,1025049110.8,WEAK_HOLD,2025-11-21
Metals & Mining,50.26,21,203,TATACOMM,TATA COMMUNICATIONS LTD,SMALL_CAP,1920.9,0.18,2.5,0.29,59.3,59.7,BULLISH,19.75,14,9,0,NA,NA,NA,NA,NA,931797916.3,HOLD,2025-11-21
Metals & Mining,50.26,21,46,TATACONSUM,TATA CONSUMER PRODUCT LTD,LARGE_CAP,1183.1,0.78,2.19,0.72,54.7,57.3,BULLISH,6.11,10,11,0,NA,NA,NA,NA,NA,3756947040.7,HOLD,2025-11-21
Metals & Mining,50.26,21,113,NATIONALUM,NATIONAL ALUMINIUM CO LTD,MID_CAP,250.68,-2.69,-4.53,10.26,49.3,56.4,STRONG_BULLISH,13.96,11,10,0,NA,NA,NA,NA,NA,1744563958.18,WEAK_HOLD,2025-11-21
Metals & Mining,50.26,21,36,VEDL,VEDANTA LIMITED,LARGE_CAP,496.4,-2.62,-5.51,4.36,48.7,46.5,STRONG_BULLISH,7.22,7,8,0,NA,NA,NA,NA,NA,4025093273.8,WEAK_HOLD,2025-11-21
Metals & Mining,50.26,21,108,HINDCOPPER,HINDUSTAN COPPER LTD,MID_CAP,314.15,-3.97,-6.29,-9.28,39.3,41.1,BULLISH,24.42,10,4,0,NA,NA,NA,NA,NA,1793201062.2,WEAK_HOLD,2025-11-21
IT & Software,50,15,87,PERSISTENT,PERSISTENT SYSTEMS LTD,MID_CAP,6296.5,-0.85,3.2,8.56,53.3,69.6,STRONG_BULLISH,18.48,13,8,0,NA,NA,NA,NA,NA,2157936918,HOLD,2025-11-21
IT & Software,50,15,29,HCLTECH,HCL TECHNOLOGIES LTD,LARGE_CAP,1608,-2.27,0.84,8.21,51.3,60.1,BULLISH,9.11,10,10,0,NA,NA,NA,NA,NA,4800551729.2,HOLD,2025-11-21
