"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"SILVERBEES",219.85,28.01,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,57.3,"LARGE_CAP"
"GMBREW",1196.4,31.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.3,"SMALL_CAP"
"JBCHEPHARM",1818.6,2.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7,"MICRO_CAP"
"EGOLD",138.1,8.78,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,56.7,"MICRO_CAP"
"ABDL",613.55,9.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7,"MICRO_CAP"
"SILVERTUC",880,10.97,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,56.7,"MICRO_CAP"
"ASAHIINDIA",995.5,7.43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7,"MICRO_CAP"
"NATIONALUM",306.85,19.78,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,56,"LARGE_CAP"
"IIFL",599.25,14.83,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,56,"SMALL_CAP"
"RVNL",387.95,6.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,55.3,"LARGE_CAP"
"CUPID",479.5,55.98,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,55.3,"MID_CAP"
"SENORES",814,8.32,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,55.3,"SMALL_CAP"
"INFOBEAN",780.6,29.54,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,55.3,"MICRO_CAP"
"SPANDANA",274.8,4.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55.3,"MICRO_CAP"
"DALBHARAT",2160.6,-1.36,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,54.7,"MID_CAP"
"KIRIINDUS",604.7,4.11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,54.7,"SMALL_CAP"
"GPPL",183.02,7.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54.7,"MICRO_CAP"
"RACLGEAR",1178.3,4.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54.7,"MICRO_CAP"
"INDIACEM",441.3,6.79,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,54.7,"MICRO_CAP"
"COALINDIA",402.15,1.42,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,54,"MID_CAP"
"BLSE",208.28,6.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,"MICRO_CAP"
"LUPIN",2112.4,4.79,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,53.3,"MID_CAP"
"KIRLOSENG",1269.8,17.38,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,53.3,"MICRO_CAP"
"EUREKAFORB",636.45,5.31,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,53.3,"MICRO_CAP"
"APEX",275.75,9.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53.3,"MICRO_CAP"
"PERSISTENT",6300.5,13.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52.7,"MID_CAP"
"MOTHERSON",119.29,5.87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52.7,"MID_CAP"
"SBISILVER",224.62,27,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,52.7,"MID_CAP"
"SILVERADD",220.33,27.72,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,52.7,"MICRO_CAP"
"MCX",11052,19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,52,"LARGE_CAP"
"INDUSINDBK",849.85,7.07,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,52,"LARGE_CAP"
"20MICRONS",217.71,2.32,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,52,"MID_CAP"
"JAMNAAUTO",125.87,11.41,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,52,"MICRO_CAP"
"HINDALCO",872.9,6.62,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,51.3,"MID_CAP"
"CUMMINSIND",4346.4,4.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51.3,"MID_CAP"
"MODIRUBBER",167.05,19.04,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,51.3,"MICRO_CAP"
"PRECWIRE",237.45,13.37,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,51.3,"MICRO_CAP"
"TEXINFRA",102.24,3.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51.3,"MICRO_CAP"
"SANDUMA",242.5,19.84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50.7,"MID_CAP"
"HDFCGOLD",117.96,8.58,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,50.7,"MID_CAP"
"AUROPHARMA",1206.2,5.13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50.7,"MICRO_CAP"
"CEIGALL",259.91,-0.34,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,50.7,"MICRO_CAP"
"MANBA",140.96,2.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50.7,"MICRO_CAP"
"INDUSTOWER",419.85,10.21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"MID_CAP"
"NAVINFLUOR",5774.5,11.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"SMALL_CAP"
"GRAPHITE",582.8,2.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"SMALL_CAP"
"BANKINDIA",139.77,6.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"MICRO_CAP"
"JKTYRE",497.55,17.79,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"MICRO_CAP"
"RRKABEL",1473.7,7.66,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"MICRO_CAP"
"TRIVENI",400.1,9.08,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"MICRO_CAP"
"HINDZINC",636.85,14.56,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,49.3,"LARGE_CAP"
"MANAPPURAM",313.35,5.27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,49.3,"MID_CAP"
"GOLDIETF",118.31,8.56,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,49.3,"MID_CAP"
"SETFGOLD",117.68,8.51,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,49.3,"MID_CAP"
"FEDERALBNK",262,16.29,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,49.3,"SMALL_CAP"
"HEG",559.8,4.95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.3,"SMALL_CAP"
"AXISILVER",227.35,27.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,49.3,"MICRO_CAP"
"CCL",943.2,5.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.3,"MICRO_CAP"
"ZUARI",307.85,5.97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.3,"MICRO_CAP"
"QGOLDHALF",114.34,8.85,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,49.3,"MICRO_CAP"
"IRFC",133.64,3.73,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,48.7,"LARGE_CAP"
"RAIN",138.5,3.64,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,48.7,"MID_CAP"
