"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
461,"CUBEXTUB","CUBEXTUBINGS-ROLLSETT","MICRO_CAP",112.89,19.36,24.34,24.49,73.3,76,"BULLISH",15.38,18,8,25,73.57,79.05,94,61,41.67,165985303.28,"BUY",2025-12-26
189,"CRAFTSMAN","CRAFTSMAN AUTOMATION LTD","SMALL_CAP",7379.5,4.58,4.79,3.92,71.3,66.9,"STRONG_BULLISH",9.59,12,14,15,54.65,50.22,53,57.05,66,845751387,"BUY",2025-12-26
291,"CANFINHOME","CAN FIN HOMES LTD","SMALL_CAP",925.35,-2.29,-1.2,3.99,71.3,56.9,"STRONG_BULLISH",13.52,12,12,15,55.87,57.38,53,56.32,56,425174982.95,"BUY",2025-12-26
85,"BHEL","BHEL","MID_CAP",281.5,1.19,2.09,-2.83,70,54.4,"STRONG_BULLISH",16.74,11,15,15,53.94,54.13,47,55.45,63,1811296806.45,"BUY",2025-12-26
18,"RICOAUTO","RICO AUTO INDUSTRIES LTD","LARGE_CAP",136.96,9.58,11.75,29.45,68.7,69.1,"STRONG_BULLISH",54.5,20,14,0,NA,NA,NA,NA,NA,5747055331.23,"BUY",2025-12-26
317,"DCBBANK","DCB BANK LIMITED","MICRO_CAP",170.48,-1.8,1.16,-8.26,68,48.7,"BULLISH",27.71,11,12,15,51.91,50,51,53.82,56,364374554.97,"BUY",2025-12-26
19,"BELRISE","BELRISE INDUSTRIES LTD","LARGE_CAP",179.39,3.8,10.53,12.87,67.3,69.3,"STRONG_BULLISH",16.37,18,4,15,53.29,50.22,51,57.27,60,5516067269.29,"BUY",2025-12-26
224,"CUB","CITY UNION BANK LTD","SMALL_CAP",292.35,-1.25,4.84,4.92,66.7,66.4,"STRONG_BULLISH",32.83,13,8,15,54.17,55,47,56.18,61.25,677099773.3,"BUY",2025-12-26
34,"KARURVYSYA","KARUR VYSYA BANK LTD","LARGE_CAP",262.81,5.08,4.13,4.36,66,68.1,"STRONG_BULLISH",14.46,14,16,0,NA,NA,NA,NA,NA,3996869903.42,"BUY",2025-12-26
102,"ASHAPURMIN","ASHAPURA MINECHEM LTD","MID_CAP",894.95,1.98,13.16,27.51,66,80.1,"STRONG_BULLISH",30.32,18,9,15,52.76,51.96,47,58.41,57,1504551359.55,"BUY",2025-12-26
171,"ASHOKLEY","ASHOK LEYLAND LTD","SMALL_CAP",174.68,-0.36,0.65,17.27,66,71.1,"STRONG_BULLISH",24.64,13,10,25,71.08,74.57,82,59.41,59.17,991916230.34,"BUY",2025-12-26
199,"BHARATFORG","BHARAT FORGE LTD","SMALL_CAP",1443.8,-0.46,0.27,0.87,65.3,60.3,"STRONG_BULLISH",13.7,9,10,15,54.83,55.22,53,56.82,54.17,788277807.1,"BUY",2025-12-26
295,"AVANTIFEED","AVANTI FEEDS LIMITED","SMALL_CAP",836.05,1.8,-2.14,-0.02,64.7,56.4,"STRONG_BULLISH",22.1,11,13,20,60,68.81,56,59.25,44.17,415736742.1,"HOLD",2025-12-26
31,"TITAN","TITAN COMPANY LIMITED","LARGE_CAP",3992,2.12,1.58,2.42,64,66.7,"STRONG_BULLISH",8.49,10,20,0,NA,NA,NA,NA,NA,4429946017.1,"HOLD",2025-12-26
