REBAL_DATE,N_STOCKS,PORTFOLIO_RET_1Y,BENCH_RET_1Y,EXCESS_RET
2023-01-02,0,,,
2023-02-01,0,,,
2023-03-02,0,,,
2023-04-05,0,,,
2023-05-09,0,,,
2023-06-07,0,,,
2023-07-07,0,,,
2023-08-07,0,,,
2023-09-06,4,0.19077612007292624,0.3751315751632107,-0.18435545509028448
2023-10-09,4,0.3304407121859661,0.37124025116523685,-0.040799538979270744
2023-11-08,3,0.43918994407345435,0.29689178751255874,0.14229815656089562
2023-12-08,2,0.5180935417749654,0.24446995769890578,0.2736235840760596
2024-01-09,3,0.3150854964684193,0.10058484925337585,0.21450064721504347
2024-02-08,2,0.34911751024085236,0.049542870024797736,0.2995746402160546
2024-03-07,1,0.582740021574973,-0.00555480253835261,0.5882948241133256
2024-04-10,2,0.4704229894875739,0.04512062857005139,0.4253023609175225
2024-05-14,1,0.3215019255455711,0.08889033524010626,0.23261159030546485
2024-06-12,3,0.5259400904695094,0.038547088695904286,0.4873930017736051
2024-07-12,5,0.10085968437035127,0.009041419914389781,0.09181826445596149
2024-08-13,6,0.037012269305984245,0.011416839231408682,0.025595430074575563
2024-09-12,6,0.0726916348643926,-0.020185387952290634,0.09287702281668324
2024-10-14,6,0.07800309168934294,0.0009900698104543526,0.07701302187888859
2024-11-12,6,0.0035365922393216787,0.08557172158731818,-0.0820351293479965
2024-12-13,6,-0.20718447909858972,0.028440270721059147,-0.23562474981964887
2025-01-14,4,-0.18719956940217672,0.09893648613534278,-0.28613605553751953
