"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE","RSI_CONFIDENCE","TECH_SCORE_CONFIDENCE","RS_CONFIDENCE","CONFIDENCE_SCORE","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN"
59,"DABUR","DABUR INDIA LTD","MID_CAP",521.1,1.41,1,-0.17,68.7,53.3,"STRONG_BULLISH",14.4,9,15,15,51.29,50.22,47,54.77,56.67,1946795378.45,"BUY","2025-08-29",1,0.687,0.7,0.7848,0.82784,0.15696,9,0.497969543147208
149,"BLACKBUCK","ZINKA LOGISTICS SOL LTD","MID_CAP",636.75,3.44,-1.16,37.53,68.7,69.8,"STRONG_BULLISH",52.7,15,14,20,62.86,66.96,62,58.64,59,960972145.95,"BUY","2025-08-29",1,0.687,1,0.8748,0.89984,0.17496,10,0.776909413854352
24,"NAVA","NAVA LIMITED","LARGE_CAP",687.6,4.79,2.34,12.7,67.3,67.9,"STRONG_BULLISH",28.18,20,12,0,NA,NA,NA,NA,NA,3593435683.45,"BUY","2025-08-29",1,0.673,1,0.8692,0.89536,0.17384,10,0.753206239168111
80,"GARUDA","GARUDA CONSTRUCT N ENG L","MID_CAP",216.33,9.66,12.53,11.65,67.3,66.1,"STRONG_BULLISH",77.17,20,12,0,NA,NA,NA,NA,NA,1628760604.08,"BUY","2025-08-29",1,0.673,1,0.8692,0.89536,0.17384,10,0.753206239168111
377,"BLUESTARCO","BLUE STAR LIMITED","MICRO_CAP",1881.7,0.09,-1.99,7.24,67.3,58,"STRONG_BULLISH",18.91,11,12,25,72.84,74.35,86,58.5,66,297460188.9,"BUY","2025-08-29",1,0.673,0.7,0.7792,0.82336,0.15584,9,0.485785536159601
29,"LTF","L&T FINANCE LIMITED","LARGE_CAP",217.16,0.33,-2.49,6.76,66.7,60.2,"STRONG_BULLISH",18.62,16,15,0,NA,NA,NA,NA,NA,3366873217.53,"BUY","2025-08-29",1,0.667,0.7,0.7768,0.82144,0.15536,9,0.480693069306931
192,"DATAMATICS","DATAMATICS GLOBAL SER LTD","SMALL_CAP",1010.35,3.32,3.08,7.72,66.7,59.6,"BULLISH",69.74,14,10,15,55.34,56.74,53,56.45,54,722515161.95,"BUY","2025-08-29",1,0.667,1,0.8668,0.89344,0.17336,10,0.743396226415094
411,"ANANDRATHI","ANAND RATHI WEALTH LTD","MICRO_CAP",2793.9,0.93,-0.44,4.59,66.7,64.3,"STRONG_BULLISH",37.98,11,15,15,50.33,50.65,47,56.59,46.67,255781279.5,"BUY","2025-08-29",1,0.667,1,0.8668,0.89344,0.17336,10,0.743396226415094
543,"ASKAUTOLTD","ASK AUTOMOTIVE LIMITED","MICRO_CAP",481.95,0.19,-5.83,-6.54,66.7,44.4,"BULLISH",9.93,7,11,25,71.28,74.57,82,59.77,60,153304419,"BUY","2025-08-29",1,0.667,0.5,0.7168,0.77344,0.14336,8,0.374112734864301
240,"ASTERDM","ASTER DM HEALTHCARE LTD.","SMALL_CAP",601.05,1.11,-0.24,1.4,66,50.4,"STRONG_BULLISH",9.08,6,15,20,60.89,64.13,56,56.68,66,530649079.15,"BUY","2025-08-29",1,0.66,0.5,0.714,0.7712,0.1428,8,0.369948186528498
567,"LANDMARK","LANDMARK CARS LIMITED","MICRO_CAP",603.05,3.12,5.82,23.5,66,75.1,"STRONG_BULLISH",27.02,20,13,0,NA,NA,NA,NA,NA,144540855.75,"BUY","2025-08-29",0.7,0.66,1,0.774,0.8192,0.1548,9,0.474846625766871
288,"PGHL","PROCTER & GAMBLE HEALTH L","SMALL_CAP",6370,1.14,-3.21,7.11,65.3,58.2,"STRONG_BULLISH",10.62,14,15,0,NA,NA,NA,NA,NA,434092067,"BUY","2025-08-29",1,0.653,0.7,0.7712,0.81696,0.15424,9,0.469099756690998
323,"AVANTEL","AVANTEL LIMITED","MICRO_CAP",149.76,2.81,0.52,13.75,65.3,60.6,"BULLISH",1.42,11,16,15,51.41,52.39,47,57.5,48,373607212.4,"BUY","2025-08-29",1,0.653,0.5,0.7112,0.76896,0.14224,8,0.365843621399177
71,"AAVAS","AAVAS FINANCIERS LIMITED","MID_CAP",1520.2,-1.42,-7.87,-13.58,34.7,23.3,"STRONG_BEARISH",-13.02,5,4,25,70.57,75.59,75,58.44,66,1758686988.4,"SELL","2025-08-29",0.3,0.347,0.3,0.3188,0.45504,-0.04782,4,-0.0612135176651306
175,"MANKIND","MANKIND PHARMA LIMITED","SMALL_CAP",2471.4,-0.11,-5.19,-4.04,34.7,43.8,"BULLISH",8.38,3,10,0,NA,NA,NA,NA,NA,820145935.9,"SELL","2025-08-29",1,0.347,0.5,0.5888,0.67104,-0.08832,7,-0.172769953051643
295,"POONAWALLA","POONAWALLA FINCORP LTD","SMALL_CAP",431.55,0.45,-7.29,4.24,34.7,42.9,"BULLISH",6.57,4,8,0,NA,NA,NA,NA,NA,424489240.9,"SELL","2025-08-29",1,0.347,0.5,0.5888,0.67104,-0.08832,7,-0.172769953051643
492,"RAMCOCEM","THE RAMCO CEMENTS LIMITED","MICRO_CAP",1046.8,1.21,-2.47,-12.87,34.7,38.5,"BEARISH",4.98,1,10,0,NA,NA,NA,NA,NA,184920801.5,"SELL","2025-08-29",0.7,0.347,0.5,0.4988,0.59904,-0.07482,6,-0.124451097804391
564,"DBREALTY","VALOR ESTATE LIMITED","MICRO_CAP",168.94,-0.68,-4.13,NA,34.7,32.7,"BEARISH",-15.81,0,6,25,72.04,73.48,94,57.5,51,145720352.73,"SELL","2025-08-29",0.7,0.347,0.3,0.4388,0.55104,-0.06582,5,-0.099546279491833
701,"LATENTVIEW","LATENT VIEW ANALYTICS LTD","MICRO_CAP",415.45,-1.04,-1.06,1.18,34.7,50.4,"BULLISH",5.61,4,6,0,NA,NA,NA,NA,NA,88708463.85,"SELL","2025-08-29",1,0.347,0.5,0.5888,0.67104,-0.08832,7,-0.172769953051643
744,"DOMS","DOMS INDUSTRIES LIMITED","MICRO_CAP",2431.7,-0.52,-1.71,4.13,34.7,50.2,"BULLISH",3.38,2,12,0,NA,NA,NA,NA,NA,78522583.4,"SELL","2025-08-29",1,0.347,0.5,0.5888,0.67104,-0.08832,7,-0.172769953051643
884,"WESTLIFE","WESTLIFE FOODWORLD LTD","MICRO_CAP",718.05,-0.48,2.56,-4.38,34.7,52.3,"BULLISH",6.03,3,6,0,NA,NA,NA,NA,NA,45554530.1,"SELL","2025-08-29",1,0.347,0.5,0.5888,0.67104,-0.08832,7,-0.172769953051643
996,"SASKEN","SASKEN TECHNOLOGIES LTD","MICRO_CAP",1456.6,3.27,1.47,-2.76,34.7,49.2,"BEARISH",5.76,4,14,0,NA,NA,NA,NA,NA,31467147.2,"SELL","2025-08-29",1,0.347,0.5,0.5888,0.67104,-0.08832,7,-0.172769953051643
1031,"AWHCL","ANTONY WASTE HDG CELL LTD","MICRO_CAP",572.15,0.25,-3.39,-5.52,34.7,38.3,"BEARISH",-2.87,0,9,20,61.84,58.04,77,56.36,54,27322635.8,"SELL","2025-08-29",0.7,0.347,0.3,0.4388,0.55104,-0.06582,5,-0.099546279491833
1272,"CEWATER","CONCORD ENVIRO SYSTEMS L","MICRO_CAP",542.85,0.74,-1.39,-13.81,34.7,43.3,"BEARISH",0.5,1,10,15,53.68,53.7,47,57.27,60,12359500.7,"SELL","2025-08-29",1,0.347,0.5,0.5888,0.67104,-0.08832,7,-0.172769953051643
1324,"MANAKCOAT","MAN COAT METAL & IND LTD","MICRO_CAP",144.68,-0.87,-4.93,-10.81,34.7,47.1,"NEUTRAL",8.76,4,10,0,NA,NA,NA,NA,NA,10347557.78,"SELL","2025-08-29",1,0.347,0.5,0.5888,0.67104,-0.08832,7,-0.172769953051643
1499,"RBZJEWEL","RBZ JEWELLERS LIMITED","MICRO_CAP",137.22,-1.46,1.43,0.58,34.7,49.3,"NEUTRAL",6.1,4,12,0,NA,NA,NA,NA,NA,4685524.67,"SELL","2025-08-29",1,0.347,0.5,0.5888,0.67104,-0.08832,7,-0.172769953051643
1592,"DVL","DHUNSERI VENTURES LIMITED","MICRO_CAP",343.1,1.39,-1.9,-3.65,34.7,45.6,"BULLISH",7.5,3,10,0,NA,NA,NA,NA,NA,2962525.15,"SELL","2025-08-29",1,0.347,0.5,0.5888,0.67104,-0.08832,7,-0.172769953051643
1597,"CROWN","CROWN LIFTERS LIMITED","MICRO_CAP",159.83,-0.81,1.64,1.4,34.7,50.2,"BEARISH",-15.09,1,10,20,61.74,67.83,60,59.32,51.67,2913581.38,"SELL","2025-08-29",1,0.347,0.3,0.5288,0.62304,-0.07932,6,-0.138865546218487
1668,"SMSLIFE","SMS LIFESCIENCES (I) LTD","MICRO_CAP",1131.3,3.3,-1.65,-0.03,34.7,49.4,"STRONG_BEARISH",3.88,1,11,0,NA,NA,NA,NA,NA,2056676.3,"SELL","2025-08-29",1,0.347,0.5,0.5888,0.67104,-0.08832,7,-0.172769953051643
1689,"NGIL","NAKODA GROUP OF IND. LTD","MICRO_CAP",30.3,1.92,10.71,5.24,34.7,65.2,"BEARISH",5.05,6,4,0,NA,NA,NA,NA,NA,1871805.93,"SELL","2025-08-29",1,0.347,0.5,0.5888,0.67104,-0.08832,7,-0.172769953051643
1911,"HDFCVALUE","HDFCAMC - HDFCVALUE","MICRO_CAP",131.27,-0.22,-0.46,-0.42,34.7,46.6,"BULLISH",1.21,1,12,0,NA,NA,NA,NA,NA,486029.95,"SELL","2025-08-29",1,0.347,0.5,0.5888,0.67104,-0.08832,7,-0.172769953051643
1969,"AIROLAM","AIRO LAM LIMITED","MICRO_CAP",108.13,1.38,-3.7,-0.86,34.7,48.3,"BULLISH",6.45,3,6,0,10,10,10,10,10,275113.26,"SELL","2025-08-29",1,0.347,0.5,0.5888,0.67104,-0.08832,7,-0.172769953051643
64,"PHOENIXLTD","THE PHOENIX MILLS LTD","MID_CAP",1503.2,-0.43,-4.74,0.09,34,49,"BEARISH",-2.8,6,8,0,NA,NA,NA,NA,NA,1874712972.8,"SELL","2025-08-29",1,0.34,0.3,0.526,0.6208,-0.0789,6,-0.137456445993031
136,"COCHINSHIP","COCHIN SHIPYARD LIMITED","MID_CAP",1608.2,0.24,-5.71,-9.97,34,28.5,"BEARISH",-21.39,0,9,25,74.88,76.52,94,58.86,60,1049042774.2,"SELL","2025-08-29",0.3,0.34,0.3,0.316,0.4528,-0.0474,4,-0.0604591836734694
273,"BANKINDIA","BANK OF INDIA","SMALL_CAP",110.29,0.02,-4.48,-3.37,34,38.5,"BEARISH",-4.27,0,11,15,52.66,50.71,47,55.88,63,461080728.5,"SELL","2025-08-29",0.7,0.34,0.3,0.436,0.5488,-0.0654,5,-0.0984939759036144
278,"ONESOURCE","ONESOURCE SPECL PHARMA L","SMALL_CAP",1892.2,2.01,1.75,-4.14,34,49.3,"BEARISH",-10.22,1,15,0,NA,NA,NA,NA,NA,448325911,"SELL","2025-08-29",1,0.34,0.3,0.526,0.6208,-0.0789,6,-0.137456445993031
