SYMBOL,NAME,SOURCE,SUBSECTOR
SHAILY,Shaily Engineering Plastics,NSE/Industry,Engineering Plastics
ALLTIME,All Time Plastics,NSE/Industry,Plastics
AMNPLST,Amines & Plasticizers,NSE/Industry,Plasticizers
MEGAFLEX,Mega Flex Plastics,NSE/Industry,Plastics
POLYPLEX,Polyplex Corporation,NSE/Industry,Films/Packaging
COSMOFILMS,Cosmo Films,NSE/Industry,Films
JINDALPOLY,Jindal Poly Films,NSE/Industry,Films
UFLEX,UFlex,NSE/Industry,Flexible Packaging
TAINWALCHM,Tainwala Chemical and Plastic,NSE/Industry,Plastics/Chemicals
