rank,strategy_id,name,ending_equity,total_return_pct,max_drawdown_pct,nifty500_return_pct,excess_return_pct,fills,closed_trades,win_rate_pct,realized_pnl,open_positions,report_path
1,vcp_breakout_v1,VCP Breakout,1404247.444493,40.4247,19.6632,0.7793,39.6454,474,188,23.9362,139567.913516,9,portfolio/data/nse_pg_strategy_lab/20260601_top200_historical_stage_costed/runs/vcp_breakout_v1/reports/paper_trading_report.md
2,stage2_continuation_v1,Stage 2 Continuation,1468225.756513,46.8226,39.8367,0.7793,46.0433,352,100,14.0,253232.405048,12,portfolio/data/nse_pg_strategy_lab/20260601_top200_historical_stage_costed/runs/stage2_continuation_v1/reports/paper_trading_report.md
3,moving_average_trend_v1,Moving Average Trend,1128408.625726,12.8409,17.9558,0.7793,12.0616,859,413,27.845,-160267.408275,33,portfolio/data/nse_pg_strategy_lab/20260601_top200_historical_stage_costed/runs/moving_average_trend_v1/reports/paper_trading_report.md
4,momentum_rotation_v1,Momentum Rotation,1083490.735924,8.3491,19.462,0.7793,7.5698,654,324,35.1852,76747.892673,6,portfolio/data/nse_pg_strategy_lab/20260601_top200_historical_stage_costed/runs/momentum_rotation_v1/reports/paper_trading_report.md
5,darvas_box_breakout_v1,Darvas Box Breakout,983973.829682,-1.6026,22.8992,0.7793,-2.3819,597,295,32.2034,-42793.634385,7,portfolio/data/nse_pg_strategy_lab/20260601_top200_historical_stage_costed/runs/darvas_box_breakout_v1/reports/paper_trading_report.md
6,donchian_turtle_breakout_v1,Donchian Turtle Breakout,966670.136386,-3.333,29.7002,0.7793,-4.1123,446,146,28.7671,-179688.460302,4,portfolio/data/nse_pg_strategy_lab/20260601_top200_historical_stage_costed/runs/donchian_turtle_breakout_v1/reports/paper_trading_report.md
7,mean_reversion_uptrend_v1,Mean Reversion In Uptrend,839483.350895,-16.0517,22.6398,0.7793,-16.831,4742,2365,46.2579,-152868.657755,12,portfolio/data/nse_pg_strategy_lab/20260601_top200_historical_stage_costed/runs/mean_reversion_uptrend_v1/reports/paper_trading_report.md
8,minervini_trend_template_v1,Minervini Trend Template,1000000.0,0.0,0.0,0.7793,-0.7793,0,0,0.0,0.0,0,portfolio/data/nse_pg_strategy_lab/20260601_top200_historical_stage_costed/runs/minervini_trend_template_v1/reports/paper_trading_report.md
