"SYMBOL","ISIN","TIMESTAMP","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TOTALTRADES"
"RELIANCE.NS","INE002A01018",2024-01-08,2610,2631.95,2568.95,2587.35,1509.8,2607.7,3867326,"157399453.6",11381
"TCS.NS","INE467B01029",2024-01-08,3737.9,3739.75,3672.4,3678.3,1509.8,3737.9,1067805,"157399453.6",11381
"INFY.NS","INE009A01021",2024-01-09,1541.9,1553,1525.85,1529.3,476.9,1522.8,4412074,"7052120.35",739
"RELIANCE.NS","INE002A01018",2024-01-09,2600,2606.8,2577.2,2580.5,476.9,2587.35,2701537,"7052120.35",739
"TCS.NS","INE467B01029",2024-01-09,3709.95,3752.35,3682.75,3689.9,476.9,3678.3,1370944,"7052120.35",739
"INFY.NS","INE009A01021",2024-01-10,1524.95,1535.45,1505,1519.9,1176.61,1529.3,4096845,"7070317.02",49
"RELIANCE.NS","INE002A01018",2024-01-10,2577,2659,2575.05,2650.1,1176.61,2580.5,5551370,"7070317.02",49
"TCS.NS","INE467B01029",2024-01-10,3690,3729.25,3688,3713.05,1176.61,3689.9,1292227,"7070317.02",49
"INFY.NS","INE009A01021",2024-01-11,1524.9,1525,1486.6,1494.2,579.55,1519.9,11296088,"1323747652",38325
"RELIANCE.NS","INE002A01018",2024-01-11,2659,2725,2657,2719.8,579.55,2650.1,11862926,"1323747652",38325
"TCS.NS","INE467B01029",2024-01-11,3724,3773,3707,3735.55,579.55,3713.05,1777909,"1323747652",38325
"INFY.NS","INE009A01021",2024-01-12,1562,1618,1555.4,1612.75,193.65,1494.2,26754401,"2728166.85",887
"RELIANCE.NS","INE002A01018",2024-01-12,2719.8,2746.65,2691.5,2741.45,193.65,2719.8,7506082,"2728166.85",887
"TCS.NS","INE467B01029",2024-01-12,3848,3905.25,3821.6,3882.8,193.65,3735.55,6813450,"2728166.85",887
"INFY.NS","INE009A01021",2024-01-15,1644.95,1664.95,1636,1652.1,501.95,1612.75,13228305,"13260220.75",1825
"RELIANCE.NS","INE002A01018",2024-01-15,2750,2792.9,2732,2788.25,501.95,2741.45,4305297,"13260220.75",1825
"TCS.NS","INE467B01029",2024-01-15,3960,3965,3885,3903.8,501.95,3882.8,2801505,"13260220.75",1825
"INFY.NS","INE009A01021",2024-01-16,1644.8,1648.5,1625,1631.55,56.66,1652.1,6500917,"450246.5",140
"RELIANCE.NS","INE002A01018",2024-01-16,2779.95,2792.6,2741,2749.25,56.66,2788.25,4534512,"450246.5",140
"TCS.NS","INE467B01029",2024-01-16,3899,3899,3855.55,3861.3,56.66,3903.8,1432672,"450246.5",140
"INFY.NS","INE009A01021",2024-01-17,1620.25,1647.5,1620.25,1640.2,490.5,1631.55,9209876,"13607102.35",2027
"RELIANCE.NS","INE002A01018",2024-01-17,2719,2772.55,2710.05,2723.15,490.5,2749.25,6098691,"13607102.35",2027
"TCS.NS","INE467B01029",2024-01-17,3819,3909.95,3812.55,3884.6,490.5,3861.3,3458696,"13607102.35",2027
"INFY.NS","INE009A01021",2024-01-18,1642.65,1649,1628.25,1642.6,4722.4,1640.2,6375464,"715482761.55",22434
"RELIANCE.NS","INE002A01018",2024-01-18,2702.8,2742,2702.5,2735.9,4722.4,2723.15,5139719,"715482761.55",22434
"TCS.NS","INE467B01029",2024-01-18,3898,3908.8,3862,3902.6,4722.4,3884.6,2239110,"715482761.55",22434
"INFY.NS","INE009A01021",2024-01-19,1651.6,1665.5,1644.15,1659.2,170,1642.6,4522736,"8125490.35",1582
"RELIANCE.NS","INE002A01018",2024-01-19,2752,2752,2718,2734.9,170,2735.9,5211352,"8125490.35",1582
"TCS.NS","INE467B01029",2024-01-19,3945,3963.55,3915.05,3943.05,170,3902.6,2941975,"8125490.35",1582
