"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
22,"AVL","ADITYA VISION LIMITED","LARGE_CAP",517.1,12.56,4.1,24.59,85.3,64.8,"STRONG_BULLISH",34.75,20,14,25,73.11,74.35,86,59.86,66,8382973077.85,"STRONG_BUY",2025-09-04
528,"ASKAUTOLTD","ASK AUTOMOTIVE LIMITED","MICRO_CAP",520,1.01,8.1,10.32,82.7,59.9,"BULLISH",11.28,16,17,25,71.28,74.57,82,59.77,60,235468921.95,"STRONG_BUY",2025-09-04
186,"BIKAJI","BIKAJI FOODS INTERN LTD","SMALL_CAP",801.35,2.1,0.82,8.54,80,61.8,"STRONG_BULLISH",15.82,16,20,15,52.34,49.57,47,56.59,63,1105882480.4,"STRONG_BUY",2025-09-04
1398,"APOLSINHOT","APOLLO SINDOORI HOTEL LTD","MICRO_CAP",1425.3,2.58,4.88,4.1,80,55.8,"BULLISH",16.33,14,20,20,61.59,67.14,58.75,59.74,54,10855752.2,"STRONG_BUY",2025-09-04
165,"BLUESTARCO","BLUE STAR LIMITED","SMALL_CAP",1944,-0.85,3.4,11.04,78.7,62.7,"STRONG_BULLISH",22.3,14,10,25,72.84,74.35,86,58.5,66,1307976778.4,"BUY",2025-09-04
85,"DALBHARAT","DALMIA BHARAT LIMITED","MID_CAP",2408.6,-0.12,2.43,7.4,76,71.1,"STRONG_BULLISH",19.17,16,12,20,68.15,73.7,76,57.73,54.17,2633030147.3,"BUY",2025-09-04
19,"BRITANNIA","BRITANNIA INDUSTRIES LTD","LARGE_CAP",6083,2.96,6.33,7.94,75.3,69.6,"BULLISH",11.4,14,18,15,52.36,51.96,47,54.77,59.17,8565770434,"BUY",2025-09-04
42,"DABUR","DABUR INDIA LTD","LARGE_CAP",552.7,1.69,7.56,5.34,75.3,67.1,"STRONG_BULLISH",19.44,16,13,15,51.29,50.22,47,54.77,56.67,4871422551.35,"BUY",2025-09-04
1669,"COUNCODOS","COUNTRY CONDO S LIMITED","MICRO_CAP",8.11,9.89,22.14,17.03,74.7,63.8,"NEUTRAL",41.98,20,8,25,72.44,79.05,86,56.32,53.75,3328609.05,"BUY",2025-09-04
303,"BAJAJCON","BAJAJ CONSUMER CARE LTD","MICRO_CAP",232.95,-3.73,-0.6,3.78,73.3,53,"STRONG_BULLISH",18.07,14,8,20,61.4,60.24,65,60.25,60,591081732.58,"BUY",2025-09-04
1232,"BHAGERIA","BHAGERIA INDUSTRIES LTD","MICRO_CAP",200.85,1.07,7.56,12.23,73.3,64.8,"BULLISH",10.16,16,13,15,52.11,49.57,51,54.55,57.5,20601491.9,"BUY",2025-09-04
1339,"AVTNPL","AVT NATURAL PRODUCTS LTD","MICRO_CAP",74.79,1.31,3.26,2.68,73.3,60.1,"STRONG_BULLISH",18.27,9,17,15,51.56,51.3,51,54.55,49.17,13873798.69,"BUY",2025-09-04
228,"ASTERDM","ASTER DM HEALTHCARE LTD.","SMALL_CAP",635.5,2.48,6.91,5.85,72.7,62.2,"STRONG_BULLISH",13.73,14,11,20,60.89,64.13,56,56.68,66,880096831.5,"BUY",2025-09-04
173,"APOLLOTYRE","APOLLO TYRES LTD","SMALL_CAP",485.5,-0.03,6.11,10.38,72,66.6,"BULLISH",11.85,16,12,15,53.44,54.57,51,53.68,54.17,1224966043.1,"BUY",2025-09-04
650,"COMSYN","COMMERCIAL SYN BAGS LTD","MICRO_CAP",152.88,1.75,14.08,16.14,72,70.4,"BULLISH",18.04,18,6,25,71.65,75.43,86,59.55,53.75,157250310.22,"BUY",2025-09-04
858,"CENTUM","CENTUM ELECTRONICS LTD","MICRO_CAP",2817.3,0.38,4.81,32.96,72,65.9,"STRONG_BULLISH",24.86,15,9,20,64.92,71.74,60,61.14,60,79404444.1,"BUY",2025-09-04
716,"RAMCOIND","RAMCO INDUSTRIES LIMITED","MICRO_CAP",314.4,2.08,2.68,6.7,71.3,67.9,"STRONG_BULLISH",27.06,18,20,0,NA,NA,NA,NA,NA,128027903.15,"BUY",2025-09-04
922,"DIVGIITTS","DIVGI TORQTRANSFER SYST L","MICRO_CAP",676.75,2.17,2.74,11.48,71.3,62.1,"STRONG_BULLISH",19.62,18,20,0,NA,NA,NA,NA,NA,63010474.35,"BUY",2025-09-04
147,"CARTRADE","CARTRADE TECH LIMITED","MID_CAP",2556.4,-1.03,12.54,13.14,70.7,65.9,"STRONG_BULLISH",61.33,16,6,15,52.67,50.65,47,54.55,65,1476694013,"BUY",2025-09-04
99,"CUMMINSIND","CUMMINS INDIA LTD","MID_CAP",3935.6,1.3,2.62,9.58,70,67.7,"STRONG_BULLISH",21.94,11,15,15,53.02,50.65,51,55.68,59.17,2181671436.6,"BUY",2025-09-04
279,"BECTORFOOD","MRS BECTORS FOOD SPE LTD","SMALL_CAP",1472,7.27,8.06,-1.18,70,59.3,"STRONG_BEARISH",11.91,11,20,15,54.89,49.57,55,57.05,66,670175684.5,"BUY",2025-09-04
607,"CENTURYPLY","CENTURY PLYBOARDS (I) LTD","MICRO_CAP",788.2,1.06,7.83,5.14,70,69,"BULLISH",10.67,14,11,15,53,51.09,47,56.82,63,179199423.05,"BUY",2025-09-04
1055,"DDEVPLSTIK","DDEV PLASTIKS IND LTD","MICRO_CAP",322.7,0.72,4.57,10.4,70,59.2,"STRONG_BULLISH",22.38,13,13,15,52.26,49.57,51,55.68,57,39965288,"BUY",2025-09-04
271,"ALKEM","ALKEM LABORATORIES LTD.","SMALL_CAP",5301.5,0.18,-1.39,7.73,69.3,57.6,"STRONG_BULLISH",13.3,11,15,15,56.97,60.22,47,58.41,63,700729780.5,"BUY",2025-09-04
33,"BAJAJ-AUTO","BAJAJ AUTO LIMITED","LARGE_CAP",9071,-0.49,4.39,10.21,68.7,69.6,"STRONG_BULLISH",11.39,12,12,15,52.35,51.96,47,56.59,56.67,5982429973.5,"BUY",2025-09-04
377,"VSTTILLERS","VST TILLERS TRACTORS LTD","MICRO_CAP",5327.5,4.15,0.68,15.43,68.7,62,"STRONG_BULLISH",47.78,16,18,0,NA,NA,NA,NA,NA,420412887,"BUY",2025-09-04
393,"ANANDRATHI","ANAND RATHI WEALTH LTD","MICRO_CAP",2956.2,1,6.79,12.07,68.7,73.6,"STRONG_BULLISH",45.12,15,17,15,50.33,50.65,47,56.59,46.67,390849570.6,"BUY",2025-09-04
