"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"BLUESTARCO",1949.1,53.94,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,83.3,"MID_CAP"
"BAJAJCON",264.12,98.19,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,83.3,"SMALL_CAP"
"BALUFORGE",674.8,108.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73.3,"SMALL_CAP"
"ASHAPURMIN",692.55,347.83,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,71.3,"SMALL_CAP"
"DCAL",293.9,312.76,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,70.7,"MICRO_CAP"
"BLACKBUCK",685.5,461.71,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,69.3,"SMALL_CAP"
"AVL",558.7,452.83,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,69.3,"MICRO_CAP"
"CUMMINSIND",3966,102.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68.7,"MID_CAP"
"CARTRADE",2444.8,188.28,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,68.7,"SMALL_CAP"
"BORORENEW",642.85,144.37,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,68,"SMALL_CAP"
"CHEMCON",264.25,300.08,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,67.3,"MICRO_CAP"
"AGARWALEYE",535.2,207,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,66.7,"MICRO_CAP"
"ASAHIINDIA",899.95,62.72,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,66.7,"MICRO_CAP"
"ASTRAMICRO",1090.6,79.21,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,65.3,"SMALL_CAP"
