SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Auto & Auto Ancillaries,62.8,12,71,ASHOKLEY,ASHOK LEYLAND LTD,MID_CAP,148.26,-1.43,4.94,9.26,69.3,63.3,BULLISH,10.64,12,10,25,71.08,74.57,82,59.41,59.17,3103809083.15,BUY,2025-11-14
Auto & Auto Ancillaries,62.8,12,129,BHARATFORG,BHARAT FORGE LTD,MID_CAP,1396.7,0.57,6.04,13.31,65.3,72.2,STRONG_BULLISH,20.09,16,11,15,54.83,55.22,53,56.82,54.17,1703418884,BUY,2025-11-14
Auto & Auto Ancillaries,62.8,12,243,APOLLOTYRE,APOLLO TYRES LTD,SMALL_CAP,518.7,-3.39,0.64,6.55,62.7,56.2,STRONG_BULLISH,6.11,10,10,15,53.44,54.57,51,53.68,54.17,687841091.7,HOLD,2025-11-14
Auto & Auto Ancillaries,62.8,12,233,SANDHAR,SANDHAR TECHNOLOGIES LTD,SMALL_CAP,548.25,-0.89,0.53,7.63,62,58.3,STRONG_BULLISH,20.39,18,6,0,NA,NA,NA,NA,NA,734294016.25,HOLD,2025-11-14
Auto & Auto Ancillaries,62.8,12,21,MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,LARGE_CAP,109.84,0.65,5.82,4.83,54.7,62.7,BEARISH,12.31,14,9,0,NA,NA,NA,NA,NA,7604110774.57,HOLD,2025-11-14
Defence & Aerospace,58.519999999999996,15,129,BHARATFORG,BHARAT FORGE LTD,MID_CAP,1396.7,0.57,6.04,13.31,65.3,72.2,STRONG_BULLISH,20.09,16,11,15,54.83,55.22,53,56.82,54.17,1703418884,BUY,2025-11-14
Defence & Aerospace,58.519999999999996,15,29,BEL,BHARAT ELECTRONICS LTD,LARGE_CAP,426.85,1.68,3.04,4.59,57.3,59,STRONG_BULLISH,9.44,7,13,15,54.37,52.39,47,56.59,69,6248421760.55,HOLD,2025-11-14
Defence & Aerospace,58.519999999999996,15,224,BELRISE,BELRISE INDUSTRIES LTD,SMALL_CAP,164.32,0.27,9.72,8.93,57.3,69.4,STRONG_BULLISH,11.61,11,6,15,53.29,50.22,51,57.27,60,792811570.63,HOLD,2025-11-14
Defence & Aerospace,58.519999999999996,15,193,ASTRAL,ASTRAL LIMITED,SMALL_CAP,1514,-2.36,-2.78,5.23,56.7,55,STRONG_BULLISH,5.23,9,8,20,62.97,68.04,60,59.41,59.17,999720725.7,HOLD,2025-11-14
Defence & Aerospace,58.519999999999996,15,849,QGOLDHALF,QUANTUM GOLD FUND,MICRO_CAP,103.78,-1.55,4.04,-1.62,56,59.7,BULLISH,15.79,11,12,0,NA,NA,NA,NA,NA,26197228.99,HOLD,2025-11-14
