"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"CYIENT",1201,1.27,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,60.7,"MICRO_CAP"
"SBIN",1042.3,14.13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60,"LARGE_CAP"
"CUPID",458.55,81.29,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,60,"LARGE_CAP"
"INDUSTOWER",433.85,16.65,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60,"MID_CAP"
"ALKEM",5836.5,4.58,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,60,"SMALL_CAP"
"BALKRISIND",2447.4,4.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,"MICRO_CAP"
"ABCAPITAL",362,13.99,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,59.3,"SMALL_CAP"
"NAVINFLUOR",6156.5,25.39,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,59.3,"SMALL_CAP"
"COROMANDEL",2321.6,-0.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59.3,"MICRO_CAP"
"MOVALUE",118.65,7.21,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,59.3,"MICRO_CAP"
"SBILIFE",2081,12.85,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,58.7,"SMALL_CAP"
"GROWWSLVR",275.98,64.1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,58.7,"SMALL_CAP"
"UNIONBANK",176.15,21.2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,58,"LARGE_CAP"
"SETFGOLD",121.56,13.85,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,58,"MID_CAP"
"PSUBNKBEES",100.47,13.37,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,58,"SMALL_CAP"
"VEDL",682.7,33.04,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,57.3,"LARGE_CAP"
"SBISILVER",276.07,64.52,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,57.3,"MID_CAP"
"SILVER1",273.34,64.59,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,57.3,"SMALL_CAP"
"CUB",273,17.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.3,"MICRO_CAP"
"MENONBE",130.99,1.98,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.3,"MICRO_CAP"
"5PAISA",374.7,5.32,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.3,"MICRO_CAP"
"BAJAJ-AUTO",9489,5.82,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7,"MID_CAP"
"GRAPHITE",639.55,9.31,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7,"SMALL_CAP"
"KARURVYSYA",267.5,16.95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7,"SMALL_CAP"
"BELRISE",170.71,4.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7,"MICRO_CAP"
"AVANTIFEED",805.85,16.39,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,56.7,"MICRO_CAP"
"BAJAJCON",280.7,11.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7,"MICRO_CAP"
"GROWWGOLD",138.9,13.16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,56.7,"MICRO_CAP"
"LUPIN",2177.9,9.12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,56,"MID_CAP"
"MARICO",760.15,4.58,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,56,"MID_CAP"
"HDBFS",765.8,1.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,"SMALL_CAP"
