SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
IT & Software,54.8,16,133,PERSISTENT,PERSISTENT SYSTEMS LTD,MID_CAP,6520.5,1.06,2.64,11.3,50.7,70.3,STRONG_BULLISH,16.94,13,12,0,NA,NA,NA,NA,NA,1330217211.5,HOLD,2025-12-05
IT & Software,54.8,16,581,MASFIN,MAS FINANCIAL SERV LTD,MICRO_CAP,320.6,3.77,3.82,2.49,50,57.5,BULLISH,0.18,7,16,0,NA,NA,NA,NA,NA,100176372.6,HOLD,2025-12-05
Defence & Aerospace,51.2,16,794,QGOLDHALF,QUANTUM GOLD FUND,MICRO_CAP,107,1.05,2.5,7.2,64,64.4,STRONG_BULLISH,15.76,12,15,0,NA,NA,NA,NA,NA,20422519.46,HOLD,2025-12-05
Defence & Aerospace,51.2,16,242,BHARATFORG,BHARAT FORGE LTD,SMALL_CAP,1406,0.84,-1.94,6.12,56,57.5,STRONG_BULLISH,8.99,9,12,15,54.83,55.22,53,56.82,54.17,676636363.5,HOLD,2025-12-05
Defence & Aerospace,51.2,16,204,BELRISE,BELRISE INDUSTRIES LTD,SMALL_CAP,160.97,-1.41,-3.95,10.81,48.7,51.4,STRONG_BULLISH,1.04,4,8,15,53.29,50.22,51,57.27,60,843646485.77,WEAK_HOLD,2025-12-05
Defence & Aerospace,51.2,16,173,ASTRAL,ASTRAL LIMITED,SMALL_CAP,1459.5,1.3,1.3,-0.52,44,49.7,BULLISH,-1,0,12,20,62.97,68.04,60,59.41,59.17,1034991968.2,WEAK_HOLD,2025-12-05
Defence & Aerospace,51.2,16,426,RRKABEL,R R KABEL LIMITED,MICRO_CAP,1368.2,-1.93,-2.5,-3.77,43.3,50.3,STRONG_BULLISH,7.49,4,8,0,NA,NA,NA,NA,NA,206011766.6,WEAK_HOLD,2025-12-05
Banking - Private,50.82,8,45,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1282.5,0.2,0.22,4.56,60,61.9,STRONG_BULLISH,11.42,9,12,15,52.47,51.19,47,54.71,62,3487223683.3,HOLD,2025-12-05
Banking - Private,50.82,8,53,INDUSINDBK,INDUSIND BANK LIMITED,MID_CAP,870.1,0.82,1.35,10.11,56.7,66.2,STRONG_BULLISH,15.4,11,10,0,NA,NA,NA,NA,NA,2921440335.2,HOLD,2025-12-05
Banking - Private,50.82,8,129,RBLBANK,RBL BANK LIMITED,MID_CAP,305.8,2.46,-2.11,-5.57,50.7,46.7,BULLISH,11.36,8,10,0,NA,NA,NA,NA,NA,1358292247,HOLD,2025-12-05
Banking - Private,50.82,8,140,FEDERALBNK,FEDERAL BANK LTD,MID_CAP,259.2,0.21,0.5,8.98,50.7,78.5,STRONG_BULLISH,29.48,13,12,0,NA,NA,NA,NA,NA,1293908178,HOLD,2025-12-05
Banking - Private,50.82,8,36,KOTAKBANK,KOTAK MAHINDRA BANK LTD,LARGE_CAP,2154.9,0.91,1.44,2.78,36,61,BULLISH,4.62,3,8,0,NA,NA,NA,NA,NA,4158877425.6,WEAK_HOLD,2025-12-05
Media & Entertainment,50.66,14,53,INDUSINDBK,INDUSIND BANK LIMITED,MID_CAP,870.1,0.82,1.35,10.11,56.7,66.2,STRONG_BULLISH,15.4,11,10,0,NA,NA,NA,NA,NA,2921440335.2,HOLD,2025-12-05
Media & Entertainment,50.66,14,209,SUNDARMFIN,SUNDARAM FINANCE LTD,SMALL_CAP,4848.3,3.87,2.53,1.53,54,60.1,BULLISH,4.45,8,16,0,NA,NA,NA,NA,NA,823046387.8,HOLD,2025-12-05
Media & Entertainment,50.66,14,69,GOLDBEES,NIP IND ETF GOLD BEES,MID_CAP,106.89,0.92,2.17,7.1,53.3,63.9,STRONG_BULLISH,15.6,11,10,0,NA,NA,NA,NA,NA,2439393356.2,HOLD,2025-12-05
Media & Entertainment,50.66,14,48,SUNPHARMA,SUN PHARMACEUTICAL IND L,LARGE_CAP,1805.3,-0.71,-1.44,6.82,50,63.6,STRONG_BULLISH,7.53,7,12,0,NA,NA,NA,NA,NA,3212676828.7,HOLD,2025-12-05
Media & Entertainment,50.66,14,329,LIQUIDBETF,BFAM - LIQUIDBETF,MICRO_CAP,1059.74,0.04,0.09,0.42,39.3,100,STRONG_BULLISH,-0.45,2,15,0,NA,NA,NA,NA,NA,393650678.38,WEAK_HOLD,2025-12-05
Pharma & Healthcare,50.14,16,294,AUROPHARMA,AUROBINDO PHARMA LTD,SMALL_CAP,1217.6,-0.45,-0.74,5.96,60,58.9,STRONG_BULLISH,7.31,7,12,20,67.41,70.43,70,59.18,66,480854630.6,HOLD,2025-12-05
Pharma & Healthcare,50.14,16,113,BIOCON,BIOCON LIMITED.,MID_CAP,392.65,1.11,-1.43,3.19,52,50.4,BULLISH,4.87,3,10,15,58.99,60.43,56,56.82,63,1646053758.85,HOLD,2025-12-05
Pharma & Healthcare,50.14,16,48,SUNPHARMA,SUN PHARMACEUTICAL IND L,LARGE_CAP,1805.3,-0.71,-1.44,6.82,50,63.6,STRONG_BULLISH,7.53,7,12,0,NA,NA,NA,NA,NA,3212676828.7,HOLD,2025-12-05
Pharma & Healthcare,50.14,16,243,ALKEM,ALKEM LABORATORIES LTD.,SMALL_CAP,5675.5,0.29,-0.17,0.2,46,53.1,BULLISH,0.93,2,11,15,56.97,60.22,47,58.41,63,669395773.5,WEAK_HOLD,2025-12-05
Pharma & Healthcare,50.14,16,185,LAURUSLABS,LAURUS LABS LIMITED,SMALL_CAP,1026.1,1.24,-0.51,4.37,42.7,64.9,STRONG_BULLISH,8.6,7,6,0,NA,NA,NA,NA,NA,955467225.7,WEAK_HOLD,2025-12-05
