"SYMBOL","CURRENT_PRICE","SMA_20","SMA_50","SMA_100","SMA_200","ABOVE_20DMA","ABOVE_50DMA","ABOVE_100DMA","ABOVE_200DMA"
"BURNPUR",6.6,6.306,6.8738,6.5956,6.0018,TRUE,FALSE,TRUE,TRUE
"BUTTERFLY",611.55,650.085,693.807,703.499500000001,696.017749999999,FALSE,FALSE,FALSE,FALSE
"BVCL",42.95,46.9425,44.8062,41.2863,42.1953500000001,FALSE,FALSE,TRUE,TRUE
"BYKE",53.39,53.379,57.5472,67.6001,69.9321,TRUE,FALSE,FALSE,FALSE
"CALSOFT",15.37,15.8055,16.7096,17.4353,16.9487,FALSE,FALSE,FALSE,FALSE
"CAMLINFINE",147.78,150.091,166.31,195.0293,171.4434,FALSE,FALSE,FALSE,FALSE
"CAMPUS",250.75,262.01,269.837,270.401,267.49315,FALSE,FALSE,FALSE,FALSE
"CAMS",727.8,1058.94,2761.974,3301.865,3616.7815,FALSE,FALSE,FALSE,FALSE
"CANBK",157.13,150.406,144.8048,129.7968,116.55225,TRUE,TRUE,TRUE,TRUE
"CANFINHOME",919.4,912.639999999999,891.239,828.436000000001,784.34475,TRUE,TRUE,TRUE,TRUE
"CANTABIL",290.55,277.207,262.2894,258.2567,257.685150000001,TRUE,TRUE,TRUE,TRUE
"CAPACITE",236.5,253.1325,270.68,281.8615,311.80675,FALSE,FALSE,FALSE,FALSE
"CAPLIPOINT",1826.2,1872.945,1925.694,2023.826,2020.65775,FALSE,FALSE,FALSE,FALSE
"CAPTRUST",13.68,12.562,17.8651999999999,40.9167,78.58185,TRUE,FALSE,FALSE,FALSE
"CARBORUNIV",814.1,845.582500000002,868.657,897.709499999999,939.471000000001,FALSE,FALSE,FALSE,FALSE
"CAREERP",377.75,342.6425,351.044,393.596,361.99475,TRUE,TRUE,FALSE,TRUE
"CARERATING",1614,1608.125,1579.104,1580.463,1551.563,TRUE,TRUE,TRUE,TRUE
"CARTRADE",2713.4,2812.375,2908.032,2663.701,2178.7815,FALSE,FALSE,TRUE,TRUE
"CARYSIL",775.6,884.3675,938.710999999998,909.957000000002,829.951000000001,FALSE,FALSE,FALSE,FALSE
"CASTROLIND",185.28,188.932,191.839,197.669,205.69465,FALSE,FALSE,FALSE,FALSE
"CCHHL",14.27,15.0575,15.9222,16.7423,16.8558,FALSE,FALSE,FALSE,FALSE
"CCL",971.05,953.6575,956.879,918.0575,831.387500000001,TRUE,TRUE,TRUE,TRUE
"CDSL",1434.3,1474.84,1553.026,1549.908,1508.801,FALSE,FALSE,FALSE,FALSE
"CEATLTD",3793.4,3820.675,3930.462,3635.834,3514.18849999999,FALSE,FALSE,TRUE,TRUE
"CELEBRITY",8.1,8.54049999999999,9.5654,10.8277,11.6432,FALSE,FALSE,FALSE,FALSE
"CENTENKA",429.65,438.855,451.361,473.143500000001,486.855499999999,FALSE,FALSE,FALSE,FALSE
"CENTEXT",33.28,27.322,24.6474,23.1045,21.6735,TRUE,TRUE,TRUE,TRUE
"CENTRALBK",38.58,37.4144999999999,38.2476,37.3937,37.9681500000001,TRUE,TRUE,TRUE,TRUE
"CENTRUM",27.11,28.816,31.0568,32.2163,30.07275,FALSE,FALSE,FALSE,FALSE
"CENTUM",2305.7,2267.405,2380.66,2511.405,2255.242,TRUE,FALSE,FALSE,TRUE
"CENTURYPLY",747.7,800.857500000001,781.88,777.654,755.199250000001,FALSE,FALSE,FALSE,FALSE
"CENTURYTEX",2714.05,2770.2475,2482.668,2341.9375,1950.35675,FALSE,TRUE,TRUE,TRUE
"CERA",5196,5235.5,5594.65,5936.19500000001,6075.228,FALSE,FALSE,FALSE,FALSE
"CESC",155.73,168.045,172.3938,168.0615,166.0458,FALSE,FALSE,FALSE,FALSE
"CGCL",179.65,184.4125,191.8634,189.9939,178.8841,FALSE,FALSE,FALSE,TRUE
"CGPOWER",561.7,633.5325,686.209,706.676,680.56825,FALSE,FALSE,FALSE,FALSE
"CHALET",877.3,884.350000000001,901.831,939.481,903.744250000002,FALSE,FALSE,FALSE,FALSE
"CHAMBLFERT",440.15,448.3725,460.405,497.317,546.46475,FALSE,FALSE,FALSE,FALSE
"CHEMBOND",161.82,159.3785,164.3326,222.5733,392.13665,TRUE,FALSE,FALSE,FALSE
"CHEMCON",183.87,198.6355,220.9452,230.1824,213.2171,FALSE,FALSE,FALSE,FALSE
"CHEMFAB",419.15,444.83,506.576000000001,578.6025,680.091749999998,FALSE,FALSE,FALSE,FALSE
"CHEMPLASTS",274.8,261.6725,315.339,364.2325,397.11825,TRUE,FALSE,FALSE,FALSE
"CHENNPETRO",859.95,866.522500000001,913.345999999999,812.967,734.060500000001,FALSE,FALSE,TRUE,TRUE
"CHEVIOT",1010.6,1049.39,1094.284,1139.036,1116.84875,FALSE,FALSE,FALSE,FALSE
"CHOICEIN",822.65,797.372499999999,800.261,797.848500000002,720.1045,TRUE,TRUE,TRUE,TRUE
"CHOLAFIN",1699.2,1728.645,1715.688,1627.855,1586.99175,FALSE,FALSE,TRUE,TRUE
"CHOLAHLDNG",1772.3,1873.915,1896.368,1875.313,1883.9645,FALSE,FALSE,FALSE,FALSE
"CIGNITITEC",1707.3,1727.36,1738.994,1674.82,1607.571,FALSE,FALSE,TRUE,TRUE
"CINELINE",82.83,85.3885,85.6846000000001,86.9414,94.7917500000001,FALSE,FALSE,FALSE,FALSE
"CINEVISTA",16.22,15.915,16.901,16.9683,16.65265,TRUE,FALSE,FALSE,FALSE
"CIPLA",1397.5,1488.635,1519.09,1533.065,1513.99475,FALSE,FALSE,FALSE,FALSE
"CLEAN",860.8,874.522499999999,930.698000000001,1036.857,1177.694,FALSE,FALSE,FALSE,FALSE
"CLEDUCATE",80.86,82.9485000000001,93.9965999999999,93.0218000000001,94.4187000000001,FALSE,FALSE,FALSE,FALSE
"CLSEL",253.95,261.4125,266.393,272.661,302.3595,FALSE,FALSE,FALSE,FALSE
"CMSINFO",331.05,345.0875,355.663,383.039,431.213000000001,FALSE,FALSE,FALSE,FALSE
"COALINDIA",431,406.097500000001,392.286,388.9085,390.124500000001,TRUE,TRUE,TRUE,TRUE
"COASTCORP",45.8,43.1699999999999,39.9246,37.4578,52.7326999999999,TRUE,TRUE,TRUE,FALSE
"COCHINSHIP",1526.6,1599.55,1683.368,1715.717,1738.979,FALSE,FALSE,FALSE,FALSE
"COFFEEDAY",34.25,39.6315,38.644,39.8041,48.6734999999999,FALSE,FALSE,FALSE,FALSE
"COFORGE",1732.3,1765.59,1792.614,1747.51800000001,3448.29625000001,FALSE,FALSE,FALSE,FALSE
"COLPAL",2104.8,2109.38,2162.294,2226.48099999999,2342.953,FALSE,FALSE,FALSE,FALSE
"COMPINFO",11.8,12.3125,12.684,13.169,14.35125,FALSE,FALSE,FALSE,FALSE
"COMPUSOFT",14.74,16.0155,17.1692,18.3715,19.5043500000001,FALSE,FALSE,FALSE,FALSE
"CONCOR",519.7,516.2075,522.213000000001,532.8185,613.274499999999,TRUE,FALSE,FALSE,FALSE
"CONFIPET",34.12,35.1654999999999,38.3258,42.8261000000001,48.6492999999999,FALSE,FALSE,FALSE,FALSE
"CONSOFINVT",159.96,161.8835,170.4342,179.989,186.7389,FALSE,FALSE,FALSE,FALSE
"CONSUMBEES",132.27,135.2425,137.0952,136.3386,130.8706,FALSE,FALSE,FALSE,TRUE
"CONTROLPR",661.35,695.879999999999,720.265999999999,746.5275,727.198749999999,FALSE,FALSE,FALSE,FALSE
"CORALFINAC",37.66,38.9260000000001,40.276,42.2721,42.6939,FALSE,FALSE,FALSE,FALSE
"CORDSCABLE",167.25,182.64,183.9466,180.8702,183.63135,FALSE,FALSE,FALSE,FALSE
"COROMANDEL",2321.6,2303.255,2258.738,2283.754,2265.46275,TRUE,TRUE,TRUE,TRUE
"COSMOFIRST",643.4,690.827500000001,759.603000000001,859.139,871.687999999999,FALSE,FALSE,FALSE,FALSE
"CPSEETF",93.84,92.145,92.7206,91.9707,90.9977,TRUE,TRUE,TRUE,TRUE
"CRAFTSMAN",7768,7477.075,7065.92,6915.045,6121.78699999999,TRUE,TRUE,TRUE,TRUE
"CREATIVE",739.4,694.77,670.14,655.4335,683.5975,TRUE,TRUE,TRUE,TRUE
"CREATIVEYE",7.07,7.116,7.2602,7.29899999999999,6.88059999999999,FALSE,FALSE,FALSE,TRUE
"CREDITACC",1299.4,1298.515,1342.384,1343.799,1243.00425,TRUE,FALSE,FALSE,TRUE
"CREST",391.5,378.722499999999,375.291,372.8685,381.51125,TRUE,TRUE,TRUE,TRUE
"CRISIL",4748,4540.06,4647.01,4812.10999999999,4955.496,TRUE,TRUE,FALSE,FALSE
"CROMPTON",251.2,254.6375,268.544,290.081,317.032,FALSE,FALSE,FALSE,FALSE
"CSBBANK",503.6,460.457500000001,436.175,409.7075,387.097,TRUE,TRUE,TRUE,TRUE
"CSLFINANCE",281.05,293.145,286.366,290.2025,298.634,FALSE,FALSE,FALSE,FALSE
"CTE",36.69,38.7495000000001,44.8956000000001,48.9778,75.2014000000001,FALSE,FALSE,FALSE,FALSE
"CUB",273,277.0025,264.0898,236.6412,212.67545,FALSE,TRUE,TRUE,TRUE
"CUBEXTUB",105.75,103.992,96.3297999999999,97.1884999999999,95.4147,TRUE,TRUE,TRUE,TRUE
"CUMMINSIND",4062,4315.485,4319.606,4111.29,3631.15025,FALSE,FALSE,FALSE,TRUE
"CUPID",458.55,419.49,338.4134,267.9178,181.44615,TRUE,TRUE,TRUE,TRUE
"CYBERMEDIA",15.68,17.457,17.2146,17.7217,22.03635,FALSE,FALSE,FALSE,FALSE
"CYBERTECH",134.69,176.09,163.1034,162.8406,170.37545,FALSE,FALSE,FALSE,FALSE
"CYIENT",1201,1155.555,1154.862,1173.587,1219.52225,TRUE,TRUE,TRUE,FALSE
"DAAWAT",187.95,171.905,169.139,159.931,133.62625,TRUE,TRUE,TRUE,TRUE
"DABUR",514.55,511.8175,512.989,515.073,502.8715,TRUE,TRUE,FALSE,TRUE
"DALBHARAT",2162.4,2067.44,2061.748,2190.525,2101.0185,TRUE,TRUE,FALSE,TRUE
"DALMIASUG",278.7,290.9025,321.846,345.9855,367.80425,FALSE,FALSE,FALSE,FALSE
"DAMODARIND",29.84,30.1875000000001,32.0452,33.6577,34.243,FALSE,FALSE,FALSE,FALSE
"DANGEE",3.49,3.6035,3.86520000000001,4.29029999999999,5.58954999999997,FALSE,FALSE,FALSE,FALSE
"DATAMATICS",701.9,788.6375,848.031,891.584,769.927500000002,FALSE,FALSE,FALSE,FALSE
"DATAPATTNS",2542,2656.02,2781.646,2710.815,2585.7945,FALSE,FALSE,FALSE,FALSE
"DBCORP",239.25,250.7875,256.496000000001,262.640500000001,257.65275,FALSE,FALSE,FALSE,FALSE
"DBL",471.45,459.2725,467.12,482.918999999999,479.508,TRUE,TRUE,FALSE,FALSE
"DBOL",74.61,78.4964999999999,76.7300000000001,80.1195999999999,92.167,FALSE,FALSE,FALSE,FALSE
"DBREALTY",104.11,116.9145,132.9556,151.6326,167.7008,FALSE,FALSE,FALSE,FALSE
"DBSTOCKBRO",25.22,25.015,25.1544,25.5234999999999,27.50625,TRUE,TRUE,FALSE,FALSE
"DCAL",254.08,243.702,254.6394,262.7067,246.19165,TRUE,FALSE,FALSE,TRUE
"DCBBANK",187.92,177.385,173.6234,150.1361,141.92885,TRUE,TRUE,TRUE,TRUE
"DCM",88.45,91.412,93.1856000000001,96.0931999999999,100.42085,FALSE,FALSE,FALSE,FALSE
"DCMFINSERV",4.99,5.23849999999999,5.3876,5.7343,5.70175000000001,FALSE,FALSE,FALSE,FALSE
"DCMNVL",123.18,131.139,139.321,152.0691,163.91355,FALSE,FALSE,FALSE,FALSE
"DCMSHRIRAM",1162.8,1218.59,1231.238,1240.237,1192.2055,FALSE,FALSE,FALSE,FALSE
"DCMSRIND",45.79,138.034,156.0374,161.1047,165.6253,FALSE,FALSE,FALSE,FALSE
"DCW",52.49,55.5849999999999,61.346,67.1980000000001,72.8697999999998,FALSE,FALSE,FALSE,FALSE
"DCXINDIA",175.58,178.442,195.918799999999,226.405,251.9774,FALSE,FALSE,FALSE,FALSE
"DECCANCE",655.85,726.745000000001,851.606999999999,958.599500000001,892.619250000001,FALSE,FALSE,FALSE,FALSE
"DEEPAKFERT",1198.2,1244.99,1353.122,1412.629,1405.151,FALSE,FALSE,FALSE,FALSE
"DEEPAKNTR",1546.4,1591.65,1653.718,1727.87399999999,1848.42275,FALSE,FALSE,FALSE,FALSE
"DEEPENR",317.61,207.314,186.9422,183.0019,182.6192,TRUE,TRUE,TRUE,TRUE
"DEEPINDS",375.85,422.0975,455.348,491.1895,471.226,FALSE,FALSE,FALSE,FALSE
"DELHIVERY",401.45,406.365,429.065999999999,447.557999999999,392.613900000001,FALSE,FALSE,FALSE,TRUE
