INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Nifty Auto,59.46,21,MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,LARGE_CAP,109.84,0.65,5.82,4.83,54.7,62.7,BEARISH,12.31,14,9,0,NA,NA,NA,NA,NA,7604110774.57,HOLD,2025-11-14
Nifty Auto,59.46,36,HEROMOTOCO,HERO MOTOCORP LIMITED,LARGE_CAP,5538.5,0.54,4.58,0.02,45.3,55.2,BULLISH,2.75,6,11,0,NA,NA,NA,NA,NA,5227544607.5,WEAK_HOLD,2025-11-14
Nifty 100,59.18,28,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1241.6,1.34,1.54,6.16,69.3,62.7,BULLISH,12.68,11,17,15,52.47,51.19,47,54.71,62,6437561401.2,BUY,2025-11-14
Nifty 100,59.18,24,ASIANPAINT,ASIAN PAINTS LIMITED,LARGE_CAP,2906.4,0.94,11.19,22.37,61.3,85.1,STRONG_BULLISH,9.28,14,4,20,62.21,68.26,60,57.05,56.67,7230241805.2,HOLD,2025-11-14
Nifty 100,59.18,15,SBIN,STATE BANK OF INDIA,LARGE_CAP,967.85,1.45,1.26,9.23,57.3,76.2,STRONG_BULLISH,14.49,13,17,0,NA,NA,NA,NA,NA,10617844264.95,HOLD,2025-11-14
Nifty 100,59.18,11,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2100.7,0.43,4.97,6.72,56,61.2,STRONG_BULLISH,5.1,9,11,15,52.75,50.65,51,54.32,59.17,13193910899.9,HOLD,2025-11-14
Nifty 100,59.18,20,LT,LARSEN & TOUBRO LTD.,LARGE_CAP,4004.4,0.05,3.14,4.59,52,66.2,STRONG_BULLISH,5.09,8,11,0,NA,NA,NA,NA,NA,7657038797.5,HOLD,2025-11-14
NIFTY SMLCAP 100,57.06,90,AUROPHARMA,AUROBINDO PHARMA LTD,MID_CAP,1222.5,1.02,8.78,10.23,67.3,73.2,BULLISH,12.82,14,10,20,67.41,70.43,70,59.18,66,2507360690.1,BUY,2025-11-14
NIFTY SMLCAP 100,57.06,102,ADANIENSOL,ADANI ENERGY SOLUTION LTD,MID_CAP,1023.85,0.24,6.58,8.44,60.7,69.8,STRONG_BULLISH,27.87,14,13,0,10,10,10,10,10,2260938220,HOLD,2025-11-14
NIFTY SMLCAP 100,57.06,154,BIOCON,BIOCON LIMITED.,SMALL_CAP,411.15,-1.4,8.08,15.36,55.3,73.7,BULLISH,11.91,13,8,15,58.99,60.43,56,56.82,63,1375792174.05,HOLD,2025-11-14
NIFTY SMLCAP 100,57.06,51,ADANIGREEN,ADANI GREEN ENERGY LTD,MID_CAP,1068.8,-0.74,0.85,2.4,54.7,52.3,STRONG_BULLISH,10.89,9,10,0,10,10,10,10,10,3859402226.1,HOLD,2025-11-14
NIFTY SMLCAP 100,57.06,53,INDUSINDBK,INDUSIND BANK LIMITED,MID_CAP,848.25,-1.76,6.4,14.61,47.3,69.2,BULLISH,8.59,11,8,0,NA,NA,NA,NA,NA,3821865283.1,WEAK_HOLD,2025-11-14
NIFTY SMLCAP 50,57.06,90,AUROPHARMA,AUROBINDO PHARMA LTD,MID_CAP,1222.5,1.02,8.78,10.23,67.3,73.2,BULLISH,12.82,14,10,20,67.41,70.43,70,59.18,66,2507360690.1,BUY,2025-11-14
NIFTY SMLCAP 50,57.06,102,ADANIENSOL,ADANI ENERGY SOLUTION LTD,MID_CAP,1023.85,0.24,6.58,8.44,60.7,69.8,STRONG_BULLISH,27.87,14,13,0,10,10,10,10,10,2260938220,HOLD,2025-11-14
NIFTY SMLCAP 50,57.06,154,BIOCON,BIOCON LIMITED.,SMALL_CAP,411.15,-1.4,8.08,15.36,55.3,73.7,BULLISH,11.91,13,8,15,58.99,60.43,56,56.82,63,1375792174.05,HOLD,2025-11-14
NIFTY SMLCAP 50,57.06,51,ADANIGREEN,ADANI GREEN ENERGY LTD,MID_CAP,1068.8,-0.74,0.85,2.4,54.7,52.3,STRONG_BULLISH,10.89,9,10,0,10,10,10,10,10,3859402226.1,HOLD,2025-11-14
NIFTY SMLCAP 50,57.06,53,INDUSINDBK,INDUSIND BANK LIMITED,MID_CAP,848.25,-1.76,6.4,14.61,47.3,69.2,BULLISH,8.59,11,8,0,NA,NA,NA,NA,NA,3821865283.1,WEAK_HOLD,2025-11-14
NIFTY SMLCAP 250,57.06,90,AUROPHARMA,AUROBINDO PHARMA LTD,MID_CAP,1222.5,1.02,8.78,10.23,67.3,73.2,BULLISH,12.82,14,10,20,67.41,70.43,70,59.18,66,2507360690.1,BUY,2025-11-14
NIFTY SMLCAP 250,57.06,102,ADANIENSOL,ADANI ENERGY SOLUTION LTD,MID_CAP,1023.85,0.24,6.58,8.44,60.7,69.8,STRONG_BULLISH,27.87,14,13,0,10,10,10,10,10,2260938220,HOLD,2025-11-14
NIFTY SMLCAP 250,57.06,154,BIOCON,BIOCON LIMITED.,SMALL_CAP,411.15,-1.4,8.08,15.36,55.3,73.7,BULLISH,11.91,13,8,15,58.99,60.43,56,56.82,63,1375792174.05,HOLD,2025-11-14
NIFTY SMLCAP 250,57.06,51,ADANIGREEN,ADANI GREEN ENERGY LTD,MID_CAP,1068.8,-0.74,0.85,2.4,54.7,52.3,STRONG_BULLISH,10.89,9,10,0,10,10,10,10,10,3859402226.1,HOLD,2025-11-14
NIFTY SMLCAP 250,57.06,53,INDUSINDBK,INDUSIND BANK LIMITED,MID_CAP,848.25,-1.76,6.4,14.61,47.3,69.2,BULLISH,8.59,11,8,0,NA,NA,NA,NA,NA,3821865283.1,WEAK_HOLD,2025-11-14
