SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
AARTIIND,AARTIIND,SMALL_CAP,425.15,1.05,3.89,-4.76,39.3,42.4,,11,11,,BULLISH,WEAK_HOLD
TORNTPHARM,Torrent Pharmaceuticals Limited,LARGE_CAP,4266.6,-2.81,-2.45,4.62,39.3,46.7,,7,10,,STRONG_BULLISH,WEAK_HOLD
EMMVEE,EMMVEE,SMALL_CAP,210.28,5.0,8.69,-0.0,39.3,49.8,,9,16,,NEUTRAL,WEAK_HOLD
SUNCLAY,SUNCLAY,SMALL_CAP,1315.4,6.63,2.31,-0.17,38.7,44.7,,9,14,,STRONG_BEARISH,WEAK_HOLD
VTL,VTL,MICRO_CAP,531.3,-1.02,-1.71,4.06,38.7,46.7,,11,10,,STRONG_BULLISH,WEAK_HOLD
BAJEL,BAJEL,MICRO_CAP,167.95,20.0,14.03,4.14,38.7,56.3,,11,16,,STRONG_BEARISH,WEAK_HOLD
BSE,BSE,LARGE_CAP,2862.6,2.35,3.38,-5.38,38.7,60.4,,7,9,,STRONG_BULLISH,WEAK_HOLD
CANHLIFE,CANHLIFE,MICRO_CAP,145.6,3.78,-0.05,-3.96,38.0,46.3,,1,20,,BULLISH,WEAK_HOLD
AJANTPHARM,AJANTPHARM,MID_CAP,2954.1,-2.52,0.6,1.16,38.0,48.3,,9,6,,STRONG_BULLISH,WEAK_HOLD
GANECOS,GANECOS,MID_CAP,841.15,7.0,19.25,4.64,38.0,64.1,,11,12,,STRONG_BEARISH,WEAK_HOLD
GVT&D,GVT&D,LARGE_CAP,3522.3,-2.28,-6.54,-0.86,38.0,40.8,,9,6,,STRONG_BULLISH,WEAK_HOLD
LIQUIDCASE,LIQUIDCASE,MICRO_CAP,113.15,0.01,0.09,0.36,38.0,100.0,,7,12,,STRONG_BULLISH,WEAK_HOLD
ADANIPOWER,Adani Power Limited,MICRO_CAP,154.06,5.11,10.75,10.12,38.0,65.4,,11,12,,STRONG_BEARISH,WEAK_HOLD
BANDHANBNK,BANDHANBNK,MICRO_CAP,162.54,-7.38,-6.65,-1.75,37.3,41.8,,11,4,,STRONG_BULLISH,WEAK_HOLD
COALINDIA,COALINDIA,SMALL_CAP,460.3,-1.43,5.18,12.56,36.7,66.8,,10,10,,STRONG_BULLISH,WEAK_HOLD
SAILIFE,SAILIFE,MID_CAP,976.5,2.46,-3.96,6.74,36.7,51.2,,9,9,,STRONG_BULLISH,WEAK_HOLD
GOLDIETF,GOLDIETF,MICRO_CAP,131.33,-2.58,-3.5,0.54,36.0,44.0,,9,8,,STRONG_BULLISH,WEAK_HOLD
AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1279.6,-1.3,2.59,11.7,36.0,76.4,,9,8,,STRONG_BULLISH,WEAK_HOLD
HINDALCO,Hindalco Industries Limited,MID_CAP,921.15,1.22,-2.56,1.34,36.0,51.1,,5,13,,STRONG_BULLISH,WEAK_HOLD
STLTECH,STLTECH,MICRO_CAP,183.52,-1.83,5.33,17.9,36.0,58.4,,15,4,,STRONG_BULLISH,WEAK_HOLD
DEEDEV,DEEDEV,SMALL_CAP,299.3,0.67,-0.17,45.62,36.0,63.7,,13,9,,STRONG_BULLISH,WEAK_HOLD
SAREGAMA,SAREGAMA,SMALL_CAP,357.4,4.32,10.62,4.18,36.0,57.6,,11,12,,STRONG_BEARISH,WEAK_HOLD
ABB,ABB,LARGE_CAP,6218.0,-2.73,3.94,7.57,36.0,59.9,,11,6,,STRONG_BULLISH,WEAK_HOLD
GOLDBEES,GOLDBEES,MICRO_CAP,127.22,-2.38,-3.14,0.89,36.0,44.6,,9,8,,STRONG_BULLISH,WEAK_HOLD
MAHSEAMLES,MAHSEAMLES,MICRO_CAP,559.9,1.84,3.27,4.42,36.0,63.4,,7,17,,BULLISH,WEAK_HOLD
CUMMINSIND,CUMMINSIND,LARGE_CAP,4589.7,-1.29,-2.17,4.02,35.3,37.5,,7,10,,STRONG_BULLISH,WEAK_HOLD
POWERGRID,Power Grid Corporation of India Limited,SMALL_CAP,297.75,-1.06,0.86,3.67,35.3,43.8,,7,10,,BULLISH,WEAK_HOLD
EBGNG,EBGNG,MICRO_CAP,367.55,-4.94,8.21,9.46,35.3,48.0,,11,2,,BULLISH,WEAK_HOLD
ATHERENERG,Ather Energy Limited,MID_CAP,713.2,1.16,4.62,0.7,35.3,48.1,,7,8,,BULLISH,WEAK_HOLD
VEDL,Vedanta Limited,MID_CAP,685.6,-0.57,-3.35,1.77,35.3,51.2,,9,12,,STRONG_BULLISH,WEAK_HOLD
LUPIN,Lupin Limited,LARGE_CAP,2290.4,-1.06,-0.55,4.14,35.3,57.7,,7,12,,STRONG_BULLISH,WEAK_HOLD
BLISSGVS,BLISSGVS,SMALL_CAP,202.15,-0.59,-1.03,-7.19,34.7,36.7,,10,6,,STRONG_BULLISH,SELL
SMSPHARMA,SMSPHARMA,MICRO_CAP,366.15,-0.71,-4.57,8.6,34.7,47.1,,11,4,,STRONG_BULLISH,SELL
SETFGOLD,SETFGOLD,MICRO_CAP,131.12,-2.51,-3.24,0.8,34.0,44.6,,9,10,,STRONG_BULLISH,SELL
JARO,JARO,SMALL_CAP,462.5,7.8,11.41,-2.44,34.0,55.8,,6,14,,STRONG_BEARISH,SELL
DCMSHRIRAM,DCMSHRIRAM,MICRO_CAP,1051.0,3.22,9.02,-5.69,34.0,41.1,,5,18,,STRONG_BEARISH,SELL
CSBBANK,CSBBANK,SMALL_CAP,357.15,7.48,0.45,-8.25,34.0,42.1,,5,14,,BULLISH,SELL
ITI,ITI,SMALL_CAP,277.15,14.38,10.51,-4.13,34.0,49.4,,5,18,,STRONG_BEARISH,SELL
