"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE","CURRENT_PRICE_BACKTEST","CHANGE_1D_BACKTEST","CHANGE_1W_BACKTEST","CHANGE_1M_BACKTEST","TECHNICAL_SCORE_BACKTEST","RSI_BACKTEST","TREND_SIGNAL_BACKTEST","VOLUME","ANALYSIS_DATE_BACKTEST","RSI_CONFIDENCE","TECH_SCORE_CONFIDENCE","VOLUME_CONFIDENCE","CONFIDENCE_SCORE","CONFIDENCE_CATEGORY","TRADING_SIGNAL_BACKTEST","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN","PERFORMANCE_CATEGORY","MAX_DRAWDOWN","SHARPE_RATIO","PROFIT_FACTOR","TOTAL_TRADES","ENHANCED_TRADING_SIGNAL","HAS_BACKTESTING_DATA","BACKTESTING_DATE"
111,"DALBHARAT","DALBHARAT","MID_CAP",2402.2,-0.05,1.87,NA,58,70.9,"STRONG_BULLISH",21.52,9,12,20,68.15,1329846596.5,"HOLD",2025-09-02,2401.5,2.13,2.34,10.96,87,71,"STRONG_BULLISH",423429,"2025-08-29",0.7,0.87,0.6,0.738,"High","STRONG_BUY",0.744329688558355,0.249677866627462,10,0.976561827689757,"Excellent",0.110865377925802,1.66992004634812,2.6951444389997,10,"BUY_BACKTESTED",TRUE,20333
767,"ANDHRSUGAR","ANDHRSUGAR","MICRO_CAP",77.5,3.36,1.57,NA,57.3,46.7,"BEARISH",7.74,7,18,20,60.88,87301896.42,"HOLD",2025-09-02,75.44,-0.5,-5.95,-9.52,17,38.3,"BULLISH",74671,"2025-08-29",0.7,0.17,0.4,0.398,"Low","SELL",0.412864841893315,-0.100553788000252,3,-0.171261738650611,"Poor",0.305429589236155,0.176604138338007,0.918206677515991,3,"SELL_BACKTESTED",TRUE,20333
2,"APOLLO","APOLLO","LARGE_CAP",292.7,9.79,20.3,NA,56.7,86.3,"STRONG_BULLISH",54.23,16,12,15,54.74,18166000931.15,"HOLD",2025-09-02,262.79,8.38,32.29,46.48,88,81.5,"STRONG_BULLISH",51575233,"2025-08-29",0.5,0.88,1,0.802,"Very High","STRONG_BUY",0.759111299877986,0.339914404321462,14,1.41108488754055,"Excellent",0.0738113617524505,2.6374731719261,1.56553618318867,14,"STRONG_BUY_BACKTESTED",TRUE,20333
296,"BLUESTARCO","BLUESTARCO","SMALL_CAP",1940.3,-0.41,4.04,NA,56.7,63.7,"STRONG_BULLISH",24.3,12,12,25,72.84,463118980,"HOLD",2025-09-02,1881.7,0.09,-2.44,1.13,70,58,"STRONG_BULLISH",157873,"2025-08-29",1,0.7,0.6,0.76,"High","BUY",0.66300029954873,0.102994553744793,8,0.305622092859059,"Good",0.236730866343714,1.94564262125641,1.72651046477258,8,"BUY_BACKTESTED",TRUE,20333
981,"CARRARO","CARRARO","MICRO_CAP",433.1,4.29,2.22,NA,56.7,49.9,"BEARISH",10.52,6,18,20,61.57,41835695.4,"HOLD",2025-09-02,410.8,0.09,-2.13,-7.86,12,37.4,"BEARISH",28900,"2025-08-29",0.7,0.12,0.2,0.318,"Low","SELL",0.395240961387753,-0.0663227093522437,3,-0.109667991907051,"Poor",0.367872094444465,0.226115363766439,1.18450088829268,3,"SELL_BACKTESTED",TRUE,20333
136,"CHAMBLFERT","CHAMBLFERT","MID_CAP",559.05,2.61,1.15,NA,56,55.2,"BEARISH",5.27,4,20,20,62.55,1083635088.2,"HOLD",2025-09-02,540.1,-0.3,-1.77,-2.17,25,46.7,"BULLISH",957245,"2025-08-29",1,0.25,0.8,0.64,"Medium","SELL",0.250611381372437,-0.121709959465079,3,-0.162412340459586,"Poor",0.169605841406155,0.137810322921723,0.632818212895654,3,"WEAK_HOLD_BACKTESTED",TRUE,20333
556,"CARYSIL","CARYSIL","MICRO_CAP",904.25,4.83,6.36,NA,55.3,59.6,"BULLISH",8.64,5,18,15,52.42,173168263.55,"HOLD",2025-09-02,859.75,2.38,-5.14,-1.89,40,50.8,"STRONG_BULLISH",92121,"2025-08-29",1,0.4,0.4,0.58,"Medium","WEAK_HOLD",0.48681286117062,0.0356035342440009,6,0.0693772925120753,"Fair",0.29158141054213,1.22409728169441,0.881362772500142,6,"WEAK_HOLD_BACKTESTED",TRUE,20333
257,"EVEREADY","EVEREADY","SMALL_CAP",448.8,3.64,7.46,NA,54.7,65.3,"STRONG_BULLISH",44.03,14,20,0,NA,573399583.9,"HOLD",2025-09-02,421.55,0.11,-3.78,13.44,80,55.1,"STRONG_BULLISH",742122,"2025-08-29",1,0.8,0.8,0.86,"Very High","STRONG_BUY",0.87438045903109,0.247920057503507,10,1.97357875686606,"Excellent",0.0772490866947919,2.79904972517397,1.77111039636657,10,"STRONG_BUY_BACKTESTED",TRUE,20333
643,"AVL","AVL","MICRO_CAP",489.6,-1.83,-4.12,NA,54.7,63,"STRONG_BULLISH",41.46,12,6,25,73.11,133140909.4,"HOLD",2025-09-02,503.15,1.29,1.21,35.78,70,69.7,"BULLISH",102152,"2025-08-29",1,0.7,0.6,0.76,"High","BUY",0.606340218521655,0.17454518112354,12,0.443390941457252,"Good",0.21145119589055,1.10106761148199,1.59461936578155,12,"BUY_BACKTESTED",TRUE,20333
1006,"BALAJEE","BALAJEE","MICRO_CAP",57.54,-1.13,10.61,NA,54.7,68.8,"STRONG_BULLISH",33.9,14,4,20,61.51,37923865.23,"HOLD",2025-09-02,58.22,13.05,17.57,24.99,87,71.5,"STRONG_BULLISH",1864589,"2025-08-29",0.7,0.87,1,0.858,"Very High","STRONG_BUY",0.920093496143818,0.287665150081739,12,3.60002172788696,"Excellent",0.0555385833140463,2.16349311126396,2.95578041521367,12,"STRONG_BUY_BACKTESTED",TRUE,20333
312,"ANANDRATHI","ANANDRATHI","MICRO_CAP",2936.7,0.56,4.82,NA,54,73.4,"STRONG_BULLISH",45.88,12,12,15,50.33,439628935.1,"HOLD",2025-09-02,2793.9,0.93,-1.02,11.56,75,64.3,"STRONG_BULLISH",91171,"2025-08-29",1,0.75,0.4,0.72,"High","BUY",0.672574860742316,0.110906997499987,9,0.33872474713282,"Good",0.199488827411551,1.71365892980248,1.37847035489976,9,"BUY_BACKTESTED",TRUE,20333
8,"CGPOWER","CGPOWER","LARGE_CAP",739.65,3.13,10.18,NA,53.3,73.3,"STRONG_BULLISH",11.25,13,6,15,55.37,7604084467.1,"HOLD",2025-09-02,694.3,4.56,2.59,2.81,65,60.6,"BULLISH",14580868,"2025-08-29",1,0.65,1,0.86,"Very High","BUY",0.664516773074865,0.120168641004711,7,0.358195675253618,"Good",0.106569802179001,1.9423793873284,1.62585360519588,7,"STRONG_BUY_BACKTESTED",TRUE,20333
272,"BIKAJI","BIKAJI","SMALL_CAP",789.2,-0.99,-0.6,NA,53.3,58.7,"STRONG_BULLISH",15.27,9,12,15,52.34,532911138.65,"HOLD",2025-09-02,790.3,-0.57,2.31,5.51,80,60.3,"STRONG_BULLISH",178893,"2025-08-29",1,0.8,0.6,0.8,"Very High","STRONG_BUY",0.855942818289623,0.208457905007526,9,1.4470497238147,"Excellent",0.122437772899866,2.05093982897233,2.17797597963363,9,"STRONG_BUY_BACKTESTED",TRUE,20333
557,"ARVINDFASN","ARVINDFASN","MICRO_CAP",528.55,0.44,0.48,NA,53.3,56.4,"STRONG_BULLISH",11.47,6,15,15,50.43,172560173.85,"HOLD",2025-09-02,519.7,1.19,0.7,12.78,70,52.7,"BULLISH",615360,"2025-08-29",1,0.7,0.8,0.82,"Very High","BUY",0.729185251193121,0.174413524782285,12,0.644032592577376,"Good",0.105558029073291,1.57912979833782,2.37639676302206,12,"STRONG_BUY_BACKTESTED",TRUE,20333
1578,"RHL","RHL","MICRO_CAP",305.4,3.04,4.82,NA,53.3,69.9,"STRONG_BULLISH",20.9,14,18,0,NA,4128735,"HOLD",2025-09-02,288.35,0.65,3.18,5.29,90,59,"STRONG_BULLISH",6772,"2025-08-29",1,0.9,0.2,0.72,"High","STRONG_BUY",0.795780505053699,0.207482640538365,10,1.01597861944043,"Excellent",0.103537165862508,2.54343237576541,2.41871314134914,10,"BUY_BACKTESTED",TRUE,20333
155,"CARTRADE","CARTRADE","SMALL_CAP",2465,-1.4,3.45,NA,52.7,63.1,"STRONG_BULLISH",53.98,12,8,15,52.67,1002392780.5,"HOLD",2025-09-02,2398,5.57,-2.68,25.25,90,61.3,"STRONG_BULLISH",452790,"2025-08-29",1,0.9,0.6,0.84,"Very High","STRONG_BUY",0.873851296678185,0.180652081407607,11,1.43205658600192,"Good",0.0594259906793013,1.62701485154685,1.55824679124635,11,"STRONG_BUY_BACKTESTED",TRUE,20333
464,"BORORENEW","BORORENEW","MICRO_CAP",582.95,1.41,6,NA,52.7,53.6,"BULLISH",12.87,6,10,20,63.2,243633744.45,"HOLD",2025-09-02,551.7,0.84,-4.23,-2.94,37,39.1,"STRONG_BULLISH",222142,"2025-08-29",0.7,0.37,0.6,0.538,"Medium","WEAK_HOLD",0.358505083760247,0.0433704019989819,2,0.0676083331310026,"Poor",0.172864221828058,1.40691586700268,1.00431863083504,2,"WEAK_HOLD_BACKTESTED",TRUE,20333
921,"BCLIND","BCLIND","MICRO_CAP",40.76,1.7,1.22,NA,52.7,42.6,"BEARISH",2.69,5,15,25,72.93,50820977.32,"HOLD",2025-09-02,39.99,-0.05,-4.01,-6.61,12,36.3,"STRONG_BEARISH",344113,"2025-08-29",0.7,0.12,0.6,0.438,"Low","SELL",0.43173646889627,-0.0765732098952867,2,-0.1347494704553,"Poor",0.151890925038606,0.556213955534622,1.14956979730632,2,"SELL_BACKTESTED",TRUE,20333
966,"COMSYN","COMSYN","MICRO_CAP",145.4,1.42,7.84,NA,52.7,63.5,"BULLISH",12.43,9,8,25,71.65,44472195.76,"HOLD",2025-09-02,143.7,7.23,4.29,11.32,95,61.9,"STRONG_BULLISH",1741255,"2025-08-29",1,0.95,1,0.98,"Very High","STRONG_BUY",0.947210859460756,0.279471792979166,9,5.29411523135908,"Excellent",0.089269135100767,2.97871762001887,2.0423042307375,9,"STRONG_BUY_BACKTESTED",TRUE,20333
1642,"CENTEXT","CENTEXT","MICRO_CAP",22.28,1.36,4.36,NA,52.7,50.5,"BEARISH",14.68,7,11,20,62.09,2935353.76,"HOLD",2025-09-02,21.22,1.68,-4.76,-8.26,40,41.1,"STRONG_BEARISH",73557,"2025-08-29",1,0.4,0.4,0.58,"Medium","WEAK_HOLD",0.543735974421725,0.0101077444502153,3,0.0221532794250096,"Fair",0.196579318819568,0.659513805294409,1.49400112673175,3,"WEAK_HOLD_BACKTESTED",TRUE,20333
65,"QPOWER","QPOWER","MID_CAP",865.45,6.87,11.15,NA,52,63.6,"STRONG_BULLISH",54.99,16,14,0,NA,2070487093.25,"HOLD",2025-09-02,784.1,0.61,-0.65,-1.76,80,52.1,"STRONG_BULLISH",743634,"2025-08-29",1,0.8,0.8,0.86,"Very High","STRONG_BUY",0.820377727691084,0.274590954324231,11,1.52871328702482,"Excellent",0.119485032535158,2.57254980574362,1.54630938009359,11,"STRONG_BUY_BACKTESTED",TRUE,20333
86,"BOSCHLTD","BOSCHLTD","MID_CAP",41315,1.3,4.57,NA,52,69.2,"STRONG_BULLISH",31.73,9,10,15,53.48,1580572160,"HOLD",2025-09-02,39960,1.87,0.25,3.86,95,61.3,"STRONG_BULLISH",46252,"2025-08-29",1,0.95,0.2,0.74,"High","STRONG_BUY",0.773592318966985,0.150706453435123,12,0.665641963856989,"Good",0.173288777365815,1.74212306365371,2.9336211575428,12,"BUY_BACKTESTED",TRUE,20333
431,"SBC","SBC","MICRO_CAP",19.83,2.59,5.31,NA,52,73.4,"STRONG_BULLISH",40.07,14,18,0,NA,276726568,"HOLD",2025-09-02,19.11,0.1,0.95,21.03,75,66.8,"STRONG_BULLISH",7006489,"2025-08-29",1,0.75,1,0.9,"Very High","BUY",0.683698921231553,0.120544264819473,7,0.38110608186613,"Good",0.104460406559519,1.3546619550325,1.88290664982051,7,"STRONG_BUY_BACKTESTED",TRUE,20333
1570,"AVTNPL","AVTNPL","MICRO_CAP",73.67,1.71,0.9,NA,52,56.1,"STRONG_BULLISH",16.77,6,17,15,51.56,4257606.31,"HOLD",2025-09-02,72.56,0.18,0.68,2.75,65,52.1,"STRONG_BULLISH",54162,"2025-08-29",1,0.65,0.4,0.68,"Medium","BUY",0.669801106676459,0.0992284847423434,12,0.300511257756142,"Moderate",0.249825603188947,1.93665518634953,1.63488156422973,12,"HOLD_BACKTESTED",TRUE,20333
180,"CHENNPETRO","CHENNPETRO","SMALL_CAP",699.6,1.83,7.65,NA,51.3,59,"BULLISH",14.31,10,4,20,68.3,876508593.1,"HOLD",2025-09-02,645.4,0.02,-1.64,-13.85,30,41.9,"BULLISH",332477,"2025-08-29",1,0.3,0.6,0.6,"Medium","SELL",0.42696571527049,-0.171046266669873,2,-0.298492204093185,"Poor",0.211328356585,0.649218707811087,0.922335368767381,2,"WEAK_HOLD_BACKTESTED",TRUE,20333
240,"CUPID","CUPID","SMALL_CAP",181.02,4.87,6.51,NA,51.3,78.5,"STRONG_BULLISH",98.59,12,8,15,52.86,606798188.92,"HOLD",2025-09-02,172.29,0.17,0.28,31.15,77,71.5,"STRONG_BULLISH",2841813,"2025-08-29",0.7,0.77,1,0.818,"Very High","BUY",0.696203812258318,0.178273274097592,9,0.586818667550817,"Good",0.143922623223625,2.71289794309996,1.71320314202458,9,"STRONG_BUY_BACKTESTED",TRUE,20333
292,"AWL","AWL","SMALL_CAP",257.4,2.98,2.16,NA,51.3,50.1,"BEARISH",4.05,6,14,20,63.12,469017892.85,"HOLD",2025-09-02,251.5,0.76,-3.1,-4.14,20,41.4,"STRONG_BEARISH",746956,"2025-08-29",1,0.2,0.8,0.62,"Medium","SELL",0.259282493777573,-0.128035311109852,4,-0.172853091812042,"Poor",0.212390851345845,0.349592399783433,0.818462743470445,4,"WEAK_HOLD_BACKTESTED",TRUE,20333
396,"CREDITACC","CREDITACC","MICRO_CAP",1391.9,-0.81,2.12,NA,51.3,62.2,"STRONG_BULLISH",28.8,12,10,15,53.16,322303243,"HOLD",2025-09-02,1399.9,4.24,3.86,7.92,95,64.4,"STRONG_BULLISH",803591,"2025-08-29",1,0.95,0.8,0.92,"Very High","STRONG_BUY",0.778381381556392,0.150620637694374,10,0.679638916405842,"Good",0.0742158636683598,2.61850617779419,1.65170866297558,10,"STRONG_BUY_BACKTESTED",TRUE,20333
433,"CRAFTSMAN","CRAFTSMAN","MICRO_CAP",6967,-2.69,-2.67,NA,51.3,57,"STRONG_BULLISH",38.8,10,12,15,54.65,273924303.5,"HOLD",2025-09-02,6912.5,-0.78,0.53,11.47,75,57.8,"STRONG_BULLISH",30750,"2025-08-29",1,0.75,0.2,0.66,"Medium","BUY",0.639562534773722,0.133300352981314,10,0.36982934861566,"Good",0.181443613173906,1.05849305074662,1.85896500982344,10,"HOLD_BACKTESTED",TRUE,20333
609,"CENTURYPLY","CENTURYPLY","MICRO_CAP",774.25,1.19,4.68,NA,51.3,64.7,"BULLISH",8.14,5,13,15,53,145104911.15,"HOLD",2025-09-02,746.4,2.11,-1.53,3.03,55,53.7,"STRONG_BULLISH",85001,"2025-08-29",1,0.55,0.4,0.64,"Medium","HOLD",0.58042966555804,-0.00743743005441501,4,-0.0177263010367666,"Poor",0.119036053365562,0.246336194453761,1.15795449458528,4,"WEAK_HOLD_BACKTESTED",TRUE,20333
876,"DECCANCE","DECCANCE","MICRO_CAP",1086.1,1.07,3.94,NA,51.3,60.2,"STRONG_BULLISH",51.28,10,6,25,70.52,61122749.9,"HOLD",2025-09-02,1010.4,-1.05,-4.24,-6.01,65,46.1,"STRONG_BULLISH",51191,"2025-08-29",1,0.65,0.4,0.68,"Medium","BUY",0.669005638500676,0.0618042794056237,9,0.186723058138106,"Moderate",0.233888997475151,1.39499921561219,1.29818980209529,9,"HOLD_BACKTESTED",TRUE,20333
1431,"CHEMCON","CHEMCON","MICRO_CAP",217.11,4.01,0.79,NA,51.3,47.8,"BULLISH",18.06,6,9,25,71.15,8015883.97,"HOLD",2025-09-02,208.82,0.08,-9.45,0.54,47,39,"BULLISH",35293,"2025-08-29",0.7,0.47,0.2,0.458,"Low","WEAK_HOLD",0.544930494902656,-0.0522348169470206,5,-0.114784261221474,"Poor",0.156265685567632,0.160025721415877,1.34506170474924,5,"SELL_BACKTESTED",TRUE,20333
