"symbol","current_price","momentum","rsi","rsi_status","pattern","relative_strength","technical_score","market_cap_category"
"BOMDYEING",176.63,1.92,55.4,"Normal","Support Bounce",21.44,66,"MICRO_CAP"
"LEMONTREE",170.95,1.88,65.4,"Normal","Support Bounce",27.64,70,"MID_CAP"
"SHOPERSTOP",542.3,1.71,56.6,"Normal","Support Bounce",12.93,68,"MICRO_CAP"
"CAPITALSFB",296.95,1.71,51,"Normal","Support Bounce",4.65,66,"MICRO_CAP"
"CONTROLPR",783.45,1.51,55.1,"Normal","Support Bounce",3.41,67.3,"MICRO_CAP"
"MEDANTA",1420.8,1.49,62,"Normal","Support Bounce",28.68,66.7,"MICRO_CAP"
"HDFCGROWTH",123.46,1.46,64.7,"Normal","Support Bounce",7.42,68,"MICRO_CAP"
"CREDITACC",1356.8,1.03,54.4,"Normal","Support Bounce",19.57,66.7,"MICRO_CAP"
"BBTCL",202.1,0.99,56.6,"Normal","Support Bounce",28.75,68.7,"MICRO_CAP"
"BIKAJI",801.35,0.82,61.8,"Normal","Support Bounce",15.51,87.3,"SMALL_CAP"
"HINDUNILVR",2666.6,0.46,63.4,"Normal","Support Bounce",20.62,67.3,"LARGE_CAP"
"DELHIVERY",470.65,0.32,59.1,"Normal","Support Bounce",27.62,65.3,"SMALL_CAP"
"GOKULAGRO",331.95,0.18,57.2,"Normal","Support Bounce",17.26,68,"MICRO_CAP"
