"SYMBOL","ISIN","TIMESTAMP","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TOTALTRADES"
"ADVANIHOTR.NS","INE199C01026",2025-08-01,60,61.93,60,60.09,236.5,59.8,47135,"48729806.54",5068
"ADVENZYMES.NS","INE837H01020",2025-08-01,352,366.25,352,360.35,236.5,350.7,1527336,"48729806.54",5068
"AEGISLOG.NS","INE208C01025",2025-08-01,720,722.7,705,707.05,236.5,719.7,333288,"48729806.54",5068
"AEGISVOPAK.NS","INE0INX01018",2025-08-01,239.4,241.1,227.41,228.92,236.5,239.76,744233,"48729806.54",5068
"AEROENTER.NS","INE065D01027",2025-08-01,102,103.95,101,102.08,236.5,102.38,396746,"48729806.54",5068
"AEROFLEX.NS","INE024001021",2025-08-01,188.11,194.09,186.11,186.82,236.5,189.03,900736,"48729806.54",5068
"AETHER.NS","INE0BWX01014",2025-08-01,767.5,773.9,751.1,753.5,236.5,766.95,66016,"48729806.54",5068
"AFCONS.NS","INE101I01011",2025-08-01,398.5,408,397.8,405.85,236.5,399.25,776711,"48729806.54",5068
"AFFLE.NS","INE00WC01027",2025-08-01,1949.8,1980.1,1936,1947.4,236.5,1958,121002,"48729806.54",5068
"AFFORDABLE.NS","INE692Z01013",2025-08-01,417,417,381.6,387.65,236.5,414.35,31450,"48729806.54",5068
"AFIL.NS","INE916Y01027",2025-08-01,7.1,7.1,6.81,6.86,236.5,7,804262,"48729806.54",5068
"AFSL.NS","INE00ZE01026",2025-08-01,202.2,225.5,200.6,220.51,236.5,220.39,80747,"48729806.54",5068
"AGARIND.NS","INE204E01012",2025-08-01,984.85,990,959,965.05,236.5,984.85,10041,"48729806.54",5068
"AGARWALEYE.NS","INE943P01029",2025-08-01,459,459,450.1,451.85,236.5,456.85,69960,"48729806.54",5068
"AGI.NS","INE415A01038",2025-08-01,962.8,967.9,940.15,946.65,236.5,962.8,86163,"48729806.54",5068
"AGIIL.NS","INE976R01025",2025-08-01,1083.9,1090,1070,1075.9,236.5,1080.65,79644,"48729806.54",5068
"AGRITECH.NS","INE449G01018",2025-08-01,146,146,143.1,143.12,236.5,143.75,5067,"48729806.54",5068
"AGROPHOS.NS","INE740V01019",2025-08-01,44.45,46.4,43,43.97,236.5,44.17,305258,"48729806.54",5068
"AHLADA.NS","INE00PV01013",2025-08-01,63.9,63.9,61.2,61.54,236.5,62.97,5954,"48729806.54",5068
"AHLEAST.NS","INE926K01017",2025-08-01,159.74,160.81,155,157.5,236.5,159.88,7529,"48729806.54",5068
"AHLUCONT.NS","INE758C01029",2025-08-01,1020,1035.9,1003.7,1016.6,236.5,1022.7,55580,"48729806.54",5068
"AIAENG.NS","INE212H01026",2025-08-01,3133,3145.5,3090,3094.8,236.5,3132.6,28970,"48729806.54",5068
"AIIL.NS","INE206F01022",2025-08-01,2768.1,2839.9,2750,2756.3,236.5,2776.2,75468,"48729806.54",5068
"AIRAN.NS","INE645W01026",2025-08-01,26.9,27.18,26.61,26.73,236.5,27.1,91406,"48729806.54",5068
