symbol,inputs,company_name,sector,mcap,price,stage,signal,trend,portfolio_score,investment_score,technical_score,enhanced_fund_score,relative_strength,chg_1d,chg_1w,chg_1m,rsi_snapshot,rsi_tech,adx,macd,supertrend,above_sma20,above_sma50,above_sma200,pct_from_52h,52w_high,52w_low,rating,snapshot_error,tech_error
SWIGGY,SWIGGY LIMITED,SWIGGY,Other,SMALL_CAP,242.3,STAGE_4,SELL,STRONG_BEARISH,-12.7,35.8,13.3,,-17.96,-3.06,-3.81,-5.3,41.8,39.8,18.5,bearish,SELL,False,False,False,-48.9,474.0,238.5,AVOID / REVIEW EXIT,,
CENTRALBK,CENTRAL BANK OF INDIA,CENTRALBK,—,—,30.76,STAGE_4,SELL,MIXED,-14.0,20.0,20.0,,-13.69,-1.03,1.55,-13.69,35.9,35.9,47.4,bullish,SELL,False,False,False,-25.3,41.2,29.32,AVOID / REVIEW EXIT,,
TRENT,TRENT LTD,TRENT,Other,LARGE_CAP,2754.7,STAGE_4,SELL,BEARISH,-15.5,26.7,16.7,,-26.36,-0.6,-35.3,-31.99,17.3,19.8,48.4,bearish,SELL,False,False,False,-56.0,6261.0,2708.5,AVOID / REVIEW EXIT,,
XCHANGING,XCHANGING SOLUTIONS LTD,XCHANGING,—,—,63.02,STAGE_4,SELL,MIXED,-20.8,5.0,5.0,,-7.47,-3.02,-3.58,-7.47,40.2,40.2,25.1,bearish,SELL,False,False,False,-39.7,104.5,47.5,AVOID / REVIEW EXIT,,
IRFC,INDIAN RAILWAY FIN CORP L,IRFC,—,—,94.8,STAGE_4,SELL,MIXED,-20.9,5.0,5.0,,-8.03,-1.26,-0.99,-8.03,37.7,37.7,25.3,bearish,SELL,False,False,False,-36.4,148.95,87.0,AVOID / REVIEW EXIT,,
ABLBL,ADITYA BIRLA LIFES BRAN L,ABLBL,—,—,97.37,STAGE_4,SELL,MIXED,-21.2,5.0,5.0,,-9.56,-1.38,-0.87,-9.56,40.9,40.9,27.3,bearish,SELL,False,False,False,-44.4,175.0,87.91,AVOID / REVIEW EXIT,,
TPHQ,TEAMO PRODUCTIONS HQ LTD,TPHQ,—,—,0.5,STAGE_4,SELL,MIXED,-21.7,5.0,5.0,,-12.28,2.04,,-12.28,40.3,40.3,40.6,bearish,SELL,False,False,False,-46.2,0.93,0.44,AVOID / REVIEW EXIT,,
AURIONPRO,AURIONPRO SOLN LTD,AURIONPRO,—,—,746.6,STAGE_4,SELL,MIXED,-22.1,5.0,5.0,,-14.7,-2.58,-7.78,-14.7,40.1,40.1,30.5,bearish,SELL,False,False,False,-55.2,1665.9,719.6,AVOID / REVIEW EXIT,,
SJVN,SJVN LTD,SJVN,—,—,71.81,STAGE_4,SELL,MIXED,-23.4,0.0,,,-7.19,-1.35,-1.94,-7.19,41.3,41.3,14.1,bearish,SELL,False,False,False,-33.2,107.5,63.02,AVOID / REVIEW EXIT,,
INVENTURE,INVENTURE GRO & SEC LTD,INVENTURE,—,—,0.93,STAGE_4,SELL,MIXED,-23.4,0.0,,,-7.0,-2.11,-3.12,-7.0,36.5,36.5,23.4,bearish,SELL,False,False,False,-48.3,1.8,0.81,AVOID / REVIEW EXIT,,
DMCC,DMCC SPECIALITY CHEMICALS,DMCC,—,—,245.3,STAGE_4,SELL,MIXED,-23.7,5.0,5.0,,-23.43,-1.21,-6.62,-23.43,36.1,36.1,38.6,bearish,SELL,False,False,False,-29.9,350.0,191.35,AVOID / REVIEW EXIT,,
ABFRL,ADITYA BIRLA FASHION & RT,ABFRL,—,—,58.76,STAGE_4,SELL,MIXED,-23.8,0.0,,,-9.59,-2.8,-2.94,-9.59,37.7,37.7,18.5,bearish,SELL,False,False,False,-40.4,98.57,53.51,AVOID / REVIEW EXIT,,
SEPC,"SEPC LTD, SEPC RS.5 PPD UP, SEPC LIMITED",SEPC,—,—,6.43,STAGE_4,SELL,MIXED,-25.3,0.0,,,-17.77,-3.31,-8.14,-17.77,32.8,32.8,23.1,bearish,SELL,False,False,False,-59.3,15.8,4.65,AVOID / REVIEW EXIT,,
PLATIND,PLATINUM INDUSTRIES LTD,PLATIND,—,—,210.27,STAGE_4,SELL,MIXED,-25.8,0.0,,,-20.37,-2.1,-3.97,-20.37,36.9,36.9,15.3,bearish,SELL,False,False,False,-38.6,342.4,183.5,AVOID / REVIEW EXIT,,
