REBAL_DATE,N_STOCKS,PORTFOLIO_RET_1Y,BENCH_RET_1Y,EXCESS_RET
2023-01-02,0,,,
2023-02-01,0,,,
2023-03-02,0,,,
2023-04-05,0,,,
2023-05-09,0,,,
2023-06-07,0,,,
2023-07-07,7,0.20691804991017682,0.3951793400286945,-0.18826129011851767
2023-08-07,8,0.13229554959118495,0.3396344971016416,-0.20733894751045667
2023-09-06,13,0.16217623201283315,0.3751315751632107,-0.21295534315037756
2023-10-09,13,0.2173481897245906,0.37124025116523685,-0.15389206144064624
2023-11-08,11,0.27877513289644984,0.29689178751255874,-0.018116654616108896
2023-12-08,9,0.35105255284354553,0.24446995769890578,0.10658259514463975
2024-01-09,8,0.2984019982938107,0.10058484925337585,0.19781714904043485
2024-02-08,6,0.2494597360347434,0.049542870024797736,0.19991686600994565
2024-03-07,4,0.4624601343062348,-0.00555480253835261,0.4680149368445874
2024-04-10,6,0.36459531067442263,0.04512062857005139,0.31947468210437124
2024-05-14,5,0.2846044734329287,0.08889033524010626,0.19571413819282246
2024-06-12,7,0.24094143558234266,0.038547088695904286,0.20239434688643837
2024-07-12,11,0.06886873322297378,0.009041419914389781,0.059827313308584
2024-08-13,12,-0.020444705192328678,0.011416839231408682,-0.031861544423737356
2024-09-12,12,-0.03682715246280547,-0.020185387952290634,-0.016641764510514835
2024-10-14,13,-0.04261254575314904,0.0009900698104543526,-0.04360261556360339
2024-11-12,13,-0.07590494768995183,0.08557172158731818,-0.16147666927727
2024-12-13,12,-0.23334337162090302,0.028440270721059147,-0.26178364234196216
2025-01-14,9,-0.19394177829031994,0.09893648613534278,-0.2928782644256627
