SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Chemicals,42,22,SUMICHEM,SUMICHEM,SMALL_CAP,498.9,0.72,14.32,26.87,42,71.7,NA,18,5,NA,BULLISH,WEAK_HOLD
Chemicals,42,22,SUDARSCHEM,Sudarshan Chemical Industries Limited,SMALL_CAP,966.05,2.17,8.78,25.37,39.3,64.6,NA,8,16,NA,BULLISH,WEAK_HOLD
Chemicals,42,22,LXCHEM,LXCHEM,MICRO_CAP,163.92,6.06,11.46,39.14,39.3,72.4,NA,16,6,NA,BULLISH,WEAK_HOLD
Pharma & Healthcare,40.68,16,LUPIN,Lupin Limited,LARGE_CAP,2460.1,0.7,6.43,7.04,42,69.9,NA,12,6,NA,STRONG_BULLISH,WEAK_HOLD
Pharma & Healthcare,40.68,16,APOLLOHOSP,APOLLOHOSP,LARGE_CAP,7837,0.99,1.66,6.97,42,63.8,NA,9,12,NA,STRONG_BULLISH,WEAK_HOLD
Pharma & Healthcare,40.68,16,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1478.7,-0.36,5.86,11.18,42,66.7,NA,15,8,NA,STRONG_BULLISH,WEAK_HOLD
Pharma & Healthcare,40.68,16,DIVISLAB,DIVISLAB,LARGE_CAP,6702.5,0.01,2.58,14.57,38.7,78.2,NA,10,13,NA,BULLISH,WEAK_HOLD
Pharma & Healthcare,40.68,16,LAURUSLABS,LAURUSLABS,LARGE_CAP,1206.5,2.45,9.08,14.1,38.7,64.5,NA,14,4,NA,STRONG_BULLISH,WEAK_HOLD
FMCG & Consumer Goods,40.64,21,RADICO,RADICO,LARGE_CAP,3407,1.48,-1.49,29.59,45.3,70.2,NA,14,11,NA,STRONG_BULLISH,WEAK_HOLD
FMCG & Consumer Goods,40.64,21,JUBLPHARMA,JUBLPHARMA,MICRO_CAP,981.15,2.58,5.86,12.85,41.3,76.2,NA,12,18,NA,BULLISH,WEAK_HOLD
FMCG & Consumer Goods,40.64,21,NITCO,NITCO,MICRO_CAP,101.74,0.79,14.95,17.75,40,75.1,NA,18,5,NA,BULLISH,WEAK_HOLD
FMCG & Consumer Goods,40.64,21,RITCO,RITCO,MICRO_CAP,241.94,9.04,14.37,29.68,39.3,80.1,NA,14,12,NA,BULLISH,WEAK_HOLD
FMCG & Consumer Goods,40.64,21,TATACONSUM,Tata Consumer Products Limited,LARGE_CAP,1151.7,-0.04,-1.4,8.45,37.3,63.1,NA,6,10,NA,STRONG_BULLISH,WEAK_HOLD
Finance & NBFC,40.4,23,JAINREC,JAINREC,MID_CAP,504.2,9.08,9.53,13.76,44,83,NA,15,14,NA,STRONG_BULLISH,WEAK_HOLD
Finance & NBFC,40.4,23,POLICYBZR,POLICYBZR,LARGE_CAP,1684.1,-1.04,-0.01,15.37,42,74.5,NA,16,10,NA,BULLISH,WEAK_HOLD
Finance & NBFC,40.4,23,PRECWIRE,PRECWIRE,SMALL_CAP,405.7,2.84,-2.48,38.23,40,63,NA,15,6,NA,STRONG_BULLISH,WEAK_HOLD
Finance & NBFC,40.4,23,HDFCGOLD,HDFCGOLD,MICRO_CAP,128.56,0.4,2.43,2.21,38,45.4,NA,3,13,NA,BULLISH,WEAK_HOLD
Finance & NBFC,40.4,23,PRECAM,PRECAM,MICRO_CAP,163.17,1.89,2.28,34.29,38,61.3,NA,11,11,NA,BULLISH,WEAK_HOLD
Paper & Packaging,39.760000000000005,11,NRBBEARING,NRBBEARING,MICRO_CAP,300.15,2.49,5.18,26.35,44.7,66.1,NA,10,14,NA,BULLISH,WEAK_HOLD
Paper & Packaging,39.760000000000005,11,JAINREC,JAINREC,MID_CAP,504.2,9.08,9.53,13.76,44,83,NA,15,14,NA,STRONG_BULLISH,WEAK_HOLD
Paper & Packaging,39.760000000000005,11,MIDWESTLTD,MIDWESTLTD,SMALL_CAP,1379.3,4.82,10.49,9.77,38.7,57.6,NA,7,14,NA,BEARISH,WEAK_HOLD
Paper & Packaging,39.760000000000005,11,ENRIN,ENRIN,LARGE_CAP,3139.5,-1.45,-5.15,19.42,36.7,65.6,NA,9,8,NA,STRONG_BULLISH,WEAK_HOLD
Paper & Packaging,39.760000000000005,11,JKPAPER,JKPAPER,MICRO_CAP,373,-0.85,2.07,11.98,34.7,46.9,NA,7,8,NA,STRONG_BULLISH,SELL
Logistics & Shipping,38.68,6,STCINDIA,STCINDIA,MICRO_CAP,122.61,2.05,3.56,13.6,42.7,60.6,NA,8,16,NA,BULLISH,WEAK_HOLD
