INDEX_NAME,INDEX_STRENGTH,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Nifty 500,40.54,ASIANPAINT,ASIANPAINT,LARGE_CAP,2530.6,0.46,3.4,15.75,40,62.4,NA,9,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 500,40.54,TATASTEEL,Tata Steel Limited,SMALL_CAP,217.09,0.75,0.56,9.57,39.3,63.3,NA,9,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 500,40.54,DIVISLAB,DIVISLAB,LARGE_CAP,6702.5,0.01,2.58,14.57,38.7,78.2,NA,10,13,NA,BULLISH,WEAK_HOLD
Nifty Next 50,39.74,NTPC,NTPC Limited,SMALL_CAP,400.35,1.39,-0.24,8.54,44.7,59.1,NA,11,12,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Next 50,39.74,POWERGRID,Power Grid Corporation of India Limited,SMALL_CAP,313.8,-0.68,-2.04,6.23,42,52.8,NA,9,12,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Next 50,39.74,DIVISLAB,DIVISLAB,LARGE_CAP,6702.5,0.01,2.58,14.57,38.7,78.2,NA,10,13,NA,BULLISH,WEAK_HOLD
Nifty Next 50,39.74,TATACONSUM,Tata Consumer Products Limited,LARGE_CAP,1151.7,-0.04,-1.4,8.45,37.3,63.1,NA,6,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Next 50,39.74,ADANIPORTS,Adani Ports and Special Economic Zone Limited,LARGE_CAP,1732.8,-0.89,4.32,25.47,36,80.2,NA,13,8,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 250,38.28,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1478.7,-0.36,5.86,11.18,42,66.7,NA,15,8,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 250,38.28,DIVISLAB,DIVISLAB,LARGE_CAP,6702.5,0.01,2.58,14.57,38.7,78.2,NA,10,13,NA,BULLISH,WEAK_HOLD
NIFTY SMLCAP 250,38.28,BIOCON,Biocon Limited,SMALL_CAP,382.25,0.43,5.52,12.41,38,75.6,NA,9,8,NA,BULLISH,WEAK_HOLD
NIFTY SMLCAP 250,38.28,EICHERMOT,Eicher Motors Limited,LARGE_CAP,7327.5,0.23,1.92,10.93,36.7,60.7,NA,6,11,NA,BULLISH,WEAK_HOLD
NIFTY SMLCAP 250,38.28,MARICO,Marico Limited,MID_CAP,832.15,2.13,6.78,10.47,36,89.3,NA,11,10,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 100,37.88,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1478.7,-0.36,5.86,11.18,42,66.7,NA,15,8,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 100,37.88,DIVISLAB,DIVISLAB,LARGE_CAP,6702.5,0.01,2.58,14.57,38.7,78.2,NA,10,13,NA,BULLISH,WEAK_HOLD
NIFTY SMLCAP 100,37.88,BIOCON,Biocon Limited,SMALL_CAP,382.25,0.43,5.52,12.41,38,75.6,NA,9,8,NA,BULLISH,WEAK_HOLD
NIFTY SMLCAP 100,37.88,MARICO,Marico Limited,MID_CAP,832.15,2.13,6.78,10.47,36,89.3,NA,11,10,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 100,37.88,ADANIENSOL,ADANIENSOL,LARGE_CAP,1387.1,-1.44,-2.19,40.64,34.7,70,NA,15,6,NA,STRONG_BULLISH,SELL
NIFTY SMLCAP 50,37.88,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1478.7,-0.36,5.86,11.18,42,66.7,NA,15,8,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 50,37.88,DIVISLAB,DIVISLAB,LARGE_CAP,6702.5,0.01,2.58,14.57,38.7,78.2,NA,10,13,NA,BULLISH,WEAK_HOLD
NIFTY SMLCAP 50,37.88,BIOCON,Biocon Limited,SMALL_CAP,382.25,0.43,5.52,12.41,38,75.6,NA,9,8,NA,BULLISH,WEAK_HOLD
NIFTY SMLCAP 50,37.88,MARICO,Marico Limited,MID_CAP,832.15,2.13,6.78,10.47,36,89.3,NA,11,10,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 50,37.88,ADANIENSOL,ADANIENSOL,LARGE_CAP,1387.1,-1.44,-2.19,40.64,34.7,70,NA,15,6,NA,STRONG_BULLISH,SELL
Nifty FMCG,37.6,RADICO,RADICO,LARGE_CAP,3407,1.48,-1.49,29.59,45.3,70.2,NA,14,11,NA,STRONG_BULLISH,WEAK_HOLD
Nifty FMCG,37.6,TATACONSUM,Tata Consumer Products Limited,LARGE_CAP,1151.7,-0.04,-1.4,8.45,37.3,63.1,NA,6,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty FMCG,37.6,MARICO,Marico Limited,MID_CAP,832.15,2.13,6.78,10.47,36,89.3,NA,11,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty FMCG,37.6,DABUR,Dabur India Limited,SMALL_CAP,470,0.8,3.07,13.46,34.7,72.3,NA,9,12,NA,STRONG_BEARISH,SELL
Nifty FMCG,37.6,BRITANNIA,Britannia Industries Limited,LARGE_CAP,5814,0.54,1.84,4.91,34.7,63.1,NA,5,15,NA,BULLISH,SELL
