MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,GS,692GS2039,GOI LOAN   6.92% 2039,       101.50,       101.50,       101.50,       101.50,       101.50,                    10150.00,100,N, ,1,       108.89,        98.95
N,GS,699GS2026,GOI LOAN  6.99% 2026,       103.00,       103.06,       103.98,       103.06,       103.98,                      928.46,9,N, ,2,       104.50,        99.79
N,GS,699GS2051,GOI LOAN  6.99% 2051,       104.00,       101.00,       101.00,        99.05,       100.24,                   979743.30,9761,N, ,6,       107.00,        97.02
N,GS,702GS2027,GOI LOAN  7.02% 2027,       102.45,       102.46,       102.80,       102.46,       102.70,                   221509.90,2157,N, ,4,       106.26,        96.84
N,GS,702GS2031,GOI LOAN  7.02% 2031,       103.40,       103.40,       103.40,       103.40,       103.40,                    10340.00,100,N, ,1,       109.00,       100.00
N,GS,704GS2029,GOI LOAN  7.04% 2029,       102.76,       103.20,       103.50,       103.20,       103.50,                    20670.00,200,N, ,2,       106.52,       100.51
N,GS,706GS2028,GOI LOAN  7.06% 2028,       102.55,       104.70,       104.70,       104.08,       104.29,                   241085.50,2305,N, ,4,       105.49,       100.47
N,GS,709GS2054,GOI LOAN  7.09% 2054,        99.50,       101.90,       101.90,        99.00,        99.41,                  2090577.85,21011,N, ,30,       108.00,        98.00
N,GS,709GS2074,GOI LOAN   7.09% 2074,        98.59,        99.70,        99.70,        99.00,        99.39,                  1616129.64,16249,N, ,11,       108.15,        98.00
N,GS,710GS2029,GOI LOAN 7.10% 2029,       104.25,       103.00,       104.68,       100.00,       104.64,                  1244423.23,12087,N, ,17,       108.54,       100.00
N,GS,716GS2050,GOI LOAN 7.16% 2050,       103.00,       102.01,       102.01,       102.01,       102.01,                    27236.67,267,N, ,1,       109.99,       100.15
N,GS,717GS2030,GOI LOAN  7.17% 2030,       104.00,       106.20,       106.20,       106.00,       106.00,                    26656.00,251,N, ,3,       107.55,       101.10
N,GS,718GS2033,GOI LOAN  7.18% 2033,       102.00,       102.65,       102.65,       102.65,       102.65,                    10265.00,100,N, ,2,       108.66,       102.00
N,GS,718GS2037,GOI LOAN  7.18% 2037,       103.70,       103.69,       104.00,       103.65,       103.70,                   366341.00,3529,N, ,6,       109.70,       101.90
N,GS,724GS2055,GOI LOAN  7.24% 2055,       100.20,       100.00,       100.12,       100.00,       100.12,                   109200.24,1092,N, ,2,       100.75,       100.00
N,GS,725GS2063,GOI LOAN  7.25% 2063,       101.25,       103.29,       103.29,       100.80,       101.13,                 13702157.34,135152,N, ,64,       109.85,       100.40
