"METRIC","VALUE","UNIT"
"Total Stocks Analyzed",1951,"stocks"
"High Confidence Stocks (≥70%)",265,"stocks"
"Very High Confidence Stocks (≥80%)",88,"stocks"
"Average Confidence Score",49.93,"%"
"Average Simulated Return",-8.17,"%"
"Average Win Rate",40.14,"%"
"Strong Buy Signals",2,"signals"
"Buy Signals",30,"signals"
"Sell Signals",1230,"signals"
"Strong Sell Signals",0,"signals"
