"SYMBOL","TRADING_SIGNAL","TECHNICAL_SCORE","RSI","RELATIVE_STRENGTH","CONFIDENCE_SCORE","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN","CONFIDENCE_CATEGORY","PERFORMANCE_CATEGORY","RISK_PERFORMANCE","ANALYSIS_DATE","BACKTESTING_TYPE"
"MALUPAPER","SELL",26,44.8,1.26,0.554,0.6432,-0.0831,7,-0.152197802197802,"Medium","Negative","Negative",2025-09-01,"quick"
"SNXT30BEES","SELL",26,41.7,3.47,0.554,0.6432,-0.0831,7,-0.152197802197802,"Medium","Negative","Negative",2025-09-01,"quick"
"LICNFNHGP","SELL",26,43.5,2.71,0.554,0.6432,-0.0831,7,-0.152197802197802,"Medium","Negative","Negative",2025-09-01,"quick"
"LICNETFSEN","SELL",26,40.4,2.66,0.554,0.6432,-0.0831,7,-0.152197802197802,"Medium","Negative","Negative",2025-09-01,"quick"
"PCJEWELLER","SELL",33.3,39.5,10.34,0.5532,0.64256,-0.08298,7,-0.151755669348939,"Medium","Negative","Negative",2025-09-01,"quick"
"JCHAC","SELL",25.3,45.8,0.35,0.5512,0.64096,-0.08268,7,-0.150655976676385,"Medium","Negative","Negative",2025-09-01,"quick"
"IDEA","SELL",24.7,44.1,2.51,0.5488,0.63904,-0.08232,6,-0.149346879535559,"Medium","Negative","Negative",2025-09-01,"quick"
"SJVN","SELL",24.7,44,1.08,0.5488,0.63904,-0.08232,6,-0.149346879535559,"Medium","Negative","Negative",2025-09-01,"quick"
"WSTCSTPAPR","SELL",24.7,45.7,2.34,0.5488,0.63904,-0.08232,6,-0.149346879535559,"Medium","Negative","Negative",2025-09-01,"quick"
"ADVANIHOTR","SELL",24.7,49.6,0.42,0.5488,0.63904,-0.08232,6,-0.149346879535559,"Medium","Negative","Negative",2025-09-01,"quick"
"PAISALO","SELL",24,42.6,2.11,0.546,0.6368,-0.0819,6,-0.147833935018051,"Medium","Negative","Negative",2025-09-01,"quick"
"FLUOROCHEM","SELL",24,45.1,0.19,0.546,0.6368,-0.0819,6,-0.147833935018051,"Medium","Negative","Negative",2025-09-01,"quick"
"ORIENTPPR","SELL",24,44,0.01,0.546,0.6368,-0.0819,6,-0.147833935018051,"Medium","Negative","Negative",2025-09-01,"quick"
"SPORTKING","SELL",24,41.3,3.28,0.546,0.6368,-0.0819,6,-0.147833935018051,"Medium","Negative","Negative",2025-09-01,"quick"
"XTGLOBAL","SELL",24,46.8,1.07,0.546,0.6368,-0.0819,6,-0.147833935018051,"Medium","Negative","Negative",2025-09-01,"quick"
"GSEC10YEAR","SELL",24,46.2,2.86,0.546,0.6368,-0.0819,6,-0.147833935018051,"Medium","Negative","Negative",2025-09-01,"quick"
"SALONA","SELL",24,45.5,1.93,0.546,0.6368,-0.0819,6,-0.147833935018051,"Medium","Negative","Negative",2025-09-01,"quick"
"SUNDRMBRAK","SELL",23.3,42.7,0.39,0.5432,0.63456,-0.08148,6,-0.146336206896552,"Medium","Negative","Negative",2025-09-01,"quick"
"LIQUIDIETF","SELL",22.7,48,3.58,0.5408,0.63264,-0.08112,6,-0.145064377682403,"Medium","Negative","Negative",2025-09-01,"quick"
"PITTIENG","SELL",22.7,43.8,0.42,0.5408,0.63264,-0.08112,6,-0.145064377682403,"Medium","Negative","Negative",2025-09-01,"quick"
"GUJALKALI","SELL",22.7,44.7,0.64,0.5408,0.63264,-0.08112,6,-0.145064377682403,"Medium","Negative","Negative",2025-09-01,"quick"
"SUPERSPIN","SELL",22.7,48.4,0.46,0.5408,0.63264,-0.08112,6,-0.145064377682403,"Medium","Negative","Negative",2025-09-01,"quick"
"PRECWIRE","SELL",22,40,0,0.538,0.6304,-0.0807,6,-0.143594306049822,"Medium","Negative","Negative",2025-09-01,"quick"
"SELMC","SELL",22,41.1,1.25,0.538,0.6304,-0.0807,6,-0.143594306049822,"Medium","Negative","Negative",2025-09-01,"quick"
"LLOYDSENGG","SELL",29.3,34.7,10.85,0.5372,0.62976,-0.08058,6,-0.14317697228145,"Medium","Negative","Negative",2025-09-01,"quick"
"CROWN","SELL",34.7,50.2,-15.09,0.5288,0.62304,-0.07932,6,-0.138865546218487,"Medium","Negative","Negative",2025-09-01,"quick"
"PHOENIXLTD","SELL",34,49,-2.8,0.526,0.6208,-0.0789,6,-0.137456445993031,"Medium","Negative","Negative",2025-09-01,"quick"
"ONESOURCE","SELL",34,49.3,-10.22,0.526,0.6208,-0.0789,6,-0.137456445993031,"Medium","Negative","Negative",2025-09-01,"quick"
"AWL","SELL",34,41.4,-1.19,0.526,0.6208,-0.0789,6,-0.137456445993031,"Medium","Negative","Negative",2025-09-01,"quick"
"JISLJALEQS","SELL",33.3,47.6,-16.49,0.5232,0.61856,-0.07848,6,-0.136061026352288,"Medium","Negative","Negative",2025-09-01,"quick"
"YASHO","SELL",33.3,49,-2.52,0.5232,0.61856,-0.07848,6,-0.136061026352288,"Medium","Negative","Negative",2025-09-01,"quick"
"DHANUKA","SELL",33.3,44.1,-0.95,0.5232,0.61856,-0.07848,6,-0.136061026352288,"Medium","Negative","Negative",2025-09-01,"quick"
"AUTOAXLES","SELL",33.3,47.5,-0.98,0.5232,0.61856,-0.07848,6,-0.136061026352288,"Medium","Negative","Negative",2025-09-01,"quick"
"DALMIASUG","SELL",33.3,51.9,-4.81,0.5232,0.61856,-0.07848,6,-0.136061026352288,"Medium","Negative","Negative",2025-09-01,"quick"
"RVHL","SELL",33.3,58.8,-5.51,0.5232,0.61856,-0.07848,6,-0.136061026352288,"Medium","Negative","Negative",2025-09-01,"quick"
"JINDWORLD","SELL",32.7,42.8,-31.73,0.5208,0.61664,-0.07812,6,-0.134875690607735,"Medium","Negative","Negative",2025-09-01,"quick"
"ADSL","SELL",32.7,48.8,-5.6,0.5208,0.61664,-0.07812,6,-0.134875690607735,"Medium","Negative","Negative",2025-09-01,"quick"
"TOUCHWOOD","SELL",32.7,52.7,-9.41,0.5208,0.61664,-0.07812,6,-0.134875690607735,"Medium","Negative","Negative",2025-09-01,"quick"
"CELEBRITY","SELL",32.7,45,-1.31,0.5208,0.61664,-0.07812,6,-0.134875690607735,"Medium","Negative","Negative",2025-09-01,"quick"
"AROGRANITE","SELL",32.7,40.1,-9.19,0.5208,0.61664,-0.07812,6,-0.134875690607735,"Medium","Negative","Negative",2025-09-01,"quick"
"RIIL","SELL",32,47.2,-4.7,0.518,0.6144,-0.0777,6,-0.133505154639175,"Medium","Negative","Negative",2025-09-01,"quick"
"JLHL","SELL",32,44.8,-2.83,0.518,0.6144,-0.0777,6,-0.133505154639175,"Medium","Negative","Negative",2025-09-01,"quick"
"SMSPHARMA","SELL",32,52.4,-1.13,0.518,0.6144,-0.0777,6,-0.133505154639175,"Medium","Negative","Negative",2025-09-01,"quick"
"DBL","SELL",32,42.5,-4.72,0.518,0.6144,-0.0777,6,-0.133505154639175,"Medium","Negative","Negative",2025-09-01,"quick"
"KRITIKA","SELL",32,53.4,-4.84,0.518,0.6144,-0.0777,6,-0.133505154639175,"Medium","Negative","Negative",2025-09-01,"quick"
"ARVEE","SELL",32,41.5,-1.8,0.518,0.6144,-0.0777,6,-0.133505154639175,"Medium","Negative","Negative",2025-09-01,"quick"
"OMINFRAL","SELL",31.3,44.3,-9.34,0.5152,0.61216,-0.07728,6,-0.132147742818057,"Medium","Negative","Negative",2025-09-01,"quick"
"CONCORDBIO","SELL",31.3,43.8,-12.71,0.5152,0.61216,-0.07728,6,-0.132147742818057,"Medium","Negative","Negative",2025-09-01,"quick"
"ROLEXRINGS","SELL",31.3,40.3,-5.52,0.5152,0.61216,-0.07728,6,-0.132147742818057,"Medium","Negative","Negative",2025-09-01,"quick"
"COFORGE","SELL",30.7,41,-2.38,0.5128,0.61024,-0.07692,6,-0.130994550408719,"Medium","Negative","Negative",2025-09-01,"quick"
"DELTACORP","SELL",30.7,45.4,-0.38,0.5128,0.61024,-0.07692,6,-0.130994550408719,"Medium","Negative","Negative",2025-09-01,"quick"
"SCI","SELL",30.7,47.5,-1.15,0.5128,0.61024,-0.07692,6,-0.130994550408719,"Medium","Negative","Negative",2025-09-01,"quick"
"TDPOWERSYS","SELL",30.7,49,-0.91,0.5128,0.61024,-0.07692,6,-0.130994550408719,"Medium","Negative","Negative",2025-09-01,"quick"
"AARTIPHARM","SELL",30.7,47.2,-0.9,0.5128,0.61024,-0.07692,6,-0.130994550408719,"Medium","Negative","Negative",2025-09-01,"quick"
"HONASA","SELL",30.7,57.3,-1.14,0.5128,0.61024,-0.07692,6,-0.130994550408719,"Medium","Negative","Negative",2025-09-01,"quick"
"RGL","SELL",30.7,47.6,-5.4,0.5128,0.61024,-0.07692,6,-0.130994550408719,"Medium","Negative","Negative",2025-09-01,"quick"
"SUMIT","SELL",30.7,44.5,-1.05,0.5128,0.61024,-0.07692,6,-0.130994550408719,"Medium","Negative","Negative",2025-09-01,"quick"
"ASTRAZEN","SELL",30,45.2,-9.51,0.51,0.608,-0.0765,6,-0.129661016949153,"Medium","Negative","Negative",2025-09-01,"quick"
"MANYAVAR","SELL",30,40.6,-5.01,0.51,0.608,-0.0765,6,-0.129661016949153,"Medium","Negative","Negative",2025-09-01,"quick"
"KIRIINDUS","SELL",30,43.1,-5.68,0.51,0.608,-0.0765,6,-0.129661016949153,"Medium","Negative","Negative",2025-09-01,"quick"
"MEDPLUS","SELL",30,46.8,-0.05,0.51,0.608,-0.0765,6,-0.129661016949153,"Medium","Negative","Negative",2025-09-01,"quick"
"MAHLIFE","SELL",30,47.8,-0.06,0.51,0.608,-0.0765,6,-0.129661016949153,"Medium","Negative","Negative",2025-09-01,"quick"
"DEEDEV","SELL",30,41.1,-7.2,0.51,0.608,-0.0765,6,-0.129661016949153,"Medium","Negative","Negative",2025-09-01,"quick"
"SPECTRUM","SELL",30,49.8,-1.15,0.51,0.608,-0.0765,6,-0.129661016949153,"Medium","Negative","Negative",2025-09-01,"quick"
"BALAXI","SELL",30,40,-4.65,0.51,0.608,-0.0765,6,-0.129661016949153,"Medium","Negative","Negative",2025-09-01,"quick"
"ABAN","SELL",30,51.2,-13.05,0.51,0.608,-0.0765,6,-0.129661016949153,"Medium","Negative","Negative",2025-09-01,"quick"
"ANTGRAPHIC","SELL",30,47.3,-12.6,0.51,0.608,-0.0765,6,-0.129661016949153,"Medium","Negative","Negative",2025-09-01,"quick"
"LTIM","SELL",29.3,48.4,-2.24,0.5072,0.60576,-0.07608,6,-0.12834008097166,"Medium","Negative","Negative",2025-09-01,"quick"
"AFCONS","SELL",29.3,46.3,-1.41,0.5072,0.60576,-0.07608,6,-0.12834008097166,"Medium","Negative","Negative",2025-09-01,"quick"
"EUREKAFORB","SELL",29.3,52.3,-0.61,0.5072,0.60576,-0.07608,6,-0.12834008097166,"Medium","Negative","Negative",2025-09-01,"quick"
"GOCLCORP","SELL",29.3,45.1,-0.12,0.5072,0.60576,-0.07608,6,-0.12834008097166,"Medium","Negative","Negative",2025-09-01,"quick"
"ICRA","SELL",29.3,41.7,-3.41,0.5072,0.60576,-0.07608,6,-0.12834008097166,"Medium","Negative","Negative",2025-09-01,"quick"
"VARROC","SELL",29.3,47.6,-0.4,0.5072,0.60576,-0.07608,6,-0.12834008097166,"Medium","Negative","Negative",2025-09-01,"quick"
"MANAKSIA","SELL",29.3,41.1,-5.29,0.5072,0.60576,-0.07608,6,-0.12834008097166,"Medium","Negative","Negative",2025-09-01,"quick"
"DCI","SELL",29.3,47.9,-9.69,0.5072,0.60576,-0.07608,6,-0.12834008097166,"Medium","Negative","Negative",2025-09-01,"quick"
"ISFT","SELL",29.3,45.6,-4.6,0.5072,0.60576,-0.07608,6,-0.12834008097166,"Medium","Negative","Negative",2025-09-01,"quick"
"PERSISTENT","SELL",28.7,47.6,-8.37,0.5048,0.60384,-0.07572,6,-0.127217741935484,"Medium","Negative","Negative",2025-09-01,"quick"
"CLEAN","SELL",28.7,42.5,-15.16,0.5048,0.60384,-0.07572,6,-0.127217741935484,"Medium","Negative","Negative",2025-09-01,"quick"
"APLAPOLLO","SELL",28.7,44.8,-7.21,0.5048,0.60384,-0.07572,6,-0.127217741935484,"Medium","Negative","Negative",2025-09-01,"quick"
"JTEKTINDIA","SELL",28.7,55.3,-1.77,0.5048,0.60384,-0.07572,6,-0.127217741935484,"Medium","Negative","Negative",2025-09-01,"quick"
"FINPIPE","SELL",28.7,59,-5.28,0.5048,0.60384,-0.07572,6,-0.127217741935484,"Medium","Negative","Negative",2025-09-01,"quick"
"SFL","SELL",28.7,51.4,-3.63,0.5048,0.60384,-0.07572,6,-0.127217741935484,"Medium","Negative","Negative",2025-09-01,"quick"
"GODREJIND","SELL",28.7,55.7,-5.17,0.5048,0.60384,-0.07572,6,-0.127217741935484,"Medium","Negative","Negative",2025-09-01,"quick"
"RADIANTCMS","SELL",28.7,55.8,-1.39,0.5048,0.60384,-0.07572,6,-0.127217741935484,"Medium","Negative","Negative",2025-09-01,"quick"
"CREATIVE","SELL",28.7,45.3,-3.25,0.5048,0.60384,-0.07572,6,-0.127217741935484,"Medium","Negative","Negative",2025-09-01,"quick"
"BPL","SELL",28.7,42.7,-15.47,0.5048,0.60384,-0.07572,6,-0.127217741935484,"Medium","Negative","Negative",2025-09-01,"quick"
"VTL","SELL",28,47.8,-5.78,0.502,0.6016,-0.0753,6,-0.125919732441472,"Medium","Negative","Negative",2025-09-01,"quick"
"EPL","SELL",28,41.8,-1.76,0.502,0.6016,-0.0753,6,-0.125919732441472,"Medium","Negative","Negative",2025-09-01,"quick"
"RPTECH","SELL",28,41.8,-2.3,0.502,0.6016,-0.0753,6,-0.125919732441472,"Medium","Negative","Negative",2025-09-01,"quick"
"IFBIND","SELL",28,55.6,-3.59,0.502,0.6016,-0.0753,6,-0.125919732441472,"Medium","Negative","Negative",2025-09-01,"quick"
"LAGNAM","SELL",28,41.4,-12.25,0.502,0.6016,-0.0753,6,-0.125919732441472,"Medium","Negative","Negative",2025-09-01,"quick"
"TRIVENI","SELL",27.3,52.9,-8.74,0.4992,0.59936,-0.07488,6,-0.124633821571238,"Medium","Negative","Negative",2025-09-01,"quick"
"DCXINDIA","SELL",27.3,50.6,-6.68,0.4992,0.59936,-0.07488,6,-0.124633821571238,"Medium","Negative","Negative",2025-09-01,"quick"
"GSS","SELL",27.3,44.9,-14.08,0.4992,0.59936,-0.07488,6,-0.124633821571238,"Medium","Negative","Negative",2025-09-01,"quick"
"NITINSPIN","SELL",27.3,46.5,-5.25,0.4992,0.59936,-0.07488,6,-0.124633821571238,"Medium","Negative","Negative",2025-09-01,"quick"
"UTTAMSUGAR","SELL",27.3,54,-2.28,0.4992,0.59936,-0.07488,6,-0.124633821571238,"Medium","Negative","Negative",2025-09-01,"quick"
"SHAHALLOYS","SELL",27.3,44.3,-1.86,0.4992,0.59936,-0.07488,6,-0.124633821571238,"Medium","Negative","Negative",2025-09-01,"quick"
"BASML","SELL",27.3,41,-9.55,0.4992,0.59936,-0.07488,6,-0.124633821571238,"Medium","Negative","Negative",2025-09-01,"quick"
"RAMCOCEM","SELL",34.7,38.5,4.98,0.4988,0.59904,-0.07482,6,-0.124451097804391,"Medium","Negative","Negative",2025-09-01,"quick"
"ASTRAL","SELL",26.7,43.1,-9.91,0.4968,0.59744,-0.07452,6,-0.123541114058355,"Medium","Negative","Negative",2025-09-01,"quick"
"HOMEFIRST","SELL",26.7,41.6,-1.45,0.4968,0.59744,-0.07452,6,-0.123541114058355,"Medium","Negative","Negative",2025-09-01,"quick"
"NIITMTS","SELL",26.7,48.3,-2.71,0.4968,0.59744,-0.07452,6,-0.123541114058355,"Medium","Negative","Negative",2025-09-01,"quick"
"VADILALIND","SELL",26.7,49.1,-2.21,0.4968,0.59744,-0.07452,6,-0.123541114058355,"Medium","Negative","Negative",2025-09-01,"quick"
"ASHIANA","SELL",26.7,45.6,-7.68,0.4968,0.59744,-0.07452,6,-0.123541114058355,"Medium","Negative","Negative",2025-09-01,"quick"
"GANGESSECU","SELL",26.7,45.1,-2.41,0.4968,0.59744,-0.07452,6,-0.123541114058355,"Medium","Negative","Negative",2025-09-01,"quick"
"MID150BEES","SELL",34,33.8,0.61,0.496,0.5968,-0.0744,6,-0.12317880794702,"Medium","Negative","Negative",2025-09-01,"quick"
"HEIDELBERG","SELL",34,38.3,7.96,0.496,0.5968,-0.0744,6,-0.12317880794702,"Medium","Negative","Negative",2025-09-01,"quick"
"BFSI","SELL",34,30.7,1.14,0.496,0.5968,-0.0744,6,-0.12317880794702,"Medium","Negative","Negative",2025-09-01,"quick"
"ORIENTCER","SELL",34,32.9,5.32,0.496,0.5968,-0.0744,6,-0.12317880794702,"Medium","Negative","Negative",2025-09-01,"quick"
"UNITDSPR","SELL",26,45.3,-6.74,0.494,0.5952,-0.0741,6,-0.122277227722772,"Medium","Negative","Negative",2025-09-01,"quick"
"GAIL","SELL",26,41.7,-3.23,0.494,0.5952,-0.0741,6,-0.122277227722772,"Medium","Negative","Negative",2025-09-01,"quick"
"MADHAV","SELL",26,48.1,-0.79,0.494,0.5952,-0.0741,6,-0.122277227722772,"Medium","Negative","Negative",2025-09-01,"quick"
"RELIGARE","SELL",33.3,37.7,8.23,0.4932,0.59456,-0.07398,6,-0.121918259723138,"Medium","Negative","Negative",2025-09-01,"quick"
"THELEELA","SELL",33.3,34.2,4.03,0.4932,0.59456,-0.07398,6,-0.121918259723138,"Medium","Negative","Negative",2025-09-01,"quick"
"LTGILTBEES","SELL",33.3,39,2.54,0.4932,0.59456,-0.07398,6,-0.121918259723138,"Medium","Negative","Negative",2025-09-01,"quick"
"KIRLOSIND","SELL",33.3,30.2,4.71,0.4932,0.59456,-0.07398,6,-0.121918259723138,"Medium","Negative","Negative",2025-09-01,"quick"
"JAGSNPHARM","SELL",33.3,39.1,8.12,0.4932,0.59456,-0.07398,6,-0.121918259723138,"Medium","Negative","Negative",2025-09-01,"quick"
"DEN","SELL",33.3,38.2,2.96,0.4932,0.59456,-0.07398,6,-0.121918259723138,"Medium","Negative","Negative",2025-09-01,"quick"
"HEXT","SELL",25.3,47.1,-6.19,0.4912,0.59296,-0.07368,6,-0.121024967148489,"Medium","Negative","Negative",2025-09-01,"quick"
"AWFIS","SELL",25.3,41.5,-10.78,0.4912,0.59296,-0.07368,6,-0.121024967148489,"Medium","Negative","Negative",2025-09-01,"quick"
"E2E","SELL",25.3,53.4,-7.97,0.4912,0.59296,-0.07368,6,-0.121024967148489,"Medium","Negative","Negative",2025-09-01,"quick"
"WHIRLPOOL","SELL",25.3,47.2,-1.19,0.4912,0.59296,-0.07368,6,-0.121024967148489,"Medium","Negative","Negative",2025-09-01,"quick"
"WELENT","SELL",25.3,46.1,-5.9,0.4912,0.59296,-0.07368,6,-0.121024967148489,"Medium","Negative","Negative",2025-09-01,"quick"
"DAMCAPITAL","SELL",25.3,44.3,-10.56,0.4912,0.59296,-0.07368,6,-0.121024967148489,"Medium","Negative","Negative",2025-09-01,"quick"
"ASAL","SELL",25.3,41.4,-10,0.4912,0.59296,-0.07368,6,-0.121024967148489,"Medium","Negative","Negative",2025-09-01,"quick"
"TPLPLASTEH","SELL",25.3,47.7,-0.75,0.4912,0.59296,-0.07368,6,-0.121024967148489,"Medium","Negative","Negative",2025-09-01,"quick"
"CPCAP","SELL",25.3,40.1,-6.22,0.4912,0.59296,-0.07368,6,-0.121024967148489,"Medium","Negative","Negative",2025-09-01,"quick"
"CYBERMEDIA","SELL",25.3,42.2,-13.92,0.4912,0.59296,-0.07368,6,-0.121024967148489,"Medium","Negative","Negative",2025-09-01,"quick"
"NIFTYBEES","SELL",32.7,39.3,2.8,0.4908,0.59264,-0.07362,6,-0.120847012475378,"Medium","Negative","Negative",2025-09-01,"quick"
"NETWORK18","SELL",32.7,36.8,3.5,0.4908,0.59264,-0.07362,6,-0.120847012475378,"Medium","Negative","Negative",2025-09-01,"quick"
"SETFNIF50","SELL",32.7,39.4,2.81,0.4908,0.59264,-0.07362,6,-0.120847012475378,"Medium","Negative","Negative",2025-09-01,"quick"
"NIFTYETF","SELL",32.7,39.8,2.81,0.4908,0.59264,-0.07362,6,-0.120847012475378,"Medium","Negative","Negative",2025-09-01,"quick"
"DCW","SELL",32.7,39.1,0.12,0.4908,0.59264,-0.07362,6,-0.120847012475378,"Medium","Negative","Negative",2025-09-01,"quick"
"SETFNN50","SELL",32.7,37.8,2.61,0.4908,0.59264,-0.07362,6,-0.120847012475378,"Medium","Negative","Negative",2025-09-01,"quick"
"HDFCNIFTY","SELL",32.7,38.9,2.68,0.4908,0.59264,-0.07362,6,-0.120847012475378,"Medium","Negative","Negative",2025-09-01,"quick"
"UTISXN50","SELL",32.7,39.6,1.9,0.4908,0.59264,-0.07362,6,-0.120847012475378,"Medium","Negative","Negative",2025-09-01,"quick"
"SBIBPB","SELL",32.7,30.9,0.35,0.4908,0.59264,-0.07362,6,-0.120847012475378,"Medium","Negative","Negative",2025-09-01,"quick"
"SIEMENS","SELL",24.7,43.8,-5.12,0.4888,0.59104,-0.07332,6,-0.119960732984293,"Medium","Negative","Negative",2025-09-01,"quick"
"PREMEXPLN","SELL",24.7,51.7,-11.69,0.4888,0.59104,-0.07332,6,-0.119960732984293,"Medium","Negative","Negative",2025-09-01,"quick"
"PTCIL","SELL",24.7,46,-1.56,0.4888,0.59104,-0.07332,6,-0.119960732984293,"Medium","Negative","Negative",2025-09-01,"quick"
"RML","SELL",24.7,46.2,-8.43,0.4888,0.59104,-0.07332,6,-0.119960732984293,"Medium","Negative","Negative",2025-09-01,"quick"
"PYRAMID","SELL",24.7,49.1,-8.04,0.4888,0.59104,-0.07332,6,-0.119960732984293,"Medium","Negative","Negative",2025-09-01,"quick"
"INDTERRAIN","SELL",24.7,45.2,-2.03,0.4888,0.59104,-0.07332,6,-0.119960732984293,"Medium","Negative","Negative",2025-09-01,"quick"
"GEEKAYWIRE","SELL",24.7,49.9,-0.52,0.4888,0.59104,-0.07332,6,-0.119960732984293,"Medium","Negative","Negative",2025-09-01,"quick"
"CSLFINANCE","SELL",24.7,44.4,-5.91,0.4888,0.59104,-0.07332,6,-0.119960732984293,"Medium","Negative","Negative",2025-09-01,"quick"
"63MOONS","SELL",32,36.3,0.74,0.488,0.5904,-0.0732,6,-0.119607843137255,"Medium","Negative","Negative",2025-09-01,"quick"
"NIFTY50ADD","SELL",32,39.9,2.62,0.488,0.5904,-0.0732,6,-0.119607843137255,"Medium","Negative","Negative",2025-09-01,"quick"
"UTISENSETF","SELL",32,38.9,2.75,0.488,0.5904,-0.0732,6,-0.119607843137255,"Medium","Negative","Negative",2025-09-01,"quick"
"NIF10GETF","SELL",32,37.7,2.42,0.488,0.5904,-0.0732,6,-0.119607843137255,"Medium","Negative","Negative",2025-09-01,"quick"
"RTNPOWER","SELL",24,43.2,-3.6,0.486,0.5888,-0.0729,6,-0.118729641693811,"Medium","Negative","Negative",2025-09-01,"quick"
"MINDACORP","SELL",24,49,-3.77,0.486,0.5888,-0.0729,6,-0.118729641693811,"Medium","Negative","Negative",2025-09-01,"quick"
"SUBROS","SELL",24,53,-3.76,0.486,0.5888,-0.0729,6,-0.118729641693811,"Medium","Negative","Negative",2025-09-01,"quick"
"MICEL","SELL",24,43.2,-17.27,0.486,0.5888,-0.0729,6,-0.118729641693811,"Medium","Negative","Negative",2025-09-01,"quick"
"3IINFOLTD","SELL",24,42.7,-6.01,0.486,0.5888,-0.0729,6,-0.118729641693811,"Medium","Negative","Negative",2025-09-01,"quick"
"MITCON","SELL",24,46.4,-9.76,0.486,0.5888,-0.0729,6,-0.118729641693811,"Medium","Negative","Negative",2025-09-01,"quick"
"RANASUG","SELL",24,42.1,-8.02,0.486,0.5888,-0.0729,6,-0.118729641693811,"Medium","Negative","Negative",2025-09-01,"quick"
"KMSUGAR","SELL",24,40.1,-0.76,0.486,0.5888,-0.0729,6,-0.118729641693811,"Medium","Negative","Negative",2025-09-01,"quick"
"RACE","SELL",24,51.1,-3.8,0.486,0.5888,-0.0729,6,-0.118729641693811,"Medium","Negative","Negative",2025-09-01,"quick"
"MIDCAPETF","SELL",31.3,36.6,1.04,0.4852,0.58816,-0.07278,6,-0.118379960962915,"Medium","Negative","Negative",2025-09-01,"quick"
"GPTHEALTH","SELL",31.3,35.1,3.87,0.4852,0.58816,-0.07278,6,-0.118379960962915,"Medium","Negative","Negative",2025-09-01,"quick"
"UTINEXT50","SELL",31.3,36.5,2.4,0.4852,0.58816,-0.07278,6,-0.118379960962915,"Medium","Negative","Negative",2025-09-01,"quick"
"HDFCMID150","SELL",31.3,35.6,1.17,0.4852,0.58816,-0.07278,6,-0.118379960962915,"Medium","Negative","Negative",2025-09-01,"quick"
"SANGHIIND","SELL",31.3,34.9,8.02,0.4852,0.58816,-0.07278,6,-0.118379960962915,"Medium","Negative","Negative",2025-09-01,"quick"
"HDFCSENSEX","SELL",31.3,37.6,2.41,0.4852,0.58816,-0.07278,6,-0.118379960962915,"Medium","Negative","Negative",2025-09-01,"quick"
"MULTICAP","SELL",31.3,37.5,1.65,0.4852,0.58816,-0.07278,6,-0.118379960962915,"Medium","Negative","Negative",2025-09-01,"quick"
"OILCOUNTUB","SELL",31.3,36.7,5.41,0.4852,0.58816,-0.07278,6,-0.118379960962915,"Medium","Negative","Negative",2025-09-01,"quick"
"PROTEAN","SELL",23.3,58.7,-1.87,0.4832,0.58656,-0.07248,6,-0.117509727626459,"Medium","Negative","Negative",2025-09-01,"quick"
"FSL","SELL",23.3,44.3,-4.8,0.4832,0.58656,-0.07248,6,-0.117509727626459,"Medium","Negative","Negative",2025-09-01,"quick"
"SPLPETRO","SELL",23.3,44.8,-1.39,0.4832,0.58656,-0.07248,6,-0.117509727626459,"Medium","Negative","Negative",2025-09-01,"quick"
"GANESHBE","SELL",23.3,44.6,-3.68,0.4832,0.58656,-0.07248,6,-0.117509727626459,"Medium","Negative","Negative",2025-09-01,"quick"
"IT","SELL",23.3,44.3,-6.01,0.4832,0.58656,-0.07248,6,-0.117509727626459,"Medium","Negative","Negative",2025-09-01,"quick"
"MEDICO","SELL",23.3,40.7,-22.03,0.4832,0.58656,-0.07248,6,-0.117509727626459,"Medium","Negative","Negative",2025-09-01,"quick"
"ICEMAKE","SELL",23.3,44.6,-2.61,0.4832,0.58656,-0.07248,6,-0.117509727626459,"Medium","Negative","Negative",2025-09-01,"quick"
"AMJLAND","SELL",23.3,48.1,-8.48,0.4832,0.58656,-0.07248,6,-0.117509727626459,"Medium","Negative","Negative",2025-09-01,"quick"
"AXISTECETF","SELL",23.3,44.7,-6.14,0.4832,0.58656,-0.07248,6,-0.117509727626459,"Medium","Negative","Negative",2025-09-01,"quick"
"NITIRAJ","SELL",23.3,40,-2.05,0.4832,0.58656,-0.07248,6,-0.117509727626459,"Medium","Negative","Negative",2025-09-01,"quick"
"ANIKINDS","SELL",23.3,42,-12.9,0.4832,0.58656,-0.07248,6,-0.117509727626459,"Medium","Negative","Negative",2025-09-01,"quick"
"VIVIDHA","SELL",23.3,54.4,-1.07,0.4832,0.58656,-0.07248,6,-0.117509727626459,"Medium","Negative","Negative",2025-09-01,"quick"
"NAVINFLUOR","SELL",30.7,35.7,2.47,0.4828,0.58624,-0.07242,6,-0.117336357744653,"Medium","Negative","Negative",2025-09-01,"quick"
"MOSMALL250","SELL",30.7,33.4,0.31,0.4828,0.58624,-0.07242,6,-0.117336357744653,"Medium","Negative","Negative",2025-09-01,"quick"
"MIDSELIETF","SELL",30.7,39.1,1.23,0.4828,0.58624,-0.07242,6,-0.117336357744653,"Medium","Negative","Negative",2025-09-01,"quick"
"DIVISLAB","SELL",22.7,42.6,-2.8,0.4808,0.58464,-0.07212,6,-0.116472868217054,"Medium","Negative","Negative",2025-09-01,"quick"
