INDEX_NAME,CATEGORY,API_SYMBOL,constituent_count,mapping_status,included_in_dashboard
NIFTY TOTAL MARKET MOMENTUM QUALITY 50,Strategy / factor,NIFTY TMMQ 50,0,Missing,False
NIFTY100 ALPHA 30,Strategy / factor,NIFTY100 ALPHA 30,0,Missing,False
NIFTY100 EQUAL WEIGHT,Strategy / factor,NIFTY100 EQL WGT,0,Missing,False
NIFTY100 LOW VOLATILITY 30,Strategy / factor,NIFTY100 LOWVOL30,0,Missing,False
NIFTY100 QUALITY 30,Strategy / factor,NIFTY100 QUALTY30,0,Missing,False
NIFTY200 ALPHA 30,Strategy / factor,NIFTY200 ALPHA 30,0,Missing,False
NIFTY200 MOMENTUM 30,Strategy / factor,NIFTY200MOMENTM30,0,Missing,False
NIFTY200 QUALITY 30,Strategy / factor,NIFTY200 QUALTY30,0,Missing,False
NIFTY200 VALUE 30,Strategy / factor,NIFTY200 VALUE 30,0,Missing,False
NIFTY50 DIVIDEND POINTS,Strategy / factor,NIFTY50 DIV POINT,0,Missing,False
NIFTY50 EQUAL WEIGHT,Strategy / factor,NIFTY50 EQL WGT,0,Missing,False
NIFTY50 PR 1X INVERSE,Strategy / factor,NIFTY50 PR 1X INV,0,Missing,False
NIFTY50 PR 2X LEVERAGE,Strategy / factor,NIFTY50 PR 2X LEV,0,Missing,False
NIFTY50 TR 1X INVERSE,Strategy / factor,NIFTY50 TR 1X INV,0,Missing,False
NIFTY50 TR 2X LEVERAGE,Strategy / factor,NIFTY50 TR 2X LEV,0,Missing,False
NIFTY50 USD,Strategy / factor,NIFTY50 USD,0,Missing,False
NIFTY50 VALUE 20,Strategy / factor,NIFTY50 VALUE 20,0,Missing,False
NIFTY500 EQUAL WEIGHT,Strategy / factor,NIFTY500 EW,0,Missing,False
NIFTY500 FLEXICAP QUALITY 30,Strategy / factor,NIFTY500 FLEXICAP,0,Missing,False
NIFTY500 LOW VOLATILITY 50,Strategy / factor,NIFTY500 LOWVOL50,0,Missing,False
NIFTY500 MOMENTUM 50,Strategy / factor,NIFTY500MOMENTM50,0,Missing,False
NIFTY500 MULTICAP MOMENTUM QUALITY 50,Strategy / factor,NIFTY MULTI MQ 50,0,Missing,False
NIFTY500 MULTIFACTOR MQVLV 50,Strategy / factor,NIFTY500 MQVLV50,0,Missing,False
NIFTY500 QUALITY 50,Strategy / factor,NIFTY500 QLTY50,0,Missing,False
NIFTY500 VALUE 50,Strategy / factor,NIFTY500 VALUE 50,0,Missing,False
NIFTY CAPITAL MARKETS,Thematic,NIFTY CAPITAL MKT,15,Available,False
NIFTY COMMODITIES,Thematic,NIFTY COMMODITIES,30,Available,False
NIFTY CONGLOMERATE 50,Thematic,NIFTYCONGLOMERATE,0,Missing,False
NIFTY CORE HOUSING,Thematic,NIFTY COREHOUSING,30,Available,False
NIFTY CPSE,Thematic,NIFTY CPSE,11,Available,False
NIFTY ENERGY,Thematic,NIFTY ENERGY,40,Available,False
NIFTY EV & NEW AGE AUTOMOTIVE,Thematic,NIFTY EV,35,Available,False
NIFTY HOUSING,Thematic,NIFTY HOUSING,50,Available,False
NIFTY INDIA CONSUMPTION,Thematic,NIFTY CONSUMPTION,30,Available,False
NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP,Thematic,NIFTY TATA 25 CAP,0,Missing,False
NIFTY INDIA DEFENCE,Thematic,NIFTY IND DEFENCE,18,Available,False
NIFTY INDIA DIGITAL,Thematic,NIFTY IND DIGITAL,30,Available,False
NIFTY INDIA INFRASTRUCTURE & LOGISTICS,Thematic,NIFTY INFRALOG,0,Missing,False
NIFTY INDIA INTERNET,Thematic,NIFTY INTERNET,0,Missing,False
NIFTY INDIA MANUFACTURING,Thematic,NIFTY INDIA MFG,74,Available,False
NIFTY INDIA NEW AGE CONSUMPTION,Thematic,NIFTY NEW CONSUMP,0,Missing,False
NIFTY INDIA RAILWAYS PSU,Thematic,NIFTY RAILWAYSPSU,0,Missing,False
NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),Thematic,NIFTY CORP MAATR,41,Available,False
NIFTY INDIA TOURISM,Thematic,NIFTY IND TOURISM,16,Available,False
NIFTY INFRASTRUCTURE,Thematic,NIFTY INFRA,30,Available,False
NIFTY IPO,Thematic,NIFTY IPO,0,Missing,False
NIFTY MIDCAP LIQUID 15,Thematic,NIFTY MID LIQ 15,0,Missing,False
NIFTY MIDSMALL INDIA CONSUMPTION,Thematic,NIFTY MS IND CONS,0,Missing,False
NIFTY MNC,Thematic,NIFTY MNC,0,Missing,False
NIFTY MOBILITY,Thematic,NIFTY MOBILITY,0,Missing,False
