INDEX_NAME,INDEX_STRENGTH,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Nifty 100,38,NESTLEIND,Nestle India Limited,LARGE_CAP,1285.6,2.24,4.63,5.95,36,72.7,NA,7,18,NA,STRONG_BEARISH,WEAK_HOLD
Nifty 100,38,WIPRO,Wipro Limited,SMALL_CAP,204.32,-2.83,0.71,4.72,34,68.2,NA,8,12,NA,STRONG_BEARISH,SELL
Nifty 100,38,ITC,ITC Limited,SMALL_CAP,306.8,1.12,1.25,-0.47,32,68.2,NA,2,15,NA,STRONG_BEARISH,SELL
Nifty Midcap 50,37.74,NTPC,NTPC Limited,SMALL_CAP,393.6,0.72,3.95,2.93,42.7,65.3,NA,10,9,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Midcap 50,37.74,ADANIPORTS,Adani Ports and Special Economic Zone Limited,LARGE_CAP,1573.4,1.52,8.71,14.52,39.3,77.6,NA,16,8,NA,BULLISH,WEAK_HOLD
Nifty Midcap 50,37.74,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1386,-0.04,3.4,8.32,38.7,78.7,NA,11,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Midcap 50,37.74,MARICO,Marico Limited,MID_CAP,757.3,1.73,1.33,0.96,34,57,NA,2,15,NA,STRONG_BULLISH,SELL
Nifty Midcap 50,37.74,POWERGRID,Power Grid Corporation of India Limited,SMALL_CAP,318.1,1.87,6.71,6.83,34,70.9,NA,11,6,NA,STRONG_BULLISH,SELL
Nifty Next 50,37.6,NTPC,NTPC Limited,SMALL_CAP,393.6,0.72,3.95,2.93,42.7,65.3,NA,10,9,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Next 50,37.6,ADANIPORTS,Adani Ports and Special Economic Zone Limited,LARGE_CAP,1573.4,1.52,8.71,14.52,39.3,77.6,NA,16,8,NA,BULLISH,WEAK_HOLD
Nifty Next 50,37.6,ADANIPOWER,Adani Power Limited,MICRO_CAP,198.5,2.75,15.19,28.85,38,93.7,NA,16,9,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Next 50,37.6,MARICO,Marico Limited,MID_CAP,757.3,1.73,1.33,0.96,34,57,NA,2,15,NA,STRONG_BULLISH,SELL
Nifty Next 50,37.6,POWERGRID,Power Grid Corporation of India Limited,SMALL_CAP,318.1,1.87,6.71,6.83,34,70.9,NA,11,6,NA,STRONG_BULLISH,SELL
Nifty Consumer Durables,37.34,TITAN,TITAN,LARGE_CAP,4525.9,1.45,1.94,10.64,48.7,76.3,NA,16,15,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Consumer Durables,37.34,ORIENTELEC,ORIENTELEC,MICRO_CAP,179.56,5.64,12.44,6.89,41.3,65.9,NA,13,12,NA,STRONG_BEARISH,WEAK_HOLD
Nifty Consumer Durables,37.34,WHIRLPOOL,WHIRLPOOL,MID_CAP,889.8,4.85,8,8.6,38,70.7,NA,12,14,NA,STRONG_BEARISH,WEAK_HOLD
Nifty Consumer Durables,37.34,CROMPTON,CROMPTON,SMALL_CAP,261.45,0.18,9.9,5.79,32,63.5,NA,10,6,NA,STRONG_BEARISH,SELL
Nifty Consumer Durables,37.34,VOLTAS,VOLTAS,LARGE_CAP,1440.1,2.22,12.17,2.4,26.7,64.7,NA,7,4,NA,BULLISH,SELL
NIFTY SMLCAP 100,36.8,ADANIENSOL,ADANIENSOL,LARGE_CAP,1259.8,3.04,16.78,26.42,45.3,82.4,NA,18,12,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 100,36.8,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1386,-0.04,3.4,8.32,38.7,78.7,NA,11,10,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 100,36.8,ADANIPOWER,Adani Power Limited,MICRO_CAP,198.5,2.75,15.19,28.85,38,93.7,NA,16,9,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 100,36.8,MARICO,Marico Limited,MID_CAP,757.3,1.73,1.33,0.96,34,57,NA,2,15,NA,STRONG_BULLISH,SELL
NIFTY SMLCAP 100,36.8,ADANIGREEN,Adani Green Energy Limited,LARGE_CAP,1127.3,0.75,7.92,30.03,28,87.7,NA,14,7,NA,BULLISH,SELL
NIFTY SMLCAP 50,36.8,ADANIENSOL,ADANIENSOL,LARGE_CAP,1259.8,3.04,16.78,26.42,45.3,82.4,NA,18,12,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 50,36.8,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1386,-0.04,3.4,8.32,38.7,78.7,NA,11,10,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 50,36.8,ADANIPOWER,Adani Power Limited,MICRO_CAP,198.5,2.75,15.19,28.85,38,93.7,NA,16,9,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 50,36.8,MARICO,Marico Limited,MID_CAP,757.3,1.73,1.33,0.96,34,57,NA,2,15,NA,STRONG_BULLISH,SELL
