SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
TIMKEN,TIMKEN,SMALL_CAP,3633.0,3.52,1.73,13.82,55.3,77.4,,18,18,,STRONG_BULLISH,HOLD
APOLLOPIPE,APOLLOPIPE,SMALL_CAP,462.5,3.03,1.8,18.14,54.0,67.3,,18,16,,STRONG_BULLISH,HOLD
ABB,ABB,LARGE_CAP,7587.0,4.58,10.39,22.1,52.7,98.2,,20,16,,STRONG_BULLISH,HOLD
SANSERA,SANSERA,LARGE_CAP,2547.0,7.26,8.81,19.3,52.7,82.0,,20,16,,STRONG_BULLISH,HOLD
DYNAMATECH,DYNAMATECH,LARGE_CAP,11541.0,7.39,11.29,21.52,52.7,90.6,,20,16,,STRONG_BULLISH,HOLD
INDOTHAI,INDOTHAI,SMALL_CAP,309.9,1.08,8.87,21.03,52.7,68.0,,18,15,,STRONG_BULLISH,HOLD
TRIVENI,TRIVENI,SMALL_CAP,411.4,4.13,5.69,20.03,52.0,76.1,,13,18,,STRONG_BULLISH,HOLD
AZAD,AZAD,LARGE_CAP,1950.4,4.71,6.21,33.54,51.3,92.4,,20,14,,STRONG_BULLISH,HOLD
DHAMPURSUG,DHAMPURSUG,MICRO_CAP,146.87,3.15,1.96,22.01,51.3,58.0,,14,16,,STRONG_BULLISH,HOLD
VOLTAMP,VOLTAMP,LARGE_CAP,11051.0,5.0,15.96,31.38,51.3,91.5,,20,14,,STRONG_BULLISH,HOLD
ADANIENSOL,ADANIENSOL,LARGE_CAP,1368.1,8.12,16.82,36.09,51.3,94.9,,20,14,,STRONG_BULLISH,HOLD
CEIGALL,CEIGALL,SMALL_CAP,326.35,1.19,8.95,20.11,50.7,91.3,,18,15,,STRONG_BULLISH,HOLD
MANGLMCEM,MANGLMCEM,MICRO_CAP,937.45,1.45,2.84,16.06,50.7,89.6,,18,15,,STRONG_BULLISH,HOLD
WSTCSTPAPR,WSTCSTPAPR,SMALL_CAP,494.25,5.05,1.35,17.72,50.7,78.2,,16,16,,STRONG_BULLISH,HOLD
BLISSGVS,BLISSGVS,SMALL_CAP,273.59,5.71,6.28,32.05,50.0,88.1,,18,14,,STRONG_BULLISH,HOLD
SPLPETRO,SPLPETRO,SMALL_CAP,804.15,3.98,4.89,23.35,49.3,70.2,,14,16,,STRONG_BULLISH,WEAK_HOLD
ASTERDM,Aster DM Healthcare Limited,SMALL_CAP,684.3,0.67,0.19,7.56,49.3,54.2,,14,15,,STRONG_BULLISH,WEAK_HOLD
SAILIFE,SAILIFE,MID_CAP,1006.0,4.94,2.52,-0.28,49.3,59.5,,14,10,,STRONG_BULLISH,WEAK_HOLD
BALRAMCHIN,BALRAMCHIN,MID_CAP,541.55,6.43,11.58,11.98,49.3,70.5,,18,12,,STRONG_BULLISH,WEAK_HOLD
PRAJIND,PRAJIND,SMALL_CAP,382.8,5.11,8.61,23.38,49.3,85.5,,18,16,,STRONG_BULLISH,WEAK_HOLD
NETWEB,NETWEB,LARGE_CAP,4019.6,2.94,12.79,23.67,49.3,93.7,,20,11,,STRONG_BULLISH,WEAK_HOLD
ELGIEQUIP,ELGIEQUIP,MID_CAP,554.7,2.16,4.46,18.77,48.7,91.5,,18,18,,BULLISH,WEAK_HOLD
NTPC,NTPC Limited,SMALL_CAP,405.4,2.32,3.26,8.38,48.0,77.2,,12,18,,STRONG_BULLISH,WEAK_HOLD
MMFL,MMFL,SMALL_CAP,502.85,3.3,8.28,19.6,48.0,88.4,,18,14,,STRONG_BULLISH,WEAK_HOLD
RISHABH,RISHABH,SMALL_CAP,504.05,5.19,5.68,30.41,48.0,92.7,,18,11,,STRONG_BULLISH,WEAK_HOLD
DATAPATTNS,DATAPATTNS,LARGE_CAP,3828.3,8.56,10.93,17.56,48.0,84.5,,20,9,,STRONG_BULLISH,WEAK_HOLD
WELCORP,Welspun Corp Limited,LARGE_CAP,1139.2,3.51,8.22,43.3,48.0,99.8,,18,14,,STRONG_BULLISH,WEAK_HOLD
AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1421.2,2.12,3.44,13.92,48.0,77.7,,15,15,,STRONG_BULLISH,WEAK_HOLD
AEROFLEX,AEROFLEX,SMALL_CAP,304.52,5.33,3.79,32.02,48.0,75.5,,16,14,,STRONG_BULLISH,WEAK_HOLD
NATIONALUM,National Aluminium Company Limited,SMALL_CAP,435.95,3.07,2.84,15.64,47.3,73.8,,13,16,,STRONG_BULLISH,WEAK_HOLD
CHENNPETRO,CHENNPETRO,LARGE_CAP,1071.4,4.8,10.33,5.01,47.3,63.3,,10,14,,STRONG_BULLISH,WEAK_HOLD
SIEMENS,SIEMENS,LARGE_CAP,3844.3,3.29,7.5,24.86,46.7,94.1,,16,16,,STRONG_BULLISH,WEAK_HOLD
SANGAMIND,SANGAMIND,SMALL_CAP,538.4,7.47,19.42,24.56,46.7,92.9,,18,12,,STRONG_BULLISH,WEAK_HOLD
GRANULES,GRANULES,MID_CAP,672.75,0.75,3.08,15.49,46.0,71.9,,14,13,,STRONG_BULLISH,WEAK_HOLD
LOTUSEYE,LOTUSEYE,MICRO_CAP,118.97,7.95,9.55,13.63,46.0,89.4,,13,16,,STRONG_BULLISH,WEAK_HOLD
DALMIASUG,DALMIASUG,MICRO_CAP,402.55,5.12,6.3,34.74,46.0,53.6,,13,14,,STRONG_BULLISH,WEAK_HOLD
NEOGEN,NEOGEN,LARGE_CAP,1658.6,9.95,14.49,22.52,46.0,93.0,,18,14,,BULLISH,WEAK_HOLD
ADANIPOWER,Adani Power Limited,SMALL_CAP,215.65,6.24,17.57,42.81,46.0,100.0,,18,14,,STRONG_BULLISH,WEAK_HOLD
MUKANDLTD,MUKANDLTD,MICRO_CAP,146.66,7.59,8.05,17.3,45.3,81.2,,16,16,,BULLISH,WEAK_HOLD
JKPAPER,JKPAPER,SMALL_CAP,384.3,6.48,3.04,15.74,45.3,81.9,,16,16,,BULLISH,WEAK_HOLD
GAEL,GAEL,MICRO_CAP,154.95,-0.79,0.12,16.5,45.3,71.1,,16,10,,STRONG_BULLISH,WEAK_HOLD
JUBLINGREA,JUBLINGREA,MID_CAP,698.95,6.1,4.65,22.34,45.3,90.0,,16,16,,BULLISH,WEAK_HOLD
HBLENGINE,HBL Power Systems Limited,MID_CAP,816.4,4.23,3.88,23.76,45.3,94.0,,13,16,,STRONG_BULLISH,WEAK_HOLD
