SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
CEIGALL,CEIGALL,MICRO_CAP,306.95,2.25,5.75,12.7,46.7,80.6,,14,16,,STRONG_BULLISH,WEAK_HOLD
HAPPYFORGE,HAPPYFORGE,MICRO_CAP,1336.6,1.6,5.19,5.74,46.7,73.1,,14,9,,STRONG_BULLISH,WEAK_HOLD
KSB,KSB,MID_CAP,968.2,2.79,12.53,28.65,46.7,89.6,,16,14,,STRONG_BULLISH,WEAK_HOLD
NAVA,Nava Bharat Ventures Limited,MID_CAP,703.1,12.23,18.28,30.65,46.7,80.6,,18,12,,STRONG_BULLISH,WEAK_HOLD
KIRLPNU,KIRLPNU,SMALL_CAP,1263.4,1.06,7.55,19.89,46.7,79.4,,14,15,,BULLISH,WEAK_HOLD
LLOYDSME,LLOYDSME,LARGE_CAP,1623.3,4.28,9.17,41.5,46.7,91.1,,16,14,,STRONG_BULLISH,WEAK_HOLD
WABAG,WABAG,LARGE_CAP,1389.5,-3.53,5.26,13.2,46.0,68.2,,18,8,,BULLISH,WEAK_HOLD
KSOLVES,KSOLVES,MICRO_CAP,349.27,8.92,14.17,28.62,46.0,77.8,,18,14,,STRONG_BEARISH,WEAK_HOLD
BSE,BSE,LARGE_CAP,3531.5,2.46,8.41,23.37,46.0,79.4,,16,11,,STRONG_BULLISH,WEAK_HOLD
MAFANG,MAFANG,MICRO_CAP,175.5,5.17,11.75,9.08,46.0,72.2,,14,12,,STRONG_BULLISH,WEAK_HOLD
CIEINDIA,CIEINDIA,SMALL_CAP,490.2,1.52,2.21,9.19,46.0,79.1,,12,15,,STRONG_BULLISH,WEAK_HOLD
SSWL,SSWL,MICRO_CAP,220.94,3.53,8.71,23.42,46.0,77.0,,14,14,,BULLISH,WEAK_HOLD
ASTERDM,Aster DM Healthcare Limited,SMALL_CAP,688.15,2.05,3.0,6.0,45.3,64.1,,11,12,,STRONG_BULLISH,WEAK_HOLD
SCI,SCI,SMALL_CAP,305.87,5.86,28.05,30.94,45.3,84.8,,20,8,,STRONG_BULLISH,WEAK_HOLD
QUADFUTURE,QUADFUTURE,MICRO_CAP,327.1,3.82,10.68,12.6,45.3,68.4,,14,14,,BULLISH,WEAK_HOLD
ADANIENSOL,ADANIENSOL,LARGE_CAP,1259.8,3.04,16.78,26.42,45.3,82.4,,18,12,,STRONG_BULLISH,WEAK_HOLD
DHARMAJ,DHARMAJ,MICRO_CAP,271.24,-1.72,1.13,14.48,45.3,77.7,,14,10,,STRONG_BULLISH,WEAK_HOLD
ALIVUS,ALIVUS,SMALL_CAP,1069.65,-0.14,2.6,15.58,45.3,88.3,,18,10,,STRONG_BULLISH,WEAK_HOLD
POKARNA,POKARNA,SMALL_CAP,927.45,0.54,4.35,7.95,45.3,57.7,,14,13,,BULLISH,WEAK_HOLD
DATAPATTNS,DATAPATTNS,LARGE_CAP,3494.2,0.11,3.7,12.87,45.3,63.3,,14,9,,STRONG_BULLISH,WEAK_HOLD
JINDALSAW,JINDALSAW,SMALL_CAP,236.28,6.71,16.79,20.14,45.3,86.7,,18,10,,STRONG_BULLISH,WEAK_HOLD
CARERATING,CARERATING,SMALL_CAP,1614.8,2.74,3.48,3.19,45.3,67.4,,9,18,,BULLISH,WEAK_HOLD
TIPSMUSIC,TIPSMUSIC,MICRO_CAP,585.55,1.92,8.82,15.44,45.3,72.8,,14,13,,BULLISH,WEAK_HOLD
DALMIASUG,DALMIASUG,SMALL_CAP,394.15,4.56,7.71,34.91,45.3,75.3,,13,16,,STRONG_BULLISH,WEAK_HOLD
SONACOMS,SONACOMS,MID_CAP,593.85,2.24,13.54,21.39,44.7,75.9,,14,11,,STRONG_BULLISH,WEAK_HOLD
LIQUIDCASE,LIQUIDCASE,MICRO_CAP,113.67,0.04,0.12,0.46,44.7,100.0,,9,15,,STRONG_BULLISH,WEAK_HOLD
BHAGYANGR,BHAGYANGR,MICRO_CAP,211.96,3.37,14.59,46.79,44.7,86.6,,20,9,,STRONG_BULLISH,WEAK_HOLD
ABB,ABB,LARGE_CAP,7029.5,2.12,6.28,13.05,44.7,79.5,,16,9,,STRONG_BULLISH,WEAK_HOLD
ACMESOLAR,ACMESOLAR,SMALL_CAP,304.65,5.98,11.55,24.4,44.7,79.4,,14,14,,STRONG_BULLISH,WEAK_HOLD
JINDALSTEL,Jindal Steel & Power Limited,LARGE_CAP,1270.0,3.39,5.87,12.09,44.7,80.4,,14,18,,STRONG_BULLISH,WEAK_HOLD
GESHIP,GESHIP,LARGE_CAP,1424.3,3.11,2.38,3.71,44.7,53.5,,9,16,,STRONG_BULLISH,WEAK_HOLD
CPSEETF,CPSEETF,MICRO_CAP,106.85,1.35,3.4,5.74,44.0,85.7,,10,13,,STRONG_BULLISH,WEAK_HOLD
DELHIVERY,DELHIVERY,SMALL_CAP,463.0,0.71,-1.46,15.39,44.0,71.5,,14,13,,STRONG_BULLISH,WEAK_HOLD
TI,TI,SMALL_CAP,470.0,5.3,11.31,6.24,44.0,60.9,,12,14,,STRONG_BEARISH,WEAK_HOLD
FACT,FACT,MID_CAP,902.75,3.54,4.86,12.07,44.0,72.6,,16,10,,BULLISH,WEAK_HOLD
GNA,GNA,MICRO_CAP,435.9,-1.56,6.41,13.6,44.0,67.6,,18,6,,STRONG_BULLISH,WEAK_HOLD
SANSERA,SANSERA,MID_CAP,2378.3,-0.78,5.62,17.34,44.0,74.3,,16,8,,STRONG_BULLISH,WEAK_HOLD
NTPCGREEN,NTPCGREEN,MICRO_CAP,111.96,2.91,16.44,13.66,44.0,75.7,,16,10,,BULLISH,WEAK_HOLD
PARKHOSPS,PARKHOSPS,SMALL_CAP,216.47,5.17,5.68,16.92,44.0,59.6,,13,16,,BULLISH,WEAK_HOLD
HEG,HEG,MID_CAP,633.0,0.98,13.18,26.96,44.0,78.2,,15,8,,STRONG_BULLISH,WEAK_HOLD
