SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
GLOBAL,GLOBAL,MICRO_CAP,113.9,11.2,11.23,14.15,56.0,63.6,,20,14,,STRONG_BULLISH,HOLD
J&KBANK,J&KBANK,MICRO_CAP,136.89,1.59,6.51,18.21,55.3,62.7,,20,13,,STRONG_BULLISH,HOLD
AEROFLEX,AEROFLEX,SMALL_CAP,344.7,8.38,17.63,35.1,54.7,66.2,,20,12,,STRONG_BULLISH,HOLD
BELRISE,BELRISE,SMALL_CAP,222.12,4.15,2.98,15.89,54.7,63.8,,16,16,,STRONG_BULLISH,HOLD
AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1484.0,3.91,4.32,10.71,54.0,69.4,,18,13,,STRONG_BULLISH,HOLD
WSTCSTPAPR,WSTCSTPAPR,SMALL_CAP,528.65,6.43,7.94,19.33,54.0,64.2,,18,16,,STRONG_BULLISH,HOLD
SIGNPOST,SIGNPOST,MICRO_CAP,297.05,6.43,12.47,28.4,53.3,75.6,,20,16,,STRONG_BULLISH,HOLD
POLYCAB,POLYCAB,LARGE_CAP,8415.5,0.94,1.96,19.42,52.7,70.0,,16,13,,STRONG_BULLISH,HOLD
GRANULES,GRANULES,MID_CAP,736.0,3.4,4.37,14.29,52.7,92.7,,20,16,,STRONG_BULLISH,HOLD
STAR,STAR,MID_CAP,1098.0,4.36,4.38,11.92,52.7,68.4,,18,16,,STRONG_BULLISH,HOLD
LUPIN,Lupin Limited,LARGE_CAP,2442.9,4.25,6.09,7.15,52.0,65.8,,14,14,,STRONG_BULLISH,HOLD
NATCOPHARM,NATCOPHARM,LARGE_CAP,1150.1,2.23,5.12,11.82,52.0,64.4,,14,14,,STRONG_BULLISH,HOLD
BHARATGEAR,BHARATGEAR,MICRO_CAP,112.25,4.43,4.55,19.85,51.3,51.1,,15,16,,STRONG_BULLISH,HOLD
SPMLINFRA,SPMLINFRA,SMALL_CAP,221.8,3.73,4.3,26.91,51.3,68.3,,16,14,,STRONG_BULLISH,HOLD
AJANTPHARM,AJANTPHARM,LARGE_CAP,3096.3,6.86,12.35,12.91,50.7,68.4,,15,14,,STRONG_BULLISH,HOLD
ANANDRATHI,ANANDRATHI,LARGE_CAP,3618.4,0.16,1.1,10.22,50.0,43.3,,14,11,,STRONG_BULLISH,HOLD
GRWRHITECH,GRWRHITECH,LARGE_CAP,5044.0,12.66,27.64,36.18,50.0,75.6,,18,10,,STRONG_BULLISH,HOLD
LTF,L&T Finance Holdings Limited,SMALL_CAP,300.3,3.39,5.08,17.56,50.0,69.6,,13,16,,STRONG_BULLISH,HOLD
MARICO,Marico Limited,MID_CAP,814.8,0.94,4.35,8.56,50.0,78.1,,13,15,,STRONG_BULLISH,HOLD
SAKAR,SAKAR,MICRO_CAP,598.0,-5.03,-8.3,14.83,50.0,52.9,,20,8,,STRONG_BULLISH,HOLD
