"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
65,"AVANTIFEED","AVANTI FEEDS LIMITED","MID_CAP",1473.3,5.83,0.97,19.74,80.7,66.6,"STRONG_BULLISH",85.74,20,12,20,60,68.81,56,59.25,44.17,5082182761.2,"STRONG_BUY",2026-04-17
28,"BAJAJCON","BAJAJ CONSUMER CARE LTD","LARGE_CAP",469.95,9.57,8.72,33.17,78.7,72.9,"STRONG_BULLISH",39.38,20,12,20,61.4,60.24,65,60.25,60,9430400229.3,"BUY",2026-04-17
305,"CENTUM","CENTUM ELECTRONICS LTD","MICRO_CAP",3084.8,1.29,9.57,8.78,78.7,65.1,"STRONG_BULLISH",33.62,20,9,20,64.92,71.74,60,61.14,60,821515646.2,"BUY",2026-04-17
93,"CHENNPETRO","CHENNAI PETROLEUM CORP LT","MID_CAP",1041.85,6.22,6.98,2.63,77.3,58.9,"BULLISH",21.21,14,16,20,68.3,71.74,82,58.64,49.17,3793609055.8,"BUY",2026-04-17
127,"APEX","APEX FROZEN FOODS LIMITED","MID_CAP",466.85,8.72,7.26,26.3,77.3,67.8,"STRONG_BULLISH",60.79,20,12,15,57.85,71.74,64,58.27,10,2768601774.4,"BUY",2026-04-17
525,"DALMIASUG","DALMIA BHARAT SUG IN LTD","MICRO_CAP",394.15,4.56,6.18,31.19,76.7,68.8,"STRONG_BULLISH",43.82,15,16,20,69.58,73.7,84,58.64,49.17,274301149.8,"BUY",2026-04-17
561,"ARVIND","ARVIND LIMITED","MICRO_CAP",386.75,0.42,-0.85,5.9,76.7,61.4,"STRONG_BULLISH",24.73,18,13,15,57.39,51.96,61,57.27,66,238781012.75,"BUY",2026-04-17
144,"APARINDS","APAR INDUSTRIES LTD.","MID_CAP",11482,1.91,1.23,19.49,74,68.1,"STRONG_BULLISH",44.54,18,9,15,57.41,57.96,58.6,57.27,54.17,2363144549.5,"BUY",2026-04-17
212,"BELRISE","BELRISE INDUSTRIES LTD","SMALL_CAP",214.1,2.49,3.89,16.52,74,69.4,"STRONG_BULLISH",26.22,16,16,15,53.29,50.22,51,57.27,60,1497817232.82,"BUY",2026-04-17
307,"CARBORUNIV","CARBORUNDUM UNIVERSAL LTD","MICRO_CAP",940.1,6.02,4.99,22.46,74,72.5,"BULLISH",20.17,18,16,15,53.07,51.96,51,57.05,54.17,813358709.4,"BUY",2026-04-17
735,"CEIGALL","CEIGALL INDIA LIMITED","MICRO_CAP",306.95,2.25,2.28,10.55,74,69.5,"BULLISH",14.53,14,16,15,52.84,53.04,47,56.59,57,113042358.15,"BUY",2026-04-17
484,"ASTERDM","ASTER DM HEALTHCARE LTD.","MICRO_CAP",688.15,2.05,0.93,3.95,72.7,58.3,"STRONG_BULLISH",25.54,13,12,20,60.89,64.13,56,56.68,66,317125850.65,"BUY",2026-04-17
569,"ALIVUS","ALIVUS LIFE SCIENCES LTD","MICRO_CAP",1069.65,-0.14,2.24,13.56,72.7,76.8,"STRONG_BULLISH",12.21,18,10,15,55.45,52.14,59,54.24,60,229638277.6,"BUY",2026-04-17
