"SYMBOL","CURRENT_PRICE","SMA_20","SMA_50","SMA_100","SMA_200","ABOVE_20DMA","ABOVE_50DMA","ABOVE_100DMA","ABOVE_200DMA"
"ATAM",77.15,80.9990000000001,86.5454,88.6664999999997,94.1295500000002,FALSE,FALSE,FALSE,FALSE
"RHL",183.11,201.7515,215.9708,240.3884,244.71585,FALSE,FALSE,FALSE,FALSE
"ATALREAL",27.52,25.8715,24.7778000000001,21.8781,17.52025,TRUE,TRUE,TRUE,TRUE
"AVG",151.83,168.743,188.9528,208.8976,268.148200000001,FALSE,FALSE,FALSE,FALSE
"PVRINOX",957.4,1019.165,1082.192,1097.241,1035.35625,FALSE,FALSE,FALSE,FALSE
"OSWALGREEN",27.46,31.2910000000001,34.0934,37.2391000000001,39.6902,FALSE,FALSE,FALSE,FALSE
"SHRIPISTON",2832.9,3095.25,2846.086,2732.42,2476.73925,FALSE,FALSE,TRUE,TRUE
"INDOTHAI",259.05,280.61,352.0428,316.7819,289.80945,FALSE,FALSE,FALSE,FALSE
"SUMIT",52.17,60.8679999999999,72.4356000000001,82.9875999999999,89.9768499999999,FALSE,FALSE,FALSE,FALSE
"ACL",61.56,67.071,69.0198,67.2873999999998,66.3978,FALSE,FALSE,FALSE,FALSE
"PAVNAIND",16.53,22.4350000000006,28.8453999999999,85.9594999999999,237.09875,FALSE,FALSE,FALSE,FALSE
"KPIL",1104.8,1151.86,1201.106,1230.749,1155.93425,FALSE,FALSE,FALSE,FALSE
"PTCIL",17809,18058.85,17806.32,16402.28,15355.626,FALSE,TRUE,TRUE,TRUE
"SIGMA",52.84,255.236999999999,329.8838,298.0643,322.253150000001,FALSE,FALSE,FALSE,FALSE
"RADAAN",3.17,3.3395,3.3082,3.4218,3.3431,FALSE,FALSE,FALSE,FALSE
"MKPL",5.5,5.78899999999976,6.19439999999994,6.66110000000026,17.1147500000003,FALSE,FALSE,FALSE,FALSE
"HDFCGOLD",128.97,118.843,111.0962,103.3216,92.75325,TRUE,TRUE,TRUE,TRUE
"HDFCNIFBAN",60.72,61.0570000000001,60.569,58.7590000000003,57.3539500000003,FALSE,TRUE,TRUE,TRUE
"HDFCNIFTY",283.35,289.0795,289.6858,284.6172,278.20765,FALSE,FALSE,FALSE,TRUE
"HDFCSENSEX",92.67,94.8460000000001,95.1841999999994,93.5246999999996,91.7584499999998,FALSE,FALSE,FALSE,TRUE
"IKIO",154.79,172.06,186.99,199.215500000001,210.48795,FALSE,FALSE,FALSE,FALSE
"CIEINDIA",409.6,410.795,419.313,414.5305,419.908,FALSE,FALSE,FALSE,FALSE
"TITAGARH",795.5,815.929999999999,838.037,856.608499999999,854.667000000001,FALSE,FALSE,FALSE,FALSE
"SINDHUTRAD",18.72,19.9305,22.173,23.9727,23.7761,FALSE,FALSE,FALSE,FALSE
"GHCLTEXTIL",71.03,73.34,75.3323999999998,77.1027000000001,82.1304500000001,FALSE,FALSE,FALSE,FALSE
"ASHOKAMET",13.82,14.998,15.824,16.4067,16.9896,FALSE,FALSE,FALSE,FALSE
"GENSOL",236.7,430.482499999999,602.471000000001,694.154000000001,816.11525,FALSE,FALSE,FALSE,FALSE
"SELMC",30.81,33.8615,31.747,31.4678,39.5004,FALSE,FALSE,FALSE,FALSE
"SHAH",4.92,4.9575,4.5198,4.067,3.9195,FALSE,TRUE,TRUE,TRUE
"HMAAGRO",26.37,28.2025000000001,29.6454000000006,30.2672999999996,31.1952999999999,FALSE,FALSE,FALSE,FALSE
"URAVI",410.25,409.57,480.068,394.6565,341.3905,TRUE,FALSE,TRUE,TRUE
"IDEAFORGE",429.5,453.51,463.696999999999,476.995,478.708750000001,FALSE,FALSE,FALSE,FALSE
"AARTECH",47.47,50.665,51.581,54.4974,61.0884999999999,FALSE,FALSE,FALSE,FALSE
"CYIENTDLM",366.95,403.505,425.860999999999,436.341999999999,447.739000000001,FALSE,FALSE,FALSE,FALSE
"PAKKA",92.44,101.1885,113.7992,134.6941,160.09245,FALSE,FALSE,FALSE,FALSE
"SENCO",311.7,325.245000000001,322.892999999999,339.592,339.747250000001,FALSE,FALSE,FALSE,FALSE
"LLOYDSME",1152.1,1263.99,1264.974,1296.993,1339.3565,FALSE,FALSE,FALSE,FALSE
"UTKARSHBNK",13.73,14.685,16.2155999999999,18.6211999999999,21.08775,FALSE,FALSE,FALSE,FALSE
"BANKETF",601.45,604.39,599.2908,581.2985,567.4931,FALSE,TRUE,TRUE,TRUE
