"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
116,"RKFORGE","RAMKRISHNA FORGINGS LTD","MID_CAP",602.3,6.94,8.69,29.08,65.3,69.3,"BULLISH",10.24,16,16,0,NA,NA,NA,NA,NA,2723194450.85,"BUY",2026-04-28
199,"IMFA","INDIAN METALS & FERRO","SMALL_CAP",1631.9,7.23,8.85,35.71,65.3,71.7,"STRONG_BULLISH",18.18,18,14,0,NA,NA,NA,NA,NA,1387077946.7,"BUY",2026-04-28
220,"PTC","PTC INDIA LIMITED","SMALL_CAP",205.71,5.38,10.08,30.57,65.3,75.2,"STRONG_BULLISH",12.74,16,16,0,NA,NA,NA,NA,NA,1244415045.21,"BUY",2026-04-28
327,"SKYGOLD","SKY GOLD AND DIAMONDS LTD","MICRO_CAP",436.45,3.33,4.63,37.14,65.3,70.1,"STRONG_BULLISH",36.9,18,14,0,NA,NA,NA,NA,NA,640795643.4,"BUY",2026-04-28
330,"ARIS","ARIS","MICRO_CAP",128.44,3.38,-0.19,33.04,65.3,67.7,"BULLISH",44.79,20,16,0,NA,NA,NA,NA,NA,633608088.44,"BUY",2026-04-28
795,"STEELCAS","STEELCAST LIMITED","MICRO_CAP",309.83,4.47,4.39,37.17,65.3,74.5,"STRONG_BULLISH",37.74,18,14,0,NA,NA,NA,NA,NA,61108461.72,"BUY",2026-04-28
88,"ATHERENERG","ATHER ENERGY LIMITED","MID_CAP",931.15,-1.07,3.91,23.49,64.7,67.4,"STRONG_BULLISH",32.14,15,8,20,63.36,53.7,85,53.64,66,3497301561,"HOLD",2026-04-28
105,"RRKABEL","R R KABEL LIMITED","MID_CAP",1609,6.66,10.39,24.4,64.7,71.1,"BULLISH",17.79,18,16,0,NA,NA,NA,NA,NA,2929907694.9,"HOLD",2026-04-28
126,"OLECTRA","OLECTRA GREENTECH LIMITED","MID_CAP",1286,3.93,5.23,33.09,64.7,69.5,"BULLISH",25.34,18,14,0,NA,NA,NA,NA,NA,2494069024.8,"HOLD",2026-04-28
142,"ABB","ABB INDIA LIMITED","MID_CAP",7288,-1.92,0.45,22.66,64.7,65.5,"STRONG_BULLISH",28.32,15,8,20,61.29,55.43,73,59.32,60,2168357684.5,"HOLD",2026-04-28
223,"AUROPHARMA","AUROBINDO PHARMA LTD","SMALL_CAP",1422.6,0.42,2.22,9.06,64.7,68.3,"STRONG_BULLISH",30.71,13,10,20,67.41,70.43,70,59.18,66,1206317986.8,"HOLD",2026-04-28
335,"GENUSPOWER","GENUS POWER INFRASTRU LTD","MICRO_CAP",311.76,3.1,6.5,45.07,64.7,69,"BULLISH",22.09,18,14,0,NA,NA,NA,NA,NA,620154779.43,"HOLD",2026-04-28
13,"ONGC","OIL AND NATURAL GAS CORP.","LARGE_CAP",301.3,5.39,6.43,5.85,64,72.3,"STRONG_BULLISH",14.87,18,12,0,NA,NA,NA,NA,NA,15315300962.9,"HOLD",2026-04-28
41,"AUBANK","AU SMALL FINANCE BANK LTD","LARGE_CAP",1022.8,-1.94,-1.45,21.37,64,59.7,"BULLISH",6.32,13,8,15,55,51.19,55,57.35,62,6136167884.6,"HOLD",2026-04-28
89,"AMBER","AMBER ENTERPRISES (I) LTD","MID_CAP",8200,1.09,4.35,25.21,64,68.9,"BULLISH",13.34,12,8,15,59.89,69.2,78.33,55.65,10,3486255017,"HOLD",2026-04-28
249,"AVANTIFEED","AVANTI FEEDS LIMITED","SMALL_CAP",1414.6,-0.81,-3.31,20.29,64,57.3,"STRONG_BULLISH",29.19,15,8,20,60,68.81,56,59.25,44.17,1017894350.3,"HOLD",2026-04-28
336,"ANANDRATHI","ANAND RATHI WEALTH LTD","MICRO_CAP",3579.1,0.58,-1.85,17.91,64,66.8,"STRONG_BULLISH",24.94,15,8,15,50.33,50.65,47,56.59,46.67,614142355.5,"HOLD",2026-04-28
431,"EBGNG","GNG ELECTRONICS LIMITED","MICRO_CAP",413.8,7.42,-0.45,17.54,64,58.5,"STRONG_BULLISH",27.31,16,16,0,NA,NA,NA,NA,NA,347452382.5,"HOLD",2026-04-28
108,"JINDALSAW","JINDAL SAW LIMITED","MID_CAP",240.28,-1.99,1.89,31.21,63.3,67.4,"STRONG_BULLISH",27.67,20,6,0,NA,NA,NA,NA,NA,2887361215.03,"HOLD",2026-04-28
182,"BANDHANBNK","BANDHAN BANK LIMITED","SMALL_CAP",178.65,-1.77,1.43,26.39,63.3,60.9,"BULLISH",11.33,11,8,20,65.58,70.71,70,56.47,56.67,1540443084.92,"HOLD",2026-04-28
219,"ASHAPURMIN","ASHAPURA MINECHEM LTD","SMALL_CAP",648.1,4.16,3.04,41.04,63.3,68,"BULLISH",6.45,11,14,15,52.76,51.96,47,58.41,57,1248587774.4,"HOLD",2026-04-28
458,"BLISSGVS","BLISS GVS PHARMA LTD","MICRO_CAP",269.26,-1.64,4.04,24.89,63.3,64.1,"STRONG_BULLISH",33.57,15,6,20,66.8,73.48,70,56.82,57,289875842.44,"HOLD",2026-04-28
846,"ORIENTBELL","ORIENT BELL LIMITED","MICRO_CAP",320.7,12.63,9.29,27.09,63.3,63.2,"BULLISH",16.55,18,16,0,NA,NA,NA,NA,NA,44201813.6,"HOLD",2026-04-28
3,"VEDL","VEDANTA LIMITED","LARGE_CAP",739.3,-0.43,-3.59,12.9,62.7,53.8,"STRONG_BULLISH",11.28,16,10,0,NA,NA,NA,NA,NA,28286316289.4,"HOLD",2026-04-28
26,"GMDCLTD","GUJARAT MINERAL DEV CORP","LARGE_CAP",714.4,2.27,3.61,26.19,62.7,67,"STRONG_BULLISH",22.17,16,14,0,NA,NA,NA,NA,NA,9654303379.35,"HOLD",2026-04-28
190,"VSSL","VARDHMAN SPC STEEL LTD","SMALL_CAP",293.29,7.44,12.44,40.73,62.7,74.6,"BULLISH",15.07,18,14,0,NA,NA,NA,NA,NA,1447558901.92,"HOLD",2026-04-28
252,"BDL","BHARAT DYNAMICS LIMITED","SMALL_CAP",1396.7,0.39,1.58,27.37,62.7,61,"BULLISH",11.6,11,8,25,73.31,74.78,94,58.86,54.17,1009220015.5,"HOLD",2026-04-28
378,"UNIMECH","UNIMECH AEROSPACE N MFG L","MICRO_CAP",1110.3,8.43,17.09,57.2,62.7,76.5,"BULLISH",16.73,18,14,0,NA,NA,NA,NA,NA,502066597.25,"HOLD",2026-04-28
497,"DEEDEV","DEE DEVELOPMENT ENG LTD","MICRO_CAP",402.8,-5,-1.25,49.82,62.7,65.5,"STRONG_BULLISH",91.35,15,6,20,67.63,72.83,70,57.73,63,251831122.5,"HOLD",2026-04-28
560,"PLASTIBLEN","PLASTIBLENDS INDIA LTD","MICRO_CAP",181.02,14.82,19.12,48.9,62.7,78.2,"BULLISH",20.45,18,14,0,NA,NA,NA,NA,NA,197153103.37,"HOLD",2026-04-28
582,"POLYPLEX","POLYPLEX CORPORATION LTD","MICRO_CAP",944.5,3.12,8.64,26.3,62.7,67.7,"BULLISH",10.56,16,13,0,NA,NA,NA,NA,NA,172680266.85,"HOLD",2026-04-28
693,"MODISONLTD","MODISON LIMITED","MICRO_CAP",170.54,12.04,18.82,47.22,62.7,76.3,"BULLISH",15.19,18,14,0,NA,NA,NA,NA,NA,101166822.68,"HOLD",2026-04-28
183,"JBMA","JBM AUTO LIMITED","SMALL_CAP",645.3,2.63,3.08,25.24,62,65,"BULLISH",11.06,12,16,0,NA,NA,NA,NA,NA,1535233396.35,"HOLD",2026-04-28
471,"DEEPAKFERT","DEEPAK FERTILIZERS & PETR","MICRO_CAP",1218.9,-1.74,-3.75,34.09,62,63.2,"BULLISH",18.13,13,6,25,70.76,75.43,76,62.95,60,279341424.5,"HOLD",2026-04-28
514,"ROSSTECH","ROSSELL TECHSYS LIMITED","MICRO_CAP",1020.2,2.82,8.65,52.79,62,73.2,"STRONG_BULLISH",43.55,18,9,0,NA,NA,NA,NA,NA,234730343.5,"HOLD",2026-04-28
584,"RPTECH","RASHI PERIPHERALS LIMITED","MICRO_CAP",487.65,3.25,2.8,44.32,62,78.3,"STRONG_BULLISH",30.66,18,14,0,NA,NA,NA,NA,NA,171897272.6,"HOLD",2026-04-28
85,"EMIL","ELECTRONICS MART IND LTD","MID_CAP",122.75,11.08,13.06,39.33,61.3,74.8,"BULLISH",20.17,18,12,0,NA,NA,NA,NA,NA,3670531866.93,"HOLD",2026-04-28
136,"JAYNECOIND","JAYASWAL NECO INDUSTR LTD","MID_CAP",109.81,5.54,10.98,53.47,61.3,77.8,"STRONG_BULLISH",43.04,20,6,0,NA,NA,NA,NA,NA,2296914081.54,"HOLD",2026-04-28
161,"CUMMINSIND","CUMMINS INDIA LTD","SMALL_CAP",5258,0.47,2.77,16.84,61.3,65.3,"STRONG_BULLISH",23.17,13,10,15,53.02,50.65,51,55.68,59.17,1790534331.2,"HOLD",2026-04-28
210,"APARINDS","APAR INDUSTRIES LTD.","SMALL_CAP",11862,-2.25,1.26,20.05,61.3,63.2,"STRONG_BULLISH",29.44,15,8,15,57.41,57.96,58.6,57.27,54.17,1318191544,"HOLD",2026-04-28
489,"PICCADIL","PICCADILY AGRO INDUSTRI L","MICRO_CAP",674.9,2.77,11.82,30.45,61.3,79.9,"BULLISH",12.29,16,14,0,NA,NA,NA,NA,NA,256903421.15,"HOLD",2026-04-28
