"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"EBGNG",413.8,-46.64,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64,"MICRO_CAP"
"JINDALSAW",240.28,-23.93,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,63.3,"MID_CAP"
"BANDHANBNK",178.65,-12.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63.3,"SMALL_CAP"
"ASHAPURMIN",648.1,0.48,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,63.3,"SMALL_CAP"
"BLISSGVS",269.26,-44.15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,63.3,"MICRO_CAP"
"ORIENTBELL",320.7,-9.91,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,63.3,"MICRO_CAP"
"VEDL",739.3,-0.22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,62.7,"LARGE_CAP"
"GMDCLTD",714.4,-20.34,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,62.7,"LARGE_CAP"
"VSSL",293.29,-11.98,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,62.7,"SMALL_CAP"
"BDL",1396.7,8.05,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,62.7,"SMALL_CAP"
"UNIMECH",1110.3,-23.37,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,62.7,"MICRO_CAP"
"DEEDEV",402.8,-83.63,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,62.7,"MICRO_CAP"
"PLASTIBLEN",181.02,-14.6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,62.7,"MICRO_CAP"
"POLYPLEX",944.5,-8.41,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,62.7,"MICRO_CAP"
"MODISONLTD",170.54,-8.59,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,62.7,"MICRO_CAP"
"JBMA",645.3,-10.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62,"SMALL_CAP"
"DEEPAKFERT",1218.9,-2.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62,"MICRO_CAP"
"ROSSTECH",1020.2,-38.79,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,62,"MICRO_CAP"
"RPTECH",487.65,-26.9,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,62,"MICRO_CAP"
"EMIL",122.75,-26.27,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,61.3,"MID_CAP"
"JAYNECOIND",109.81,-34.11,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,61.3,"MID_CAP"
"CUMMINSIND",5258,-22.36,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,61.3,"SMALL_CAP"
"APARINDS",11862,-43.79,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,61.3,"SMALL_CAP"
"PICCADIL",674.9,-10.49,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,61.3,"MICRO_CAP"
"ANTHEM",774.3,-21.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61.3,"MICRO_CAP"
"SUVEN",218.6,-47.86,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,61.3,"MICRO_CAP"
"GKENERGY",137.38,-14.24,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,61.3,"MICRO_CAP"
"TATACHEM",802.15,-7.51,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,60.7,"LARGE_CAP"
"COCHINSHIP",1695.6,-3.27,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,60.7,"MID_CAP"
"DCXINDIA",201.56,-10.01,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,60.7,"MICRO_CAP"
"MBAPL",526.5,-22.16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60.7,"MICRO_CAP"
"BALAMINES",1325.8,-6.33,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,60.7,"MICRO_CAP"
"DEEPINDS",487,-23.11,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,60.7,"MICRO_CAP"
"ARVIND",393.25,-23.29,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60.7,"MICRO_CAP"
"UFBL",337.33,-63.89,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,60.7,"MICRO_CAP"
