"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"BSOFT",460.55,-17.87,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,74,"SMALL_CAP"
"AVANTIFEED",1081.2,-42.53,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,70.7,"LARGE_CAP"
"ANURAS",1306.1,-16.99,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,70.7,"MICRO_CAP"
"CEIGALL",288.4,-11.42,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,67.3,"MICRO_CAP"
"BALKRISIND",2687.8,-13.38,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,66,"SMALL_CAP"
"CANTABIL",307.75,-20.48,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,65.3,"MICRO_CAP"
"ASHOKLEY",201.5,-41.17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64.7,"MID_CAP"
"BHARATFORG",1573.2,-19.42,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,64.7,"MID_CAP"
"BAJAJCON",363.7,-29.73,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64.7,"SMALL_CAP"
"BLISSGVS",185.78,-18.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64.7,"MICRO_CAP"
"BANKINDIA",163.46,-19.02,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,63.3,"MID_CAP"
"FORCEMOT",21090,-25.03,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,61.3,"LARGE_CAP"
