pnl_summary,quarterly_summary,balance_sheet_summary,ratios_summary,SYMBOL
,"Sales last 3Q: 683, 786, 780 Cr; Net Profit last 3Q: 78, 94, 55 Cr",,ROCE: 21%; EPS: 61.45; NPM: 14.46%,TIMKEN
Sales: 1569 Cr (YoY +11.8%); NetProfit: 36 Cr (YoY -16.3%); EPS: 56.67,"Sales last 3Q: 371, 392, 425 Cr; Net Profit last 3Q: 11, 3, 6 Cr",Debt: 594 Cr,ROCE: 10%; EPS: 56.67; NPM: 2.29%,DYNAMATECH
