symbol,weight_pct,volatility_annual_pct
AVL,0.4464285714285714,41.81
ADOR,0.4464285714285714,36.59
AFFLE,0.4464285714285714,34.78
ALIVUS,0.4464285714285714,36.21
ANANDRATHI,0.4464285714285714,48.63
ANANTRAJ,0.4464285714285714,54.05
ANGELONE,0.4464285714285714,80.78
APLAPOLLO,0.4464285714285714,30.74
APOLLOHOSP,0.4464285714285714,21.25
APOLLO,0.4464285714285714,61.56
APOLLOTYRE,0.4464285714285714,28.21
ARTEMISMED,0.4464285714285714,41.07
ARVINDFASN,0.4464285714285714,37.64
ASHOKLEY,0.4464285714285714,49.76
ASTRAMICRO,0.4464285714285714,43.66
ATHERENERG,0.4464285714285714,49.84
DMART,0.4464285714285714,29.19
AXISBANK,0.4464285714285714,24.46
BAJAJ-AUTO,0.4464285714285714,25.75
BAJFINANCE,0.4464285714285714,69.77
BAJAJFINSV,0.4464285714285714,24.78
BAJAJHLDNG,0.4464285714285714,33.37
BANKBARODA,0.4464285714285714,31.94
BEML,0.4464285714285714,61.76
BFUTILITIE,0.4464285714285714,60.74
BDL,0.4464285714285714,56.55
BEL,0.4464285714285714,33.99
BHARATFORG,0.4464285714285714,33.27
BHARATGEAR,0.4464285714285714,46.14
BHEL,0.4464285714285714,40.43
BPCL,0.4464285714285714,47.19
BHARTIARTL,0.4464285714285714,21.54
BLACKBUCK,0.4464285714285714,54.38
BLUESTARCO,0.4464285714285714,37.73
BLUSPRING,0.4464285714285714,51.44
BOSCHLTD,0.4464285714285714,26.85
BSE,0.4464285714285714,71.61
CANBK,0.4464285714285714,64.95
CDSL,0.4464285714285714,52.67
CESC,0.4464285714285714,36.25
CHOICEIN,0.4464285714285714,32.71
CHOLAHLDNG,0.4464285714285714,40.48
CIEINDIA,0.4464285714285714,28.68
CUB,0.4464285714285714,34.77
COCHINSHIP,0.4464285714285714,60.51
COFORGE,0.4464285714285714,67.55
COMSYN,0.4464285714285714,52.74
CONCOR,0.4464285714285714,35.31
COROMANDEL,0.4464285714285714,32.16
CROMPTON,0.4464285714285714,30.94
CUMMINSIND,0.4464285714285714,32.31
CUPID,0.4464285714285714,103.05
DALBHARAT,0.4464285714285714,26.81
DATAPATTNS,0.4464285714285714,52.99
DEEPINDS,0.4464285714285714,49.42
DELHIVERY,0.4464285714285714,33.4
DBOL,0.4464285714285714,56.76
DIGITIDE,0.4464285714285714,51.42
DIXON,0.4464285714285714,41.98
DLF,0.4464285714285714,32.65
LALPATHLAB,0.4464285714285714,43.62
EICHERMOT,0.4464285714285714,25.94
ENDURANCE,0.4464285714285714,32.96
ETERNAL,0.4464285714285714,36.22
EXIDEIND,0.4464285714285714,34.18
FORTIS,0.4464285714285714,30.28
NYKAA,0.4464285714285714,31.06
GABRIEL,0.4464285714285714,49.99
GRSE,0.4464285714285714,62.29
GLAXO,0.4464285714285714,36.86
GLENMARK,0.4464285714285714,30.61
GODREJAGRO,0.4464285714285714,34.81
GODREJIND,0.4464285714285714,39.63
GOKULAGRO,0.4464285714285714,64.58
GRAVITA,0.4464285714285714,52.28
GAEL,0.4464285714285714,38.68
GMDCLTD,0.4464285714285714,51.62
HGINFRA,0.4464285714285714,46.13
HAVELLS,0.4464285714285714,25.12
HAWKINCOOK,0.4464285714285714,12.18
HBLENGINE,0.4464285714285714,52.62
HDFCAMC,0.4464285714285714,47.41
HDFCBANK,0.4464285714285714,40.98
HEG,0.4464285714285714,75.2
HIRECT,0.4464285714285714,69.17
HINDALCO,0.4464285714285714,29.46
HAL,0.4464285714285714,36.39
HINDCOPPER,0.4464285714285714,56.6
HINDUNILVR,0.4464285714285714,20.57
ICICIBANK,0.4464285714285714,19.92
ICICIGI,0.4464285714285714,24.05
ICICIPRULI,0.4464285714285714,24.22
IDBI,0.4464285714285714,45.66
IDFCFIRSTB,0.4464285714285714,31.03
INDIAGLYCO,0.4464285714285714,59.5
IOC,0.4464285714285714,28.39
IREDA,0.4464285714285714,44.25
IGL,0.4464285714285714,49.54
INDRAMEDCO,0.4464285714285714,53.16
INFY,0.4464285714285714,25.43
INDIGO,0.4464285714285714,31.59
ITCHOTELS,0.4464285714285714,33.3
ITC,0.4464285714285714,19.76
JKCEMENT,0.4464285714285714,29.96
JINDALSTEL,0.4464285714285714,30.13
JMFINANCIL,0.4464285714285714,47.67
JSWENERGY,0.4464285714285714,39.04
JSWSTEEL,0.4464285714285714,26.4
JUBLPHARMA,0.4464285714285714,39.93
JYOTHYLAB,0.4464285714285714,33.39
KANSAINER,0.4464285714285714,25.48
KEC,0.4464285714285714,43.15
KERNEX,0.4464285714285714,66.44
KIRLOSENG,0.4464285714285714,42.47
KOTAKBANK,0.4464285714285714,61.7
KRBL,0.4464285714285714,40.18
KIMS,0.4464285714285714,64.29
LT,0.4464285714285714,27.25
LAURUSLABS,0.4464285714285714,34.59
LIBAS,0.4464285714285714,41.9
LICI,0.4464285714285714,29.35
LTFOODS,0.4464285714285714,44.83
M&M,0.4464285714285714,30.33
MAITHANALL,0.4464285714285714,37.69
MANAPPURAM,0.4464285714285714,37.56
MARICO,0.4464285714285714,23.34
MARUTI,0.4464285714285714,23.22
MAXHEALTH,0.4464285714285714,33.41
MAZDOCK,0.4464285714285714,66.07
MCX,0.4464285714285714,70.01
MEDPLUS,0.4464285714285714,29.06
MSUMI,0.4464285714285714,35.63
MPHASIS,0.4464285714285714,31.68
MTARTECH,0.4464285714285714,44.49
MUFIN,0.4464285714285714,49.59
MUTHOOTFIN,0.4464285714285714,32.99
NH,0.4464285714285714,30.96
NAVA,0.4464285714285714,58.7
NAVINFLUOR,0.4464285714285714,33.19
NCC,0.4464285714285714,40.04
NESTLEIND,0.4464285714285714,41.42
NHPC,0.4464285714285714,31.1
