symbol,quantity,value_rs,current_price,technical_score,rsi,trend_signal,trading_signal,recommendation,change_1d_pct,change_1w_pct,change_1m_pct,relative_strength,enhanced_fund_score,data_source
SUPRIYA,18,12168.9,704.7,39.3,66.8,BULLISH,WEAK_HOLD,REDUCE,0.04,13.52,25.41,6.74,,comprehensive_csv
TATACHEM,5,3728.25,802.15,60.7,74.0,BEARISH,HOLD,HOLD,11.05,13.35,37.53,16.22,,comprehensive_csv
TCS,100,312390.0,2444.7,21.3,43.0,BEARISH,SELL,SELL,-0.12,-6.35,3.64,-13.93,,comprehensive_csv
TATACONSUM,7,7937.3,1147.7,42.0,59.8,BEARISH,WEAK_HOLD,REDUCE,-1.1,0.5,13.1,3.77,,comprehensive_csv
TATAELXSI,4,21294.0,4131.6,10.7,38.8,BEARISH,SELL,SELL,-1.36,-11.16,3.9,-19.06,,comprehensive_csv
TMCV,107,49059.5,418.3,15.3,44.7,NEUTRAL,SELL,SELL,-0.58,-5.48,5.95,-7.32,,comprehensive_csv
TMPV,77,26953.85,350.8,28.7,55.3,BEARISH,SELL,SELL,-1.0,-1.43,18.43,-3.37,,comprehensive_csv
TATASTEEL,2307,445550.91,215.05,54.0,65.8,STRONG_BULLISH,HOLD,HOLD,0.83,1.43,12.09,7.54,,comprehensive_csv
TDPOWERSYS,22,16049.0,1145.55,48.0,78.3,STRONG_BULLISH,WEAK_HOLD,REDUCE,5.12,12.59,34.56,38.58,,comprehensive_csv
TECHM,100,174310.0,1408.1,16.7,45.7,BULLISH,SELL,SELL,0.86,-6.18,1.74,-10.22,,comprehensive_csv
FEDERALBNK,171,49205.25,290.6,47.3,56.0,STRONG_BULLISH,WEAK_HOLD,REDUCE,-1.17,-1.74,12.03,7.12,,comprehensive_csv
INDHOTEL,50,33707.5,652.45,28.0,55.4,BEARISH,SELL,SELL,0.71,-2.06,14.27,-2.97,,comprehensive_csv
KARURVYSYA,100,30140.0,293.65,26.0,53.6,BULLISH,SELL,SELL,-1.39,1.01,1.47,-5.62,,comprehensive_csv
TATAPOWER,217,79487.1,461.8,56.7,80.3,STRONG_BULLISH,HOLD,HOLD,1.9,5.91,21.93,28.99,,comprehensive_csv
TIMETECHNO,60,10798.2,184.88,30.0,52.8,BULLISH,SELL,SELL,-0.96,-3.21,16.7,-3.36,,comprehensive_csv
TIMEX,20,5733.0,,50.0,,UNKNOWN,HOLD,HOLD,,,,,,none
TITAN,8,31819.2,4417.0,44.0,55.5,STRONG_BULLISH,WEAK_HOLD,REDUCE,-0.56,-1.4,11.78,7.62,,comprehensive_csv
TRENT,7,26498.5,4253.9,40.7,62.4,BULLISH,WEAK_HOLD,REDUCE,-0.16,-3.11,29.07,5.82,,comprehensive_csv
TSFINV,20,8691.0,406.1,66.5,71.6,NEUTRAL,HOLD,HOLD,-1.65,-3.08,14.35,,,computed
UJJIVANSFB,1370,89556.9,43.11,20.0,44.7,BEARISH,SELL,SELL,0.14,1.6,-2.0,-8.74,,db
UNITDSPR,13,17713.8,1374.4,32.7,59.7,BEARISH,SELL,SELL,-1.24,0.84,12.77,1.64,,comprehensive_csv
USHAMART,50,20462.5,457.5,47.3,64.1,BULLISH,WEAK_HOLD,REDUCE,-0.62,3.15,16.87,10.85,,comprehensive_csv
V2RETAIL,40,79824.0,203.88,8.0,13.6,BEARISH,SELL,SELL,-0.91,3.18,7.82,-85.46,,comprehensive_csv
WABAG,5,5388.5,1510.8,52.0,69.5,STRONG_BULLISH,HOLD,HOLD,0.72,1.59,30.53,19.39,,comprehensive_csv
VBL,102,48067.5,518.55,52.7,74.7,BULLISH,HOLD,HOLD,-0.06,6.9,35.0,17.75,,comprehensive_csv
VIDHIING,10,3166.0,387.3,39.3,52.2,BEARISH,WEAK_HOLD,REDUCE,1.23,2.06,-1.16,-4.47,,db
VOLTAS,7,9295.3,1511.1,46.0,64.3,BULLISH,WEAK_HOLD,REDUCE,-0.26,3.7,18.72,6.57,,comprehensive_csv
VSTTILLERS,2,11047.0,5327.5,74.7,62.0,STRONG_BULLISH,BUY,ADD,4.15,0.68,15.43,47.46,,db
WEBELSOLAR,100,8140.0,122.2,41.3,83.9,BULLISH,WEAK_HOLD,REDUCE,4.99,38.44,88.41,74.43,,comprehensive_csv
WELENT,40,18862.0,517.55,35.3,66.4,BEARISH,WEAK_HOLD,REDUCE,-1.11,5.96,24.49,4.42,,comprehensive_csv
WELINV,18,22258.8,1475.0,78.1,77.0,BULLISH,BUY,ADD,-1.05,4.89,17.84,,,computed
WHIRLPOOL,6,4666.5,996.6,52.7,74.2,BEARISH,HOLD,HOLD,0.09,8.3,26.2,16.97,,comprehensive_csv
WINDLAS,15,12733.5,983.85,48.0,49.9,BULLISH,WEAK_HOLD,REDUCE,0.41,-1.04,3.17,12.91,,db
ZENTEC,22,31143.2,1687.7,50.0,64.7,STRONG_BULLISH,HOLD,HOLD,-1.86,-3.16,31.95,30.93,,comprehensive_csv
