symbol,quantity,value_rs,current_price,technical_score,rsi,trend_signal,trading_signal,recommendation,change_1d_pct,change_1w_pct,change_1m_pct,relative_strength,enhanced_fund_score,data_source
CHOICEIN,35,26794.25,677.45,26.0,46.5,BEARISH,SELL,SELL,-2.2,-6.67,11.04,-9.05,54.36,comprehensive_csv
CHOLAHLDNG,12,19851.6,1551.1,42.0,49.9,BEARISH,WEAK_HOLD,REDUCE,-2.29,-1.53,13.61,-6.09,50.66,comprehensive_csv
CIEINDIA,39,16309.8,469.6,51.3,49.8,STRONG_BULLISH,HOLD,HOLD,-2.94,-4.92,5.53,7.1,55.88,comprehensive_csv
CUB,120,36210.0,275.65,57.3,61.7,BEARISH,HOLD,HOLD,1.64,4.05,14.93,0.19,54.17,comprehensive_csv
COCHINSHIP,8,13279.2,1695.6,60.7,72.7,BULLISH,HOLD,HOLD,0.97,8.91,42.12,15.09,74.88,comprehensive_csv
COFORGE,17,28114.6,1200.9,25.3,46.4,BULLISH,SELL,SELL,-0.12,-7.11,7.73,-18.41,54.71,comprehensive_csv
COMSYN,10,1667.8,152.88,76.7,70.4,BULLISH,BUY,ADD,1.75,14.08,16.14,17.72,,db
CONCOR,11,5524.75,510.5,48.7,62.6,BULLISH,WEAK_HOLD,REDUCE,-0.72,1.25,20.03,3.56,54.0,comprehensive_csv
COROMANDEL,10,22826.0,2010.7,28.7,46.3,BEARISH,SELL,SELL,-1.0,-2.18,5.28,-7.21,54.33,comprehensive_csv
CROMPTON,10,2214.5,269.63,70.0,63.3,BEARISH,BUY,ADD,4.23,4.25,20.59,7.21,57.18,comprehensive_csv
CUMMINSIND,5,20562.5,5258.0,61.3,65.3,STRONG_BULLISH,HOLD,HOLD,0.47,2.77,16.84,23.17,53.02,comprehensive_csv
CUPID,15,6015.0,111.53,26.0,38.5,BEARISH,SELL,SELL,-0.65,1.46,34.21,-70.2,52.86,comprehensive_csv
DALBHARAT,5,10327.5,1918.8,44.0,47.8,BEARISH,WEAK_HOLD,REDUCE,-2.73,-3.58,7.85,-8.28,68.15,comprehensive_csv
DATAPATTNS,8,21374.4,4059.9,56.7,71.3,STRONG_BULLISH,HOLD,HOLD,2.52,15.13,33.76,47.09,52.76,comprehensive_csv
TRADING SUSPENDED,20,6022.0,,50.0,,UNKNOWN,HOLD,HOLD,,,,,,none
DEEPINDS,30,11155.5,487.0,60.7,64.8,BULLISH,HOLD,HOLD,-0.17,2.71,13.1,26.43,62.64,comprehensive_csv
DELHIVERY,1,422.95,465.4,58.7,59.5,STRONG_BULLISH,HOLD,HOLD,0.58,-1.41,11.69,10.92,53.74,comprehensive_csv
DBOL,70,7240.1,118.71,77.3,74.4,BULLISH,BUY,ADD,-0.79,3.96,12.15,,,computed
DIGITIDE,5,573.55,198.38,14.0,38.7,BEARISH,SELL,SELL,-1.67,-2.17,-5.58,-6.41,,db
DIXON,8,83568.0,11370.0,43.3,59.3,BULLISH,WEAK_HOLD,REDUCE,1.05,0.93,17.54,2.1,,comprehensive_csv
DLF,15,9536.25,587.9,22.0,54.0,BEARISH,SELL,SELL,-0.77,-3.23,16.62,-8.33,,comprehensive_csv
LALPATHLAB,20,28190.0,1411.7,33.3,52.6,BULLISH,SELL,SELL,-0.3,-1.76,7.59,1.13,,comprehensive_csv
EICHERMOT,5,35612.5,7071.5,38.7,48.6,BULLISH,WEAK_HOLD,REDUCE,-1.43,-2.33,7.37,1.08,,comprehensive_csv
ENDURANCE,6,14560.8,2933.2,60.0,67.5,STRONG_BULLISH,HOLD,HOLD,0.67,2.57,13.22,19.79,,db
ETERNAL,80,21888.0,253.07,32.7,54.4,BEARISH,SELL,SELL,-0.95,-2.47,10.52,-12.54,,comprehensive_csv
EXIDEIND,15,4824.0,356.25,51.3,67.7,BULLISH,HOLD,HOLD,1.11,6.95,23.74,9.31,,comprehensive_csv
FORTIS,55,46832.5,951.55,43.3,72.5,BEARISH,WEAK_HOLD,REDUCE,-0.24,3.81,19.69,10.85,,comprehensive_csv
NYKAA,15,3562.5,270.11,35.3,62.6,BULLISH,WEAK_HOLD,REDUCE,0.34,1.95,14.94,0.39,,comprehensive_csv
GABRIEL,39,36402.6,1020.45,54.7,62.2,BULLISH,HOLD,HOLD,0.69,0.44,23.49,6.33,,comprehensive_csv
GRSE,11,30406.2,2875.3,49.3,69.3,BULLISH,WEAK_HOLD,REDUCE,0.84,6.2,45.75,18.47,,comprehensive_csv
GLAXO,4,9606.4,2851.8,31.3,49.9,BEARISH,SELL,SELL,2.7,3.73,0.81,-8.89,,db
GLENMARK,5,10079.5,2403.7,69.3,71.1,STRONG_BULLISH,BUY,ADD,3.38,7.64,12.76,26.92,,comprehensive_csv
GODREJAGRO,10,5335.5,587.6,42.0,47.6,BULLISH,WEAK_HOLD,REDUCE,-2.88,-3.38,9.89,2.86,,comprehensive_csv
GODREJIND,8,7792.8,989.1,30.0,66.7,BEARISH,SELL,SELL,-0.82,6.57,32.06,-0.65,,comprehensive_csv
GOKULAGRO,75,12144.75,225.11,46.7,71.1,STRONG_BULLISH,WEAK_HOLD,REDUCE,-0.4,7.05,24.84,34.45,,comprehensive_csv
GRAVITA,30,48132.0,1625.0,30.0,59.7,BEARISH,SELL,SELL,0.74,-1.13,23.28,-0.31,,comprehensive_csv
GAEL,30,4230.3,149.54,49.3,54.1,STRONG_BULLISH,WEAK_HOLD,REDUCE,-2.14,-4.25,10.04,14.15,,comprehensive_csv
GMDCLTD,20,11555.0,714.4,62.7,67.0,STRONG_BULLISH,HOLD,HOLD,2.27,3.61,26.19,22.17,,comprehensive_csv
HGINFRA,21,13476.75,993.25,28.7,45.7,BEARISH,SELL,SELL,-0.28,1.94,-3.4,-1.39,,db
HAVELLS,21,26985.0,1272.2,22.0,48.0,BEARISH,SELL,SELL,-0.15,-4.26,6.85,-3.19,,comprehensive_csv
HAWKINCOOK,4,30084.0,,50.0,,UNKNOWN,HOLD,HOLD,,,,,,none
HBLENGINE,35,27426.0,800.35,40.7,63.8,BULLISH,WEAK_HOLD,REDUCE,-1.14,2.18,30.18,6.73,,comprehensive_csv
HDFCAMC,8,20125.6,2760.2,34.0,60.7,BEARISH,SELL,SELL,0.15,-1.21,24.54,2.15,,comprehensive_csv
HDFCBANK,776,721098.0,782.55,19.3,44.1,BEARISH,SELL,SELL,-0.92,-3.6,6.97,-11.91,,comprehensive_csv
HEG,3,1626.0,659.15,48.7,68.3,STRONG_BULLISH,WEAK_HOLD,REDUCE,-0.75,-0.3,21.52,21.72,,comprehensive_csv
HIRECT,8,10019.2,1598.2,56.0,45.9,BULLISH,HOLD,HOLD,-2.01,3.89,-19.46,28.43,,db
HINDALCO,71,68344.6,1074.3,58.7,72.0,STRONG_BULLISH,HOLD,HOLD,1.18,5.15,21.47,15.04,,comprehensive_csv
HAL,10,46194.0,4341.4,44.0,63.2,BULLISH,WEAK_HOLD,REDUCE,0.72,-0.39,24.5,8.31,,comprehensive_csv
HINDCOPPER,69,47327.1,556.4,34.0,56.6,BULLISH,SELL,SELL,-0.53,0.82,22.69,-2.73,,comprehensive_csv
HINDUNILVR,35,83055.0,2289.5,24.7,58.1,BEARISH,SELL,SELL,-1.67,-0.92,11.4,-2.53,,comprehensive_csv
ICICIBANK,669,906495.0,1292.0,22.7,45.2,BEARISH,SELL,SELL,-1.68,-6.94,7.14,-3.98,,comprehensive_csv
ICICIGI,6,10884.6,1771.8,19.3,43.3,BEARISH,SELL,SELL,0.07,-3.71,3.58,-3.06,,comprehensive_csv
ICICIPRULI,5,3184.25,520.55,12.7,36.0,BEARISH,SELL,SELL,0.18,-5.37,2.16,-14.88,,comprehensive_csv
IDBI,170,16926.9,88.86,23.3,45.0,BEARISH,SELL,SELL,-1.94,-1.17,-2.0,-0.28,,db
IDFCFIRSTB,93,7772.94,72.23,56.0,59.5,BULLISH,HOLD,HOLD,2.32,6.14,4.18,3.09,,db
INDIAGLYCO,40,35152.0,849.15,16.0,25.2,STRONG_BEARISH,SELL,SELL,-0.52,4.16,-53.1,-54.03,,db
IOC,10,1632.4,145.39,24.0,47.6,BEARISH,SELL,SELL,-0.59,-1.3,7.38,-14.26,,comprehensive_csv
IREDA,30,3962.4,138.05,46.0,65.6,BULLISH,WEAK_HOLD,REDUCE,0.04,7.13,26.67,10.94,,comprehensive_csv
