SYMBOL,PRICE_28APR,STAGE_SCORE,COMPANY_NAME,LIVE_PRICE,CHG_PCT
GRAPHITE,736.65,0.681,GRAPHITE INDIA LTD,716.9,-2.68
SARDAEN,602.65,0.678,SARDA ENERGY & MIN LTD,594.5,-1.35
SOUTHWEST,238.03,0.676,SOUTH WEST PINNACLE LTD,245.39,3.09
STARHEALTH,517.3,0.676,STAR HEALTH & AL INS CO L,526.8,1.84
CEIGALL,331.3,0.676,CEIGALL INDIA LIMITED,,
CPSEETF,108.6,0.676,CPSE ETF,,
GESHIP,1474.4,0.675,THE GE SHPG.LTD,1539.9,4.44
STAR,1051.95,0.675,STRIDES PHARMA SCI LTD,1029.7,-2.12
GALLANTT,852.7,0.673,GALLANTT ISPAT LIMITED,873.3,2.42
AETHER,1170.1,0.672,AETHER INDUSTRIES LIMITED,1235.9,5.62
AVANTIFEED,1414.6,0.672,AVANTI FEEDS LIMITED,1325.9,-6.27
GMDCLTD,714.4,0.67,GUJARAT MINERAL DEV CORP,724.3,1.39
POWERGRID,319.0,0.669,POWER GRID CORP. LTD.,321.85,0.89
COALINDIA,467.0,0.668,COAL INDIA LTD,479.5,2.68
INOXINDIA,1487.2,0.667,INOX INDIA LIMITED,1516.6,1.98
SYRMA,971.55,0.658,SYRMA SGS TECHNOLOGY LTD,983.15,1.19
ADANIPORTS,1637.6,0.655,ADANI PORT & SEZ LTD,1733.0,5.83
SENORES,916.7,0.655,SENORES PHARMACEUTICALS L,897.0,-2.15
NAM-INDIA,1023.25,0.652,NIPPON L I A M LTD,1035.1,1.16
TMB,738.55,0.651,TAMILNAD MERCA BANK LTD,750.85,1.67
MBAPL,526.5,0.651,MADHYA BHARAT AGRO P. LTD,545.85,3.68
BBOX,639.85,0.649,BLACK BOX LIMITED,665.45,4.0
LAURUSLABS,1090.45,0.649,LAURUS LABS LIMITED,1166.8,7.0
SATIN,171.32,0.647,SATIN CREDIT NET LTD,182.0,6.23
NAVINFLUOR,6627.0,0.645,NAVIN FLUORINE INT. LTD,6870.5,3.67
ARVIND,393.25,0.643,ARVIND LIMITED,400.2,1.77
NETWEB,4002.2,0.641,NETWEB TECH INDIA LTD,3821.8,-4.51
