symbol,isin,quantity,value_rs
NLCINDIA,INE589A01014,50,12955.0
NRBBEARING,INE349A01021,28,7151.2
NTPC,INE733E01010,47,16732.0
OBEROIRLTY,INE093I01010,5,7454.5
OSWALAGRO,INE142A01012,150,7249.5
PCJEWELLER,INE785M01021,50,531.5
PGEL,INE457L01029,37,20264.9
PIDILITIND,INE318A01026,10,14311.0
PNCINFRA,INE195J01029,107,23347.4
POEL,INE035S01028,70,11868.5
POLYCAB,INE455K01017,6,42081.0
POCL,INE063E01053,20,23840.0
POWERGRID,INE752E01010,15,3847.5
PRAJIND,INE074A01025,20,5803.0
PREMEXPLN,INE863B01029,20,10245.0
PNB,INE160A01022,81,10140.39
RVNL,INE415G01027,26,8928.4
RAYMONDLSL,INE02ID01020,4,4191.6
RAYMOND,INE301A01014,4,1519.8
RAYMONDREL,INE1SY401010,8,4052.0
RHIM,INE743M01012,10,4451.0
ROSSTECH,INE0OJW01016,5,3397.0
SAGCEM,INE229C01021,63,12288.15
MOTHERSON,INE775A01035,46,5193.4
SBFC,INE423Y01016,30,2562.6
SBICARD,INE018E01016,10,7535.5
SBILIFE,INE123W01016,2,3997.0
SCHNEIDER,INE839M01018,13,9006.4
SHAILY,INE151G01028,9,17223.3
SHRIRAMFIN,INE721A01047,30,30600.0
SHRIPISTON,INE526E01018,5,13746.5
ENRIN,INE1NPP01017,5,12436.0
SIEMENS,INE003A01024,5,15506.5
SKYGOLD,INE01IU01018,110,33412.5
NOT LISTED,INE648B01024,10000,500.0
SOLARINDS,INE343H01029,3,40440.0
SOMANYCERA,INE355A01028,21,8573.25
SBIN,INE062A01020,60,64629.0
SAIL,INE114A01011,280,42316.4
SUMICHEM,INE258G01013,20,8193.0
SUNPHARMA,INE044A01036,12,19143.6
SUNFLAG,INE947A01014,27,6613.65
SUPRIYA,INE07RO01027,18,12168.9
TATACHEM,INE092A01019,5,3728.25
TCS,INE467B01029,100,312390.0
TATACONSUM,INE192A01025,7,7937.3
TATAELXSI,INE670A01012,4,21294.0
TMCV,INE1TAE01010,107,49059.5
TMPV,INE155A01022,77,26953.85
TATASTEEL,INE081A01020,2307,445550.91
TDPOWERSYS,INE419M01027,22,16049.0
TECHM,INE669C01036,100,174310.0
FEDERALBNK,INE171A01029,171,49205.25
INDHOTEL,INE053A01029,50,33707.5
KARURVYSYA,INE036D01028,100,30140.0
TATAPOWER,INE245A01021,217,79487.1
TIMETECHNO,INE508G01029,60,10798.2
TIMEX,INE064A01026,20,5733.0
TITAN,INE280A01028,8,31819.2
TRENT,INE849A01020,7,26498.5
TSFINV,INE202Z01029,20,8691.0
UJJIVANSFB,INE551W01018,1370,89556.9
UNITDSPR,INE854D01024,13,17713.8
USHAMART,INE228A01035,50,20462.5
V2RETAIL,INE945H01013,40,79824.0
WABAG,INE956G01038,5,5388.5
VBL,INE200M01039,102,48067.5
VIDHIING,INE632C01026,10,3166.0
VOLTAS,INE226A01021,7,9295.3
VSTTILLERS,INE764D01017,2,11047.0
WEBELSOLAR,INE855C01023,100,8140.0
WELENT,INE625G01013,40,18862.0
WELINV,INE389K01018,18,22258.8
WHIRLPOOL,INE716A01013,6,4666.5
WINDLAS,INE0H5O01029,15,12733.5
ZENTEC,INE251B01027,22,31143.2
