"Symbol","Technical_Score","Current_Price","Price_Change","Price_Change_Pct","Data_Points","Analysis_Time","trend_score","momentum_score","volume_score","support_resistance_score","volatility_score"
"BPCL",74,319.85,0.75,0.24,35,"2025-08-11 11:03",90,85,35,55,90
"BAJAJ-AUTO",72.5,8224,-1,-0.01,35,"2025-08-11 11:03",90,60,50,85,90
"BAJAJFINSV",62,1919.2,2.1,0.11,35,"2025-08-11 11:03",70,65,25,85,90
"ADANIPORTS",42.2,1325,-0.1,-0.01,35,"2025-08-11 11:03",20,57.5,50,35,90
"CIPLA",38.2,1485.8,0.7,0.05,35,"2025-08-11 11:03",35,30,25,75,90
"BRITANNIA",34,5387,2,0.04,35,"2025-08-11 11:03",10,25,75,35,90
"ADANIENT",32.8,2179,0.4,0.02,35,"2025-08-11 11:03",10,37.5,50,35,90
"APOLLOHOSP",22,7084.5,3,0.04,35,"2025-08-11 11:03",10,25,15,35,90
"ASIANPAINT",20,2476,1.1,0.04,35,"2025-08-11 11:03",10,30,15,0,90
"BHARTIARTL",20,1858.9,2,0.11,35,"2025-08-11 11:03",0,45,10,0,90
