MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N7,1050NFL26,SEC RE NCD 10.50% SR.IV,      1000.25,       999.00,       999.00,       999.00,       999.00,                     9990.00,10, ,1,      1200.00,       897.99
N,N7,890NHB34,NHB 8.90 NCD TR II SR 3 B,      6350.00,      7300.00,      7300.00,      7300.00,      7300.00,                   554800.00,76, ,1,      7399.50,      5961.00
N,N7,97MOFSL34,SEC RE NCD 9.70% SR VIII,      1082.00,      1018.00,      1094.99,      1018.00,      1088.02,                  1442604.00,1346, ,20,      1180.40,      1000.00
N,N8,1102NFL26,SEC RE NCD 11.02% SR.V,      1031.80,      1031.80,      1031.80,      1031.80,      1031.80,                     9286.20,9, ,1,      1220.00,       981.20
N,N8,739NHAI26,TAX FREE7.39% SR.IB,      1043.40,      1049.90,      1049.90,      1043.41,      1043.41,                   228533.95,219, ,6,      1080.00,      1000.00
N,N8,764HUDCO31,7.64% TAX FREETRI SR2B,      1150.00,      1150.00,      1151.00,      1149.00,      1149.05,                   440400.28,383, ,7,      1179.99,      1081.20
N,N8,865SCL26,SEC RED NCD 8.65% SR. V,       975.00,       990.00,       990.00,       990.00,       990.00,                     1980.00,2, ,1,      1015.00,       925.00
N,N8,865TCAPS27,SERENCD8.65%SR.IIICIII&IV,      1035.50,      1038.20,      1038.20,      1038.20,      1038.20,                    14534.80,14, ,1,      1120.00,      1012.00
N,N8,892PFCL33,8.92% TAX FREE NCD,      1322.33,      1320.40,      1320.50,      1320.00,      1320.50,                   310262.30,235, ,3,      1470.00,      1232.11
N,N8,925SCL2028,SCL 9.25% 2028 SR IV,       990.00,      1000.00,      1000.00,       901.00,       932.00,                    28666.00,29, ,3,      1000.00,       901.00
N,N9,820IIFL27,SEC RE NCD 8.20% SR.III,       983.00,       972.90,       975.00,       972.90,       975.00,                     9739.50,10, ,2,       990.00,       930.01
N,N9,871REC28,BOND 8.71% TAX FREE S2B,      1176.00,      1170.05,      1177.00,      1170.00,      1174.00,                  1184388.60,1011, ,13,      1199.00,      1091.30
N,N9,885SCL26,SEC RED NCD 8.85% SR. VI,       990.00,       998.00,      1000.00,       998.00,      1000.00,                     1998.00,2, ,2,      1076.25,       925.21
N,N9,895AEL27,AEL 8.95% 2027 SR I,      1011.10,       935.10,      1011.00,       935.10,      1011.00,                    67986.00,71, ,2,      1058.00,       935.10
N,NA,1040NFL26,SEC RE NCD 10.40% SR.II,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                    10000.00,10, ,2,      1040.00,       850.20
N,NA,76NHAI31,TAX FREE7.60% SR.IIB,      1140.00,      1140.00,      1140.50,      1137.00,      1137.17,                  2004371.25,1760, ,27,      1180.00,      1086.00
N,NA,84TCHF28,SEC RED NCD 8.40% SR.V,      1072.00,      1072.00,      1073.50,      1072.00,      1073.50,                   160875.00,150, ,2,      1094.94,      1009.55
N,NA,862REC33,BOND 8.62% TAX FREE S3B,      1299.28,      1299.78,      1299.79,      1290.30,      1295.33,                   647666.05,500, ,4,      1299.79,      1200.00
N,NA,865IRFC29,BOND 8.65% PA TF TI-SIIB,      1142.00,      1142.20,      1142.20,      1135.15,      1135.15,                   232301.34,204, ,4,      1389.90,      1090.00
N,NA,9PCHFL31A,SEC RE NCD 9% SR.V,      1026.00,      1025.00,      1025.00,      1025.00,      1025.00,                    76875.00,75, ,2,      1089.80,       985.00
N,NA,9SCL26BA,SEC RED NCD 9.0% SR. VI,       992.10,       995.00,       995.00,       995.00,       995.00,                    20895.00,21, ,2,      1064.75,       945.00
N,NB,105UCL2026,SEC RE NCD 10.5% SR IV,      1015.00,      1015.00,      1015.00,       995.00,      1000.00,                    54015.00,54, ,4,      1188.12,       882.00
N,NB,1090NFL26,SEC RE NCD 10.90% SR.III,      1051.45,      1054.20,      1054.20,      1054.20,      1054.20,                   295176.00,280, ,2,      1060.80,       950.00
N,NB,885AEL28,AEL 8.85% 2028 SR III,      1000.00,      1006.00,      1009.50,      1000.13,      1006.06,                  1319266.72,1310, ,14,      1035.00,       996.00
N,NB,96SFIL24A,SERENCD8.84%SRVICIII&IV,      1049.95,      1049.89,      1049.89,       944.00,       944.00,                    82866.15,80, ,3,      1122.84,       821.00
N,NC,1003IIFL29,SEC RE NCD 10.03% SR V,      1001.00,      1000.00,      1000.00,      1000.00,      1000.00,                   500000.00,500, ,1,      1098.00,       838.20
N,NC,1065NFL27,SEC RE NCD 10.65% SR.IV,      1009.75,      1005.00,      1010.00,      1005.00,      1010.00,                   311090.00,309, ,5,      1200.00,       922.00
N,NC,729NHAI26,TAX FREE 7.29% SR. IB,      1011.50,      1011.50,      1016.99,      1011.20,      1016.99,                    91028.79,90, ,3,      1085.00,      1003.00
N,NC,753NTPC30E,TFB 7.53% 2030 SR. 2B,      1085.00,      1085.00,      1085.00,      1085.00,      1085.00,                    17360.00,16, ,1,      1198.00,      1075.00
N,NC,843IHFL29,SEC RE NCD 8.43% SR.VI,       969.99,       878.00,       975.00,       878.00,       975.00,                   477750.00,502, ,4,       994.00,       875.40
N,NC,863IRFC29,BOND 8.63% PA TF TII-SIIA,      1147.00,      1143.00,      1146.99,      1143.00,      1146.99,                    68699.70,60, ,2,      1300.00,      1099.35
N,NC,885TCAPS29,UNSERENCD8.85%SRIVCIII&IV,      1070.00,      1090.00,      1090.00,      1090.00,      1090.00,                    23980.00,22, ,5,      1167.00,      1005.00
N,NC,915AEL28,AEL 9.15% 2028 SR IV,      1027.00,      1024.00,      1024.00,      1024.00,      1024.00,                   102400.00,100, ,1,      1027.00,       990.60
N,ND,10UCL26,UCL 10.00% SR I,      1000.00,      1002.00,      1002.00,       995.00,       995.00,                    97170.00,97, ,6,      1005.00,       952.10
N,ND,762NTPC35F,TFB 7.62% 2035 SR. 3B,      1166.15,      1175.25,      1175.25,      1175.00,      1175.00,                   305502.50,260, ,3,      1293.00,      1152.00
N,ND,76IGT26,SEC RE NCD 7.60% SR.II,      1034.00,      1034.00,      1034.00,      1034.00,      1034.00,                   136488.00,132, ,1,      1065.00,       966.00
N,ND,876HUDCO28,8.76% TAX FREETRI SR2B,      1090.00,      1090.00,      1095.99,      1090.00,      1095.99,                   334247.00,305, ,3,      1270.00,      1079.90
N,ND,92SFIL28,SERENCD9.20%SRVIICIII&IV,       960.00,       977.60,       977.60,       975.00,       975.00,                    52660.40,54, ,2,      1047.45,       786.00
N,ND,970CAGL28,SEC RE NCD 9.70% SR VII,      1012.25,      1012.00,      1012.00,      1012.00,      1012.00,                    72864.00,72, ,2,      1123.00,       992.08
N,ND,CIFCZC25,SEC RE NCD SR 2,      1163.00,      1163.00,      1163.00,      1163.00,      1163.00,                     5815.00,5, ,1,      1163.00,      1050.00
N,NE,1039UCL26,UCL 10.39% SR II,      1030.25,      1030.25,      1045.80,      1030.25,      1045.80,                   248212.76,239, ,6,      1045.80,       956.00
N,NE,10IIFL28A,UNSE RE NCD 10% SR.I,      1041.05,      1030.00,      1030.00,      1030.00,      1030.00,                    30900.00,30, ,1,      1111.00,       934.00
N,NE,769NHAI31,TAX FREE 7.69% SR. IIB,      1103.49,      1104.00,      1105.00,      1100.00,      1100.00,                   623883.80,567, ,19,      1210.00,      1089.11
N,NE,888IRFC29,BOND 8.88% PA TF TII-SIIB,      1148.00,      1145.35,      1174.80,      1145.35,      1156.38,                   233133.00,201, ,7,      1354.90,      1105.00
N,NE,901HUDCO34,9.01% TAX FREETRII SR3B,      1324.66,      1325.00,      1332.50,      1325.00,      1330.00,                   559320.00,421, ,10,      1397.90,      1211.00
N,NE,915SCL26,UNS RED NCD 9.15% SR.IX,       994.00,       990.01,       995.00,       990.01,       995.00,                    90490.11,91, ,4,      1229.00,       885.10
N,NF,1015UCL27,UCL 10.15% SR III,       982.26,       982.00,      1002.00,       981.00,      1002.00,                   236369.00,239, ,17,      1049.00,       950.00
N,NF,888REC29,BOND8.88% PA TF TR II S2B,      1184.99,      1177.01,      1177.01,      1177.01,      1177.01,                    47080.40,40, ,1,      1215.00,      1111.14
N,NF,96IIFL28A,UNSE RE NCD 9.6% SR.II,       985.25,       983.00,       986.00,       983.00,       984.19,                   588355.55,598, ,18,       999.00,       890.00
N,NG,860CIFCL28,SEC RE NCD 8.60% SR 5,      1048.00,      1073.00,      1073.00,      1072.55,      1072.55,                   643530.45,600, ,3,      1073.00,       982.82
N,NG,AEL170725A,AEL 0% 2030 SR VIII,      1024.00,      1025.00,      1025.00,      1022.00,      1022.00,                   110676.00,108, ,2,      1037.00,       979.70
N,NH,1050UCL28,UCL 10.50% SR V,      1009.00,      1028.00,      1028.00,      1028.00,      1028.00,                   144948.00,141, ,2,      1055.00,       951.10
N,NH,743REC35,7.43% TAX FREE TRI SR3B,      1202.35,      1234.90,      1234.90,      1234.90,      1234.90,                   123490.00,100, ,1,      1239.00,      1131.01
N,NH,87LTF27,SERENCD 8.70% SR.VII OPII,      1020.00,      1030.00,      1030.00,      1026.00,      1029.33,                    61760.00,60, ,5,      1210.00,      1002.01
N,NH,925SCL30A,SCL 9.25% 2030 SR IX,       966.00,       880.20,       910.00,       880.20,       910.00,                    13501.00,15, ,2,       966.00,       880.20
N,NI,732IRFC25,TAX FREE  7.32% SR. 102 A,      1008.00,      1008.00,      1008.00,      1008.00,      1008.00,                   504000.00,500, ,2,      1079.90,       990.25
N,NI,812REC27,8.12/8.32% TAX FREE NCD,      1060.81,      1065.00,      1065.00,      1059.10,      1061.50,                  2669153.55,2516, ,9,      1280.00,      1035.11
N,NJ,1030SFIL26,SEC RE NCD SR.V,      1264.98,      1275.80,      1285.00,      1272.00,      1283.28,                   139370.75,109, ,10,      1294.00,      1100.00
N,NJ,753IRFC30,TAX FREE  7.53% SR. 103 A,      1093.98,      1093.89,      1093.89,      1093.79,      1093.79,                    83135.04,76, ,6,      1210.00,      1076.00
N,NJ,82IGT31,SEC RE NCD 8.20% SR.V,      1050.00,      1050.00,      1054.00,      1050.00,      1054.00,                    39972.00,38, ,2,      1089.00,      1003.75
N,NJ,875CIFC23B,SEC RE NCD 8.45% SR 1,      1090.19,      1053.00,      1053.31,      1053.00,      1053.13,                    69506.99,66, ,3,      1090.20,       999.00
N,NJ,943ECL28,SEC RED NCD 9.43% SR. VI,       988.00,       995.00,       995.00,       987.00,       987.00,                   119240.00,120, ,2,      1074.00,       822.00
N,NK,750IRFC35,TAX FREE7.50% SR.104 A,      1161.01,      1165.00,      1169.00,      1165.00,      1169.00,                   999838.00,858, ,9,      1269.99,      1132.10
N,NL,842IIFL26,SEC RE NCD 8.42% SR.V,       989.24,       989.24,       990.29,       989.24,       990.13,                  1096907.45,1108, ,13,       999.89,       941.85
N,NM,995SCL2035,SCL 9.95% 2035 SR XII,       950.00,       959.00,       959.00,       959.00,       959.00,                     9590.00,10, ,1,       980.00,       900.10
N,NN,865LTF26,SERENCD 8.65% SR.VI OP12,      1075.00,      1075.15,      1075.15,      1070.05,      1071.17,                  1290573.95,1205, ,56,      1156.40,       990.11
N,NN,948SCL26A,SEC RE NCD 9.48% SR V,       360.00,       360.00,       360.00,       360.00,       360.00,                     5400.00,15, ,2,       799.00,       360.00
N,NO,764IRFC31,TAX FREE  7.64% SR. 108A,      1099.00,      1099.90,      1099.90,      1099.89,      1099.89,                   307970.00,280, ,4,      1170.00,      1085.20
N,NR,1015ECL29,SEC RED NCD 10.15% SR. VI,      1009.00,      1009.00,      1012.00,      1008.00,      1008.10,                   160351.00,159, ,7,      1020.00,       965.00
N,NR,1015SCL28,SEC RE NCD 10.15% SR VII,       935.00,       841.50,       841.50,       841.50,       841.50,                     4207.50,5, ,1,      1018.80,       785.20
N,NR,IIFLZC26A,SEC RE NCD 0% SR.IV,      1252.00,      1253.65,      1253.65,      1253.65,      1253.65,                     6268.25,5, ,1,      1279.90,      1067.20
N,NS,1060ECL29,SEC RED NCD 10.6% SR. VII,      1068.00,      1069.00,      1069.00,      1069.00,      1069.00,                   320700.00,300, ,1,      1340.00,       890.30
N,NS,865IIFL28,SEC RE NCD 8.65% SR.V,       975.40,       975.41,       975.90,       975.40,       975.81,                   113153.50,116, ,5,       990.00,       861.00
N,NT,9IIFL28A,SEC RE NCD 9% SR.VI,      1040.20,      1040.20,      1040.20,      1040.20,      1040.20,                    52010.00,50, ,1,      1078.00,       922.60
N,NV,1003SCL30A,SEC RE NCD 10.03% SR X,       749.99,       759.99,       759.99,       759.99,       759.99,                   756190.05,995, ,43,       999.00,       686.00
N,NV,9IIFL26,IIFL 9% TR I SR I,      1030.00,      1030.00,      1030.00,      1030.00,      1030.00,                     3090.00,3, ,2,      1044.61,       990.00
N,NX,980SCL33,SEC RE NCD 10.75% SR XI,      1078.00,       930.00,       930.00,       899.00,       899.00,                     1829.00,2, ,2,      1174.99,       800.40
N,NY,IIFLZC26B,SEC RE NCD 0% SR.IV,      1195.15,      1198.15,      1198.15,      1198.15,      1198.15,                     5990.75,5, ,1,      1234.00,      1016.55
N,NZ,865IFL28,SEC RE NCD 8.65% SR.V,       975.00,       975.00,       979.00,       975.00,       979.00,                    10729.00,11, ,2,       999.90,       900.00
N,NZ,965SCL25F,SEC RE NCD 10.25% SR XII,       869.00,      1040.00,      1040.00,       900.00,       900.00,                     7140.00,7, ,2,      1040.00,       721.10
N,Y1,IIFLZC28B,SEC RE NCD 0% SR.VII,      1145.50,      1159.70,      1159.78,      1146.00,      1146.89,                   965607.51,839, ,13,      1170.00,       980.00
N,Y5,SCLZC25F,SEC RE NCD SR III,      1173.40,      1175.00,      1175.00,      1173.90,      1175.00,                    24669.50,21, ,5,      1177.49,      1000.80
N,YI,903SFL28,SEC RED NCD 9.03% SR. II,      1038.00,      1048.00,      1048.00,      1035.01,      1043.00,                    62682.06,60, ,4,      1100.00,      1000.00
N,YK,1075SCL33,SEC RE NCD 10.75% SR XI,      1043.87,       920.50,       930.40,       920.50,       930.40,                     9254.50,10, ,2,      1188.00,       920.50
N,YL,94SFL28,SEC RED NCD 9.40% SR. V,      1050.00,      1053.99,      1055.00,      1053.99,      1055.00,                   158125.00,150, ,4,      1125.00,      1023.00
N,YP,930SFL28,SEC RED NCD 9.30% SR. II,      1045.50,      1059.00,      1063.00,      1059.00,      1063.00,                   160309.00,151, ,2,      1080.00,      1010.00
N,YQ,925SCL26B,SEC RE NCD 9.25% SR II,       987.98,       987.98,       987.98,       987.98,       987.98,                     9879.80,10, ,1,       999.00,       940.20
N,YR,925SCL27,SEC RE NCD 9.25% SR.VII,       955.60,      1008.80,      1008.80,      1008.80,      1008.80,                    10088.00,10, ,1,      1029.30,       932.55
N,YS,97SFL28,SEC RED NCD 9.70% SR. V,      1076.00,      1070.97,      1070.97,      1070.00,      1070.00,                    53529.10,50, ,3,      1169.00,       945.00
