MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,SETFNN50,SBI-ETF NIFTY NEXT 50,       738.10,       740.60,       747.50,       735.65,       746.73,                 26170743.21,35125,1013,       779.95,       585.51,NIFTY NEXT 50
N,EQ,SHARIABEES,NIP IND ETF SHARIAH BEES,       503.69,       504.56,       508.00,       503.57,       506.47,                  6209221.42,12266,520,       567.95,       439.91,SHARIAH
N,EQ,SILVER,BIRLASLAMC - SILVER,       137.46,       141.58,       147.00,       139.44,       146.79,                588440499.85,4083291,14125,       191.65,        86.30,PHYSICAL PRICE OF SILVER
N,EQ,SILVER1,KOTAKMAMC - KOTAKSILVE,       135.20,       135.60,       142.80,       135.60,       142.49,                198825698.50,1405407,4313,       178.98,        81.80,KOTAK SILVER ETF
N,EQ,SILVER360,360ONEAMC - SILVER360,       139.00,       139.51,       145.00,       139.51,       144.51,                  4009550.55,27933,559,       178.56,        78.40,COMMODITY-SILVER
N,EQ,SILVERADD,DSPAMC - DSPSILVETF,       134.24,       137.00,       142.50,       136.64,       142.12,                218058189.57,1558464,1959,       183.00,        83.30,DSP SILVER ETF
N,EQ,SILVERAG,MIRAEAMC - MASILVER,       136.94,       138.90,       149.99,       138.74,       144.87,                103422818.83,722352,3422,       185.70,        83.55,MIRAE ASSET SILVER ETF
N,EQ,SILVERBEES,NIPPONAMC - NETFSILVER,       133.81,       137.82,       141.47,       136.55,       141.13,               5970602346.09,42784380,104628,       180.00,        77.55,DOMESTIC PRICE OF SILVER- BASED ON LBMA SILVER DAILY SPOT FIXING PRICE
N,EQ,SILVERCASE,ZERODHAAMC - SILVERCASE,        14.18,        14.62,        15.00,        14.43,        14.93,                117598310.65,7974350,9195,        19.70,         9.00,COMMODITY-SILVER
N,EQ,SILVERETF,UTIAMC - SILVERETF,       135.00,       135.00,       142.83,       135.00,       142.23,                239438263.89,1702151,11017,       187.04,        84.05,UTI SILVER EXCHANGE TRADED FUND (UTI SILVER ETF)
N,EQ,SILVERIETF,ICICIPRAMC - ICICISILVE,       139.49,       144.00,       146.89,       142.62,       146.49,                837626536.93,5783605,20335,       190.00,        86.01,DOMESTIC PRICE OF SILVER
N,EQ,SMALLCAP,MIRAEAMC - SMALLCAP,        45.99,        46.11,        46.16,        45.75,        46.11,                 61143685.00,1329319,2570,        54.70,        37.45,MIRAE ASSET NIFTY SMALLCAP 250 MOMENTUM QUALITY 100 ETF
N,EQ,SML100CASE,ZERODHAAMC - SML100CASE,        10.39,        10.70,        10.70,        10.34,        10.42,                  2582047.96,248173,412,        11.00,         9.69,NIFTY SMALLCAP 100 INDEX
N,EQ,SNXT30BEES,NIPPONAMC - SNXT30BEES,        40.37,        40.73,        40.74,        40.45,        40.67,                   352633.68,8674,93,        41.57,        37.03,BSE SENSEX NEXT 30 INDEX
N,EQ,TATAGOLD,TATAAML-TATAGOLD,        11.37,        11.37,        11.74,        11.37,        11.70,                666825566.16,57478003,82265,        14.00,         7.11,TATA GOLD EXCHANGE TRADED FUND
N,EQ,TATSILV,TATAAML-TATSILV,        13.65,        14.00,        14.44,        13.91,        14.39,                478117602.06,33703911,46313,        18.33,         8.40,TATA SILVER EXCHANGE TRADED FUND
N,EQ,TECH,BIRLASLAMC - TECH,        38.40,        39.49,        39.49,        38.36,        38.75,                 11069117.69,285820,433,        49.77,        33.41,NIFTY IT TRI INDEX
N,EQ,TNIDETF,TATAAML - TNIDETF,        97.02,        97.50,        97.60,        96.68,        97.03,                  2891780.38,29786,458,       104.78,        76.95,NIFTY INDIA DIGITAL INDEX
N,EQ,TOP100CASE,ZERODHAAMC - TOP100CASE,        11.07,        11.40,        11.40,        11.03,        11.13,                  4331672.38,389763,1228,        12.00,         8.01,ZERODHA NIFTY 100 ETF
N,EQ,TOP10ADD,DSPAMC - TOP10ADD,        99.92,        99.93,       100.31,        99.76,       100.15,                  5294780.60,52904,576,       103.43,        86.50,NIFTY TOP 10 EQUAL WEIGHT INDEX
N,EQ,TOP15IETF,ICICIPRAMC - TOP15IETF,        10.92,        10.99,        11.02,        10.96,        10.99,                   510138.61,46359,233,        11.33,        10.00,NIFTY TOP 15 EQUAL WEIGHT INDEX
N,EQ,UNIONGOLD,UNIONAMC - UNIONGOLD,       114.80,       114.80,       120.00,       114.80,       118.50,                   480011.45,4067,108,       132.00,        82.00,COMMODITY GOLD
N,EQ,UTIBANKETF,UTIAMC - UTIBANKETF,        59.95,        60.21,        60.33,        59.95,        60.14,                 47006929.47,781716,635,        60.40,        48.71,NIFTY BANK
N,EQ,UTINEXT50,UTIAMC - UTINEXT50,        74.43,        74.43,        75.31,        74.21,        75.27,                 11434882.54,152452,711,        79.10,        59.90,NIFTY NEXT 50
N,EQ,UTINIFTETF,UTIAMC - UTINIFTETF,       285.37,       286.79,       287.33,       285.37,       286.76,                 74451943.84,259526,2519,       291.15,       235.00,NIFTY 50
N,EQ,UTISENSETF,UTIAMC - UTISENSETF,       931.99,       939.97,       939.97,       929.51,       936.00,                 20375167.66,21771,2217,       942.00,       779.95,SENSEX
N,EQ,UTISXN50,UTIAMC - UTISXN50,        92.64,        92.89,        93.50,        92.72,        93.37,                   274734.57,2946,88,       102.25,        66.72,BSE SENSEX NEXT 50
N,EQ,VAL30IETF,ICICIPRAMC - VAL30IETF,        14.15,        14.20,        14.40,        14.16,        14.36,                  1747789.81,122014,306,        14.40,        10.93,NIFTY200 VALUE 30 INDEX
