MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty50 Div Point,       236.27,       236.27,       236.27,       236.27,       236.27,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty100 Liq 15,      7568.50,      7578.15,      7611.10,      7573.70,      7594.05,0.00,0,Y, ,0,      7611.10,      5985.30
Y,Nifty CPSE,      6554.55,      6566.05,      6663.70,      6565.10,      6609.00,0.00,0,Y, ,0,      6729.60,      5284.25
Y,Nifty GrowSect 15,     12110.10,     12139.15,     12151.30,     12083.35,     12105.65,0.00,0,Y, ,0,     12383.70,      9722.65
Y,Nifty50 PR 2x Lev,     14632.65,     14682.10,     14812.80,     14657.90,     14763.25,0.00,0,Y, ,0,     14833.25,     10678.25
Y,Nifty50 PR 1x Inv,       199.90,       199.55,       199.70,       198.65,       199.00,0.00,0,Y, ,0,       232.40,       198.45
Y,Nifty50 TR 2x Lev,     21873.60,     21947.50,     22142.90,     21911.35,     22068.80,0.00,0,Y, ,0,     22142.90,     15663.75
Y,Nifty50 TR 1x Inv,       163.60,       163.35,       163.50,       162.60,       162.90,0.00,0,Y, ,0,       192.05,       162.55
Y,Nifty50 Value 20,     13045.75,     13073.40,     13134.55,     13054.55,     13110.30,0.00,0,Y, ,0,     14115.15,     11375.50
Y,Nifty Mid Liq 15,     15929.80,     15915.20,     15978.90,     15840.65,     15953.85,0.00,0,Y, ,0,     15978.90,     11541.70
Y,Nifty Pvt Bank,     28435.00,     28489.35,     28519.75,     28350.10,     28473.45,0.00,0,Y, ,0,     28827.00,     23508.05
Y,NIFTY100 Qualty30,      5749.35,      5763.50,      5786.45,      5748.05,      5761.50,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty GS 8 13Yr,      2951.67,      2952.20,      2956.08,      2952.20,      2953.71,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty GS 10Yr,      2609.05,      2609.52,      2611.84,      2609.51,      2610.54,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty GS 10Yr Cln,       900.51,       900.51,       901.31,       900.50,       900.86,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty GS 4 8Yr,      3204.89,      3205.48,      3209.06,      3205.45,      3206.99,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty GS 11 15Yr,      3231.41,      3232.01,      3235.06,      3232.01,      3232.52,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty GS 15YrPlus,      3484.67,      3485.36,      3486.51,      3481.12,      3481.12,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty GS Compsite,      3038.71,      3039.27,      3042.06,      3039.17,      3039.17,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY HEALTHCARE,     14834.10,     14875.05,     14980.95,     14863.40,     14931.05,0.00,0,Y, ,0,     15112.50,      6482.80
Y,NIFTY CONSR DURBL,     38682.10,     38741.55,     38977.90,     38648.30,     38943.85,0.00,0,Y, ,0,     44426.55,     14089.55
Y,NIFTY OIL AND GAS,     11746.60,     11765.80,     12016.90,     11761.00,     11995.95,0.00,0,Y, ,0,     13607.20,      4632.70
Y,NIFTY500 MULTICAP,     16546.75,     16571.15,     16652.10,     16540.45,     16639.65,0.00,0,Y, ,0,     17112.15,      5531.55
Y,NIFTY LARGEMID250,     16719.95,     16745.65,     16833.45,     16719.55,     16819.30,0.00,0,Y, ,0,     17095.20,      5635.20
Y,NIFTY MID SELECT,     13366.20,     13361.60,     13449.35,     13315.85,     13430.75,0.00,0,Y, ,0,     13537.80,      5520.25
Y,NIFTY TOTAL MKT,     13389.00,     13410.90,     13477.40,     13393.75,     13467.00,0.00,0,Y, ,0,     13842.60,      6252.10
Y,NIFTY MICROCAP250,     23806.90,     23843.05,     23932.10,     23773.55,     23917.75,0.00,0,Y, ,0,     26476.90,      5802.95
Y,NIFTY IND DIGITAL,      9349.15,      9360.95,      9380.20,      9324.45,      9364.45,0.00,0,Y, ,0,     10152.15,      4755.25
Y,Nifty Tata 25 Cap,     15071.25,     15104.90,     15218.80,     15082.30,     15183.30,0.00,0,Y, ,0,     18764.95,      9887.45
Y,Nifty MidSml Hlth,     44099.80,     44179.00,     44440.45,     44048.90,     44395.40,0.00,0,Y, ,0,     46103.35,     20019.15
