MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
G,ST,ASLIND,ASL INDUSTRIES LIMITED,        80.25,        81.85,        81.85,        81.85,        81.85,                   327400.00,4000, ,        81.85,        29.00
N,SM,ASPIRE,ASPIRE & INNOVATIVE ADV L,        19.60,        19.25,        19.25,        18.65,        18.65,                   528000.00,28000, ,        75.50,        18.65
N,SM,ATCENERGY,ATC ENERGIES SYSTEM LTD,        53.65,        54.00,        54.00,        53.10,        53.50,                  3791160.00,70800, ,       115.35,        44.00
N,SM,ATMASTCO,ATMASTCO LIMITED,       193.60,       194.95,       197.45,       193.00,       196.20,                  4529060.00,23200, ,       300.80,       162.20
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       136.25,       135.80,       135.80,       134.75,       134.75,                   674781.25,5000, ,       303.00,       130.60
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        47.80,        47.80,        48.95,        47.80,        48.95,                   384560.00,8000, ,        89.70,        43.95
N,SM,APS,AUSTRALIAN PREM SOLAR I L,       525.30,       529.90,       537.75,       509.60,       522.30,                 26749100.00,51250, ,       654.00,       345.00
N,SM,AVIANSH,AVI ANSH TEXTILE LIMITED,       117.00,       117.50,       118.50,       117.50,       118.00,                   826250.00,7000, ,       122.00,        77.60
N,SM,AVPINFRA,AVP INFRACON LIMITED,       162.50,       164.00,       164.50,       159.95,       162.10,                 11884880.00,73600, ,       264.30,       118.45
N,SM,BAGDIGITAL,B.A.G.CONVERGENCE LIMITED,       125.55,       129.00,       129.00,       120.90,       125.50,                100175600.00,792000, ,       137.00,        95.75
N,SM,BABAFP,BABA FOOD PROCESSING,        34.10,        34.50,        34.50,        34.00,        34.50,                   383840.00,11200, ,        63.50,        32.60
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       578.50,       592.95,       593.00,       575.30,       582.95,                 15032887.50,25875, ,       649.90,       328.10
N,ST,BALAJIPHOS,BALAJI PHOSPHATES LIMITED,       125.15,       125.15,       131.00,       125.15,       131.00,                  1024600.00,8000, ,       184.70,        72.60
N,SM,BARFLEX,BARFLEX POLYFILMS LIMITED,        78.40,        78.50,        78.50,        77.55,        78.40,                   937600.00,12000, ,        82.40,        41.15
N,SM,BASILIC,BASILIC FLY STUDIO LTD,       386.10,       386.20,       389.00,       383.00,       384.00,                  5197050.00,13500, ,       509.80,       223.15
N,SM,BAWEJA,BAWEJA STUDIOS LIMITED,        44.45,        44.25,        45.25,        44.00,        44.30,                   499040.00,11200, ,        81.00,        42.40
N,SM,BEACON,BEACON TRUSTEESHIP LTD,        77.00,        76.00,        76.00,        71.50,        72.35,                  1393750.00,19000, ,       118.90,        50.00
N,SM,BETA,BETA DRUGS LIMITED,      1871.55,      1889.55,      1899.00,      1854.05,      1896.10,                  6137223.75,3255, ,      2326.00,      1501.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,       130.55,       135.95,       135.95,       125.80,       131.25,                  1695925.00,13000, ,       345.00,       120.00
N,SM,BHADORA,BHADORA INDUSTRIES LTD,        89.75,        91.00,        91.40,        90.05,        91.00,                  1200180.00,13200, ,       128.85,        85.60
N,SM,BIKEWO,BIKEWO GREEN TECH LIMITED,        14.65,        14.65,        14.80,        14.50,        14.80,                   262500.00,18000, ,        34.10,        13.65
N,SM,BLUEPEBBLE,BLUE PEBBLE LIMITED,       157.45,       162.00,       162.00,       155.30,       155.35,                   252660.00,1600, ,       390.00,       150.00
N,SM,BMETRICS,BOMBAY METRICS S C LTD,        46.00,        46.15,        48.00,        45.05,        48.00,                   453640.00,9600, ,        68.95,        38.10
N,SM,BRACEPORT,BRACE PORT LOGISTICS LTD,        73.00,        73.00,        75.00,        73.00,        74.00,                   473600.00,6400, ,       133.30,        69.00
N,SM,BULKCORP,BULKCORP INTERNATIONAL L,        62.00,        62.00,        62.00,        62.00,        62.00,                    74400.00,1200, ,       125.85,        50.55
N,SM,CPS,C P S SHAPERS LIMITED,       972.00,       990.00,      1017.00,       980.00,      1011.05,                  9054210.00,9000, ,      1017.00,       394.00
N,ST,C2C,C2C ADVANCED SYSTEMS LTD,       675.00,       660.00,       674.90,       654.00,       655.50,                  3167640.00,4800, ,       954.00,       250.15
N,SM,CADSYS,CADSYS (INDIA) LIMITED,        68.45,        69.80,        69.80,        69.80,        69.80,                    34900.00,500, ,       139.90,        55.05
N,SM,CANARYS,CANARYS AUTOMATIONS LTD,        28.30,        28.30,        30.50,        28.30,        30.00,                  2385200.00,80000, ,        46.40,        23.50
N,SM,CEDAAR,CEDAAR TEXTILE LIMITED,        93.50,        96.40,       100.00,        95.00,        97.00,                  4509100.00,46000, ,       136.30,        75.00
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        17.40,        17.45,        17.45,        17.40,        17.40,                    41820.00,2400, ,        32.60,        15.60
N,SM,CELLECOR,CELLECOR GADGETS LIMITED,        30.25,        30.55,        32.25,        30.55,        31.70,                 21594750.00,681000, ,        81.50,        25.75
N,SM,CMNL,CHAMAN METALLICS LIMITED,       156.00,       159.95,       161.00,       157.60,       160.95,                  2991112.50,18750, ,       178.80,       103.70
N,SM,CHAMUNDA,CHAMUNDA ELECTRICAL LTD,        49.90,        49.90,        50.15,        49.90,        50.15,                   450450.00,9000, ,        71.00,        36.10
N,ST,CHANDAN,CHANDAN HEALTHCARE LTD,       326.00,       330.00,       342.30,       330.00,       342.30,                 20382760.00,60000, ,       350.80,       140.00
N,SM,CHAVDA,CHAVDA INFRA LIMITED,       100.15,       100.50,       102.30,       100.50,       102.00,                   914900.00,9000, ,       186.00,        98.00
N,SM,CLASSICEIL,CLASSIC ELECTRODE (IND) L,        92.30,        92.90,        92.90,        88.00,        92.00,                  7184880.00,78400, ,       113.90,        80.50
N,SM,CONNPLEX,CONNPLEX CINEMAS LIMITED,       222.70,       222.10,       242.00,       218.05,       235.90,                 53087600.00,229600, ,       242.00,       177.00
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        23.40,        22.25,        22.25,        22.25,        22.25,                    74159.25,3333, ,        49.00,        20.85
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,        82.80,        84.95,        84.95,        82.00,        83.00,                 14763875.00,177500, ,       931.00,        75.00
N,SM,CRAYONS,CRAYONS ADVERTISING LTD,        50.60,        48.30,        48.30,        48.30,        48.30,                    48300.00,1000, ,       113.90,        42.00
N,SM,CGRAPHICS,CREATIVE GRAPHICS S IND L,       209.95,       211.00,       214.85,       211.00,       214.50,                  3067480.00,14400, ,       259.00,       134.40
N,SM,CLSL,CROP LIFE SCIENCE LIMITED,        55.00,        54.05,        54.10,        54.00,        54.00,                   324300.00,6000, ,        62.80,        41.50
N,SM,CURRENT,CURRENT INFRAPROJECTS LTD,       146.55,       148.00,       150.50,       146.00,       149.45,                  5692400.00,38400, ,       163.00,       123.05
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,        83.25,        83.25,        83.25,        83.25,        83.25,                    66600.00,800, ,       139.95,        64.00
N,SM,DKEGL,D K ENTERPRISES GLOBAL L,        71.00,        73.70,        73.90,        70.00,        70.00,                   437025.00,6000, ,        88.50,        56.50
N,SM,DANISH,DANISH POWER LIMITED,       832.30,       832.30,       855.60,       826.00,       828.55,                 26296905.00,31500, ,      1316.00,       541.50
