"SYMBOL","TOTAL_TRADES","WINNING_TRADES","LOSING_TRADES","WIN_RATE","TOTAL_RETURN","AVG_RETURN","MAX_RETURN","MIN_RETURN","AVG_TRADE_DAYS","SHARPE_RATIO","MAX_DRAWDOWN","PROFIT_FACTOR","CONFIDENCE_SCORE","CURRENT_PRICE","CURRENT_VOLUME","CURRENT_RSI","CURRENT_SMA_20","ANALYSIS_DATE"
"OLAELEC",53,15,38,0.283018867924528,-0.206671793889343,-0.00389946780923288,0.290252182347236,-0.104538870111057,3.47169811320755,-0.0460860368991954,-0.924589035331974,0.874036104373502,0.37564516775938,54.05,496974947,68.8349747285862,44.4654999999999,2025-08-29
"BSE",161,79,82,0.490683229813665,0.891247087412139,0.00553569619510645,0.19616591146741,-0.136776363947856,4.22981366459627,0.0828275935760003,-0.993513407800014,1.24327878656293,0.629815606957993,2096.2,8153679,27.135609351467,2380.695,2025-08-29
"RBLBANK",154,73,81,0.474025974025974,-0.705328976095223,-0.00458005828633262,0.0952360894654816,-0.164024679639298,4.27272727272727,-0.132984599247482,-1.1743449429898,0.703797098853504,0.562587502093143,261.05,65899998,54.4713721109945,258.6165,2025-08-29
"WAAREEENER",76,38,38,0.5,0.703210368195251,0.0092527680025691,0.294748170469221,-0.0976185676850865,3.86842105263158,0.130478538442626,-0.617190006334527,1.43460741874702,0.656508595718965,3402,4507176,63.2549635378702,3126.33,2025-08-29
"GODFRYPHLP",166,91,75,0.548192771084337,1.6225945200681,0.00977466578354278,0.192936113040409,-0.128046998304787,4.18072289156626,0.163509129073232,-0.65126360049796,1.51285241708112,0.680808744232624,11003.5,1389624,61.0916123288668,10123.875,2025-08-29
"APOLLO",115,55,60,0.478260869565217,1.20986474565454,0.0105205630056917,0.22175120596404,-0.120162182086251,4.07826086956522,0.153199286024454,-0.499807818536522,1.53102308894071,0.658798189472011,262.79,51575233,81.5425633440046,201.0045,2025-08-29
"CGPOWER",155,76,79,0.490322580645161,0.56858090806301,0.00366826392298716,0.151057722972255,-0.0863387978142077,4.30967741935484,0.0948921298190318,-0.573369471070088,1.28905922461891,0.635491909637343,694.3,14580868,60.5774984098376,671.4125,2025-08-29
"INDIGO",173,96,77,0.554913294797688,1.04778608716069,0.00605656697780745,0.0977359675337512,-0.0655301012253596,4.41040462427746,0.200438434351939,-0.239151784207774,1.67438859508343,0.6865178318745,5646,1628751,37.0957628108492,5929.65,2025-08-29
"SAMMAANCAP",88,30,58,0.340909090909091,-0.844288531283808,-0.00959418785549782,0.150946422842477,-0.117576278470133,4.26136363636364,-0.205454669072422,-0.932573505225311,0.596580780980607,0.511930805370788,123.96,68804305,51.7008201882032,121.529,2025-08-29
"GRANULES",169,90,79,0.532544378698225,0.173654304247008,0.00102754026181662,0.118984194636832,-0.186198948354102,4.32544378698225,0.0260005069163797,-0.923880966732469,1.07414532100494,0.456605048525103,492.25,16943450,63.2711600969218,458.23,2025-08-29
"HBLENGINE",54,27,27,0.5,0.341005406351152,0.00631491493242875,0.141726832162991,-0.0890255439924314,4.37037037037037,0.136351076308607,-0.370962887653872,1.47441628114629,0.581579438921066,807.1,8544737,77.2264640826611,709.98,2025-08-29
"SWIGGY",73,34,39,0.465753424657534,-0.316206947963793,-0.00433160202690127,0.123799519807923,-0.104481050570211,4.0958904109589,-0.0883947871162252,-1.19252866570502,0.800818834409831,0.47791138482014,409.75,13267998,51.231581765179,406.6,2025-08-29
"POLICYBZR",169,90,79,0.532544378698225,0.707286459901522,0.00418512698166582,0.133421142494756,-0.108415956923555,4.37869822485207,0.0940758318720028,-0.673623605966474,1.26981136246172,0.64615203304284,1770.8,2869156,40.8219660747539,1830.49,2025-08-29
"MCX",177,109,68,0.615819209039548,1.90329822233267,0.0107530973013145,0.157921548650025,-0.100832431317973,4.29378531073446,0.232052742195562,-0.472989321928857,1.78750639468289,0.707951036931421,7390,644963,35.8025794384067,7913.55,2025-08-29
"IDEA",119,49,70,0.411764705882353,-0.730526603726853,-0.00613887902291473,0.134703196347032,-0.134426229508197,4.25210084033613,-0.112767734005032,-0.822839075494189,0.7552967154393,0.549059083308636,6.49,720657284,44.0805269376953,6.674,2025-08-29
"HAL",166,91,75,0.548192771084337,1.05241023010434,0.00633982066327916,0.173889207624147,-0.103700975411502,4.36746987951807,0.142223190722359,-0.800898340125877,1.47356399174911,0.676036549572448,4332.6,1036537,32.3692433463619,4472.655,2025-08-29
"ADVENZYMES",129,50,79,0.387596899224806,-0.428115983017014,-0.00331872855051949,0.145911679381111,-0.175310372446936,4.2093023255814,-0.0744104885497404,-1.17691794473234,0.817852794885116,0.51212234076446,345.95,12789256,62.8035280791781,316.755,2025-08-29
"PAYTM",170,92,78,0.541176470588235,0.756078867392489,0.00444752274936758,0.131241767453,-0.108703083339031,4.30588235294118,0.09523198930001,-0.823959070644441,1.27051626299015,0.648927766405487,1207,3601954,62.7872916609792,1157.6775,2025-08-29
"BRITANNIA",161,80,81,0.496894409937888,-0.25744134979465,-0.00159901459499783,0.0629155552016563,-0.11625270263144,4.3416149068323,-0.0689023798108834,-0.48275400064398,0.829699872329202,0.460758985111612,5824,699161,60.3995124320717,5564.9,2025-08-29
"VMM",73,39,34,0.534246575342466,0.018899449296749,0.00025889656570889,0.178017848755284,-0.0740031897926635,4.0958904109589,0.00562365799353176,-0.347113694912654,1.01511910113962,0.371797973164429,149.41,26346065,59.4545102876075,145.946,2025-08-29
"SUZLON",108,48,60,0.444444444444444,0.494885187195539,0.00458227025181055,0.121021166585878,-0.0983843046739757,4.2037037037037,0.0900840140964525,-0.755156535130968,1.25426197184974,0.615210525525722,56.43,66053084,31.226160988332,60.9435,2025-08-29
"COLPAL",146,69,77,0.472602739726027,0.0373868130578786,0.000256074062040265,0.0985244589993115,-0.0827586206896552,4.46575342465753,0.00999888439955414,-0.510760284488465,1.02706153780075,0.364180270666778,2331.8,1598897,56.3221399761119,2254.13,2025-08-29
"YESBANK",119,52,67,0.436974789915966,-0.731320507349883,-0.0061455504819318,0.144816236972024,-0.112033195020747,4.31932773109244,-0.161383388918455,-1.06531551799845,0.635702394735319,0.544662676448322,19.1,191492999,47.7839978552211,18.96,2025-08-29
