SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Finance & NBFC,59.86,23,LICHSGFIN,LICHSGFIN,MID_CAP,586.35,0.72,4.3,14.33,55.3,71.1,13.11,17,6,NA,BULLISH,HOLD
FMCG & Consumer Goods,59.46,21,RADICO,RADICO,LARGE_CAP,3407,1.48,-1.49,29.59,65.3,70.2,25.37,19,11,NA,STRONG_BULLISH,BUY
FMCG & Consumer Goods,59.46,21,JUBLPHARMA,JUBLPHARMA,MICRO_CAP,981.15,2.58,5.86,12.85,61.3,76.2,13.46,17,18,NA,BULLISH,HOLD
FMCG & Consumer Goods,59.46,21,NITCO,NITCO,MICRO_CAP,101.74,0.79,14.95,17.75,60,75.1,33.2,23,5,NA,BULLISH,HOLD
FMCG & Consumer Goods,59.46,21,JUBLINGREA,JUBLINGREA,SMALL_CAP,756.85,1.99,7.7,24.88,56,74.3,23.95,18,11,NA,BULLISH,HOLD
FMCG & Consumer Goods,59.46,21,RITCO,RITCO,MICRO_CAP,241.94,9.04,14.37,29.68,54.7,80.1,6.59,17,12,NA,BULLISH,HOLD
Pharma & Healthcare,58.82,16,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1478.7,-0.36,5.86,11.18,62,66.7,26.59,20,8,NA,STRONG_BULLISH,HOLD
Pharma & Healthcare,58.82,16,LUPIN,Lupin Limited,LARGE_CAP,2460.1,0.7,6.43,7.04,62,69.9,10.74,17,6,NA,STRONG_BULLISH,HOLD
Pharma & Healthcare,58.82,16,LAURUSLABS,LAURUSLABS,LARGE_CAP,1206.5,2.45,9.08,14.1,58.7,64.5,18.5,19,4,NA,STRONG_BULLISH,HOLD
Pharma & Healthcare,58.82,16,GLENMARK,GLENMARK,LARGE_CAP,2371.6,-0.25,-1.75,12.18,56.7,66.8,17.96,16,10,NA,STRONG_BULLISH,HOLD
Pharma & Healthcare,58.82,16,NATCOPHARM,NATCOPHARM,SMALL_CAP,1155.2,0.44,5.63,6.73,54.7,66.8,30.4,16,6,NA,STRONG_BULLISH,HOLD
Paper & Packaging,57.46,11,JAINREC,JAINREC,MID_CAP,504.2,9.08,9.53,13.76,64,83,33.11,20,14,NA,STRONG_BULLISH,HOLD
Paper & Packaging,57.46,11,NRBBEARING,NRBBEARING,MICRO_CAP,300.15,2.49,5.18,26.35,61.3,66.1,7.77,13,14,NA,BULLISH,HOLD
Paper & Packaging,57.46,11,ENRIN,ENRIN,LARGE_CAP,3139.5,-1.45,-5.15,19.42,56.7,65.6,14.2,14,8,NA,STRONG_BULLISH,HOLD
